scope,phase,zeitmass,achsenklasse,count,rollen,kombinationen,cross_state,same_state,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,nachhall,syntax,stabil,tragend_unruhig,carry,strain,sensory,neuro_load,neuro_balance,reaktivierungsquote,kombinationsquote,avg_co_touch,avg_resonanz
phase,1783_shift,*,verteilt_offen,5,5.8,13.8,7.6,4.2,0.6898996,0.7300954,0.040195800000000045,0.5106528,0.2972104,257.6,981.4,12.6,0.5024948,0.1636296,0.840522,0.10171920000000001,0.331766,0.447619,0.1976192,0.31304592952380955,0.2176023933333333
phase,1783_shift,*,verteilt_rekoppelnd,1,6.0,15.0,5.0,6.0,0.695411,0.737957,0.04254599999999997,0.435167,0.346705,224.0,984.0,10.0,0.512054,0.160941,0.848134,0.097059,0.346914,0.333333,0.066667,0.6666666666666666,0.191496
zeitmass,*,15m,kompakt_nachhallend,3,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6856223333333333,0.7277016666666666,0.04207933333333332,0.6330576666666667,0.26832266666666665,290.0,973.0,21.0,0.49589066666666665,0.16639666666666666,0.835457,0.10637400000000001,0.31922366666666663,0.8333333333333334,0.3333333333333333,0.091111,0.3333333333333333
zeitmass,*,15m,mittlere_uebergangsphase,1,3.0,3.0,2.0,1.0,0.689084,0.732259,0.04317499999999996,0.648726,0.301652,254.0,978.0,16.0,0.502085,0.165069,0.839572,0.102659,0.330585,0.666667,0.333333,0.05000000000000001,0.3333333333333333
zeitmass,*,15m,verteilt_offen,3,6.333333333333333,16.333333333333332,8.666666666666666,5.0,0.689413,0.7313556666666666,0.041942666666666684,0.538509,0.290099,265.3333333333333,982.0,12.0,0.5012443333333333,0.16360333333333332,0.8403163333333333,0.10256866666666666,0.3290113333333333,0.41269833333333333,0.12936533333333333,0.43763218253968256,0.20362658888888888
zeitmass,*,15m,verteilt_rekoppelnd,1,5.0,10.0,4.0,3.0,0.695155,0.727188,0.03203299999999998,0.424939,0.338826,235.0,984.0,10.0,0.510797,0.160484,0.848101,0.097924,0.343567,0.6,0.3,1.0,0.1999999
zeitmass,*,1h,kompakt_nachhallend,3,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.688934,0.7298133333333334,0.04087933333333338,0.5872646666666667,0.299834,260.6666666666667,975.6666666666666,18.333333333333332,0.5018143333333333,0.16559933333333335,0.8384023333333334,0.102543,0.33115933333333336,1.0,0.3333333333333333,0.07777766666666668,0.16666666666666666
zeitmass,*,1h,mittlere_uebergangsphase,1,3.0,3.0,2.0,1.0,0.693828,0.730712,0.03688400000000003,0.469316,0.34586,220.0,984.0,10.0,0.511324,0.162935,0.843733,0.096932,0.348569,0.666667,0.333333,0.107778,0.36104833333333336
zeitmass,*,1h,verteilt_offen,1,6.0,15.0,9.0,6.0,0.69354,0.735906,0.042365999999999904,0.567237,0.327525,240.0,977.0,17.0,0.508119,0.162062,0.844703,0.098722,0.340876,0.666667,0.4,0.5406666666666666,0.19849920000000001
zeitmass,*,1h,verteilt_rekoppelnd,1,5.0,10.0,4.0,6.0,0.695555,0.737,0.041444999999999954,0.443215,0.351238,229.0,984.0,10.0,0.51221,0.161427,0.846332,0.096721,0.348267,0.8,0.6,0.5846668,0.223385
zeitmass,*,30m,kompakt_nachhallend,1,2.0,1.0,1.0,0.0,0.691953,0.734933,0.04297999999999991,0.601051,0.318287,245.0,982.0,12.0,0.50631,0.162839,0.842337,0.099763,0.338393,0.5,0.0,0.026667,0.5
zeitmass,*,30m,mittlere_uebergangsphase,3,3.3333333333333335,4.0,2.3333333333333335,1.6666666666666667,0.6881363333333333,0.727802,0.039665666666666675,0.5255606666666667,0.296405,265.0,979.3333333333334,14.666666666666666,0.500863,0.16598633333333332,0.8373596666666666,0.10331699999999999,0.3292056666666667,0.6944443333333333,0.5,0.2292593888888889,0.3444147777777778
zeitmass,*,30m,verteilt_offen,3,5.333333333333333,11.666666666666666,7.0,4.0,0.691747,0.7300210000000001,0.038274000000000065,0.5057006666666667,0.31415733333333334,244.33333333333334,979.6666666666666,14.333333333333334,0.5058193333333333,0.162872,0.8425923333333333,0.099827,0.337802,0.5,0.26666666666666666,0.2537407,0.22654315555555557
zeitmass,*,30m,verteilt_rekoppelnd,1,6.0,15.0,5.0,6.0,0.695411,0.737957,0.04254599999999997,0.435167,0.346705,224.0,984.0,10.0,0.512054,0.160941,0.848134,0.097059,0.346914,0.333333,0.066667,0.6666666666666666,0.191496
