target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_14wj,dio_0tay,164,4551,0.985789,0.180403,kohaerenz_hoeher,mcm_kohaerenz,0.12059,btc:46;sonstige:34;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.224532,0.222665,-0.001867,0.0,0.0,0.0,0.04056,0.155164,0.114604,0.0,0.0,0.0,0.03398,0.078043,0.044063,0.604823,0.725413,0.12059,0.03398,0.078043,0.044063,-0.000638,-0.000178,0.00046,0.009767,0.011072,0.001305
dio_14wj,dio_1oc2,163,1749,0.907151,0.357146,asymmetrie_minus,mcm_asymmetrie,-0.235869,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.226575,0.359511,0.132935,0.0,0.0,0.0,0.038753,0.234547,0.195793,0.0,0.0,0.0,0.032932,0.11745,0.084519,0.607906,0.636274,0.028368,0.032932,0.11745,0.084519,0.000562,-0.235307,-0.235869,0.009829,0.01025,0.000422
dio_14wj,dio_104t,163,33396,0.984426,0.122812,hoeren_staerker,hoeren_stimulation,0.102368,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.225006,0.23697,0.011963,0.0,0.0,0.0,0.040618,0.142986,0.102368,0.0,0.0,0.0,0.034056,0.077705,0.043649,0.604812,0.615224,0.010412,0.034056,0.077705,0.043649,-0.000486,-0.007088,-0.006601,0.009762,0.009757,-6e-06
dio_14wj,dio_06jk,161,2014,0.943382,0.251888,hoeren_staerker,hoeren_stimulation,0.204154,btc:46;sonstige:32;doge:25;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.223087,0.171049,-0.052038,0.0,0.0,0.0,0.038962,0.243115,0.204154,0.0,0.0,0.0,0.033136,0.118864,0.085728,0.605636,0.659767,0.054132,0.033136,0.118864,0.085728,0.000604,-0.013695,-0.014299,0.00981,0.0103,0.00049
dio_14wj,dio_0fl2,160,1515,0.970352,0.243928,kohaerenz_hoeher,mcm_kohaerenz,0.163725,btc:45;sonstige:32;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3,0.223753,0.162376,-0.061377,0.0,0.0,0.0,0.039785,0.155341,0.115556,0.0,0.0,0.0,0.033539,0.076218,0.042679,0.605598,0.769324,0.163725,0.033539,0.076218,0.042679,0.000181,0.105176,0.104995,0.009785,0.011415,0.00163
dio_14wj,dio_1u5i,160,5417,0.994923,0.071641,zielnahe_mitrolle,mcm_kohaerenz,-0.055559,btc:46;sonstige:30;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.225125,0.264619,0.039494,0.0,0.0,0.0,0.040649,0.037445,-0.003204,0.0,0.0,0.0,0.03429,0.039962,0.005671,0.603275,0.547716,-0.055559,0.03429,0.039962,0.005671,-0.000828,0.001247,0.002075,0.009729,0.009014,-0.000714
dio_14wj,dio_1mwv,159,2113,0.932958,0.361411,asymmetrie_minus,mcm_asymmetrie,-0.220938,btc:46;sonstige:28;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.224929,0.259576,0.034647,0.0,0.0,0.0,0.040261,0.246301,0.206041,0.0,0.0,0.0,0.03393,0.11863,0.0847,0.604643,0.754898,0.150255,0.03393,0.11863,0.0847,-0.000354,-0.221292,-0.220938,0.009758,0.011629,0.001871
dio_14wj,dio_1p7l,159,357,0.93671,0.31245,asymmetrie_plus,mcm_asymmetrie,0.27348,sonstige:106;btc:16;doge:16;xrp:9;paxg:5;sideways:3;stress:3;expansion:1,0.216567,0.324735,0.108168,0.0,0.0,0.0,0.035864,0.084987,0.049123,0.0,0.0,0.0,0.029451,0.05429,0.024839,0.62146,0.700348,0.078888,0.029451,0.05429,0.024839,0.004186,0.277665,0.27348,0.010297,0.010316,1.9e-05
dio_14wj,dio_1r55,158,2755,0.924868,0.282735,hoeren_staerker,hoeren_stimulation,0.218582,btc:46;sonstige:28;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.223567,0.167977,-0.05559,0.0,0.0,0.0,0.040371,0.258953,0.218582,0.0,0.0,0.0,0.033925,0.127133,0.093208,0.604494,0.638537,0.034043,0.033925,0.127133,0.093208,0.00013,-0.098588,-0.098718,0.009753,0.010138,0.000385
dio_14wj,dio_19pg,156,4629,0.970765,0.17786,sehen_schaerfer,sehen_form_salience,0.123708,btc:46;doge:26;paxg:25;sonstige:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.226094,0.349802,0.123708,0.0,0.0,0.0,0.040955,0.146766,0.10581,0.0,0.0,0.0,0.034239,0.08144,0.047201,0.604299,0.595814,-0.008485,0.034239,0.08144,0.047201,-0.001042,-0.006133,-0.005091,0.009723,0.009441,-0.000283
