target_family,neighbor_family,co_memory_count,co_memory_share,neighbor_count_sum,avg_cosine,avg_distance,source_profile,dominant_axes,sehen_form_salience,sehen_memory_recall,hoeren_stimulation,kontakt_druck,feldaufnahme_druck,mcm_kohaerenz,mcm_spannung,mcm_asymmetrie,feldsignatur
dio_104t,dio_1350,160,0.981595,2322,0.989862,0.129721,btc:46;sonstige:30;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7219;sehen_form_salience:0.2125;hoeren_stimulation:0.0934;feldaufnahme_druck:0.0517,0.212504,0.0,0.093436,0.0,0.051685,0.721923,0.051685,0.008783,0.011071
dio_104t,dio_0ly7,160,0.981595,2786,0.97296,0.210569,btc:46;sonstige:30;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7726;sehen_form_salience:0.1672;mcm_asymmetrie:0.0939;hoeren_stimulation:0.0916,0.167151,0.0,0.091621,0.0,0.048777,0.772561,0.048777,0.093927,0.011514
dio_104t,dio_1ygx,160,0.981595,4177,0.964381,0.216331,btc:45;sonstige:32;doge:25;xrp:24;paxg:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7523;sehen_form_salience:0.1699;mcm_asymmetrie:-0.0847;hoeren_stimulation:0.0372,0.169933,0.0,0.037171,0.0,0.025568,0.752292,0.025568,-0.084721,0.011687
dio_104t,dio_04q7,160,0.981595,1650,0.952147,0.271735,btc:45;sonstige:32;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7395;sehen_form_salience:0.2623;mcm_asymmetrie:0.2226;hoeren_stimulation:0.0908,0.262325,0.0,0.090842,0.0,0.053472,0.739546,0.053472,0.222625,0.010767
dio_104t,dio_0l7p,159,0.97546,21326,0.99474,0.070663,btc:46;sonstige:28;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6164;sehen_form_salience:0.2310;hoeren_stimulation:0.0865;feldaufnahme_druck:0.0524,0.230952,0.0,0.086458,0.0,0.052434,0.616369,0.052434,-0.002808,0.009841
dio_104t,dio_06s7,159,0.97546,7090,0.983484,0.125052,btc:46;sonstige:28;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6311;sehen_form_salience:0.2497;mcm_asymmetrie:-0.1076;hoeren_stimulation:0.0882,0.249707,0.0,0.088195,0.0,0.052276,0.631109,0.052276,-0.107622,0.010133
dio_104t,dio_05ap,159,0.97546,1998,0.97654,0.195245,btc:46;sonstige:29;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7628;sehen_form_salience:0.1702;hoeren_stimulation:0.0920;mcm_asymmetrie:-0.0884,0.170233,0.0,0.092002,0.0,0.049115,0.762809,0.049115,-0.088441,0.011822
dio_104t,dio_087m,159,0.97546,2485,0.957553,0.278517,btc:46;sonstige:29;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7529;sehen_form_salience:0.2643;mcm_asymmetrie:0.2312;hoeren_stimulation:0.1484,0.264327,0.0,0.148429,0.0,0.077561,0.752885,0.077561,0.231212,0.010861
dio_104t,dio_0tay,157,0.96319,4543,0.996577,0.115853,btc:46;sonstige:27;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7246;sehen_form_salience:0.2222;hoeren_stimulation:0.1549;feldaufnahme_druck:0.0779,0.222241,0.0,0.15489,0.0,0.077912,0.72456,0.077912,0.001782,0.011032
dio_104t,dio_17ct,157,0.96319,7914,0.984363,0.201361,btc:46;doge:26;sonstige:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7339;sehen_form_salience:0.2427;hoeren_stimulation:0.2346;mcm_asymmetrie:-0.1289,0.242691,0.0,0.234576,0.0,0.1127,0.733878,0.1127,-0.128885,0.011328
dio_104t,dio_1rqi,157,0.96319,2093,0.966487,0.259177,btc:46;sonstige:28;doge:25;xrp:24;paxg:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7542;sehen_form_salience:0.2678;mcm_asymmetrie:-0.2202;hoeren_stimulation:0.1493,0.267779,0.0,0.149313,0.0,0.078196,0.754195,0.078196,-0.220219,0.011786
dio_104t,dio_0dd2,156,0.957055,4660,0.988156,0.154142,btc:46;doge:26;sonstige:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7477;sehen_form_salience:0.1624;hoeren_stimulation:0.1553;feldaufnahme_druck:0.0762,0.162351,0.0,0.155342,0.0,0.07624,0.747669,0.07624,-0.006551,0.011373
dio_104t,dio_00ly,156,0.957055,9555,0.985233,0.121011,btc:46;doge:26;paxg:25;sonstige:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6246;sehen_form_salience:0.2547;hoeren_stimulation:0.1448;mcm_asymmetrie:0.1107,0.25465,0.0,0.144805,0.0,0.077511,0.624552,0.077511,0.110679,0.009587
dio_104t,dio_09bn,156,0.957055,5128,0.984272,0.178362,btc:46;doge:26;sonstige:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7362;sehen_form_salience:0.2360;hoeren_stimulation:0.1473;mcm_asymmetrie:0.1211,0.236047,0.0,0.14728,0.0,0.075614,0.736191,0.075614,0.121087,0.010883
dio_104t,dio_0h9h,154,0.944785,14617,0.990765,0.097104,btc:46;doge:26;paxg:25;xrp:24;sonstige:23;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6229;sehen_form_salience:0.2491;hoeren_stimulation:0.1512;mcm_asymmetrie:-0.1009,0.249058,0.0,0.151165,0.0,0.081142,0.622898,0.081142,-0.100895,0.009936
dio_104t,dio_19pg,154,0.944785,4624,0.987112,0.116083,btc:46;doge:26;paxg:25;xrp:24;sonstige:23;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5953;sehen_form_salience:0.3488;hoeren_stimulation:0.1468;feldaufnahme_druck:0.0814,0.348827,0.0,0.146785,0.0,0.081417,0.595319,0.081417,-0.006814,0.009434
dio_104t,dio_1u5i,154,0.944785,5408,0.982432,0.139808,btc:46;doge:26;paxg:25;xrp:24;sonstige:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.5474;sehen_form_salience:0.2655;feldaufnahme_druck:0.0400;mcm_spannung:0.0400,0.265536,0.0,0.037568,0.0,0.040029,0.5474,0.040029,0.001211,0.008986
dio_104t,dio_1q85,153,0.93865,5925,0.993534,0.154078,btc:46;doge:26;paxg:25;xrp:24;sonstige:23;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7247;hoeren_stimulation:0.2339;sehen_form_salience:0.2296;feldaufnahme_druck:0.1126,0.229617,0.0,0.2339,0.0,0.11258,0.724717,0.11258,-0.007683,0.01097
dio_104t,dio_1s2n,153,0.93865,862,0.967764,0.185523,btc:42;sonstige:30;doge:26;xrp:23;paxg:23;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6202;sehen_form_salience:0.3455;mcm_asymmetrie:0.1234;hoeren_stimulation:0.0853,0.345451,0.0,0.085304,0.0,0.055022,0.620219,0.055022,0.123439,0.009453
dio_104t,dio_0g3b,153,0.93865,5900,0.96258,0.223753,btc:45;sonstige:32;paxg:24;doge:22;xrp:20;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7589;sehen_form_salience:0.1674;mcm_asymmetrie:0.0832;hoeren_stimulation:0.0401,0.167381,0.0,0.040064,0.0,0.026684,0.758861,0.026684,0.083205,0.01144
dio_104t,dio_02xf,152,0.932515,3015,0.967265,0.17288,btc:46;doge:26;paxg:25;xrp:24;sonstige:21;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5256;sehen_form_salience:0.3660;hoeren_stimulation:0.0783;feldaufnahme_druck:0.0560,0.366033,0.0,0.078308,0.0,0.056023,0.525638,0.056023,0.000291,0.00866
dio_104t,dio_1uof,151,0.92638,3918,0.956435,0.199247,btc:46;doge:26;paxg:25;xrp:24;sonstige:20;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5181;sehen_form_salience:0.3654;feldaufnahme_druck:0.0402;mcm_spannung:0.0402,0.365373,0.0,0.03888,0.0,0.040169,0.518076,0.040169,0.001537,0.008583
dio_104t,dio_155c,150,0.920245,23441,0.978954,0.154584,btc:46;doge:26;paxg:25;xrp:24;sonstige:19;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6186;hoeren_stimulation:0.2418;sehen_form_salience:0.2404;feldaufnahme_druck:0.1197,0.240436,0.0,0.241757,0.0,0.119721,0.618635,0.119721,-0.108022,0.00982
dio_104t,dio_10dv,150,0.920245,2637,0.974871,0.218698,btc:46;doge:26;paxg:25;xrp:24;sonstige:20;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7453;hoeren_stimulation:0.2312;sehen_form_salience:0.1600;mcm_asymmetrie:-0.1227,0.159994,0.0,0.231162,0.0,0.11379,0.745266,0.11379,-0.122656,0.011389
dio_104t,dio_00ja,150,0.920245,8755,0.972896,0.157107,btc:46;doge:26;paxg:25;xrp:24;sonstige:19;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5257;sehen_form_salience:0.3662;hoeren_stimulation:0.1330;feldaufnahme_druck:0.0806,0.366197,0.0,0.132997,0.0,0.08055,0.525741,0.08055,-0.006688,0.008584
dio_104t,dio_07uk,150,0.920245,3134,0.95327,0.310821,btc:46;doge:26;paxg:25;xrp:24;sonstige:20;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7538;sehen_form_salience:0.2529;hoeren_stimulation:0.2475;mcm_asymmetrie:0.2401,0.25294,0.0,0.24749,0.0,0.119174,0.753778,0.119174,0.240131,0.01079
dio_104t,dio_00pl,150,0.920245,1250,0.951222,0.210204,btc:46;doge:26;paxg:25;xrp:23;sonstige:20;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5186;sehen_form_salience:0.3504;mcm_asymmetrie:0.1208;hoeren_stimulation:0.0775,0.350381,0.0,0.077459,0.0,0.057066,0.51856,0.057066,0.120801,0.00829
dio_104t,dio_1qyl,150,0.920245,761,0.928925,0.281587,btc:43;sonstige:29;doge:25;xrp:23;paxg:21;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6185;sehen_form_salience:0.3486;mcm_asymmetrie:0.2399;hoeren_stimulation:0.0847,0.348635,0.0,0.084676,0.0,0.054893,0.618531,0.054893,0.239919,0.009178
dio_104t,dio_1ewh,149,0.91411,7138,0.994994,0.081317,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5443;sehen_form_salience:0.2724;hoeren_stimulation:0.1316;feldaufnahme_druck:0.0786,0.272442,0.0,0.131633,0.0,0.078574,0.544271,0.078574,-0.001332,0.008815
dio_104t,dio_0m9z,149,0.91411,21293,0.990351,0.108209,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6226;sehen_form_salience:0.2438;hoeren_stimulation:0.2347;feldaufnahme_druck:0.1150,0.243827,0.0,0.234653,0.0,0.11498,0.622641,0.11498,-0.012165,0.009698
dio_104t,dio_0z9t,149,0.91411,3360,0.985891,0.167674,btc:46;doge:26;paxg:25;xrp:24;sonstige:19;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7294;hoeren_stimulation:0.2225;sehen_form_salience:0.1627;feldaufnahme_druck:0.1095,0.162674,0.0,0.222487,0.0,0.109467,0.729439,0.109467,-0.012621,0.01105
dio_104t,dio_1mwv,149,0.91411,2097,0.964777,0.285588,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7540;sehen_form_salience:0.2575;hoeren_stimulation:0.2478;mcm_asymmetrie:-0.2214,0.257544,0.0,0.247763,0.0,0.119145,0.753952,0.119145,-0.221414,0.011619
dio_104t,dio_1gp2,149,0.91411,5447,0.960204,0.189836,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5136;sehen_form_salience:0.3633;hoeren_stimulation:0.1322;mcm_asymmetrie:-0.1085,0.363328,0.0,0.1322,0.0,0.080622,0.513634,0.080622,-0.10847,0.008579
dio_104t,dio_0g2r,149,0.91411,5235,0.953526,0.205472,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5119;sehen_form_salience:0.3620;hoeren_stimulation:0.1289;mcm_asymmetrie:0.1179,0.361994,0.0,0.128875,0.0,0.07999,0.511873,0.07999,0.11795,0.008213
dio_104t,dio_0u1o,149,0.91411,1776,0.945162,0.292045,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6136;sehen_form_salience:0.3557;hoeren_stimulation:0.3505;feldaufnahme_druck:0.1621,0.355701,0.0,0.350533,0.0,0.162145,0.613636,0.162145,-0.123049,0.009699
dio_104t,dio_0v65,149,0.91411,1837,0.938662,0.234741,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5047;sehen_form_salience:0.3572;mcm_asymmetrie:0.1162;feldaufnahme_druck:0.0437,0.357184,0.0,0.040531,0.0,0.043714,0.504676,0.043714,0.116234,0.00816
dio_104t,dio_0om4,149,0.91411,1906,0.935859,0.275782,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6190;sehen_form_salience:0.3525;mcm_asymmetrie:0.2397;hoeren_stimulation:0.1435,0.352456,0.0,0.143509,0.0,0.079475,0.61904,0.079475,0.239689,0.009135
dio_104t,dio_1lsu,148,0.907975,7468,0.97486,0.167288,btc:46;doge:26;paxg:25;xrp:24;sonstige:18;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6159;sehen_form_salience:0.2480;hoeren_stimulation:0.2391;feldaufnahme_druck:0.1178,0.248034,0.0,0.239141,0.0,0.117793,0.615917,0.117793,0.114993,0.009445
dio_104t,dio_1j37,148,0.907975,1209,0.955348,0.200603,btc:46;doge:26;paxg:25;xrp:23;sonstige:18;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5168;sehen_form_salience:0.3504;mcm_asymmetrie:-0.1194;hoeren_stimulation:0.0773,0.350373,0.0,0.077268,0.0,0.056551,0.516832,0.056551,-0.119394,0.008689
dio_104t,dio_0ein,148,0.907975,1946,0.943124,0.225963,btc:46;doge:26;paxg:25;xrp:24;sonstige:17;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5056;sehen_form_salience:0.3572;mcm_asymmetrie:-0.1164;feldaufnahme_druck:0.0429,0.357186,0.0,0.039808,0.0,0.042909,0.505632,0.042909,-0.116436,0.008584
dio_104t,dio_1cic,147,0.90184,3469,0.991665,0.104414,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5467;sehen_form_salience:0.2677;hoeren_stimulation:0.0776;feldaufnahme_druck:0.0559,0.267687,0.0,0.077574,0.0,0.055912,0.546745,0.055912,-0.000433,0.008897
dio_104t,dio_1xrt,147,0.90184,2652,0.98444,0.12175,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5436;sehen_form_salience:0.2777;hoeren_stimulation:0.1355;mcm_asymmetrie:-0.0949,0.277691,0.0,0.135512,0.0,0.080054,0.543596,0.080054,-0.09492,0.008937
dio_104t,dio_1o4z,147,0.90184,2868,0.978735,0.160399,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6165;sehen_form_salience:0.3562;hoeren_stimulation:0.1480;mcm_asymmetrie:-0.1149,0.356207,0.0,0.148026,0.0,0.081433,0.616534,0.081433,-0.114893,0.009865
dio_104t,dio_1jc2,147,0.90184,4131,0.973291,0.157911,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6223;sehen_form_salience:0.2474;mcm_asymmetrie:-0.1047;hoeren_stimulation:0.0397,0.247384,0.0,0.039704,0.0,0.031213,0.622283,0.031213,-0.104691,0.010041
dio_104t,dio_169a,147,0.90184,3649,0.947564,0.258575,btc:46;doge:26;paxg:25;xrp:24;sonstige:17;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6092;hoeren_stimulation:0.3397;sehen_form_salience:0.2495;feldaufnahme_druck:0.1620,0.249482,0.0,0.339738,0.0,0.161987,0.609198,0.161987,-0.120904,0.00969
dio_104t,dio_0pxr,146,0.895706,2236,0.974702,0.19669,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6322;sehen_form_salience:0.3557;hoeren_stimulation:0.2403;feldaufnahme_druck:0.1190,0.355693,0.0,0.240329,0.0,0.118958,0.632179,0.118958,0.082825,0.009592
dio_104t,dio_1r55,146,0.895706,2743,0.96975,0.183612,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6377;hoeren_stimulation:0.2602;sehen_form_salience:0.1673;feldaufnahme_druck:0.1275,0.167336,0.0,0.26023,0.0,0.127514,0.637749,0.127514,-0.101266,0.010093
dio_104t,dio_1jsj,146,0.895706,1141,0.959643,0.251995,btc:38;sonstige:32;doge:23;xrp:22;paxg:21;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7337;sehen_form_salience:0.2667;mcm_asymmetrie:-0.2146;hoeren_stimulation:0.0908,0.266662,0.0,0.090818,0.0,0.053707,0.733704,0.053707,-0.214622,0.011581
dio_104t,dio_07o8,146,0.895706,2006,0.957471,0.199321,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.5436;hoeren_stimulation:0.2596;sehen_form_salience:0.2463;feldaufnahme_druck:0.1315,0.24629,0.0,0.259636,0.0,0.131473,0.543587,0.131473,0.114168,0.008607
dio_104t,dio_0obq,146,0.895706,6275,0.95714,0.199626,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.5390;hoeren_stimulation:0.2711;sehen_form_salience:0.2313;feldaufnahme_druck:0.1370,0.23132,0.0,0.271089,0.0,0.136983,0.538975,0.136983,-0.109387,0.008842
dio_104t,dio_0z3k,146,0.895706,1103,0.955583,0.355135,btc:46;doge:26;xrp:24;paxg:24;sonstige:17;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.8321;mcm_asymmetrie:0.2500;hoeren_stimulation:0.2357;sehen_form_salience:0.2345,0.234497,0.0,0.235705,0.0,0.113847,0.832121,0.113847,0.250004,0.011719
dio_104t,dio_1oye,146,0.895706,2120,0.91548,0.291466,btc:46;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.5200;hoeren_stimulation:0.3498;sehen_form_salience:0.2384;feldaufnahme_druck:0.1706,0.238407,0.0,0.34979,0.0,0.170584,0.519975,0.170584,0.119804,0.008299
dio_104t,dio_1tiu,145,0.889571,2008,0.982607,0.187542,btc:46;doge:26;paxg:25;xrp:24;sonstige:15;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7609;sehen_form_salience:0.1670;hoeren_stimulation:0.1568;mcm_asymmetrie:-0.0960,0.167037,0.0,0.156814,0.0,0.076904,0.760935,0.076904,-0.096006,0.011614
dio_104t,dio_06qi,145,0.889571,2688,0.981153,0.20773,btc:46;doge:26;paxg:25;xrp:24;sonstige:15;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7340;sehen_form_salience:0.2369;hoeren_stimulation:0.2250;mcm_asymmetrie:0.1312,0.236859,0.0,0.225012,0.0,0.108667,0.733974,0.108667,0.131196,0.010759
dio_104t,dio_0fl2,145,0.889571,1499,0.977845,0.205984,btc:45;doge:26;xrp:24;paxg:24;sonstige:17;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7682;sehen_form_salience:0.1636;hoeren_stimulation:0.1539;mcm_asymmetrie:0.1062,0.163592,0.0,0.153908,0.0,0.075509,0.768167,0.075509,0.106239,0.011348
dio_104t,dio_0d03,145,0.889571,1009,0.976862,0.149967,btc:44;doge:26;paxg:25;xrp:24;sonstige:16;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5422;sehen_form_salience:0.2863;mcm_asymmetrie:0.0891;hoeren_stimulation:0.0785,0.286345,0.0,0.078483,0.0,0.05548,0.542241,0.05548,0.089119,0.008643
dio_104t,dio_04uf,145,0.889571,4619,0.971864,0.199106,btc:46;doge:26;paxg:25;xrp:24;sonstige:14;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6164;sehen_form_salience:0.3536;hoeren_stimulation:0.2449;feldaufnahme_druck:0.1203,0.353581,0.0,0.244935,0.0,0.120324,0.616351,0.120324,-0.11927,0.00978
dio_104t,dio_0pq6,145,0.889571,2490,0.970235,0.182796,btc:46;doge:26;xrp:24;paxg:24;sonstige:15;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5996;sehen_form_salience:0.3812;hoeren_stimulation:0.1455;mcm_asymmetrie:0.0906,0.38123,0.0,0.145492,0.0,0.081864,0.599587,0.081864,0.090551,0.009235
dio_104t,dio_0f4r,145,0.889571,1141,0.968456,0.335139,btc:46;doge:26;xrp:23;paxg:22;sonstige:19;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.8356;sehen_form_salience:0.2515;hoeren_stimulation:0.2435;mcm_asymmetrie:-0.2273,0.251466,0.0,0.243507,0.0,0.116986,0.835626,0.116986,-0.227322,0.012662
dio_104t,dio_1wdi,145,0.889571,3615,0.965533,0.181039,btc:44;doge:25;xrp:24;paxg:23;sonstige:20;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.5405;sehen_form_salience:0.2864;mcm_asymmetrie:0.0920;feldaufnahme_druck:0.0377,0.2864,0.0,0.036117,0.0,0.037731,0.540459,0.037731,0.092001,0.008642
dio_104t,dio_0jkk,145,0.889571,4508,0.961513,0.194121,btc:46;doge:26;paxg:25;xrp:24;sonstige:14;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.5266;sehen_form_salience:0.3658;hoeren_stimulation:0.2389;feldaufnahme_druck:0.1225,0.365782,0.0,0.238935,0.0,0.122518,0.526568,0.122518,-0.006121,0.008481
dio_104t,dio_1v2w,145,0.889571,2765,0.926352,0.2685,btc:46;doge:26;paxg:25;xrp:24;sonstige:14;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.4939;sehen_form_salience:0.4776;hoeren_stimulation:0.1336;feldaufnahme_druck:0.0824,0.477641,0.0,0.133604,0.0,0.082386,0.493916,0.082386,-0.004019,0.008158
dio_104t,dio_05yg,144,0.883436,4130,0.979186,0.167212,btc:46;doge:26;paxg:25;xrp:24;sonstige:14;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6061;sehen_form_salience:0.3531;hoeren_stimulation:0.2438;feldaufnahme_druck:0.1205,0.353053,0.0,0.243845,0.0,0.120498,0.606067,0.120498,-0.002706,0.009426
