base_sequence,scale,count,dominant_raw_class,raw_class_counts,avg_price_move_pct,avg_abs_body_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure
lauter_feldkontakt->normale_weltspannung,200,9,gemischte_rohwelt,gemischte_rohwelt:7;bewegungsreiche_rohwelt:2,0.120097,0.084883,0.152696,0.434203,0.669825,0.108973
leise_duenn->normale_weltspannung,100,9,gemischte_rohwelt,gemischte_rohwelt:9,0.220051,0.071795,0.132033,0.402387,0.66568,0.102332
offen_suchend->normale_weltspannung,400,8,gemischte_rohwelt,gemischte_rohwelt:8,0.644004,0.098835,0.1882,0.406972,0.662681,0.103158
lauter_feldkontakt->lauter_feldkontakt,200,7,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt:4;gemischte_rohwelt:2;bewegungsreiche_rohwelt:1,-0.639722,0.064612,0.112243,0.522809,0.69073,0.12776
offen_suchend->offen_suchend,400,7,gemischte_rohwelt,gemischte_rohwelt:6;bewegungsreiche_rohwelt:1,0.993044,0.127329,0.242995,0.404968,0.634067,0.104005
leise_duenn->normale_weltspannung,200,5,gemischte_rohwelt,gemischte_rohwelt:5,0.700806,0.087407,0.158535,0.392336,0.652603,0.10137
randlastige_sinneslage->lauter_feldkontakt,100,5,gemischte_rohwelt,gemischte_rohwelt:3;laute_oder_druckvolle_rohwelt:2,-0.436158,0.051477,0.080836,0.493774,0.68703,0.121316
lauter_feldkontakt->lauter_feldkontakt,400,4,gemischte_rohwelt,gemischte_rohwelt:3;laute_oder_druckvolle_rohwelt:1,-0.372986,0.062819,0.10579,0.50313,0.684484,0.123716
lauter_feldkontakt->normale_weltspannung,400,4,gemischte_rohwelt,gemischte_rohwelt:4,0.140365,0.083395,0.147248,0.44604,0.671511,0.111392
lauter_feldkontakt->offen_suchend,100,4,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:1,-1.423177,0.142167,0.271009,0.397766,0.63788,0.10283
randlastige_sinneslage->normale_weltspannung,400,4,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:2;gemischte_rohwelt:2,1.241929,0.100367,0.190405,0.416069,0.658797,0.105257
leise_duenn->leise_duenn,100,3,gemischte_rohwelt,gemischte_rohwelt:3,-0.880922,0.08833,0.166079,0.330315,0.641402,0.089226
randlastige_sinneslage->lauter_feldkontakt,200,3,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt:2;gemischte_rohwelt:1,0.010711,0.058877,0.09752,0.494537,0.687036,0.121606
ruhig_zentrumsnah->lauter_feldkontakt,100,3,gemischte_rohwelt,gemischte_rohwelt:3,-0.197378,0.096571,0.179046,0.483067,0.670388,0.119691
lauter_feldkontakt->offen_suchend,400,2,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1;gemischte_rohwelt:1,-1.327424,0.103975,0.185864,0.429943,0.648236,0.109048
leise_duenn->leise_duenn,200,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.033819,0.066283,0.115483,0.339242,0.641439,0.091021
randlastige_sinneslage->offen_suchend,400,2,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1;gemischte_rohwelt:1,-4.267127,0.128621,0.232227,0.404562,0.632229,0.104283
ruhig_zentrumsnah->lauter_feldkontakt,200,2,gemischte_rohwelt,gemischte_rohwelt:2,0.380055,0.068146,0.114977,0.480665,0.69236,0.11824
lauter_feldkontakt->offen_suchend,200,1,gemischte_rohwelt,gemischte_rohwelt:1,-1.850088,0.142529,0.276572,0.392424,0.634396,0.101641
leise_duenn->leise_duenn,400,1,gemischte_rohwelt,gemischte_rohwelt:1,-0.881995,0.066769,0.113483,0.351767,0.639904,0.093833
leise_duenn->normale_weltspannung,400,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,3.30557,0.061652,0.099347,0.370164,0.655924,0.096667
randlastige_sinneslage->lauter_feldkontakt,400,1,gemischte_rohwelt,gemischte_rohwelt:1,0.948937,0.055851,0.086714,0.477029,0.674264,0.118507
ruhig_zentrumsnah->normale_weltspannung,400,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-4.005409,0.076663,0.140327,0.446106,0.687012,0.111274
