worldlage_sequence,scale_presence,scale_count,occurrences_total,multiscale_profile,avg_delta_zentrum_over_scales,avg_delta_rand_over_scales,avg_delta_rekopplung_over_scales,avg_delta_strain_over_scales,passive_only,influences_action,outcome_100,occurrences_100,outcome_200,occurrences_200,outcome_400,occurrences_400
lauter_feldkontakt->normale_weltspannung,"100,200,400",3,43,skalenabhaengig_neutral_beruhigend,0.009454,-0.003657,0.000946,-0.001315,1,0,neutral,30,beruhigend,9,beruhigend,4
lauter_feldkontakt->lauter_feldkontakt,"100,200,400",3,24,skalenabhaengig_neutral_beruhigend,0.012377,-0.003568,0.001282,-0.001811,1,0,neutral,15,beruhigend,7,neutral,2
lauter_feldkontakt->offen_suchend,"100,200,400",3,22,skalenabhaengig_neutral_beruhigend,0.005,-0.002708,0.001183,-0.001592,1,0,neutral,12,beruhigend,8,beruhigend,2
ruhig_zentrumsnah->offen_suchend,"100,200,400",3,17,skalenabhaengig_neutral_beruhigend,0.008167,-0.002833,0.001209,-0.001673,1,0,neutral,10,beruhigend,5,beruhigend,2
offen_suchend->ruhig_zentrumsnah,"100,200,400",3,15,stabil_neutral,0.007222,-0.000417,0.000514,-0.000717,1,0,neutral,9,neutral,4,neutral,2
leise_duenn->ruhig_zentrumsnah,"100,200,400",3,13,stabil_neutral,0.005,0.0,0.000564,-0.000749,1,0,neutral,8,neutral,4,neutral,1
normale_weltspannung->leise_duenn,"100,200,400",3,9,stabil_neutral,0.003889,0.0,0.00074,-0.000953,1,0,neutral,6,neutral,2,neutral,1
randlastige_sinneslage->ueberstabil_mit_randreiz,"100,200,400",3,7,skalenabhaengig_neutral_beruhigend,0.0,-0.033333,0.000625,-0.000954,1,0,beruhigend,1,beruhigend,3,neutral,3
ueberstabil_mit_randreiz->randlastige_sinneslage,"100,200,400",3,7,stabil_beruhigend,0.0,-0.06,0.001137,-0.001737,1,0,beruhigend,1,beruhigend,3,beruhigend,3
ueberstabil_gemischt->ueberstabil_gemischt,"100,200,400",3,6,stabil_neutral,0.0,0.0,0.0,0.0,1,0,neutral,4,neutral,1,neutral,1
ueberstabil_gemischt->ruhig_zentrumsnah,"100,200,400",3,5,stabil_neutral,0.0,0.0,0.0,0.0,1,0,neutral,3,neutral,1,neutral,1
ruhig_zentrumsnah->lauter_feldkontakt,"100,200",2,18,stabil_neutral,0.010357,-0.001339,0.001112,-0.001563,1,0,neutral,14,neutral,4,-,0
lauter_feldkontakt->randlastige_sinneslage,"100,200",2,16,stabil_beruhigend,0.009584,-0.012084,0.001258,-0.001768,1,0,beruhigend,12,beruhigend,4,-,0
offen_suchend->lauter_feldkontakt,"100,200",2,15,skalenabhaengig_neutral_beruhigend,0.006058,-0.003654,0.001428,-0.001966,1,0,neutral,13,beruhigend,2,-,0
ruhig_zentrumsnah->randlastige_sinneslage,"100,200",2,11,stabil_beruhigend,0.0075,-0.0145,0.001298,-0.001819,1,0,beruhigend,6,beruhigend,5,-,0
lauter_feldkontakt->ruhig_zentrumsnah,"100,200",2,10,stabil_neutral,0.018611,0.0,0.000548,-0.00079,1,0,neutral,9,neutral,1,-,0
ruhig_zentrumsnah->leise_duenn,"100,200",2,9,stabil_neutral,0.006667,-0.001667,0.000729,-0.000968,1,0,neutral,6,neutral,3,-,0
offen_suchend->leise_duenn,"100,200",2,7,stabil_neutral,0.005,-0.000834,0.000839,-0.00112,1,0,neutral,6,neutral,1,-,0
leise_duenn->normale_weltspannung,"100,200",2,6,stabil_neutral,0.01,0.0,0.000808,-0.001111,1,0,neutral,4,neutral,2,-,0
ueberstabil_extrem_leise_scharf->ueberstabil_mit_randreiz,"200,400",2,6,stabil_beruhigend,0.0,-0.03,0.000675,-0.00103,1,0,-,0,beruhigend,3,beruhigend,3
ueberstabil_mit_randreiz->ueberstabil_extrem_leise_scharf,"200,400",2,6,stabil_neutral,0.0,0.0,0.0,0.0,1,0,-,0,neutral,3,neutral,3
randlastige_sinneslage->ruhig_zentrumsnah,"100,200",2,5,stabil_neutral,0.005,0.0,0.000512,-0.000723,1,0,neutral,2,neutral,3,-,0
leise_duenn->leise_duenn,"100,200",2,4,stabil_neutral,0.005,0.0,0.000783,-0.001002,1,0,neutral,3,neutral,1,-,0
ruhig_zentrumsnah->ueberstabil_gemischt,"100,200",2,4,stabil_neutral,0.0,0.0,0.0,0.0,1,0,neutral,3,neutral,1,-,0
ruhig_zentrumsnah->ueberstabil_extrem_leise_scharf,"200,400",2,2,stabil_neutral,0.0,0.0,4.5e-05,-7.2e-05,1,0,-,0,neutral,1,neutral,1
ueberstabil_extrem_leise_scharf->ruhig_zentrumsnah,"100,200",2,2,stabil_neutral,0.0,-0.0075,0.000249,-0.000371,1,0,neutral,1,neutral,1,-,0
ueberstabil_leise_scharf->ueberstabil_extrem_leise_scharf,100,1,7,stabil_neutral,0.0,0.0,0.0,0.0,1,0,neutral,7,-,0,-,0
leise_duenn->offen_suchend,100,1,6,stabil_neutral,0.006667,-0.003333,0.001064,-0.001429,1,0,neutral,6,-,0,-,0
randlastige_sinneslage->lauter_feldkontakt,100,1,5,stabil_neutral,0.018,-0.002,0.001542,-0.002167,1,0,neutral,5,-,0,-,0
randlastige_sinneslage->ueberstabil_leise_scharf,100,1,3,stabil_neutral,0.0,-0.006667,0.000123,-0.000185,1,0,neutral,3,-,0,-,0
ueberstabil_extrem_leise_scharf->randlastige_sinneslage,100,1,3,stabil_beruhigend,0.0,-0.053333,0.001292,-0.001968,1,0,beruhigend,3,-,0,-,0
ueberstabil_extrem_leise_scharf->ueberstabil_leise_scharf,100,1,3,stabil_neutral,0.0,-0.003333,0.000134,-0.000204,1,0,neutral,3,-,0,-,0
leise_duenn->leise_scharf_duenn,100,1,2,stabil_neutral,0.0,0.0,0.000637,-0.000869,1,0,neutral,2,-,0,-,0
leise_scharf_duenn->leise_duenn,100,1,2,stabil_neutral,0.005,0.0,0.000708,-0.000883,1,0,neutral,2,-,0,-,0
normale_weltspannung->leise_scharf_duenn,100,1,2,stabil_neutral,0.01,0.0,0.000531,-0.00069,1,0,neutral,2,-,0,-,0
lauter_feldkontakt->leise_duenn,100,1,1,stabil_neutral,0.0,0.0,0.000978,-0.001345,1,0,neutral,1,-,0,-,0
leise_duenn->randlastige_sinneslage,100,1,1,stabil_beruhigend,0.0,-0.01,0.000802,-0.001106,1,0,beruhigend,1,-,0,-,0
leise_scharf_duenn->normale_weltspannung,100,1,1,stabil_neutral,0.0,0.0,0.000354,-0.000491,1,0,neutral,1,-,0,-,0
leise_scharf_duenn->ruhig_zentrumsnah,100,1,1,stabil_neutral,0.01,0.0,0.000481,-0.000644,1,0,neutral,1,-,0,-,0
ruhig_zentrumsnah->ueberstabil_leise_scharf,100,1,1,stabil_neutral,0.0,0.0,0.000121,-0.000192,1,0,neutral,1,-,0,-,0
ueberstabil_extrem_leise_scharf->ueberstabil_gemischt,400,1,1,stabil_neutral,0.0,-0.0025,8.2e-05,-0.000124,1,0,-,0,-,0,neutral,1
