holdout_group,asset,world,source_file,scale,block_index,start_tick,end_tick,base_sequence,candidate_score,pre_raw_class,during_raw_class,post_raw_class,pre_move_pct,during_move_pct,post_move_pct,pre_range,during_range,post_range,pre_hoeren,during_hoeren,post_hoeren,pre_sicht,during_sicht,post_sicht,pre_druck,during_druck,post_druck,range_narrows_vs_pre,hearing_rises_vs_pre,pressure_rises_vs_pre,passive_only,influences_action,phase_role,compact_sensory_phase
HOLDOUT1,DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,49,4900,5000,normale_weltspannung->lauter_feldkontakt,0.388569,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.599401,-0.024823,-2.334244,0.183874,0.125464,0.203511,0.417213,0.478087,0.482805,0.674538,0.692507,0.694337,0.104354,0.118493,0.119398,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,400,24,9600,10000,lauter_feldkontakt->lauter_feldkontakt,0.386623,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,-0.241789,-0.41702,0.0,0.063027,0.062225,0.0,0.521503,0.566509,0.0,0.68719,0.690778,0.0,0.126459,0.137849,0.0,1,1,1,1,0,randnaher_kontaktdruck,1
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,200,49,9800,10000,lauter_feldkontakt->lauter_feldkontakt,0.374225,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,-0.424628,-0.284075,0.0,0.067147,0.061705,0.0,0.549736,0.554616,0.0,0.689186,0.692265,0.0,0.134037,0.135337,0.0,1,1,1,1,0,randnaher_kontaktdruck,1
CONTRAST,BTC,BTC_2025_5M_CONTRAST,data\kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,100,12,1200,1300,lauter_feldkontakt->lauter_feldkontakt,0.360185,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,0.012019,-0.342343,0.555902,0.068105,0.062296,0.106265,0.527,0.542439,0.49564,0.708107,0.695001,0.675746,0.129141,0.131329,0.121586,1,1,1,1,0,randnaher_kontaktdruck,1
HOLDOUT1,BTC,BTC_2025_5M,data\kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,100,12,1200,1300,lauter_feldkontakt->lauter_feldkontakt,0.360185,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,0.012019,-0.342343,0.555902,0.068105,0.062296,0.106265,0.527,0.542439,0.49564,0.708107,0.695001,0.675746,0.129141,0.131329,0.121586,1,1,1,1,0,randnaher_kontaktdruck,1
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,97,9700,9800,lauter_feldkontakt->lauter_feldkontakt,0.359524,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,0.292546,-0.424628,-0.466094,0.058343,0.067147,0.049782,0.60707,0.549736,0.596644,0.689394,0.689186,0.690352,0.146683,0.134037,0.1454,0,0,0,1,0,randnaher_kontaktdruck,0
CONTRAST,BTC,BTC_2025_5M_CONTRAST,data\kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,100,11,1100,1200,lauter_feldkontakt->lauter_feldkontakt,0.349855,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,0.407691,0.012019,-0.342343,0.083727,0.068105,0.062296,0.497594,0.527,0.542439,0.699699,0.708107,0.695001,0.121577,0.129141,0.131329,1,1,1,1,0,randnaher_kontaktdruck,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,55,5500,5600,lauter_feldkontakt->lauter_feldkontakt,0.345891,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.174497,1.142436,-0.41902,0.199552,0.152257,0.155877,0.460506,0.46924,0.440065,0.658603,0.68716,0.646143,0.115887,0.116231,0.111524,1,1,1,1,0,lauter_kontakt_bleibt_offen,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,92,9200,9300,offen_suchend->lauter_feldkontakt,0.339483,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.546806,-0.138477,-0.396275,0.210707,0.137057,0.193039,0.430852,0.472458,0.448609,0.63453,0.663197,0.647002,0.109616,0.115368,0.112911,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,57,5700,5800,normale_weltspannung->lauter_feldkontakt,0.33778,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.41902,1.536492,-0.468384,0.155877,0.14427,0.096048,0.440065,0.470208,0.421527,0.646143,0.669437,0.707729,0.111524,0.116888,0.104664,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
CONTRAST,SOL,SOL_2023_POS_EXP,data\kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,100,27,2700,2800,ruhig_zentrumsnah->lauter_feldkontakt,0.336146,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.136674,-0.273723,0.548948,0.156128,0.142896,0.192159,0.412725,0.474465,0.445046,0.690124,0.688736,0.699324,0.103869,0.119139,0.111379,1,1,1,1,0,zentrumskontakt_wird_aktiviert,1
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,77,7700,7800,ruhig_zentrumsnah->lauter_feldkontakt,0.335186,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.100503,1.24497,0.136629,0.117354,0.162303,0.170145,0.380721,0.476478,0.43287,0.696093,0.678039,0.677013,0.095969,0.118026,0.109327,0,1,1,1,0,zentrumskontakt_mit_hoeranstieg,0
HOLDOUT1,DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,77,7700,7800,ruhig_zentrumsnah->lauter_feldkontakt,0.335186,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.100503,1.24497,0.136629,0.117354,0.162303,0.170145,0.380721,0.476478,0.43287,0.696093,0.678039,0.677013,0.095969,0.118026,0.109327,0,1,1,1,0,zentrumskontakt_mit_hoeranstieg,0
CONTRAST,SOL,SOL_2023_NEG_STRESS,data\kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,100,21,2100,2200,lauter_feldkontakt->lauter_feldkontakt,0.333876,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,bewegungsreiche_rohwelt,1.072125,0.916104,3.153368,0.247424,0.174351,0.330714,0.470049,0.510955,0.440786,0.680752,0.674858,0.667162,0.116286,0.125712,0.111145,1,1,1,1,0,randnaher_kontaktdruck,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,50,5000,5100,normale_weltspannung->lauter_feldkontakt,0.332811,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.211454,-1.818503,-1.564467,0.118253,0.159591,0.235493,0.451107,0.462556,0.427474,0.682732,0.688461,0.638283,0.110881,0.115868,0.108313,0,1,1,1,0,offener_uebergang_zum_lauten_kontakt,0
HOLDOUT2,SOL,SOL_2023_ALT_A_FOLLOW,data\kontrolliert_2023_altseq_a_follow_10k_5m_SOLUSDT.csv,100,22,2200,2300,normale_weltspannung->lauter_feldkontakt,0.325518,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,1.823282,0.413223,0.731596,0.261434,0.208557,0.244543,0.387923,0.531606,0.467813,0.664999,0.676399,0.645539,0.099374,0.129368,0.11632,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,50,5000,5100,lauter_feldkontakt->lauter_feldkontakt,0.317975,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.024823,-2.334244,-1.550782,0.125464,0.203511,0.282565,0.478087,0.482805,0.481586,0.692507,0.694337,0.626473,0.118493,0.119398,0.120434,0,1,1,1,0,lauter_kontakt_bleibt_offen,0
HOLDOUT1,DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,50,5000,5100,lauter_feldkontakt->lauter_feldkontakt,0.317975,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.024823,-2.334244,-1.550782,0.125464,0.203511,0.282565,0.478087,0.482805,0.481586,0.692507,0.694337,0.626473,0.118493,0.119398,0.120434,0,1,1,1,0,lauter_kontakt_bleibt_offen,0
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,13,1300,1400,ruhig_zentrumsnah->lauter_feldkontakt,0.314235,gemischte_rohwelt,bewegungsreiche_rohwelt,gemischte_rohwelt,1.73579,3.027549,2.463355,0.218376,0.179161,0.244797,0.402707,0.477867,0.487822,0.681241,0.701914,0.665485,0.100827,0.116913,0.120965,1,1,1,1,0,zentrumskontakt_wird_aktiviert,1
HOLDOUT2,SOL,SOL_2025_ALT_A_FOLLOW,data\kontrolliert_2025_altseq_a_follow_10k_5m_SOLUSDT.csv,100,32,3200,3300,ruhig_zentrumsnah->normale_weltspannung,0.31347,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.155112,0.094569,-0.377919,0.15689,0.144339,0.186825,0.387999,0.45799,0.409289,0.683461,0.69137,0.665035,0.09695,0.111747,0.1028,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
CONTRAST,SOL,SOL_2025_STRESS,data\kontrolliert_2025_stress_10k_5m_SOLUSDT.csv,100,33,3300,3400,normale_weltspannung->lauter_feldkontakt,0.307792,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.180245,-0.976713,-2.252907,0.187897,0.186763,0.259269,0.447904,0.477061,0.4792,0.69949,0.703776,0.668593,0.110772,0.117016,0.119275,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,42,4200,4300,normale_weltspannung->lauter_feldkontakt,0.304434,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.57413,2.350413,-1.31225,0.214075,0.16294,0.236782,0.430077,0.479236,0.397609,0.670206,0.673327,0.666627,0.106879,0.118109,0.101147,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,200,27,5400,5600,lauter_feldkontakt->lauter_feldkontakt,0.303425,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-2.170345,2.33035,-0.41902,0.285469,0.175905,0.155877,0.468302,0.464873,0.440065,0.649915,0.672881,0.646143,0.116606,0.116059,0.111524,1,0,0,1,0,lauter_kontakt_bleibt_offen,0
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,34,3400,3500,normale_weltspannung->normale_weltspannung,0.302559,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.101303,-1.176312,0.677294,0.150636,0.150307,0.120477,0.446872,0.45214,0.4078,0.690861,0.692102,0.71203,0.111358,0.111922,0.100037,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,400,8,3200,3600,offen_suchend->normale_weltspannung,0.296384,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-2.613333,0.739321,0.122316,0.266431,0.151857,0.117548,0.395253,0.449009,0.46586,0.667393,0.691445,0.696628,0.100708,0.111085,0.114041,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,33,3300,3400,lauter_feldkontakt->normale_weltspannung,0.295157,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.362267,-0.101303,-1.176312,0.186008,0.150636,0.150307,0.489222,0.446872,0.45214,0.670785,0.690861,0.692102,0.121022,0.111358,0.111922,1,0,0,1,0,rueckbindung_in_normale_weltspannung,0
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,97,9700,9800,offen_suchend->normale_weltspannung,0.289542,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,2.619141,-0.74856,-1.005414,0.292849,0.175028,0.140524,0.440753,0.461316,0.424248,0.637328,0.66287,0.694789,0.112189,0.114867,0.107331,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,400,13,5200,5600,randlastige_sinneslage->lauter_feldkontakt,0.274216,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-1.564467,0.292344,-0.41902,0.235493,0.199337,0.155877,0.427474,0.463631,0.440065,0.638283,0.668765,0.646143,0.108313,0.11564,0.111524,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
HOLDOUT2,PAXG,PAXG_2024_5M,data\kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,200,49,9800,10000,lauter_feldkontakt->lauter_feldkontakt,0.267617,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,-0.34585,0.099157,0.0,0.061332,0.031926,0.0,0.497304,0.586549,0.0,0.666208,0.66759,0.0,0.126509,0.146238,0.0,1,1,1,1,0,randnaher_kontaktdruck,1
HOLDOUT2,XRP,XRP_2025_5M,data\kontrolliert_xrp_2025_5m_10k_XRPUSDT.csv,100,12,1200,1300,normale_weltspannung->lauter_feldkontakt,0.249479,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-1.243596,-1.255125,1.427785,0.228454,0.26135,0.272862,0.452906,0.489282,0.429383,0.687853,0.675585,0.686962,0.111705,0.120445,0.107013,0,1,1,1,0,offener_uebergang_zum_lauten_kontakt,0
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,200,26,5200,5400,offen_suchend->lauter_feldkontakt,0.245005,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-1.564467,-1.991595,1.174497,0.235493,0.22277,0.199552,0.427474,0.462389,0.460506,0.638283,0.664648,0.658603,0.108313,0.115221,0.115887,1,1,1,1,0,brueckenuebergang_zum_lauten_kontakt,1
