world,source,start_tick,end_tick,passive_role_near,rekopplung_level,carry_level,strain_level,sensory_level,visual_gap_level,hearing_gap_level,sensory_delta,rekopplung_delta,strain_delta_next,rekopplung_delta_next,preview_carry_next,preview,family,effect_class,passive_only,influences_action,raw_form,drift_pct,abs_drift_pct,avg_abs_return_pct,avg_range_pct,max_range_pct,volume_change_pct,direction_change_ratio,direction_persistence,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,perception_adapted_field_intake_pressure,mcm_feldwirkung_mcm_tension,tonale_unterform,visuelle_unterform,bewegungs_unterform,feldkontakt_unterform,mischlinien_signature,is_reference_target,signature_seen_in_reference,signature_strong_in_reference,reference_signature_count,reference_families,reference_previews,same_family_as_reference,same_preview_as_reference,semantic_binding
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1901,1994,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.007358,0.000297,0.0,0.0,0,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0,laute_oder_druckvolle_rohwelt,-4.06716,4.06716,0.21236,0.421081,1.164779,259.204207,0.467391,0.532609,0.111140,-0.002748,-0.003102,-0.000949,0.109828,0.109828,mittlerer_ton+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,mittlerer_ton+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,1,preview
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1201,1300,brueckennaehe,mid,low,low,high,low,mid,0.004672,0.001088,0.006996,-0.014111,1,dio_mcm_episode_0dgle71,dio_14wj,stabil,1,0,ruhige_enge_rohwelt,-0.148368,0.148368,0.034464,0.065285,0.296589,62.755856,0.183673,0.816327,0.059939,0.004225,0.008681,0.010415,0.096525,0.096525,laut+starker_tonwechsel,stabile_form,enge_range+wenig_wechsel+hohe_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+starker_tonwechsel|stabile_form|enge_range+wenig_wechsel+hohe_persistenz|mittlere_aufnahme+mittlere_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_1xx3u1e,0,0,none
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1501,1600,brueckennaehe,mid,low,mid,high,low,mid,0.001273,0.003394,0.010758,-0.013452,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0,gemischte_rohwelt,-0.099108,0.099108,0.036026,0.062412,0.148736,805.730897,0.265306,0.734694,-0.086518,-0.002794,-0.000462,0.003149,0.095190,0.095190,laut+starker_tonwechsel,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+starker_tonwechsel|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|mittlere_aufnahme+mittlere_feldspannung,0,1,0,1,dio_14wj,dio_mcm_episode_0ybr5e3,0,0,none
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1901,2000,mischrolle_brueckennaehe_entlastungsnaehe,mid,mid,mid,mid,mid,mid,0.009686,0.007345,-0.002006,-0.003098,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0,gemischte_rohwelt,0.099305,0.099305,0.044093,0.091282,0.297915,267.650728,0.27551,0.72449,-0.016057,0.002192,0.010196,0.006193,0.092939,0.092939,laut+starker_tonwechsel,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+starker_tonwechsel|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|mittlere_aufnahme+mittlere_feldspannung,0,1,0,1,dio_14wj,dio_mcm_episode_0ybr5e3,0,0,none
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4901,5000,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.005553,0.001564,0.00597,-0.015774,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0,ruhige_enge_rohwelt,0.099701,0.099701,0.020129,0.058782,0.199402,9.639777,0.05102,0.94898,0.093099,-0.001038,-0.011051,0.007568,0.100401,0.100401,leise+starker_tonwechsel,stabile_form,enge_range+wenig_wechsel+hohe_persistenz,starke_aufnahme+hohe_feldspannung,leise+starker_tonwechsel|stabile_form|enge_range+wenig_wechsel+hohe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0m9z,dio_mcm_episode_14coypf,0,0,none
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,8401,8500,brueckennaehe,high,high,mid,high,low,mid,0.003419,-0.00114,-0.005444,0.007167,1,dio_mcm_episode_1xx3u1e,dio_0l7p,stabil,1,0,ruhige_enge_rohwelt,0.099602,0.099602,0.033221,0.069254,0.199601,-95.826125,0.173469,0.826531,0.016123,0.000251,-0.009054,0.003803,0.103634,0.103634,leise+starker_tonwechsel,stabile_form,enge_range+wenig_wechsel+hohe_persistenz,starke_aufnahme+hohe_feldspannung,leise+starker_tonwechsel|stabile_form|enge_range+wenig_wechsel+hohe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0m9z,dio_mcm_episode_14coypf,0,0,none
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,high,0.0,0.0,-0.008249,0.013848,1,dio_mcm_episode_1ahj81f,dio_0m9z,stabil,1,0,gemischte_rohwelt,-0.243191,0.243191,0.067985,0.140117,0.376186,-85.759055,0.377551,0.622449,0.128687,-0.000667,-0.018111,-0.003958,0.109459,0.109459,leise+ruhiger_ton,stabile_form,mittlere_range+mittlerer_wechsel+mittlere_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|mittlere_range+mittlerer_wechsel+mittlere_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,0,none
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1201,1300,brueckennaehe,low,low,high,mid,mid,high,0.015428,0.008543,0.001154,-0.003325,1,dio_mcm_episode_0e7qvj1,dio_155c,stabil,1,0,laute_oder_druckvolle_rohwelt,-1.215278,1.215278,0.109064,0.238057,1.210951,144.940048,0.438776,0.561224,0.081257,0.005850,0.003060,0.004353,0.110223,0.110223,laut+starker_tonwechsel,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,laut+starker_tonwechsel|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,1,preview
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2301,2400,brueckennaehe,low,low,mid,mid,mid,mid,0.004466,-0.000305,0.001875,0.001567,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,laute_oder_druckvolle_rohwelt,-0.936037,0.936037,0.109085,0.226955,0.863284,-77.308363,0.44898,0.55102,0.041801,0.003515,-0.009506,-0.004626,0.109122,0.109122,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,1,1,family_and_preview
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4901,5000,brueckennaehe,high,high,mid,high,low,high,0.013123,0.007773,0.003089,-0.00641,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0,gemischte_rohwelt,-0.229035,0.229035,0.067212,0.11826,0.510743,41.161472,0.397959,0.602041,0.033061,-0.001560,-0.007404,0.001471,0.110468,0.110468,mittlerer_ton+bewegter_ton,stabile_form,mittlere_range+mittlerer_wechsel+mittlere_persistenz,starke_aufnahme+hohe_feldspannung,mittlerer_ton+bewegter_ton|stabile_form|mittlere_range+mittlerer_wechsel+mittlere_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0l7p,dio_mcm_episode_14coypf,0,0,none
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5201,5300,brueckennaehe,mid,mid,mid,high,low,high,0.014567,0.005594,0.006718,-0.011308,1,dio_mcm_episode_0b7nep9,dio_104t,stabil,1,0,gemischte_rohwelt,0.164384,0.164384,0.085185,0.160054,0.655141,-63.710823,0.438776,0.561224,0.056444,0.000020,-0.024025,0.000573,0.113922,0.113922,leise+bewegter_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+bewegter_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0m9z,dio_mcm_episode_14coypf,0,0,none
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5401,5500,brueckennaehe,mid,mid,high,mid,mid,high,0.008554,0.006316,-0.003558,0.003464,1,dio_mcm_episode_0b7nep9,dio_0m9z,stabil,1,0,laute_oder_druckvolle_rohwelt,1.458216,1.458216,0.11157,0.199496,0.607847,-66.140733,0.428571,0.571429,0.069382,0.005299,-0.012003,0.001968,0.115622,0.115622,leise+bewegter_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+bewegter_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0m9z,dio_mcm_episode_14coypf,1,0,family
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5701,5800,brueckennaehe,mid,mid,high,mid,low,high,0.001742,0.000102,-0.009682,0.005433,1,dio_mcm_episode_0b7nep9,dio_104t,stabil,1,0,gemischte_rohwelt,1.536492,1.536492,0.077345,0.144268,0.923746,-48.697567,0.408163,0.591837,0.009516,0.001301,-0.024639,-0.002638,0.117048,0.117048,leise+ruhiger_ton,stabile_form,mittlere_range+mittlerer_wechsel+mittlere_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|mittlere_range+mittlerer_wechsel+mittlere_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,1,0,family
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6101,6200,brueckennaehe,mid,mid,mid,mid,mid,mid,0.000356,0.002769,0.003126,-0.008727,1,dio_mcm_episode_0b7nep9,dio_155c,stabil,1,0,gemischte_rohwelt,-1.941209,1.941209,0.10862,0.217763,0.797569,-9.671819,0.44898,0.55102,0.055908,0.001538,-0.013720,-0.000787,0.101681,0.101681,leise+bewegter_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+bewegter_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0m9z,dio_mcm_episode_14coypf,0,0,none
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6601,6700,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.011104,0.005016,0.001042,0.001349,1,dio_mcm_episode_0b7nep9,dio_0m9z,stabil,1,0,laute_oder_druckvolle_rohwelt,0.215264,0.215264,0.115824,0.20828,0.677245,128.080676,0.408163,0.591837,0.062651,-0.002389,0.002571,0.003791,0.096891,0.096891,laut+starker_tonwechsel,stabile_form,weite_range+mittlerer_wechsel+mittlere_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+starker_tonwechsel|stabile_form|weite_range+mittlerer_wechsel+mittlere_persistenz|mittlere_aufnahme+mittlere_feldspannung,0,1,1,2,dio_0l7p,dio_mcm_episode_0b7nep9|dio_mcm_episode_0ykar6i,0,1,preview
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6701,6800,zentrumsnaehe,high,high,low,mid,mid,low,-0.000639,0.001349,-0.000405,-0.000372,0,dio_mcm_episode_0b7nep9,dio_155c,stabil,1,0,gemischte_rohwelt,0.781861,0.781861,0.103136,0.214717,0.642273,-51.761964,0.459184,0.540816,0.043749,0.000769,-0.010162,-0.000930,0.100051,0.100051,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,1,0,family
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6801,6900,zentrumsnaehe,high,high,low,mid,mid,low,-0.000995,-0.000372,-0.001839,0.00207,1,dio_mcm_episode_0ykar6i,dio_0l7p,stabil,1,0,gemischte_rohwelt,0.213468,0.213468,0.095888,0.182854,0.565854,-90.052283,0.479592,0.520408,0.007612,0.001101,-0.027352,-0.001480,0.099600,0.099600,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,0,0,none
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7501,7600,brueckennaehe,high,high,mid,high,low,high,0.010353,0.005847,-0.008993,0.004996,0,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0,gemischte_rohwelt,-0.490473,0.490473,0.06311,0.122908,0.618209,-41.954742,0.387755,0.612245,0.009417,0.001220,-0.025144,-0.008738,0.113767,0.113767,leise+ruhiger_ton,stabile_form,mittlere_range+mittlerer_wechsel+mittlere_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|mittlere_range+mittlerer_wechsel+mittlere_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,1,0,family
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,9701,9800,brueckennaehe,mid,high,mid,mid,low,high,0.010618,0.005955,-0.003419,0.005912,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,-0.557692,0.557692,0.095901,0.175019,0.479846,19.982686,0.428571,0.571429,0.038602,0.003069,-0.010582,-0.003847,0.115156,0.115156,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,1,1,family_and_preview
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,high,0.0,0.0,-0.006217,0.01186,1,dio_mcm_episode_1ahj81f,dio_0h9h,stabil,1,0,gemischte_rohwelt,-0.089107,0.089107,0.081957,0.156827,0.573549,-80.872774,0.5,0.5,0.077115,-0.001352,-0.023851,-0.006978,0.112201,0.112201,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,0,0,none
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,601,700,brueckennaehe,mid,low,low,high,low,high,0.009353,0.00538,0.033026,-0.042287,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,wechselhafte_rohwelt,0.207084,0.207084,0.070871,0.128861,0.349421,-38.292079,0.540816,0.459184,0.019006,-0.002563,-0.019117,-0.002407,0.108103,0.108103,leise+ruhiger_ton,stabile_form,mittlere_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|mittlere_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0l7p,dio_mcm_episode_1jwnjz4,0,0,none
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,901,1000,brueckennaehe,low,low,mid,mid,mid,mid,0.013485,0.013476,0.002953,-0.001481,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0,laute_oder_druckvolle_rohwelt,0.0,0.0,0.151421,0.287752,0.951568,18.209434,0.530612,0.469388,0.012360,0.005851,-0.000871,0.002640,0.105572,0.105572,laut+starker_tonwechsel,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,laut+starker_tonwechsel|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,1,preview
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1401,1500,brueckennaehe,mid,low,mid,mid,mid,low,0.019443,0.012202,0.007254,-0.009728,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,-0.742725,0.742725,0.10851,0.215787,0.909532,402.202094,0.459184,0.540816,0.029953,-0.001510,-0.001278,-0.000810,0.098547,0.098547,laut+bewegter_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+bewegter_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|mittlere_aufnahme+mittlere_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0b7nep9,1,0,family
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1801,1900,brueckennaehe,mid,mid,low,high,mid,low,0.006105,0.000242,0.011783,-0.011038,1,dio_mcm_episode_0e7qvj1,dio_155c,stabil,1,0,laute_oder_druckvolle_rohwelt,-0.531718,0.531718,0.112227,0.24954,0.715361,-22.823968,0.479592,0.520408,0.042788,-0.000975,0.001356,-0.001694,0.097169,0.097169,laut+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|mittlere_aufnahme+mittlere_feldspannung,0,1,0,1,dio_155c,dio_mcm_episode_0ykar6i,1,0,family
