world,scale,block_index,base_sequence,raw_class,score,delta_auditory,delta_visual,delta_pressure,delta_range,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_range_pct,price_move_pct,passive_only,influences_action
BTC_2025_5M_FULL,100,1,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.196121,0.088728,0.015344,0.018877,-0.073172,0.498222,0.663402,0.123508,0.142723,0.489327,1,0
BTC_2025_5M_STRESS,200,18,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.195289,0.037541,0.032726,0.005551,-0.119471,0.447035,0.680784,0.110182,0.096424,0.28064,1,0
BTC_2025_5M_TEST,100,18,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.188681,0.045923,0.01449,0.008869,-0.119399,0.455417,0.662548,0.1135,0.096496,-1.214102,1,0
BTC_2024_5M_FULL,400,19,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.187771,0.043183,0.028983,0.008784,-0.106821,0.452677,0.677041,0.113415,0.109074,1.267053,1,0
BTC_2024_5M_QUIET,100,35,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.186759,0.037805,0.034877,0.006926,-0.107151,0.447299,0.682935,0.111557,0.108744,1.002644,1,0
BTC_2024_5M_STRESS,100,14,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.186619,0.051576,0.046927,0.009017,-0.079099,0.46107,0.694985,0.113648,0.136796,1.488924,1,0
BTC_2025_5M_TEST,400,3,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.184482,0.050745,0.014805,0.00981,-0.109122,0.460239,0.662863,0.114441,0.106773,0.83719,1,0
BTC_2024_5M_STRESS,200,2,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.183271,0.063184,0.037936,0.011014,-0.071137,0.472678,0.685994,0.115645,0.144758,2.468863,1,0
BTC_2025_5M_FULL,100,69,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.179536,0.052308,0.028913,0.009463,-0.088852,0.461802,0.676971,0.114094,0.127043,-0.310115,1,0
BTC_2024_5M_FULL,200,46,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.179523,0.052769,0.024281,0.009553,-0.09292,0.462263,0.672339,0.114184,0.122975,0.228322,1,0
BTC_2024_5M_FULL,100,38,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.178876,0.040716,0.032529,0.00615,-0.099481,0.45021,0.680587,0.110781,0.116414,0.388118,1,0
BTC_2025_5M_FULL,100,17,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.178068,0.038303,0.025146,0.006096,-0.108523,0.447797,0.673204,0.110727,0.107372,-0.063914,1,0
BTC_2024_5M_TEST,200,8,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.177829,0.048097,0.026044,0.009164,-0.094524,0.457591,0.674102,0.113795,0.121371,0.51389,1,0
BTC_2025_5M_FULL,100,84,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.17702,0.050922,0.021382,0.00848,-0.096236,0.460416,0.66944,0.113111,0.119659,-0.145766,1,0
BTC_2024_5M_STRESS,100,22,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.176866,0.049203,0.043022,0.009302,-0.075339,0.458697,0.69108,0.113933,0.140556,-0.329175,1,0
BTC_2025_5M_FULL,100,86,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.176281,0.039779,0.039775,0.006982,-0.089745,0.449273,0.687833,0.111613,0.12615,-1.032997,1,0
BTC_2025_5M_STRESS,400,9,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.17364,0.032248,0.031748,0.005303,-0.104341,0.441742,0.679806,0.109934,0.111554,1.62441,1,0
BTC_2024_5M_FULL,100,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.172387,0.044124,0.023963,0.008671,-0.095629,0.453618,0.672021,0.113302,0.120266,0.409724,1,0
BTC_2025_BREAK,200,2,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.168599,0.034381,0.038105,0.005469,-0.090644,0.443875,0.686163,0.1101,0.125251,-0.868556,1,0
BTC_2024_5M_TEST,100,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.165281,0.034307,0.02868,0.006665,-0.095629,0.443801,0.676738,0.111296,0.120266,0.409724,1,0
BTC_2024_5M_QUIET,200,19,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.163091,0.039683,0.011336,0.007832,-0.10424,0.449177,0.659394,0.112463,0.111655,0.012936,1,0
BTC_2024_5M_FULL,100,87,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.163058,0.033399,0.03121,0.006613,-0.091836,0.442893,0.679268,0.111244,0.124059,-0.939142,1,0
BTC_2024_5M_FULL,100,79,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.15975,0.064881,0.006689,0.014242,-0.073938,0.474375,0.654747,0.118873,0.141957,-1.187817,1,0
BTC_2025_5M_FULL,400,8,ruhig_zentrumsnah->normale_weltspannung,bewegungsreiche_rohwelt,0.157777,0.036612,0.038954,0.006643,-0.075568,0.446106,0.687012,0.111274,0.140327,-4.005409,1,0
BTC_2024_5M_FULL,400,4,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.157556,0.036489,0.025794,0.006352,-0.088921,0.445983,0.673852,0.110983,0.126974,0.585075,1,0
BTC_2025_5M_FULL,400,17,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.156912,0.044157,0.027746,0.008045,-0.076964,0.453651,0.675804,0.112676,0.138931,-0.613492,1,0
BTC_2025_5M_FULL,200,1,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.146757,0.040443,0.023988,0.007086,-0.07524,0.449937,0.672046,0.111717,0.140655,2.37662,1,0
BTC_2025_5M_STRESS,200,4,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.141753,0.033327,0.028821,0.005564,-0.074041,0.442821,0.676879,0.110195,0.141854,-0.466354,1,0
BTC_2024_5M_STRESS,400,2,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.140219,0.040038,0.0409,0.006951,-0.05233,0.449532,0.688958,0.111582,0.163565,-0.201382,1,0
BTC_2025_5M_FULL,100,91,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.139033,0.031652,0.02239,0.006338,-0.078653,0.441146,0.670448,0.110969,0.137242,-1.354314,1,0
BTC_2025_5M_FULL,400,18,normale_weltspannung->normale_weltspannung,bewegungsreiche_rohwelt,0.137027,0.046125,0.017578,0.009749,-0.063575,0.455619,0.665636,0.11438,0.15232,-5.095294,1,0
BTC_2024_5M_FULL,100,19,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.135173,0.033134,0.029179,0.004888,-0.067972,0.442628,0.677237,0.109519,0.147923,-0.977317,1,0
BTC_2024_5M_QUIET,100,24,offen_suchend->offen_suchend,gemischte_rohwelt,0.134554,0.030656,0.013294,0.004997,-0.085607,0.44015,0.661352,0.109628,0.130288,-0.670205,1,0
BTC_2025_5M_TEST,200,7,randlastige_sinneslage->offen_suchend,gemischte_rohwelt,0.13452,0.03114,0.010828,0.005922,-0.08663,0.440634,0.658886,0.110553,0.129265,0.624203,1,0
BTC_2024_5M_FULL,200,30,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.132031,0.063668,0.016455,0.013342,-0.038566,0.473162,0.664513,0.117973,0.177329,-2.146196,1,0
BTC_2025_5M_FULL,100,38,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.129566,0.031476,0.035621,0.005084,-0.057385,0.44097,0.683679,0.109715,0.15851,1.096593,1,0
BTC_2024_5M_FULL,200,19,leise_duenn->normale_weltspannung,gemischte_rohwelt,0.127192,0.030599,0.013355,0.005545,-0.077693,0.440093,0.661413,0.110176,0.138202,-0.523987,1,0
BTC_2025_5M_STRESS,100,27,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.117744,0.030225,0.028016,0.004339,-0.055164,0.439719,0.676074,0.10897,0.160731,-0.200587,1,0
BTC_2025_5M_FULL,100,34,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.111447,0.032012,0.033871,0.006737,-0.038827,0.441506,0.681929,0.111368,0.177068,-0.601653,1,0
BTC_2025_5M_FULL,100,7,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.091422,0.038643,0.006033,0.005745,-0.041001,0.448137,0.654091,0.110376,0.174894,2.054552,1,0
