passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,event_id,world_group,world,run,family,event_pattern,event_score,pattern_marker,relative_pos,visual_label,tone_label,field_label,tick,timestamp_ms,symbol_family,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_auditory_listen_tendency,perception_visual_sharpness,perception_visual_distance_tendency,perception_raw_field_intake_pressure,perception_adapted_field_intake_pressure,mcm_feldwirkung_mcm_tension,mcm_rekopplung_quality,mcm_strain_quality
1,0,0,0,0,0,0,3,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559852,-,2,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,2293,1743944400000000,dio_17db,-0.180300,-0.183321,0.355576,0.271270,0.320167,0.712439,0.616282,0.383718,0.181756,0.154278,0.154278,0.686611,0.172584
1,0,0,0,0,0,0,3,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559852,-,3,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,2294,1743948000000000,dio_104t,-0.097960,0.210895,-0.055534,-0.284108,0.151535,0.803137,0.652748,0.347252,0.088431,0.076959,0.076959,0.716630,0.157644
1,0,0,0,0,0,0,3,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559852,-,4,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,2295,1743951600000000,dio_155c,-0.227967,-0.028609,-0.235577,-0.241171,0.237927,0.767062,0.657751,0.342249,0.138188,0.119426,0.119426,0.719712,0.153246
1,0,0,0,0,0,0,3,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559852,-,5,wechselnde_form,geordnetes_hinhoeren,offen,2296,1743955200000000,dio_104t,-0.299413,-0.099549,-0.163768,0.070705,0.124682,0.856581,0.637131,0.362869,0.085399,0.075028,0.075028,0.729126,0.141651
1,0,0,0,0,0,0,3,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559852,-,6,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,2297,1743958800000000,dio_1ewh,-0.213638,-0.290975,0.025443,0.268235,0.127416,0.808188,0.588361,0.411639,0.086004,0.074326,0.074326,0.710457,0.149897
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,-6,wechselnde_form,geordnetes_hinhoeren,offen,2285,1743915600000000,dio_1cic,-0.308642,-0.291026,0.064841,0.080418,0.071383,0.868904,0.557169,0.442831,0.065383,0.057011,0.057011,0.713023,0.142137
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,-5,wechselnde_form,geordnetes_hinhoeren,rekoppelt,2286,1743919200000000,dio_14wj,-0.212600,0.014160,0.007823,-0.072907,0.035158,0.915815,0.692296,0.307704,0.035823,0.032055,0.032055,0.734538,0.121495
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,-4,wechselnde_form,geordnetes_hinhoeren,rekoppelt,2287,1743922800000000,dio_14wj,-0.349589,0.056985,0.095810,0.000000,0.055570,0.907086,0.646636,0.353364,0.054353,0.048303,0.048303,0.735834,0.121986
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,-3,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,2288,1743926400000000,dio_06jk,-0.000403,-0.000084,0.283853,0.177870,0.239340,0.790992,0.716125,0.283875,0.132716,0.115984,0.115984,0.705915,0.145885
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,-2,stabile_scharfe_form,geordnetes_hinhoeren,rekoppelt,2289,1743930000000000,dio_0kx9,0.182834,0.155819,0.049479,-0.056942,0.052614,0.920762,0.754051,0.245949,0.037269,0.033608,0.033608,0.734258,0.107937
