world,family,baseline_role,observed_role,role_state,tick,timestamp_ms,passive_mcm_effect_class,hoeren_energy_tone,hoeren_energy_shift,sehen_form_stability,sehen_form_change,rezeptor_field_intake_pressure,perception_auditory_loudness,mcm_feldwirkung_mcm_tension,mcm_feldwirkung_mcm_coherence,mcm_rekopplung_quality,mcm_carry_quality,mcm_strain_quality,raw_window_rows,raw_return,raw_range_ratio,raw_body_ratio,raw_volume_to_world,raw_direction_consistency
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,287,1750775700000000,stabil,-0.34218,-0.323851,-0.294168,-0.07903,0.167728,0.334482,0.167728,0.514973,0.685955,0.497667,0.162734,13,0.00909533,0.0124974,0.00165564,1.39683056,0.0
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,289,1750776300000000,tragend_unruhig,0.086218,0.226226,-0.317482,-0.476724,0.090043,0.145021,0.090043,0.497249,0.67444,0.485164,0.163188,13,0.00256162,0.01038493,0.00172017,1.39520571,0.333333
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,291,1750776900000000,stabil,-0.090421,-0.145414,-0.129724,-0.000332,0.061746,0.113518,0.061746,0.653117,0.712407,0.52241,0.11968,13,-0.00413109,0.00963922,0.00151473,1.2566698,0.333333
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,292,1750777200000000,tragend_unruhig,-0.095936,0.087326,-0.198072,0.411992,0.063386,0.09232,0.063386,0.506039,0.691357,0.507097,0.144313,13,-0.00420487,0.00965051,0.00151651,1.16283545,0.333333
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,295,1750778100000000,stabil,-0.090772,-0.036249,-0.092525,-0.188448,0.044031,0.067872,0.044031,0.578317,0.720671,0.534782,0.108899,13,-0.0093593,0.01438304,0.00156165,1.1844759,0.666667
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,299,1750779300000000,stabil,0.133272,-0.026994,0.163848,-0.241949,0.052124,0.088635,0.052124,0.654464,0.722341,0.542514,0.114877,13,-0.00227602,0.01406994,0.00155979,1.05124352,0.333333
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,304,1750780800000000,stabil,-0.24756,-0.127449,0.315282,0.180876,0.097692,0.197113,0.097692,0.676698,0.689675,0.49166,0.141513,13,0.00117533,0.00961007,0.00160079,0.86472304,0.0
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,311,1750782900000000,stabil,-0.280017,-0.453801,-0.338541,0.178205,0.174768,0.353006,0.174768,0.48457,0.677603,0.494975,0.176974,13,0.0116416,0.01974915,0.00296371,1.36243763,0.166667
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,323,1750786500000000,tragend_unruhig,-0.103502,0.123728,-0.23589,0.483527,0.074936,0.111997,0.074936,0.469642,0.683583,0.506328,0.160862,13,-0.01420183,0.01850335,0.00213763,1.00504487,0.166667
positive recovery 2025 5m 1k,dio_1uof,gemischte_nachbarschaft,spannungsnahe_belastung,zu_duenn,326,1750787400000000,tragend_unruhig,0.042186,0.022745,0.030145,-0.404137,0.036174,0.034021,0.036174,0.519762,0.657498,0.43862,0.170824,13,-0.00842018,0.01207813,0.00198559,0.97532193,0.166667
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,337,1750790700000000,stabil,0.29378,0.137433,-0.263035,0.211969,0.116827,0.228114,0.116827,0.597076,0.686841,0.494554,0.151138,13,-0.00788109,0.01009333,0.00168045,0.7526126,0.090909
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,352,1750795200000000,stabil,-0.279824,-0.478058,-0.34366,-0.101512,0.181638,0.363082,0.181638,0.460348,0.687491,0.503835,0.165829,13,0.00369184,0.00919476,0.0016557,0.57411552,0.166667
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,374,1750801800000000,tragend_unruhig,0.212291,-0.058893,-0.113814,-0.306087,0.080546,0.147864,0.080546,0.560835,0.688103,0.512946,0.160337,13,0.00242081,0.00809241,0.00131415,0.35100988,0.090909
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,382,1750804200000000,stabil,-0.095306,-0.346217,0.110516,-0.052967,0.095203,0.200689,0.095203,0.716511,0.707617,0.512969,0.123436,13,-0.00288838,0.00790867,0.00113208,0.31357247,0.0
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,383,1750804500000000,stabil,-0.2391,-0.16833,0.123915,-0.02661,0.099886,0.209376,0.099886,0.75696,0.713276,0.526004,0.123746,13,-0.00405749,0.00701465,0.00121672,0.31070187,0.0
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,405,1750811100000000,stabil,-0.387728,-0.327384,-0.169457,0.007676,0.176824,0.362383,0.176824,0.555443,0.694133,0.513517,0.161009,13,0.00295188,0.00885563,0.00171093,0.7049903,0.0
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,408,1750812000000000,stabil,-0.280373,-0.230521,0.33871,0.209997,0.123165,0.259435,0.123165,0.788197,0.696908,0.520379,0.154273,13,0.00206058,0.00947867,0.00151109,0.53292019,0.166667
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,417,1750814700000000,stabil,-0.261264,-0.191089,0.309688,0.207216,0.112158,0.23179,0.112158,0.762253,0.703265,0.529481,0.147038,13,0.00371517,0.00915033,0.00146596,0.43020779,0.166667
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,422,1750816200000000,tragend_unruhig,-0.362709,-0.403662,-0.093171,-0.065924,0.178434,0.379909,0.178434,0.506699,0.680788,0.505384,0.179134,13,0.00431832,0.0125437,0.00157653,0.7444496,0.166667
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,432,1750819200000000,stabil,-0.174088,0.031393,0.049435,-0.026408,0.060843,0.114156,0.060843,0.650369,0.718774,0.541383,0.124263,13,-0.00020544,0.0088338,0.00132744,0.73436963,0.5
positive recovery 2025 5m 1k,dio_0tay,kohaerente_bruecke,uebergang_oeffnung,gekippt,449,1750824300000000,stabil,0.081481,0.275541,0.542562,0.033879,0.080656,0.162986,0.080656,0.722945,0.696261,0.493469,0.135501,13,-0.00493286,0.00822143,0.00091174,0.46964599,0.636364
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,456,1750826400000000,stabil,-0.047064,-0.164764,0.04366,0.131022,0.054589,0.096498,0.054589,0.67492,0.716682,0.544187,0.129724,13,0.00103135,0.00646315,0.00094673,0.46292003,0.090909
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,466,1750829400000000,stabil,-0.079331,-0.170516,-0.000873,0.026099,0.062194,0.117629,0.062194,0.68472,0.724591,0.551861,0.120829,13,-0.00013753,0.00481364,0.00108439,0.27291127,0.090909
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,472,1750831200000000,stabil,0.2041,0.286844,-0.33755,-0.058119,0.124077,0.238853,0.124077,0.568589,0.692969,0.501873,0.147456,13,0.00675024,0.0082656,0.00101201,0.34483425,0.272727
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,473,1750831500000000,stabil,-0.143873,-0.284119,0.109738,0.171996,0.097888,0.202776,0.097888,0.702011,0.704858,0.531943,0.146381,13,0.00687853,0.00894208,0.00102649,0.39850921,0.454545
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,483,1750834500000000,stabil,-0.32175,-0.340205,-0.276609,-0.028844,0.166689,0.329501,0.166689,0.515654,0.697894,0.519674,0.158649,13,0.00555479,0.00569195,0.00084931,0.5508878,0.090909
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,487,1750835700000000,stabil,0.040091,0.12941,-0.177511,0.199027,0.050421,0.077605,0.050421,0.596553,0.707762,0.512763,0.117533,13,0.00539728,0.01017968,0.00138217,0.95085338,0.0
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,491,1750836900000000,tragend_unruhig,-0.144444,-0.151552,-0.22086,-0.345556,0.086704,0.147429,0.086704,0.49484,0.688458,0.514678,0.160161,13,0.00273392,0.01018386,0.00150891,1.03173329,0.166667
positive recovery 2025 5m 1k,dio_0tay,kohaerente_bruecke,uebergang_oeffnung,gekippt,505,1750841100000000,stabil,0.0683,0.313379,0.525411,0.036295,0.084503,0.171233,0.084503,0.702794,0.698128,0.502645,0.138894,13,-0.00320666,0.01275841,0.00139603,0.6511475,0.4
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,538,1750851000000000,stabil,-0.144748,0.045112,-0.118173,0.04691,0.057759,0.102901,0.057759,0.615596,0.706784,0.517645,0.124793,13,0.00377462,0.0083728,0.00123533,0.59742456,0.0
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,587,1750865700000000,tragend_unruhig,-0.077183,-0.07856,-0.299313,0.457014,0.0635,0.077761,0.0635,0.504978,0.69277,0.52212,0.15542,13,-0.01043526,0.01743787,0.00248735,1.7365291,0.166667
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,589,1750866300000000,tragend_unruhig,-0.174598,-0.054118,-0.336233,0.46499,0.08357,0.123997,0.08357,0.519895,0.69429,0.526215,0.15772,13,-0.008481,0.01468662,0.0022807,1.61335267,0.333333
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,601,1750869900000000,stabil,0.076094,0.126943,0.424756,-0.022412,0.056861,0.097451,0.056861,0.635392,0.721558,0.551464,0.125186,13,0.00013903,0.01007994,0.0014759,0.70983342,0.333333
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,603,1750870500000000,stabil,-0.366614,-0.376988,-0.281771,0.066498,0.18505,0.370971,0.18505,0.476705,0.686689,0.510705,0.174307,13,0.00228992,0.0121435,0.00157999,0.71213548,0.5
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,617,1750874700000000,stabil,0.34596,0.07078,-0.146101,-0.171676,0.112404,0.230384,0.112404,0.664794,0.691448,0.509558,0.153861,13,-0.00423435,0.00784395,0.00097182,0.66938615,0.166667
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,619,1750875300000000,stabil,-0.309716,-0.419532,-0.290247,0.053178,0.178083,0.355839,0.178083,0.486477,0.695087,0.519634,0.163921,13,-0.0017401,0.00654277,0.00084596,0.66782824,0.0
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,626,1750877400000000,stabil,-0.357164,-0.344634,-0.203844,0.130207,0.170877,0.351902,0.170877,0.546593,0.694675,0.523238,0.16578,13,0.00319866,0.00869202,0.0009949,0.57663081,0.166667
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,660,1750887600000000,stabil,-0.366988,-0.25817,-0.306927,-0.181052,0.159477,0.321284,0.159477,0.553735,0.695975,0.527604,0.166564,13,-0.00826902,0.01068082,0.00152659,0.37325033,0.0
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,665,1750889100000000,stabil,0.277052,-0.273725,0.02256,0.126629,0.128111,0.275654,0.128111,0.713974,0.691529,0.522388,0.167083,13,-0.0049948,0.00839403,0.00098188,0.31085482,0.333333
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,666,1750889400000000,stabil,-0.227314,-0.185434,-0.063601,0.047568,0.099993,0.209724,0.099993,0.694984,0.715032,0.544333,0.136226,13,-0.00699252,0.00858488,0.00083612,0.30738248,0.454545
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,679,1750893300000000,stabil,-0.370586,-0.381899,-0.263819,0.184908,0.180636,0.375338,0.180636,0.550841,0.687136,0.521479,0.179796,13,-0.00048804,0.00822701,0.00128715,0.46281423,0.5
positive recovery 2025 5m 1k,dio_0tay,kohaerente_bruecke,uebergang_oeffnung,gekippt,683,1750894500000000,stabil,-0.215644,-0.024901,0.066074,0.080113,0.068285,0.135532,0.068285,0.699171,0.707003,0.514785,0.130648,13,0.00230463,0.00956771,0.00126782,0.69122762,0.5
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,696,1750898400000000,stabil,-0.254795,-0.456168,-0.235388,-0.163548,0.163504,0.339372,0.163504,0.51032,0.695433,0.528329,0.167715,13,0.00466801,0.00654915,0.00115227,0.33566828,0.0
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,713,1750903500000000,stabil,0.318623,0.085847,-0.211945,0.031067,0.110918,0.220857,0.110918,0.65173,0.704202,0.52195,0.139143,13,0.00310602,0.01270017,0.00157159,0.80955355,0.0
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,714,1750903800000000,stabil,0.014206,-0.147707,0.582001,-0.185053,0.045735,0.070276,0.045735,0.674013,0.709791,0.527417,0.125014,13,-0.00020631,0.00866515,0.00130665,0.66271817,0.0
positive recovery 2025 5m 1k,dio_06s7,stabilisierende_rueckbindung,stabilisierende_rueckbindung,stabil,730,1750908600000000,stabil,0.03628,0.154595,0.344858,-0.089097,0.050502,0.085972,0.050502,0.642115,0.72413,0.554277,0.122155,13,-0.00273411,0.01585783,0.00228193,1.28087892,0.166667
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,737,1750910700000000,stabil,-0.213056,-0.291278,0.280602,0.002407,0.119134,0.245909,0.119134,0.753658,0.71834,0.548288,0.137942,13,-0.00573927,0.00936048,0.00103538,0.44693727,0.333333
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,742,1750912200000000,stabil,0.132368,0.348569,-0.198668,0.156711,0.109574,0.223172,0.109574,0.582406,0.701656,0.522001,0.143546,13,-0.00274273,0.00754251,0.0007648,0.4498391,0.5
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,743,1750912500000000,stabil,0.305032,0.253621,-0.230333,-0.05262,0.142115,0.28344,0.142115,0.574533,0.701961,0.52339,0.14898,13,-0.00431773,0.00753889,0.00081715,0.45933648,0.5
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,750,1750914600000000,stabil,0.209154,0.28794,-0.060035,0.073588,0.115192,0.242244,0.115192,0.658465,0.71465,0.539738,0.134807,13,-0.0083843,0.01168305,0.00127932,0.87473896,0.0
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,758,1750917000000000,stabil,-0.281737,-0.268413,0.134704,0.211156,0.129516,0.276141,0.129516,0.73512,0.700481,0.537805,0.16215,13,-0.00515606,0.00989963,0.00110525,1.03048231,0.333333
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,766,1750919400000000,stabil,0.070528,0.138577,-0.143986,0.144426,0.056791,0.099108,0.056791,0.627514,0.716548,0.53324,0.118517,13,0.00325507,0.00664866,0.0008737,0.45844312,0.166667
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,777,1750922700000000,tragend_unruhig,-0.137728,-0.113923,-0.072073,-0.38219,0.072956,0.12773,0.072956,0.530351,0.695178,0.529531,0.158625,13,0.00407205,0.00973152,0.0012317,0.5209408,0.5
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,779,1750923300000000,stabil,-0.032839,0.110664,-0.156356,0.151323,0.04411,0.065526,0.04411,0.615857,0.722418,0.542357,0.112447,13,0.00303763,0.00828443,0.00120018,0.53572655,0.333333
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,780,1750923600000000,stabil,-0.31655,-0.362457,-0.311072,-0.010625,0.171201,0.335831,0.171201,0.496647,0.701095,0.53042,0.162047,13,0.00275995,0.00827986,0.00117829,0.47485961,0.333333
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,782,1750924200000000,stabil,-0.230098,-0.487754,-0.280727,0.06037,0.168328,0.338314,0.168328,0.490495,0.703151,0.535069,0.159645,13,0.00192864,0.00571704,0.0013935,0.46388578,0.166667
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,793,1750927500000000,stabil,-0.256001,-0.253382,0.47719,0.089426,0.124045,0.254901,0.124045,0.804148,0.717124,0.550829,0.143335,13,-0.0082565,0.01252236,0.00136021,0.58629454,0.636364
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,801,1750929900000000,stabil,-0.327148,0.0,0.117618,-0.042645,0.092205,0.189746,0.092205,0.70896,0.722972,0.555415,0.129336,13,-0.00717835,0.01049144,0.00089729,0.86836482,0.5
positive recovery 2025 5m 1k,dio_1r55,uebergang_oeffnung,spannungsnahe_belastung,zu_duenn,806,1750931400000000,stabil,-0.314532,-0.267481,0.013674,-0.045233,0.143689,0.294771,0.143689,0.626978,0.69238,0.482355,0.142902,13,-0.00055502,0.00721521,0.00061372,0.72464294,0.5
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,809,1750932300000000,stabil,0.146535,-0.060962,-0.019416,0.270121,0.061103,0.110594,0.061103,0.625071,0.714814,0.539616,0.127435,13,-0.00229103,0.00527631,0.00066755,0.59254118,0.333333
positive recovery 2025 5m 1k,dio_17ct,kohaerente_bruecke,uebergang_oeffnung,gekippt,813,1750933500000000,stabil,-0.188074,-0.275541,0.06162,0.103369,0.106275,0.22481,0.106275,0.697631,0.715444,0.550644,0.14228,13,-0.00423817,0.0070173,0.00074288,0.55485523,0.5
positive recovery 2025 5m 1k,dio_0tay,kohaerente_bruecke,uebergang_oeffnung,gekippt,816,1750934400000000,stabil,0.200405,-0.088662,0.241518,0.05582,0.07623,0.153473,0.07623,0.760135,0.709478,0.522563,0.132563,13,-0.00187748,0.00702316,0.00095746,0.53925213,0.333333
positive recovery 2025 5m 1k,dio_1uof,gemischte_nachbarschaft,spannungsnahe_belastung,zu_duenn,837,1750940700000000,tragend_unruhig,0.041441,-0.013956,-0.098673,0.462096,0.035274,0.029897,0.035274,0.485402,0.679916,0.48332,0.147924,13,-0.00570514,0.00827941,0.00140755,0.81873219,0.0
positive recovery 2025 5m 1k,dio_0oc3,spannungsnahe_belastung,spannungsnahe_belastung,stabil,839,1750941300000000,stabil,-0.388189,-0.276764,-0.318672,0.01573,0.174458,0.34139,0.174458,0.502805,0.697557,0.531021,0.170895,13,-0.00341107,0.00821441,0.00136014,0.87804304,0.166667
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,851,1750944900000000,stabil,0.28362,0.159936,-0.336995,0.109602,0.120026,0.231673,0.120026,0.604828,0.704387,0.532694,0.150955,13,-0.00419551,0.01293616,0.00181268,1.39881933,0.0
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,860,1750947600000000,stabil,-0.120612,0.035434,-0.325906,0.274991,0.064154,0.084837,0.064154,0.52405,0.704178,0.535957,0.147598,13,0.00356494,0.01649657,0.00281754,1.46800464,0.333333
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,865,1750949100000000,stabil,-0.110625,0.052481,0.242767,-0.011555,0.052397,0.086204,0.052397,0.63141,0.72169,0.548055,0.119349,13,0.01073143,0.01595594,0.00202029,0.91434662,0.166667
positive recovery 2025 5m 1k,dio_1kpz,stabilisierende_rueckbindung,uebergang_oeffnung,gekippt,871,1750950900000000,stabil,-0.088941,-0.032634,-0.191181,0.179719,0.046815,0.065292,0.046815,0.563905,0.7208,0.54722,0.119748,13,-0.00496087,0.0156512,0.00224126,1.06151467,0.0
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,877,1750952700000000,stabil,-0.187956,0.21588,-0.045654,0.269862,0.099442,0.199684,0.099442,0.657187,0.710838,0.543627,0.142672,13,-0.00669083,0.01400892,0.00220347,1.08418428,0.166667
positive recovery 2025 5m 1k,dio_1lsu,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,901,1750959900000000,stabil,0.129408,0.312449,-0.119535,0.178464,0.099558,0.206285,0.099558,0.634254,0.71569,0.54711,0.137137,13,-0.00252295,0.00953115,0.00167119,0.87576563,0.333333
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,902,1750960200000000,stabil,0.133361,0.037996,-0.323644,-0.378427,0.068318,0.093308,0.068318,0.534951,0.70406,0.53792,0.148969,13,0.0011982,0.0074711,0.00139338,0.82528334,0.166667
positive recovery 2025 5m 1k,dio_00ja,gemischte_nachbarschaft,uebergang_oeffnung,gekippt,907,1750961700000000,tragend_unruhig,-0.183455,-0.024688,-0.110297,-0.37431,0.068787,0.116773,0.068787,0.547175,0.70335,0.540316,0.149699,13,-0.00387133,0.01133244,0.00172179,0.93155959,0.166667
