source,world,data_file,pair,events,tick_min,tick_mid,tick_max,chart_zone,dominant_movement,typology,reference_state,main_return_pct,main_range_pct,before_return_pct,after_return_pct,pressure_delta_abs_avg,rekopplung_delta_abs_avg,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
LONG_2025_15M,LONG2025_15M_BTC_QUIET_4000,data\kontrolliert_long_btc_2025_15m_quiet_4000.csv,183drjy->1t5bcxp,27,738,2654,3822,gerichtete_uebergangsbewegung,rekopplungs_uebergang,gerichtete_bewegung_mit_rekopplung,known_reference_type,-4.169846,10.629993,0.096138,0.961394,0.049909,0.018408,Richtung laeuft und koppelt im Feld wieder an.,1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_BTC_QUIET_4000,data\kontrolliert_long_btc_2025_5m_quiet_4000.csv,183drjy->1t5bcxp,14,943,1900,3444,gerichtete_uebergangsbewegung,rekopplungs_uebergang,gerichtete_bewegung_mit_rekopplung,known_reference_type,1.593614,5.054458,0.182289,-0.37932,0.056887,0.017738,Richtung laeuft und koppelt im Feld wieder an.,1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_BTC_QUIET_4000,data\kontrolliert_long_btc_2025_5m_quiet_4000.csv,1t5bcxp->183drjy,16,940,2118,3446,gerichtete_uebergangsbewegung,rekopplungs_uebergang,gerichtete_bewegung_mit_rekopplung,known_reference_type,1.703952,5.055021,0.186113,-0.422035,0.050822,0.022635,Richtung laeuft und koppelt im Feld wieder an.,1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_BTC_STRESS_4000,data\kontrolliert_long_btc_2024_15m_stress_4000.csv,183drjy->1t5bcxp,12,524,1333,3149,expansion_getragen,druck_uebergang,getragene_expansion,known_reference_type,30.262088,36.633409,0.099987,0.340858,0.06968,0.025041,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_BTC_STRESS_4000,data\kontrolliert_long_btc_2024_15m_stress_4000.csv,1t5bcxp->183drjy,16,441,2289,3619,expansion_getragen,rekopplungs_uebergang,getragene_expansion,known_reference_type,31.706961,37.083211,0.240682,-0.186658,0.060054,0.024454,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_SOL_STRESS_4000,data\kontrolliert_long_sol_2024_15m_stress_4000.csv,1t5bcxp->183drjy,7,763,1566,1602,expansion_getragen,rekopplungs_uebergang,getragene_expansion,known_reference_type,13.901137,36.853098,0.489701,3.185059,0.0412,0.020557,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_BTC_STRESS_4000,data\kontrolliert_long_btc_2025_1h_stress_4000.csv,183drjy->1t5bcxp,10,1236,1901,2768,expansion_getragen,bewegungsbruch_zone,getragene_expansion,known_reference_type,18.94883,32.324571,-0.510016,5.495128,0.073479,0.019872,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_BTC_STRESS_4000,data\kontrolliert_long_btc_2025_1h_stress_4000.csv,1t5bcxp->183drjy,15,1177,2048,2804,expansion_getragen,rekopplungs_uebergang,getragene_expansion,known_reference_type,25.458857,33.114433,0.238935,1.551693,0.054113,0.018745,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_BTC_QUIET_4000,data\kontrolliert_long_btc_2024_5m_quiet_4000.csv,1t5bcxp->183drjy,29,1147,2761,3872,konsolidierung_mit_spannung,rekopplungs_uebergang,konsolidierung_mit_rekopplung,known_reference_type,0.013527,5.812442,-0.075189,0.050774,0.069053,0.023049,Seitwaerts-/Ruhefenster traegt Rekopplung statt reiner Ruhe.,1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_BTC_QUIET_4000,data\kontrolliert_long_btc_2024_15m_quiet_4000.csv,183drjy->1t5bcxp,30,199,2582,3845,weite_volatilitaetszone,druck_uebergang,weite_volatilitaetszone,new_or_extended_type,5.734365,23.677599,-0.390588,-0.39317,0.054731,0.023397,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_BTC_QUIET_4000,data\kontrolliert_long_btc_2024_15m_quiet_4000.csv,1t5bcxp->183drjy,33,206,2598,3867,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,5.556686,23.680007,-0.489948,0.277877,0.063113,0.023125,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_SOL_STRESS_4000,data\kontrolliert_long_sol_2024_15m_stress_4000.csv,183drjy->1t5bcxp,5,755,779,1599,weite_volatilitaetszone,bewegungsbruch_zone,weite_volatilitaetszone,new_or_extended_type,12.701706,36.606731,1.079528,1.45224,0.040544,0.020861,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_BTC_STRESS_4000,data\kontrolliert_long_btc_2024_5m_stress_4000.csv,183drjy->1t5bcxp,16,268,794,3972,weite_volatilitaetszone,bewegungsbruch_zone,weite_volatilitaetszone,new_or_extended_type,-10.489213,31.230536,-0.544047,-0.09565,0.061279,0.011611,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_BTC_STRESS_4000,data\kontrolliert_long_btc_2024_5m_stress_4000.csv,1t5bcxp->183drjy,19,269,1977,3975,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,-10.538202,31.226834,-0.457119,0.033912,0.051792,0.015961,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_SOL_QUIET_4000,data\kontrolliert_long_sol_2024_5m_quiet_4000.csv,183drjy->1t5bcxp,19,2023,2863,3895,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,1.692088,8.508103,0.40079,-0.357394,0.042525,0.013143,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_SOL_QUIET_4000,data\kontrolliert_long_sol_2024_5m_quiet_4000.csv,1t5bcxp->183drjy,22,1995,2751,3898,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,2.106901,8.547315,0.717386,-0.545167,0.042389,0.016636,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_15M,LONG2025_15M_BTC_STRESS_4000,data\kontrolliert_long_btc_2025_15m_stress_4000.csv,183drjy->1t5bcxp,12,896,1231,3025,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,-7.449022,22.072909,-0.094667,6.049909,0.040138,0.014003,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_15M,LONG2025_15M_SOL_QUIET_4000,data\kontrolliert_long_sol_2025_15m_quiet_4000.csv,183drjy->1t5bcxp,21,442,2896,3921,weite_volatilitaetszone,bewegungsbruch_zone,weite_volatilitaetszone,new_or_extended_type,5.812744,27.730819,2.931138,-1.401008,0.0599,0.019492,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_15M,LONG2025_15M_SOL_QUIET_4000,data\kontrolliert_long_sol_2025_15m_quiet_4000.csv,1t5bcxp->183drjy,22,440,2900,3969,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,3.89161,27.848515,2.365994,2.432127,0.055022,0.02195,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_SOL_QUIET_4000,data\kontrolliert_long_sol_2025_5m_quiet_4000.csv,183drjy->1t5bcxp,11,1792,2454,3653,weite_volatilitaetszone,bewegungsbruch_zone,weite_volatilitaetszone,new_or_extended_type,-1.888056,8.422603,1.096521,-0.661935,0.040978,0.014469,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_SOL_QUIET_4000,data\kontrolliert_long_sol_2025_5m_quiet_4000.csv,1t5bcxp->183drjy,13,1787,2459,3643,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,-1.28764,8.436725,0.620867,-0.754127,0.036612,0.013225,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_SOL_STRESS_4000,data\kontrolliert_long_sol_2025_5m_stress_4000.csv,1t5bcxp->183drjy,30,490,1484,3493,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,-9.80706,30.674847,-1.372325,0.433754,0.048771,0.017826,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_BTC_QUIET_4000,data\kontrolliert_long_btc_2025_1h_quiet_4000.csv,183drjy->1t5bcxp,31,1002,1585,3651,weite_volatilitaetszone,bewegungsbruch_zone,weite_volatilitaetszone,new_or_extended_type,3.835077,24.989538,0.278422,0.230819,0.054986,0.021085,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_BTC_QUIET_4000,data\kontrolliert_long_btc_2025_1h_quiet_4000.csv,1t5bcxp->183drjy,35,999,1616,3655,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,3.983749,24.917756,0.120124,-0.006941,0.056878,0.023973,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_SOL_QUIET_4000,data\kontrolliert_long_sol_2025_1h_quiet_4000.csv,183drjy->1t5bcxp,34,661,2856,3909,weite_volatilitaetszone,bewegungsbruch_zone,weite_volatilitaetszone,new_or_extended_type,16.748203,77.012744,5.782009,0.605277,0.066656,0.017156,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_SOL_QUIET_4000,data\kontrolliert_long_sol_2025_1h_quiet_4000.csv,1t5bcxp->183drjy,36,577,3206,3911,weite_volatilitaetszone,rekopplungs_uebergang,weite_volatilitaetszone,new_or_extended_type,26.531015,83.965495,2.677485,0.941972,0.050239,0.018613,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
