holdout_group,asset,world,source_file,scale,block_index,start_tick,end_tick,base_sequence,candidate_score,pre_raw_class,during_raw_class,post_raw_class,pre_move_pct,during_move_pct,post_move_pct,pre_range,during_range,post_range,pre_hoeren,during_hoeren,post_hoeren,pre_sicht,during_sicht,post_sicht,pre_druck,during_druck,post_druck,range_narrows_vs_pre,hearing_rises_vs_pre,pressure_rises_vs_pre,passive_only,influences_action,phase_role,compact_sensory_phase
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,94,9400,9500,normale_weltspannung->offen_suchend,0.235175,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.291163,0.44454,-1.119701,0.185714,0.190491,0.187423,0.42807,0.457587,0.434409,0.680427,0.658299,0.667415,0.105635,0.113078,0.107512,0,1,1,1,0,unklare_mikrophase,0
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,55,5500,5600,normale_weltspannung->offen_suchend,0.232513,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-2.290076,1.341986,0.515977,0.251406,0.194902,0.162124,0.401011,0.452836,0.410309,0.673287,0.66481,0.691373,0.101055,0.113067,0.103516,1,1,1,1,0,unklare_mikrophase,1
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,84,8400,8500,randlastige_sinneslage->normale_weltspannung,0.222537,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.957127,0.459562,-0.148491,0.147678,0.095215,0.205361,0.435792,0.458284,0.403165,0.652586,0.693849,0.657468,0.108113,0.111907,0.101877,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT2,SOL,SOL_2023_ALT_A_FOLLOW,data\kontrolliert_2023_altseq_a_follow_10k_5m_SOLUSDT.csv,200,21,4200,4400,randlastige_sinneslage->normale_weltspannung,0.21533,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.0,0.902062,-2.043423,0.307484,0.224433,0.334886,0.480361,0.462058,0.463868,0.655968,0.665945,0.64638,0.118492,0.115058,0.115536,1,0,0,1,0,rueckbindung_in_normale_weltspannung,0
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,73,7300,7400,offen_suchend->offen_suchend,0.204468,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.867899,0.505969,0.050905,0.389463,0.228694,0.235475,0.445751,0.455231,0.389647,0.635982,0.667219,0.674877,0.11265,0.11401,0.098891,1,1,1,1,0,unklare_mikrophase,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,4,400,500,offen_suchend->normale_weltspannung,0.203136,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.333333,0.287809,-2.063687,0.301681,0.238564,0.325231,0.421669,0.462917,0.430991,0.635203,0.668564,0.640812,0.106534,0.113517,0.108142,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,400,19,7600,8000,normale_weltspannung->normale_weltspannung,0.187771,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.523238,1.267053,0.34107,0.090346,0.109074,0.149473,0.427251,0.452677,0.439427,0.677857,0.677041,0.678621,0.107258,0.113415,0.109681,0,1,1,1,0,rueckbindung_in_normale_weltspannung,0
HOLDOUT2,SOL,SOL_2023_ALT_A_FOLLOW,data\kontrolliert_2023_altseq_a_follow_10k_5m_SOLUSDT.csv,200,45,9000,9200,normale_weltspannung->normale_weltspannung,0.18713,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.0,0.431241,-1.621364,0.173978,0.232785,0.22298,0.452312,0.456588,0.41413,0.670602,0.651983,0.664596,0.114272,0.114642,0.104857,0,1,1,1,0,rueckbindung_in_normale_weltspannung,0
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,200,46,9200,9400,normale_weltspannung->normale_weltspannung,0.179523,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.261015,0.228322,0.299289,0.216127,0.122975,0.136954,0.366893,0.462263,0.431889,0.66875,0.672339,0.670925,0.094526,0.114184,0.109062,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,16,1600,1700,ruhig_zentrumsnah->normale_weltspannung,0.172387,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.430787,0.409724,0.103741,0.129267,0.120266,0.122476,0.387205,0.453618,0.482094,0.687148,0.672021,0.66656,0.097488,0.113302,0.118461,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
