passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,meaning_edge,source_node,target_core,edge_kind,semantic_binding,role,world,family,preview,reference_signature_count,edge_weight,strain_delta_next,rekopplung_delta_next
1,0,0,0,0,0,0,dio_meaning_edge_3ab441b9,dio_meaning_node_0fabb2f9,dio_semantic_core_5b5717cd,semantisch_gekoppelt,family,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0e7qvj1,1,0.826036,0.007254,-0.009728
1,0,0,0,0,0,0,dio_meaning_edge_e0e9df5f,dio_meaning_node_486fd904,dio_semantic_core_5ecb26cb,semantisch_gekoppelt,family,brueckennaehe,DOGE_2024_5M,dio_155c,dio_mcm_episode_0e7qvj1,1,0.814358,0.011783,-0.011038
1,0,0,0,0,0,0,dio_meaning_edge_1284f89e,dio_meaning_node_119d9d87,dio_semantic_core_9c5afc48,semantisch_gekoppelt,preview,brueckennaehe,SOL_2024_5M,dio_0m9z,dio_mcm_episode_0e7qvj1,2,0.808184,-0.003795,0.000297
1,0,0,0,0,0,0,dio_meaning_edge_32083bc9,dio_meaning_node_b1b48d61,dio_semantic_core_6b9f5063,semantisch_gekoppelt,preview,mischrolle_brueckennaehe_zentrumsnaehe,XRP_2024_5M,dio_0m9z,dio_mcm_episode_0b7nep9,2,0.800614,0.001042,0.001349
1,0,0,0,0,0,0,dio_meaning_edge_036a412c,dio_meaning_node_476ccc10,dio_semantic_core_7d05b87c,semantisch_gekoppelt,preview,brueckennaehe,DOGE_2024_5M,dio_1kpz,dio_mcm_episode_0e7qvj1,1,0.795156,0.002465,4.3e-05
1,0,0,0,0,0,0,dio_meaning_edge_24e2c844,dio_meaning_node_b7394769,dio_semantic_core_9c5afc48,semantisch_gekoppelt,preview,brueckennaehe,DOGE_2024_5M,dio_0m9z,dio_mcm_episode_0e7qvj1,1,0.791132,0.002953,-0.001481
1,0,0,0,0,0,0,dio_meaning_edge_57d62999,dio_meaning_node_b7394769,dio_semantic_core_f68f9805,semantisch_gekoppelt,preview,brueckennaehe,XRP_2024_5M,dio_155c,dio_mcm_episode_0e7qvj1,1,0.791042,0.001154,-0.003325
1,0,0,0,0,0,0,dio_meaning_edge_183d268b,dio_meaning_node_b7394769,dio_semantic_core_4b82203a,semantisch_gekoppelt,preview,mischrolle_brueckennaehe_zentrumsnaehe,SOL_2024_5M,dio_0h9h,dio_mcm_episode_0e7qvj1,1,0.789822,0.001047,-0.004042
1,0,0,0,0,0,0,dio_meaning_edge_eb183996,dio_meaning_node_b7394769,dio_semantic_core_c8493ad8,semantisch_gekoppelt,preview,mischrolle_brueckennaehe_zentrumsnaehe,SOL_2024_5M,dio_0l7p,dio_mcm_episode_0e7qvj1,1,0.776568,0.006007,-0.005709
1,0,0,0,0,0,0,dio_meaning_edge_f204c17d,dio_meaning_node_5495a55c,dio_semantic_core_6298350e,semantisch_gekoppelt,family,brueckennaehe,XRP_2024_5M,dio_104t,dio_mcm_episode_0ykar6i,1,0.767978,-0.008993,0.004996
1,0,0,0,0,0,0,dio_meaning_edge_ff706fea,dio_meaning_node_b7394769,dio_semantic_core_3f03a6db,semantisch_gekoppelt,family,zentrumsnaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_18l3thm,1,0.744926,-0.000155,0.002308
1,0,0,0,0,0,0,dio_meaning_edge_1a5bbdc8,dio_meaning_node_00b3d966,dio_semantic_core_4705bcfe,semantisch_gekoppelt,family,mischrolle_brueckennaehe_entlastungsnaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,1,0.741642,-0.001077,-0.000256
1,0,0,0,0,0,0,dio_meaning_edge_7e9fb4f9,dio_meaning_node_119d9d87,dio_semantic_core_e2b8743c,semantisch_gekoppelt,family,zentrumsnaehe,XRP_2024_5M,dio_155c,dio_mcm_episode_0b7nep9,2,0.740066,-0.000405,-0.000372
1,0,0,0,0,0,0,dio_meaning_edge_e7fa5016,dio_meaning_node_d1e40f2c,dio_semantic_core_0f31296b,semantisch_gekoppelt,family,zentrumsnaehe,DOGE_2024_5M,dio_0l7p,dio_mcm_episode_14coypf,1,0.74,0.0,0.0
1,0,0,0,0,0,0,dio_meaning_edge_01ae8328,dio_meaning_node_d5b684fe,dio_semantic_core_de345843,semantisch_gekoppelt,family,zentrumsnaehe,DOGE_2024_5M,dio_0l7p,dio_mcm_episode_0b7nep9,1,0.73431,0.001349,-0.001496
1,0,0,0,0,0,0,dio_meaning_edge_026410e2,dio_meaning_node_119d9d87,dio_semantic_core_4705bcfe,semantisch_gekoppelt,family,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,2,0.725638,0.002004,-0.005177
1,0,0,0,0,0,0,dio_meaning_edge_026410e2,dio_meaning_node_119d9d87,dio_semantic_core_4705bcfe,semantisch_gekoppelt,family,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,2,0.702518,0.006356,-0.012385
1,0,0,0,0,0,0,dio_meaning_edge_9148f7b4,dio_meaning_node_476ccc10,dio_semantic_core_9c5afc48,semantisch_gekoppelt,preview,mischrolle_brueckennaehe_zentrumsnaehe,SOL_2024_5M,dio_0m9z,dio_mcm_episode_0e7qvj1,1,0.68,0.0,0.0
1,0,0,0,0,0,0,dio_meaning_edge_c3c250bd,dio_meaning_node_ddfb5575,dio_semantic_core_ef7e8e09,semantisch_gekoppelt,preview,zentrumsnaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_1jwnjz4,1,0.667646,0.001737,-0.00444
1,0,0,0,0,0,0,dio_meaning_edge_474613bc,dio_meaning_node_5495a55c,dio_semantic_core_8abbe902,oberflaechennaehe,none,randdrucknaehe,XRP_2024_5M,dio_0m9z,dio_mcm_episode_1ahj81f,1,0.484194,-0.008249,0.013848
1,0,0,0,0,0,0,dio_meaning_edge_bc9217cb,dio_meaning_node_119d9d87,dio_semantic_core_28dc129f,oberflaechennaehe,none,randdrucknaehe,DOGE_2024_5M,dio_0h9h,dio_mcm_episode_1ahj81f,2,0.476154,-0.006217,0.01186
1,0,0,0,0,0,0,dio_meaning_edge_2e45b0d9,dio_meaning_node_ea0096d4,dio_semantic_core_3766a47b,oberflaechennaehe,none,brueckennaehe,PAXG_2024_5M,dio_0l7p,dio_mcm_episode_1xx3u1e,1,0.465222,-0.005444,0.007167
1,0,0,0,0,0,0,dio_meaning_edge_06ad6839,dio_meaning_node_476ccc10,dio_semantic_core_5eed07da,oberflaechennaehe,none,brueckennaehe,BTC_2024_5M,dio_155c,dio_mcm_episode_1joiyc3,1,0.459522,-0.003923,0.005838
1,0,0,0,0,0,0,dio_meaning_edge_db7cbb08,dio_meaning_node_b7394769,dio_semantic_core_891079c8,oberflaechennaehe,none,brueckennaehe,SOL_2024_5M,dio_0m9z,dio_mcm_episode_1joiyc3,1,0.452972,-0.004096,0.00239
1,0,0,0,0,0,0,dio_meaning_edge_03afaa90,dio_meaning_node_119d9d87,dio_semantic_core_033a6924,oberflaechennaehe,none,zentrumsnaehe,XRP_2024_5M,dio_0l7p,dio_mcm_episode_0ykar6i,2,0.447818,-0.001839,0.00207
1,0,0,0,0,0,0,dio_meaning_edge_a36844b1,dio_meaning_node_e7db1d51,dio_semantic_core_f4799996,oberflaechennaehe,none,mischrolle_brueckennaehe_entlastungsnaehe,PAXG_2024_5M,dio_104t,dio_mcm_episode_0dgle71,1,0.437816,-0.002006,-0.003098
1,0,0,0,0,0,0,dio_meaning_edge_99893c60,dio_meaning_node_65a8719c,dio_semantic_core_cef13792,oberflaechennaehe,none,mischrolle_brueckennaehe_zentrumsnaehe,DOGE_2024_5M,dio_0l7p,dio_mcm_episode_0b7nep9,2,0.435494,0.002595,0.000342
1,0,0,0,0,0,0,dio_meaning_edge_f788543a,dio_meaning_node_476ccc10,dio_semantic_core_7d5e2928,oberflaechennaehe,none,brueckennaehe,SOL_2024_5M,dio_06s7,dio_mcm_episode_1joiyc3,1,0.428726,0.001067,-0.00457
1,0,0,0,0,0,0,dio_meaning_edge_79d67748,dio_meaning_node_d5b684fe,dio_semantic_core_5e3cf6d0,oberflaechennaehe,none,brueckennaehe,XRP_2024_5M,dio_104t,dio_mcm_episode_0ykar6i,1,0.421002,0.003089,-0.00641
1,0,0,0,0,0,0,dio_meaning_edge_7af38c5f,dio_meaning_node_541277a5,dio_semantic_core_871217c0,oberflaechennaehe,none,brueckennaehe,XRP_2024_5M,dio_155c,dio_mcm_episode_0b7nep9,1,0.416294,0.003126,-0.008727
1,0,0,0,0,0,0,dio_meaning_edge_07845c51,dio_meaning_node_541277a5,dio_semantic_core_9a4163b5,oberflaechennaehe,none,brueckennaehe,XRP_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,1,0.403948,0.006718,-0.011308
1,0,0,0,0,0,0,dio_meaning_edge_acc45455,dio_meaning_node_541277a5,dio_semantic_core_9a4163b5,oberflaechennaehe,none,mischrolle_brueckennaehe_zentrumsnaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,1,0.402966,0.01039,-0.008127
1,0,0,0,0,0,0,dio_meaning_edge_6a6ca245,dio_meaning_node_e1536fe6,dio_semantic_core_d1eef71a,oberflaechennaehe,none,brueckennaehe,PAXG_2024_5M,dio_14wj,dio_mcm_episode_0dgle71,1,0.397786,0.006996,-0.014111
1,0,0,0,0,0,0,dio_meaning_edge_1603287c,dio_meaning_node_ea0096d4,dio_semantic_core_6959ef45,oberflaechennaehe,none,mischrolle_brueckennaehe_zentrumsnaehe,PAXG_2024_5M,dio_104t,dio_mcm_episode_0ybr5e3,1,0.396512,0.00597,-0.015774
1,0,0,0,0,0,0,dio_meaning_edge_4f724992,dio_meaning_node_e7db1d51,dio_semantic_core_f4799996,oberflaechennaehe,none,brueckennaehe,PAXG_2024_5M,dio_104t,dio_mcm_episode_0dgle71,1,0.39158,0.010758,-0.013452
1,0,0,0,0,0,0,dio_meaning_edge_b4e38cc4,dio_meaning_node_ddfb5575,dio_semantic_core_867b277c,oberflaechennaehe,none,randdrucknaehe,BTC_2024_5M,dio_104t,dio_mcm_episode_1joiyc3,1,0.37936,-0.012516,0.017164
1,0,0,0,0,0,0,dio_meaning_edge_d8dcbb0b,dio_meaning_node_ddfb5575,dio_semantic_core_e04d8bb5,oberflaechennaehe,none,zentrumsnaehe,BTC_2024_5M,dio_104t,dio_mcm_episode_0e7qvj1,1,0.32,0.0,0.0
1,0,0,0,0,0,0,dio_meaning_edge_410ca240,dio_meaning_node_ddfb5575,dio_semantic_core_e04d8bb5,oberflaechennaehe,none,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0e7qvj1,1,0.289374,0.033026,-0.042287
