row_type,baseline_source,followup_source,asset_family_pairs,repro_states,followup_qualities,asset_repro_states,asset,family,appearances,dominant_attachment_quality,dominant_attachment_count,second_attachment_quality,second_attachment_count,attachment_quality_gap,attachment_profile_state,attachment_profile,mean_total_count,mean_field_edge_score,baseline_attachment_quality,baseline_attachment_profile,repro_state
asset_family_repro,,,,,,,BTC,dio_169a,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,66.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_17ct,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,100.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_19pg,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,60.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1ewh,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,93.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1gp2,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,54.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1jc2,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,52.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1kpz,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,84.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1lsu,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,113.0,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1q85,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,73.0,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1r55,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,51.0,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1u5i,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,53.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_05yg,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,44.0,0.021814,offen_gemischt,offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet_offen
