preview_symbol,field_function_class,field_function_variant,field_function_confidence,depth_score,depth_state,world_count,count,avg_afterimage,avg_recurrence,avg_rekopplung,avg_strain,avg_sensory_coupling,last_world,worlds,effects,passive_only,influences_action,is_gate,is_motoric
dio_mcm_episode_1avuyqc,active_recoupling,compact_carried_recoupling,0.673693,0.851932,multiworld_depth_seed,7,21,0.817325,0.883017,0.717909,0.167437,0.841977,FF_NULL_DOGE_SHUFFLE_10K,REAL_TIME_2024_SOL_ALTSEQ_A:7; PAXG_1846_A:3; REAL_FOLLOW_DOGE_6000:3; REAL_TIME_2024_BTC_5M:3; FF_NULL_DOGE_SHUFFLE_10K:2; REAL_TIME_2024_PAXG:2; REAL_FOLLOW_XRP_6000:1,stabil:21,1,0,0,0
dio_mcm_episode_0zlfibm,milieu_island,quiet_deep_recoupling,0.654925,0.851671,multiworld_depth_seed,4,7,0.815481,0.86312,0.726377,0.155707,0.865688,FF_NULL_PAXG_SHUFFLE_10K,REAL_FOLLOW_BTC_6000:3; REAL_FOLLOW_DOGE_6000:2; FF_NULL_PAXG_SHUFFLE_10K:1; REAL_FOLLOW_XRP_6000:1,stabil:7,1,0,0,0
dio_mcm_episode_1qv5i56,active_recoupling,compact_carried_recoupling,0.712284,0.85157,multiworld_depth_seed,19,115,0.817207,0.877551,0.719367,0.166215,0.847922,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:38; FOLLOW_EQ10K_DOGE_2024_5M:14; FOLLOW_EQ10K_PAXG_2024_5M:10; FOLLOW_XRP_2024_5M_2000:10; QUIET_NEAR_PAXG2025_1H:6; REAL_FOLLOW_XRP_6000:6; FOLLOW_DOGE_2024_5M_2000:5; FF_NULL_DOGE_SHUFFLE_10K:4,stabil:115,1,0,0,0
dio_mcm_episode_159zeqh,active_recoupling,compact_carried_recoupling,0.681352,0.849778,multiworld_depth_seed,8,20,0.787863,0.879483,0.72702,0.153437,0.859918,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:4; REAL_TIME_2024_SOL_ALTSEQ_A:4; PAXG_1846_A:3; REAL_FOLLOW_BTC_6000:3; REAL_FOLLOW_PAXG_6000:3; FF_NULL_DOGE_SHUFFLE_10K:1; REAL_TIME_2024_BTC_5M:1; REAL_TIME_2024_PAXG:1,stabil:20,1,0,0,0
dio_mcm_episode_1c8zokt,active_recoupling,compact_carried_recoupling,0.706257,0.848475,multiworld_depth_seed,9,101,0.816433,0.868135,0.717713,0.167031,0.842812,FF_NULL_BTC_SHUFFLE_10K,REAL_FOLLOW_DOGE_6000:33; REAL_FOLLOW_XRP_6000:23; REAL_FOLLOW_SOL_6000:20; FOLLOW_EQ10K_XRP_2024_5M:12; FOLLOW_EQ10K_DOGE_2024_5M:7; FF_NULL_BTC_SHUFFLE_10K:2; FOLLOW_DOGE_2024_5M_2000:2; BTC_10K_A:1,stabil:101,1,0,0,0
dio_mcm_episode_0bygq81,active_recoupling,compact_carried_recoupling,0.743,0.848303,multiworld_depth_seed,21,183,0.800118,0.870227,0.722775,0.16166,0.855993,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:53; FOLLOW_EQ10K_DOGE_2024_5M:30; REAL_TIME_2023_SOL_ALTSEQ_A:13; FOLLOW_XRP_2024_5M_2000:11; QUIET_NEAR_PAXG2025_1H:11; FOLLOW_EQ10K_PAXG_2024_5M:10; FF_NULL_DOGE_SHUFFLE_10K:9; FOLLOW_DOGE_2024_5M_2000:9,stabil:183,1,0,0,0
dio_mcm_episode_0vidg3n,active_recoupling,compact_carried_recoupling,0.692301,0.846684,multiworld_depth_seed,11,41,0.80525,0.848816,0.726283,0.158945,0.870662,FF_NULL_PAXG_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:12; FOLLOW_EQ10K_PAXG_2024_5M:6; BTC_LONG_2024_5M_QUIET:3; FF_NULL_BTC_SHUFFLE_10K:3; FF_NULL_PAXG_SHUFFLE_10K:3; FOLLOW_XRP_2024_5M_2000:3; REAL_FOLLOW_BTC_6000:3; REAL_FOLLOW_XRP_6000:3,stabil:41,1,0,0,0
dio_mcm_episode_094f7up,active_recoupling,compact_carried_recoupling,0.711429,0.845607,multiworld_depth_seed,18,90,0.78875,0.858693,0.726681,0.156185,0.867147,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:25; FF_NULL_DOGE_SHUFFLE_10K:12; FOLLOW_EQ10K_PAXG_2024_5M:7; QUIET_NEAR_PAXG2025_1H:6; FOLLOW_XRP_2024_5M_2000:5; REAL_FOLLOW_PAXG_6000:5; FF_NULL_PAXG_SHUFFLE_10K:4; FOLLOW_EQ10K_DOGE_2024_5M:4,stabil:90,1,0,0,0
dio_mcm_episode_14xx81a,active_recoupling,compact_carried_recoupling,0.776015,0.84393,multiworld_depth_seed,7,6182,0.788033,0.854206,0.725455,0.158398,0.865277,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:5025; REAL_FOLLOW_PAXG_6000:835; REAL_TIME_2024_SOL_ALTSEQ_A:155; PAXG_1846_A:100; BTC_LONG_2025_5M_QUIET:31; QUIET_NEAR_BTC_1869:31; REAL_TIME_2024_BTC_5M:5,stabil:6182,1,0,0,0
dio_mcm_episode_1xlv7yw,active_recoupling,compact_carried_recoupling,0.689548,0.84329,multiworld_depth_seed,13,32,0.795578,0.842781,0.726111,0.161112,0.868994,FF_NULL_PAXG_SHUFFLE_10K,FOLLOW_EQ10K_PAXG_2024_5M:6; BTC_LONG_2024_5M_QUIET:3; FOLLOW_EQ10K_XRP_2024_5M:3; FOLLOW_XRP_2024_5M_2000:3; REAL_FOLLOW_XRP_6000:3; REAL_TIME_2024_XRP:3; FF_NULL_BTC_SHUFFLE_10K:2; FF_NULL_PAXG_SHUFFLE_10K:2,stabil:32,1,0,0,0
dio_mcm_episode_0n6m7si,active_recoupling,compact_carried_recoupling,0.720134,0.842968,multiworld_depth_seed,20,113,0.783539,0.853458,0.726167,0.157426,0.862372,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:18; FF_NULL_DOGE_SHUFFLE_10K:17; FF_NULL_XRP_SHUFFLE_10K:8; REAL_TIME_2023_SOL_ALTSEQ_A:8; FOLLOW_EQ10K_DOGE_2024_5M:7; PAXG_1846_A:7; FOLLOW_EQ10K_PAXG_2024_5M:6; REAL_FOLLOW_PAXG_6000:6,stabil:113,1,0,0,0
dio_mcm_episode_05upp98,active_recoupling,compact_carried_recoupling,0.754441,0.842503,multiworld_depth_seed,23,213,0.788661,0.860805,0.719353,0.16485,0.849969,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:38; FOLLOW_EQ10K_DOGE_2024_5M:28; REAL_TIME_2023_SOL_ALTSEQ_A:17; FOLLOW_XRP_2024_5M_2000:15; FF_NULL_XRP_SHUFFLE_10K:12; QUIET_NEAR_PAXG2025_1H:12; FOLLOW_EQ10K_PAXG_2024_5M:11; FF_NULL_DOGE_SHUFFLE_10K:10,stabil:213,1,0,0,0
dio_mcm_episode_1chjpo0,active_recoupling,compact_carried_recoupling,0.686915,0.841075,multiworld_depth_seed,6,19,0.784832,0.837963,0.727754,0.152355,0.872543,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:7; BTC_LONG_2025_5M_QUIET:3; QUIET_NEAR_BTC_1869:3; REAL_FOLLOW_PAXG_6000:3; REAL_TIME_2024_BTC_5M:2; REAL_TIME_2024_SOL_ALTSEQ_A:1,stabil:19,1,0,0,0
dio_mcm_episode_0s2q227,active_recoupling,compact_carried_recoupling,0.675908,0.839682,multiworld_depth_seed,12,28,0.818927,0.840144,0.710516,0.175457,0.83133,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:11; FOLLOW_DOGE_2024_5M_2000:3; FF_NULL_PAXG_SHUFFLE_10K:2; FOLLOW_EQ10K_DOGE_2024_5M:2; REAL_FOLLOW_SOL_6000:2; REAL_TIME_2024_BTC_5M:2; BTC_10K_A:1; FF_NULL_XRP_SHUFFLE_10K:1,stabil:28,1,0,0,0
dio_mcm_episode_0iwh9d2,active_recoupling,compact_carried_recoupling,0.777099,0.839274,multiworld_depth_seed,26,16602,0.77274,0.847863,0.724944,0.159295,0.862983,FF_NULL_PAXG_SHUFFLE_10K,REAL_FOLLOW_PAXG_6000:2831; PAXG_1846_A:2460; FF_NULL_PAXG_SHUFFLE_10K:2164; FOLLOW_EQ10K_PAXG_2024_5M:1844; FOLLOW_EQ10K_DOGE_2024_5M:852; BTC_LONG_2025_5M_QUIET:742; QUIET_NEAR_BTC_1869:742; REAL_FOLLOW_XRP_6000:649,stabil:16602,1,0,0,0
dio_mcm_episode_14pd6eb,active_recoupling,compact_carried_recoupling,0.765731,0.836383,multiworld_depth_seed,24,239,0.773661,0.849537,0.717641,0.166049,0.847305,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:42; FOLLOW_EQ10K_DOGE_2024_5M:33; FOLLOW_XRP_2024_5M_2000:19; REAL_TIME_2023_SOL_ALTSEQ_A:14; FOLLOW_EQ10K_PAXG_2024_5M:13; QUIET_NEAR_PAXG2025_1H:12; FF_NULL_BTC_SHUFFLE_10K:11; FF_NULL_XRP_SHUFFLE_10K:10,stabil:239,1,0,0,0
dio_mcm_episode_0vig3jz,active_recoupling,compact_carried_recoupling,0.777796,0.83208,multiworld_depth_seed,12,12786,0.758922,0.832489,0.722485,0.160517,0.85764,FF_NULL_PAXG_SHUFFLE_10K,REAL_TIME_2024_PAXG:2836; REAL_TIME_2024_BTC_5M:2302; REAL_TIME_2024_SOL_ALTSEQ_A:1855; REAL_FOLLOW_PAXG_6000:1748; PAXG_1846_A:1722; QUIET_NEAR_PAXG2024_1H:723; REAL_FOLLOW_BTC_6000:713; FF_NULL_DOGE_SHUFFLE_10K:510,stabil:12786,1,0,0,0
dio_mcm_episode_0flz7zv,active_recoupling,compact_carried_recoupling,0.688548,0.830088,multiworld_depth_seed,6,20,0.755873,0.823642,0.722201,0.160035,0.868245,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:9; REAL_FOLLOW_PAXG_6000:3; REAL_TIME_2024_SOL_ALTSEQ_A:3; BTC_LONG_2025_5M_QUIET:2; QUIET_NEAR_BTC_1869:2; REAL_FOLLOW_BTC_6000:1,stabil:20,1,0,0,0
dio_mcm_episode_0icnf2v,active_recoupling,compact_carried_recoupling,0.777005,0.828377,multiworld_depth_seed,43,119401,0.75368,0.828321,0.716543,0.162761,0.854706,FF_NULL_XRP_SHUFFLE_10K,FF_NULL_XRP_SHUFFLE_10K:8529; FF_NULL_BTC_SHUFFLE_10K:8246; FF_NULL_DOGE_SHUFFLE_10K:7651; REAL_TIME_2023_SOL_ALTSEQ_A:6873; FOLLOW_DOGE_2024_5M_2000:6679; REAL_FOLLOW_DOGE_6000:6538; FOLLOW_XRP_2024_5M_2000:6192; REAL_FOLLOW_BTC_6000:5866,stabil:119401,1,0,0,0
dio_mcm_episode_0y7hhur,active_recoupling,compact_carried_recoupling,0.689226,0.82836,multiworld_depth_seed,9,22,0.758,0.813404,0.723243,0.157696,0.863365,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:6; REAL_TIME_2024_SOL_ALTSEQ_A:5; REAL_TIME_2024_BTC_5M:4; PAXG_1846_A:2; BTC_LONG_2025_5M_QUIET:1; QUIET_NEAR_BTC_1869:1; REAL_FOLLOW_PAXG_6000:1; REAL_FOLLOW_XRP_6000:1,stabil:22,1,0,0,0
dio_mcm_episode_1hfm623,milieu_island,quiet_deep_recoupling,0.695624,0.826916,multiworld_depth_seed,3,7,0.852723,0.953182,0.723715,0.167201,0.856368,FF_NULL_DOGE_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:4; FOLLOW_EQ10K_DOGE_2024_5M:2; FF_NULL_DOGE_SHUFFLE_10K:1,stabil:7,1,0,0,0
dio_mcm_episode_12tgchq,active_recoupling,compact_carried_recoupling,0.77613,0.826901,multiworld_depth_seed,29,33336,0.755807,0.822057,0.717117,0.164953,0.849255,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_DOGE_2024_5M:4715; FOLLOW_EQ10K_XRP_2024_5M:4040; FOLLOW_EQ10K_PAXG_2024_5M:2812; SOL_10K_A:2722; REAL_FOLLOW_XRP_6000:2518; REAL_FOLLOW_SOL_6000:2256; REAL_TIME_2024_SOL_ALTSEQ_A:2172; BTC_10K_A:1848,stabil:33336,1,0,0,0
dio_mcm_episode_15jz0fg,milieu_island,quiet_deep_recoupling,0.691576,0.824183,multiworld_depth_seed,3,7,0.837811,0.938209,0.732171,0.15075,0.861146,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_BTC_SHUFFLE_10K:3; REAL_TIME_2024_PAXG:3; FF_NULL_PAXG_SHUFFLE_10K:1,stabil:7,1,0,0,0
dio_mcm_episode_01h2hhh,active_recoupling,compact_carried_recoupling,0.696053,0.823797,multiworld_depth_seed,9,22,0.73048,0.804597,0.728822,0.15211,0.878586,FF_NULL_PAXG_SHUFFLE_10K,FOLLOW_EQ10K_DOGE_2024_5M:4; FOLLOW_EQ10K_XRP_2024_5M:4; BTC_LONG_2024_5M_QUIET:3; REAL_TIME_2024_SOL_ALTSEQ_A:3; FF_NULL_PAXG_SHUFFLE_10K:2; FOLLOW_EQ10K_PAXG_2024_5M:2; PAXG_1846_A:2; FF_NULL_BTC_SHUFFLE_10K:1,stabil:22,1,0,0,0
dio_mcm_episode_0v9h8bc,active_recoupling,compact_carried_recoupling,0.680453,0.82347,multiworld_depth_seed,6,13,0.756073,0.810904,0.715528,0.168544,0.843469,FF_NULL_BTC_SHUFFLE_10K,FF_NULL_BTC_SHUFFLE_10K:3; REAL_TIME_2024_BTC_5M:3; BTC_10K_A:2; FOLLOW_EQ10K_DOGE_2024_5M:2; FOLLOW_EQ10K_XRP_2024_5M:2; REAL_TIME_2024_SOL_ALTSEQ_A:1,stabil:13,1,0,0,0
dio_mcm_episode_1fdlu6e,active_recoupling,compact_carried_recoupling,0.777278,0.821469,multiworld_depth_seed,12,2547,0.746493,0.80767,0.716201,0.163881,0.84672,FF_NULL_DOGE_SHUFFLE_10K,REAL_TIME_2024_BTC_5M:1010; QUIET_NEAR_PAXG2024_1H:715; REAL_FOLLOW_BTC_6000:285; REAL_FOLLOW_XRP_6000:154; REAL_TIME_2024_SOL_ALTSEQ_A:145; REAL_FOLLOW_DOGE_6000:129; REAL_TIME_2024_PAXG:53; REAL_FOLLOW_PAXG_6000:19,stabil:2547,1,0,0,0
dio_mcm_episode_1be1yef,active_recoupling,compact_carried_recoupling,0.685668,0.82111,multiworld_depth_seed,7,11,0.764699,0.783962,0.717333,0.164678,0.8651,FF_NULL_DOGE_SHUFFLE_10K,FOLLOW_EQ10K_DOGE_2024_5M:3; FF_NULL_DOGE_SHUFFLE_10K:2; FOLLOW_EQ10K_PAXG_2024_5M:2; BTC_10K_A:1; FOLLOW_EQ10K_XRP_2024_5M:1; FOLLOW_XRP_2024_5M_2000:1; REAL_TIME_2024_SOL_ALTSEQ_A:1,stabil:11,1,0,0,0
dio_mcm_episode_1kvungn,milieu_island,quiet_deep_recoupling,0.685606,0.819446,multiworld_depth_seed,3,4,0.84134,0.929112,0.724801,0.160393,0.848302,FF_NULL_PAXG_SHUFFLE_10K,REAL_TIME_2024_SOL_ALTSEQ_A:2; FF_NULL_BTC_SHUFFLE_10K:1; FF_NULL_PAXG_SHUFFLE_10K:1,stabil:4,1,0,0,0
dio_mcm_episode_0uohah2,milieu_island,quiet_deep_recoupling,0.707777,0.815374,multiworld_depth_seed,3,47,0.83227,0.910044,0.727778,0.156624,0.862215,FF_NULL_BTC_SHUFFLE_10K,REAL_FOLLOW_BTC_6000:41; REAL_TIME_2024_PAXG:5; FF_NULL_BTC_SHUFFLE_10K:1,stabil:47,1,0,0,0
dio_mcm_episode_1j0qf7r,milieu_island,quiet_deep_recoupling,0.61216,0.814114,multiworld_depth_seed,4,4,0.714504,0.789345,0.721717,0.1558,0.864357,FF_NULL_DOGE_SHUFFLE_10K,BTC_LONG_2025_5M_QUIET:1; FF_NULL_DOGE_SHUFFLE_10K:1; PAXG_1846_A:1; QUIET_NEAR_BTC_1869:1,stabil:4,1,0,0,0
dio_mcm_episode_08g2xgt,milieu_island,quiet_deep_recoupling,0.67605,0.810279,multiworld_depth_seed,3,5,0.832831,0.88362,0.729492,0.150984,0.859884,FF_NULL_BTC_SHUFFLE_10K,FF_NULL_BTC_SHUFFLE_10K:3; REAL_FOLLOW_BTC_6000:1; REAL_TIME_2024_PAXG:1,stabil:5,1,0,0,0
dio_mcm_episode_0goqj8y,active_recoupling,compact_carried_recoupling,0.67648,0.809295,multiworld_depth_seed,9,16,0.726481,0.801921,0.701402,0.183472,0.816977,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:4; REAL_TIME_2024_SOL_ALTSEQ_A:4; REAL_TIME_2024_PAXG:2; BTC_LONG_2025_5M_QUIET:1; PAXG_1846_A:1; QUIET_NEAR_BTC_1869:1; REAL_FOLLOW_DOGE_6000:1; REAL_FOLLOW_XRP_6000:1,stabil:16,1,0,0,0
dio_mcm_episode_18bzc1l,active_recoupling,compact_carried_recoupling,0.688361,0.808299,multiworld_depth_seed,7,20,0.715733,0.781891,0.711861,0.167932,0.846057,FF_NULL_DOGE_SHUFFLE_10K,REAL_TIME_2024_SOL_ALTSEQ_A:5; FF_NULL_DOGE_SHUFFLE_10K:3; REAL_FOLLOW_DOGE_6000:3; REAL_FOLLOW_XRP_6000:3; REAL_TIME_2024_BTC_5M:3; REAL_TIME_2024_PAXG:2; PAXG_1846_A:1,stabil:20,1,0,0,0
dio_mcm_episode_0rsqgd8,milieu_island,quiet_deep_recoupling,0.6677,0.798043,multiworld_depth_seed,3,6,0.865845,0.86206,0.698149,0.198411,0.813243,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_DOGE_2024_5M:3; FOLLOW_EQ10K_XRP_2024_5M:2; FF_NULL_XRP_SHUFFLE_10K:1,stabil:6,1,0,0,0
dio_mcm_episode_0mtt9o5,milieu_island,local_milieu_seed,0.748659,0.795899,multiworld_depth_seed,4,426,0.659047,0.744655,0.727307,0.151059,0.870425,FF_NULL_XRP_SHUFFLE_10K,REAL_FOLLOW_PAXG_6000:394; FF_NULL_DOGE_SHUFFLE_10K:21; BTC_10K_A:6; FF_NULL_XRP_SHUFFLE_10K:5,stabil:426,1,0,0,0
dio_mcm_episode_1i07qau,milieu_island,quiet_deep_recoupling,0.705057,0.777122,recurring_depth_seed,2,2,0.821539,0.982005,0.725954,0.159428,0.840698,FF_NULL_BTC_SHUFFLE_10K,FF_NULL_BTC_SHUFFLE_10K:1; REAL_TIME_2024_PAXG:1,stabil:2,1,0,0,0
dio_mcm_episode_16qal3x,active_recoupling,compact_carried_recoupling,0.708857,0.776531,multiworld_depth_seed,6,16,0.644889,0.679112,0.717986,0.155246,0.884461,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:6; REAL_FOLLOW_PAXG_6000:3; BTC_LONG_2025_5M_QUIET:2; QUIET_NEAR_BTC_1869:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; REAL_FOLLOW_BTC_6000:1,stabil:16,1,0,0,0
dio_mcm_episode_0ca57t8,active_recoupling,compact_carried_recoupling,0.803533,0.768395,multiworld_depth_seed,13,425,0.593284,0.686361,0.721519,0.147046,0.867447,FF_NULL_XRP_SHUFFLE_10K,REAL_FOLLOW_PAXG_6000:91; BTC_STRESS_2024_5M:66; BTC_1H_A:65; BTC_LONG_2024_5M_QUIET:50; QUIET_NEAR_BTC_FIELD_01:39; BTC_SHIFT_2025_30M_10000_11000:38; DOGE_1H_B:19; DOGE_1H_A:14,stabil:425,1,0,0,0
dio_mcm_episode_05w9z7v,milieu_island,quiet_deep_recoupling,0.68757,0.760059,recurring_depth_seed,2,6,0.796033,0.893738,0.741468,0.147266,0.87546,FF_NULL_BTC_SHUFFLE_10K,FF_NULL_BTC_SHUFFLE_10K:3; REAL_TIME_2024_PAXG:3,stabil:6,1,0,0,0
dio_mcm_episode_12fuh1y,active_recoupling,compact_carried_recoupling,0.715734,0.759429,multiworld_depth_seed,19,29,0.587738,0.659755,0.715697,0.15463,0.865739,FF_NULL_DOGE_SHUFFLE_10K,SOL_10K_A:3; BTC_FIELD_QUIET_02:2; BTC_LONG_2024_5M_QUIET:2; BTC_STRESS_2025_5M:2; FOLLOW_DOGE_2024_5M_2000:2; FOLLOW_EQ10K_XRP_2024_5M:2; PAXG_1846_A:2; QUIET_NEAR_PAXG2025_1H:2,stabil:29,1,0,0,0
