preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_count_delta,top_world,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score
dio_mcm_episode_1rj8742,breite_grundrolle,breite_grundrolle,18021,18076,55,40,41,1,REAL_FOLLOW_BTC_6000,REAL_FOLLOW_BTC_6000:1547;BTC_STRESS_2025_5M:870;FOLLOW_EQ10K_PAXG_2024_5M:858;REAL_FOLLOW_XRP_6000:838;REAL_FOLLOW_DOGE_6000:750;BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;REAL_FOLLOW_SOL_6000:682;FOLLOW_KAS_2024_5M_2000:660;PAXG_1H_A:645,quiet:3766;btc:3646;paxg:2795;xrp:2004;doge:1746;shift:1478;sol:993;stress:933;other:715,0.934989,0.553688,0.162507,0.0
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,336,387,51,31,32,1,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:57;FOLLOW_EQ10K_KAS_2024_5M:51;FOLLOW_EQ10K_XRP_2024_5M:36;BTC_10K_A:22;FOLLOW_XRP_2024_5M_2000:21;FOLLOW_DOGE_2024_5M_2000:20;REAL_TIME_2024_XRP:19;SOL_10K_A:19;REAL_FOLLOW_DOGE_6000:17;REAL_FOLLOW_SOL_6000:17,doge:96;xrp:96;sol:56;other:51;btc:50;quiet:14;stress:10;paxg:9;shift:5,0.561942,0.197164,0.125173,0.229497
dio_mcm_episode_0hvxln3,breite_grundrolle,breite_grundrolle,338,387,49,37,38,1,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:55;FOLLOW_EQ10K_XRP_2024_5M:55;FOLLOW_EQ10K_KAS_2024_5M:49;FOLLOW_EQ10K_PAXG_2024_5M:31;REAL_TIME_2023_SOL_ALTSEQ_A:20;SOL_10K_A:15;BTC_10K_A:14;FOLLOW_DOGE_2024_5M_2000:14;FOLLOW_XRP_2024_5M_2000:12;REAL_FOLLOW_SOL_6000:12,doge:86;xrp:82;paxg:56;sol:50;other:49;btc:29;quiet:26;stress:5;shift:4,0.576372,0.179482,0.112134,0.229497
dio_mcm_episode_08g1nk4,breite_grundrolle,breite_grundrolle,318,364,46,35,36,1,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:46;FOLLOW_EQ10K_DOGE_2024_5M:44;FOLLOW_EQ10K_XRP_2024_5M:38;FOLLOW_XRP_2024_5M_2000:19;REAL_TIME_2024_XRP:18;FOLLOW_DOGE_2024_5M_2000:17;BTC_10K_A:16;REAL_FOLLOW_DOGE_6000:14;REAL_TIME_2024_BTC_5M:14;REAL_FOLLOW_XRP_6000:12,xrp:92;doge:83;other:48;btc:41;sol:39;quiet:27;paxg:19;stress:11;shift:4,0.572481,0.20462,0.126226,0.233821
dio_mcm_episode_0vmqpav,neu,nebenrolle,0,44,44,0,5,5,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:16;FOLLOW_EQ10K_DOGE_2024_5M:15;FOLLOW_EQ10K_KAS_2024_5M:8;REAL_FOLLOW_XRP_6000:3;SOL_10K_A:2,xrp:19;doge:15;other:8;sol:2,0.152883,0.0406,0.159292,0.570404
dio_mcm_episode_0bygq81,nebenrolle,breite_grundrolle,166,202,36,17,18,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:53;FOLLOW_EQ10K_KAS_2024_5M:36;FOLLOW_EQ10K_DOGE_2024_5M:30;REAL_TIME_2023_SOL_ALTSEQ_A:13;FOLLOW_XRP_2024_5M_2000:11;QUIET_NEAR_PAXG2025_1H:11;FOLLOW_EQ10K_PAXG_2024_5M:10;FOLLOW_DOGE_2024_5M_2000:9;REAL_FOLLOW_XRP_6000:8;REAL_FOLLOW_PAXG_6000:4,xrp:75;doge:39;other:36;sol:20;paxg:15;quiet:11;btc:4;stress:2,0.392325,0.109467,0.174725,0.333486
dio_mcm_episode_0b8eoy2,breite_grundrolle,breite_grundrolle,321,356,35,27,28,1,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:62;FOLLOW_EQ10K_XRP_2024_5M:52;FOLLOW_EQ10K_KAS_2024_5M:35;FOLLOW_DOGE_2024_5M_2000:21;REAL_FOLLOW_XRP_6000:20;REAL_FOLLOW_SOL_6000:19;REAL_TIME_2024_BTC_5M:16;SOL_10K_A:16;BTC_10K_A:15;FOLLOW_XRP_2024_5M_2000:15,xrp:104;doge:93;sol:51;btc:43;other:36;stress:9;quiet:8;paxg:8;shift:4,0.517132,0.178622,0.146926,0.248875
dio_mcm_episode_14pd6eb,breite_grundrolle,breite_grundrolle,210,244,34,20,21,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:42;FOLLOW_EQ10K_KAS_2024_5M:34;FOLLOW_EQ10K_DOGE_2024_5M:33;FOLLOW_XRP_2024_5M_2000:19;REAL_TIME_2023_SOL_ALTSEQ_A:14;FOLLOW_EQ10K_PAXG_2024_5M:13;QUIET_NEAR_PAXG2025_1H:12;REAL_FOLLOW_XRP_6000:10;FOLLOW_DOGE_2024_5M_2000:9;REAL_TIME_2024_XRP:9,xrp:80;doge:48;other:34;sol:29;paxg:21;quiet:17;stress:8;btc:7,0.459415,0.156225,0.157869,0.304587
dio_mcm_episode_05upp98,breite_grundrolle,breite_grundrolle,180,212,32,19,20,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:38;FOLLOW_EQ10K_KAS_2024_5M:32;FOLLOW_EQ10K_DOGE_2024_5M:28;REAL_TIME_2023_SOL_ALTSEQ_A:17;FOLLOW_XRP_2024_5M_2000:15;QUIET_NEAR_PAXG2025_1H:12;FOLLOW_EQ10K_PAXG_2024_5M:11;REAL_FOLLOW_XRP_6000:10;FOLLOW_DOGE_2024_5M_2000:8;REAL_FOLLOW_PAXG_6000:6,xrp:69;doge:41;other:32;sol:24;paxg:20;quiet:16;btc:5;stress:5,0.437549,0.137826,0.153293,0.319435
dio_mcm_episode_15z3zml,breite_grundrolle,breite_grundrolle,270,298,28,24,25,1,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:56;FOLLOW_EQ10K_XRP_2024_5M:40;FOLLOW_EQ10K_KAS_2024_5M:28;SOL_10K_A:21;REAL_FOLLOW_SOL_6000:20;REAL_FOLLOW_XRP_6000:17;FOLLOW_DOGE_2024_5M_2000:15;BTC_10K_A:13;REAL_TIME_2024_BTC_5M:12;REAL_TIME_2023_SOL_ALTSEQ_A:11,doge:80;xrp:73;sol:55;btc:33;other:31;stress:13;paxg:6;quiet:4;shift:3,0.484421,0.192212,0.132125,0.27287
dio_mcm_episode_1qv5i56,nebenrolle,nebenrolle,106,134,28,15,16,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:38;FOLLOW_EQ10K_KAS_2024_5M:28;FOLLOW_EQ10K_DOGE_2024_5M:14;FOLLOW_EQ10K_PAXG_2024_5M:10;FOLLOW_XRP_2024_5M_2000:10;QUIET_NEAR_PAXG2025_1H:6;REAL_FOLLOW_XRP_6000:6;FOLLOW_DOGE_2024_5M_2000:5;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_FOLLOW_SOL_6000:3,xrp:56;other:28;doge:19;paxg:12;sol:9;quiet:7;btc:3,0.346324,0.087748,0.183121,0.374345
dio_mcm_episode_0u7qgeu,neu,nebenrolle,0,27,27,0,7,7,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M:7;FOLLOW_EQ10K_KAS_2024_5M:6;FOLLOW_EQ10K_DOGE_2024_5M:5;BTC_FIELD_QUIET_02:3;FOLLOW_EQ10K_XRP_2024_5M:3;DOGE_1H_B:2;REAL_FOLLOW_PAXG_6000:1,paxg:8;doge:7;other:6;quiet:3;xrp:3,0.177908,0.047841,0.09293,0.570889
dio_mcm_episode_1i3ov0z,milieurolle,milieurolle,2241,2265,24,14,15,1,BTC_FIELD_QUIET_03,BTC_FIELD_QUIET_03:927;BTC_FIELD_QUIET_05:384;QUIET_NEAR_BTC_FIELD_01:350;BTC_LONG_2024_5M_QUIET:147;FOLLOW_EQ10K_DOGE_2024_5M:100;BTC_10K_A:99;DOGE_1H_B:91;PAXG_1H_A:54;FOLLOW_EQ10K_XRP_2024_5M:39;FOLLOW_EQ10K_PAXG_2024_5M:29,quiet:1822;doge:191;btc:102;paxg:84;xrp:39;other:24;shift:3,0.375253,0.067113,0.558731,0.181319
dio_mcm_episode_11w0mrr,neu,nebenrolle,0,22,22,0,9,9,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:6;FOLLOW_EQ10K_XRP_2024_5M:4;FOLLOW_XRP_2024_5M_2000:3;REAL_TIME_2024_XRP:3;FOLLOW_EQ10K_PAXG_2024_5M:2;DOGE_1H_B:1;FOLLOW_EQ10K_DOGE_2024_5M:1;REAL_FOLLOW_PAXG_6000:1;SOL_10K_A:1,xrp:10;other:6;paxg:3;doge:2;sol:1,0.174931,0.044384,0.131271,0.559962
dio_mcm_episode_01116gq,neu,nebenrolle,0,22,22,0,8,8,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:7;FOLLOW_EQ10K_DOGE_2024_5M:4;FOLLOW_EQ10K_PAXG_2024_5M:3;BTC_LONG_2024_5M_QUIET:2;BTC_STRESS_2024_5M:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;FOLLOW_EQ10K_XRP_2024_5M:1;PAXG_1846_A:1,other:7;doge:4;paxg:4;quiet:2;stress:2;sol:2;xrp:1,0.170484,0.08995,0.092688,0.571856
dio_mcm_episode_0o47ti3,neu,nebenrolle,0,19,19,0,6,6,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A:6;PAXG_1846_A:3;REAL_FOLLOW_DOGE_6000:3;REAL_FOLLOW_XRP_6000:3;REAL_TIME_2024_PAXG:3;REAL_TIME_2024_BTC_5M:1,paxg:6;sol:6;doge:3;xrp:3;btc:1,0.139797,0.037633,0.089472,0.611255
dio_mcm_episode_1avuyqc,neu,nebenrolle,0,19,19,0,6,6,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A:7;PAXG_1846_A:3;REAL_FOLLOW_DOGE_6000:3;REAL_TIME_2024_BTC_5M:3;REAL_TIME_2024_PAXG:2;REAL_FOLLOW_XRP_6000:1,sol:7;paxg:5;doge:3;btc:3;xrp:1,0.136468,0.037407,0.104384,0.611255
dio_mcm_episode_02ixe4y,neu,nebenrolle,0,18,18,0,8,8,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:5;FOLLOW_EQ10K_DOGE_2024_5M:4;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_BTC_5M:2;REAL_TIME_2024_XRP:2;BTC_STRESS_2025_5M:1;FOLLOW_EQ10K_KAS_2024_5M:1;REAL_FOLLOW_DOGE_6000:1,xrp:9;doge:5;btc:2;stress:1;other:1,0.150132,0.062182,0.136197,0.586018
dio_mcm_episode_1olmeud,neu,nebenrolle,0,17,17,0,7,7,BTC_FIELD_QUIET_05,BTC_FIELD_QUIET_05:3;FOLLOW_EQ10K_KAS_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:3;PAXG_1H_A:3;REAL_FOLLOW_SOL_6000:3;BTC_1H_C:1;BTC_SHIFT_2025_1H_4000_5000:1,quiet:3;other:3;xrp:3;paxg:3;sol:3;btc:1;shift:1,0.158289,0.065741,0.047579,0.603537
dio_mcm_episode_18bzc1l,neu,nebenrolle,0,17,17,0,6,6,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A:5;REAL_FOLLOW_DOGE_6000:3;REAL_FOLLOW_XRP_6000:3;REAL_TIME_2024_BTC_5M:3;REAL_TIME_2024_PAXG:2;PAXG_1846_A:1,sol:5;paxg:3;doge:3;xrp:3;btc:3,0.141439,0.039139,0.080184,0.619105
dio_mcm_episode_0hlxzy4,nebenrolle,nebenrolle,49,66,17,10,11,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:18;FOLLOW_EQ10K_KAS_2024_5M:17;FOLLOW_EQ10K_DOGE_2024_5M:16;FOLLOW_EQ10K_PAXG_2024_5M:5;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_XRP_6000:2;SOL_10K_A:2;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_PAXG_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1,xrp:23;doge:17;other:17;paxg:6;sol:3,0.266707,0.069647,0.134392,0.462164
dio_mcm_episode_0bb4ews,neu,nebenrolle,0,16,16,0,9,9,FOLLOW_DOGE_2024_5M_2000,FOLLOW_DOGE_2024_5M_2000:3;FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_KAS_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:2;BTC_10K_A:1;BTC_STRESS_2025_5M:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_XRP_6000:1;SOL_10K_A:1,doge:7;other:3;xrp:3;btc:1;stress:1;sol:1,0.162861,0.068817,0.113331,0.582436
dio_mcm_episode_0ycq6l6,neu,nebenrolle,0,15,15,0,6,6,BTC_1H_C,BTC_1H_C:3;FOLLOW_EQ10K_KAS_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:3;BTC_SHIFT_2025_1H_4000_5000:2;PAXG_1H_A:2;REAL_FOLLOW_XRP_6000:2,xrp:5;btc:3;other:3;shift:2;paxg:2,0.138365,0.085177,0.08686,0.627938
dio_mcm_episode_159zeqh,neu,nebenrolle,0,15,15,0,6,6,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A:4;PAXG_1846_A:3;REAL_FOLLOW_BTC_6000:3;REAL_FOLLOW_PAXG_6000:3;REAL_TIME_2024_BTC_5M:1;REAL_TIME_2024_PAXG:1,paxg:7;btc:4;sol:4,0.135198,0.036687,0.121605,0.627938
dio_mcm_episode_04jxate,neu,nebenrolle,0,15,15,0,6,6,DOGE_1H_A,DOGE_1H_A:3;QUIET_NEAR_PAXG2025_1H:3;REAL_FOLLOW_DOGE_6000:3;REAL_TIME_2024_BTC_5M:3;FOLLOW_EQ10K_PAXG_2024_5M:2;REAL_TIME_2023_SOL_ALTSEQ_A:1,doge:6;quiet:3;btc:3;paxg:2;sol:1,0.134123,0.034461,0.104232,0.627938
dio_mcm_episode_0ycrjip,neu,nebenrolle,0,14,14,0,9,9,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:2;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;FOLLOW_EQ10K_KAS_2024_5M:1;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_KAS_2024_5M_2000:1;REAL_FOLLOW_DOGE_6000:1;XRP_1H_A:1,xrp:7;doge:4;other:2;paxg:1,0.15368,0.038361,0.123284,0.591859
dio_mcm_episode_12k5tow,neu,nebenrolle,0,14,14,0,8,8,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:3;BTC_STRESS_2025_5M:2;FOLLOW_EQ10K_PAXG_2024_5M:2;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_KAS_2024_5M:1;REAL_FOLLOW_SOL_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1,doge:4;xrp:3;stress:2;paxg:2;sol:2;other:1,0.155058,0.099974,0.07106,0.603754
dio_mcm_episode_171moy1,nebenrolle,breite_grundrolle,80,94,14,21,22,1,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:14;FOLLOW_EQ10K_DOGE_2024_5M:13;FOLLOW_EQ10K_XRP_2024_5M:9;REAL_FOLLOW_XRP_6000:7;REAL_FOLLOW_DOGE_6000:5;BTC_10K_A:4;FOLLOW_DOGE_2024_5M_2000:4;FOLLOW_XRP_2024_5M_2000:4;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_TIME_2024_BTC_5M:4,doge:23;xrp:22;other:14;btc:11;quiet:10;sol:8;paxg:4;stress:2,0.395388,0.122081,0.097014,0.367207
dio_mcm_episode_0v0uojh,neu,nebenrolle,0,13,13,0,8,8,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:4;FOLLOW_EQ10K_XRP_2024_5M:2;REAL_FOLLOW_BTC_6000:2;BTC_10K_A:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_PAXG_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1;XRP_1H_A:1,doge:5;btc:3;xrp:3;paxg:1;sol:1,0.140407,0.037346,0.092971,0.608984
dio_mcm_episode_0goqj8y,neu,nebenrolle,0,12,12,0,8,8,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A:4;REAL_TIME_2024_PAXG:2;BTC_LONG_2025_5M_QUIET:1;PAXG_1846_A:1;QUIET_NEAR_BTC_1869:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1,sol:4;paxg:3;quiet:2;doge:1;xrp:1;btc:1,0.136007,0.036875,0.078061,0.614633
dio_mcm_episode_0v0cpfu,neu,nebenrolle,0,11,11,0,9,9,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:2;SOL_10K_A:2;BTC_1H_C:1;BTC_LONG_2024_5M_QUIET:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_STRESS_2025_5M:1;FOLLOW_EQ10K_PAXG_2024_5M:1;REAL_FOLLOW_PAXG_6000:1;REAL_FOLLOW_SOL_6000:1,sol:3;other:2;paxg:2;btc:1;quiet:1;shift:1;stress:1,0.150198,0.111175,0.061101,0.608879
dio_mcm_episode_129zwzz,neu,nebenrolle,0,11,11,0,8,8,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:2;BTC_FIELD_QUIET_04:1;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_BTC_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1;REAL_TIME_2024_BTC_5M:1;SOL_10K_A:1,doge:4;xrp:2;btc:2;sol:2;quiet:1,0.136772,0.036778,0.082175,0.620774
dio_mcm_episode_010cqn6,nebenrolle,nebenrolle,115,125,10,6,7,1,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M:64;FOLLOW_EQ10K_DOGE_2024_5M:21;FOLLOW_EQ10K_XRP_2024_5M:16;FOLLOW_EQ10K_KAS_2024_5M:10;PAXG_1H_A:7;BTC_FIELD_QUIET_02:4;BTC_LONG_2024_5M_QUIET:3,paxg:71;doge:21;xrp:16;other:10;quiet:7,0.211716,0.057039,0.260981,0.462737
dio_mcm_episode_16rn392,nebenrolle,nebenrolle,34,44,10,9,10,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:16;FOLLOW_EQ10K_KAS_2024_5M:10;FOLLOW_EQ10K_DOGE_2024_5M:6;FOLLOW_XRP_2024_5M_2000:3;FOLLOW_EQ10K_PAXG_2024_5M:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;REAL_TIME_2024_XRP:2;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1;SOL_10K_A:1,xrp:22;other:10;doge:6;sol:3;paxg:2;btc:1,0.206994,0.051974,0.175405,0.500404
dio_mcm_episode_1xlv7yw,nebenrolle,nebenrolle,28,38,10,11,12,1,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:10;FOLLOW_EQ10K_PAXG_2024_5M:6;BTC_LONG_2024_5M_QUIET:3;FOLLOW_EQ10K_XRP_2024_5M:3;FOLLOW_XRP_2024_5M_2000:3;REAL_FOLLOW_XRP_6000:3;REAL_TIME_2024_XRP:3;PAXG_1846_A:2;REAL_FOLLOW_BTC_6000:2;BTC_STRESS_2025_5M:1,xrp:12;other:10;paxg:8;quiet:3;btc:2;stress:1;doge:1;sol:1,0.230334,0.075282,0.105047,0.492338
