preview_symbol,world,occurrences,target_profile_hits,target_profile_share,first_tick,last_tick,before_effects,anchor_effects,after_effects,before_preview_symbols,after_preview_symbols,anchor_families,anchor_avg_rekopplung,anchor_avg_strain,anchor_avg_afterimage,anchor_avg_recurrence,anchor_avg_form_stability,anchor_avg_energy_shift,anchor_avg_tension,anchor_reading
dio_mcm_episode_02xikfk,EXPANSION10K_AFTER,574,114,0.198606,3107,9500,stabil:2265;tragend_unruhig:956;kippend:223,stabil:382;tragend_unruhig:158;kippend:34,stabil:2305;tragend_unruhig:911;kippend:222;gespannt:6,dio_mcm_episode_02xikfk:3233;dio_mcm_episode_037i64j:80;dio_mcm_episode_1t5bcxp:29;dio_mcm_episode_1so7ez5:28,dio_mcm_episode_02xikfk:3233;dio_mcm_episode_1t5bcxp:170;dio_mcm_episode_037i64j:20;dio_mcm_episode_0yzb9mh:6,dio_0cgu:3;dio_1972:2;dio_0isc:2;dio_0jaf:2,0.641826,0.199477,0.001002,0.066806,0.023460,-0.000523,0.254569,oberflaechenanker
dio_mcm_episode_02xikfk,EXPANSION10K_REPRO,574,114,0.198606,3107,9500,stabil:2265;tragend_unruhig:956;kippend:223,stabil:382;tragend_unruhig:158;kippend:34,stabil:2305;tragend_unruhig:911;kippend:222;gespannt:6,dio_mcm_episode_02xikfk:3233;dio_mcm_episode_037i64j:80;dio_mcm_episode_1t5bcxp:29;dio_mcm_episode_1so7ez5:28,dio_mcm_episode_02xikfk:3233;dio_mcm_episode_1t5bcxp:170;dio_mcm_episode_037i64j:20;dio_mcm_episode_0yzb9mh:6,dio_0cgu:3;dio_1972:2;dio_0isc:2;dio_0jaf:2,0.641826,0.199477,0.001002,0.066806,0.023460,-0.000523,0.254569,oberflaechenanker
dio_mcm_episode_02xikfk,STRESS10K_AFTER,153,27,0.176471,247,9816,stabil:631;tragend_unruhig:207;kippend:80,stabil:114;tragend_unruhig:31;kippend:8,stabil:722;tragend_unruhig:145;kippend:48;gespannt:3,dio_mcm_episode_02xikfk:694;dio_mcm_episode_037i64j:68;dio_mcm_episode_1so7ez5:53;dio_mcm_episode_1yv9fvu:22,dio_mcm_episode_02xikfk:694;dio_mcm_episode_1t5bcxp:214;dio_mcm_episode_1fc319h:3;dio_mcm_episode_1leh5qu:2,dio_1mo3:1;dio_1xnc:1;dio_1ado:1;dio_0dl1:1,0.644018,0.190778,0.002290,0.056038,-0.030631,-0.008476,0.231069,oberflaechenanker
dio_mcm_episode_02xikfk,STABLE10K_AFTER,70,13,0.185714,2345,9372,stabil:309;tragend_unruhig:96;kippend:15,stabil:55;tragend_unruhig:12;kippend:3,stabil:339;tragend_unruhig:66;kippend:15,dio_mcm_episode_02xikfk:285;dio_mcm_episode_1so7ez5:39;dio_mcm_episode_037i64j:27;dio_mcm_episode_1d26rcr:22,dio_mcm_episode_02xikfk:285;dio_mcm_episode_1t5bcxp:127;dio_mcm_episode_183drjy:8,dio_1jwr:1;dio_14xq:1;dio_1f3j:1;dio_1pvu:1,0.649566,0.186468,0.004242,0.089590,0.023418,-0.001040,0.227805,oberflaechenanker
dio_mcm_episode_0vkdfwc,STRESS10K_AFTER,46,8,0.173913,87,9741,stabil:235;tragend_unruhig:36;kippend:5,stabil:34;tragend_unruhig:10;kippend:2,stabil:199;tragend_unruhig:55;kippend:21;gespannt:1,dio_mcm_episode_1y00xwb:101;dio_mcm_episode_0vkdfwc:40;dio_mcm_episode_14wxqua:39;dio_mcm_episode_1yv9fvu:31,dio_mcm_episode_1t5bcxp:182;dio_mcm_episode_0vkdfwc:40;dio_mcm_episode_02xikfk:19;dio_mcm_episode_183drjy:10,dio_0t91:1;dio_1ugl:1;dio_1c37:1;dio_046c:1,0.647205,0.191198,0.000107,0.021739,0.112640,0.020231,0.232191,oberflaechenanker
dio_mcm_episode_0vkdfwc,EXPANSION10K_AFTER,28,5,0.178571,1012,9039,stabil:145;tragend_unruhig:21;kippend:2,stabil:26;tragend_unruhig:2,stabil:133;tragend_unruhig:27;kippend:6;gespannt:2,dio_mcm_episode_1y00xwb:47;dio_mcm_episode_0magw2b:24;dio_mcm_episode_1yv9fvu:24;dio_mcm_episode_0vkdfwc:22,dio_mcm_episode_1t5bcxp:94;dio_mcm_episode_183drjy:28;dio_mcm_episode_0vkdfwc:22;dio_mcm_episode_02xikfk:11,dio_0yvj:1;dio_1syr:1;dio_0sar:1;dio_01wy:1,0.646843,0.178148,0.001482,0.050737,-0.047447,0.041129,0.188278,oberflaechenanker
dio_mcm_episode_0vkdfwc,EXPANSION10K_REPRO,28,5,0.178571,1012,9039,stabil:145;tragend_unruhig:21;kippend:2,stabil:26;tragend_unruhig:2,stabil:133;tragend_unruhig:27;kippend:6;gespannt:2,dio_mcm_episode_1y00xwb:47;dio_mcm_episode_0magw2b:24;dio_mcm_episode_1yv9fvu:24;dio_mcm_episode_0vkdfwc:22,dio_mcm_episode_1t5bcxp:94;dio_mcm_episode_183drjy:28;dio_mcm_episode_0vkdfwc:22;dio_mcm_episode_02xikfk:11,dio_0yvj:1;dio_1syr:1;dio_0sar:1;dio_01wy:1,0.646843,0.178148,0.001482,0.050737,-0.047447,0.041129,0.188278,oberflaechenanker
dio_mcm_episode_0vkdfwc,STABLE10K_AFTER,26,5,0.192308,365,9251,stabil:138;tragend_unruhig:17;kippend:1,stabil:23;tragend_unruhig:3,stabil:139;tragend_unruhig:12;kippend:3;gespannt:2,dio_mcm_episode_1y00xwb:55;dio_mcm_episode_14wxqua:22;dio_mcm_episode_0vkdfwc:19;dio_mcm_episode_0magw2b:17,dio_mcm_episode_1t5bcxp:88;dio_mcm_episode_183drjy:32;dio_mcm_episode_0vkdfwc:19;dio_mcm_episode_1hjbx8p:6,dio_1roz:1;dio_0ows:1;dio_1kvx:1;dio_0kww:1,0.649300,0.173471,0.001523,0.046474,-0.043710,0.029999,0.181153,oberflaechenanker
dio_mcm_episode_02xikfk,SIDEWAYS,25,4,0.160000,424,1990,stabil:94;tragend_unruhig:43;kippend:13,stabil:16;tragend_unruhig:7;kippend:2,stabil:100;tragend_unruhig:36;kippend:12,dio_mcm_episode_02xikfk:123;dio_mcm_episode_037i64j:21;dio_mcm_episode_1t5bcxp:5;dio_mcm_episode_0vkdfwc:1,dio_mcm_episode_02xikfk:123;dio_mcm_episode_1t5bcxp:25,dio_13dx:1;dio_01so:1;dio_0rtr:1;dio_0xtt:1,0.640864,0.213529,0.000000,0.000000,0.272060,-0.024477,0.283256,oberflaechenanker
dio_mcm_episode_0vkdfwc,SIDEWAYS,3,0,0.000000,1080,1984,stabil:12;tragend_unruhig:5;kippend:1,stabil:2;tragend_unruhig:1,stabil:14;tragend_unruhig:3;kippend:1,dio_mcm_episode_1xfdges:6;dio_mcm_episode_15gh6qd:4;dio_mcm_episode_1y00xwb:2;dio_mcm_episode_1so7ez5:2,dio_mcm_episode_1t5bcxp:13;dio_mcm_episode_183drjy:2;dio_mcm_episode_0w50xdv:1;dio_mcm_episode_0vkdfwc:1,dio_02k1:1;dio_1e9e:1;dio_19td:1,0.642091,0.211227,0.000000,0.000000,0.264535,0.002014,0.271167,oberflaechenanker
