preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_count_delta,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score
dio_mcm_episode_1i3ov0z,milieurolle,milieurolle,2073,2241,168,11,14,3,BTC_FIELD_QUIET_03,0.413655,BTC_FIELD_QUIET_03:927;BTC_FIELD_QUIET_05:384;QUIET_NEAR_BTC_FIELD_01:350;BTC_LONG_2024_5M_QUIET:147;FOLLOW_EQ10K_DOGE_2024_5M:100;BTC_10K_A:99;DOGE_1H_B:91;PAXG_1H_A:54;FOLLOW_EQ10K_XRP_2024_5M:39;FOLLOW_EQ10K_PAXG_2024_5M:29,quiet:1822;doge:191;btc:102;paxg:84;xrp:39;shift:3,0.366226,0.066234,0.566918,0.189038
dio_mcm_episode_0vcr3lw,breite_grundrolle,breite_grundrolle,263,427,164,35,38,3,FOLLOW_EQ10K_XRP_2024_5M,0.177986,FOLLOW_EQ10K_XRP_2024_5M:76;FOLLOW_EQ10K_DOGE_2024_5M:59;FOLLOW_EQ10K_PAXG_2024_5M:29;REAL_TIME_2023_SOL_ALTSEQ_A:18;FOLLOW_DOGE_2024_5M_2000:17;FOLLOW_XRP_2024_5M_2000:17;SOL_10K_A:17;REAL_FOLLOW_SOL_6000:16;DOGE_1H_B:13;REAL_FOLLOW_DOGE_6000:13,xrp:121;doge:106;paxg:56;sol:51;quiet:37;btc:34;stress:13;shift:9,0.575064,0.225563,0.145351,0.222555
dio_mcm_episode_0hvxln3,breite_grundrolle,breite_grundrolle,197,338,141,34,37,3,FOLLOW_EQ10K_DOGE_2024_5M,0.162722,FOLLOW_EQ10K_DOGE_2024_5M:55;FOLLOW_EQ10K_XRP_2024_5M:55;FOLLOW_EQ10K_PAXG_2024_5M:31;REAL_TIME_2023_SOL_ALTSEQ_A:20;SOL_10K_A:15;BTC_10K_A:14;FOLLOW_DOGE_2024_5M_2000:14;FOLLOW_XRP_2024_5M_2000:12;REAL_FOLLOW_SOL_6000:12;REAL_FOLLOW_DOGE_6000:9,doge:86;xrp:82;paxg:56;sol:50;btc:29;quiet:26;stress:5;shift:4,0.551403,0.176858,0.125473,0.239051
dio_mcm_episode_0b8eoy2,breite_grundrolle,breite_grundrolle,199,321,122,24,27,3,FOLLOW_EQ10K_DOGE_2024_5M,0.193146,FOLLOW_EQ10K_DOGE_2024_5M:62;FOLLOW_EQ10K_XRP_2024_5M:52;FOLLOW_DOGE_2024_5M_2000:21;REAL_FOLLOW_XRP_6000:20;REAL_FOLLOW_SOL_6000:19;REAL_TIME_2024_BTC_5M:16;SOL_10K_A:16;BTC_10K_A:15;FOLLOW_XRP_2024_5M_2000:15;REAL_TIME_2024_XRP:15,xrp:104;doge:93;sol:51;btc:43;stress:9;quiet:8;paxg:8;shift:4;other:1,0.47847,0.169284,0.160544,0.259851
dio_mcm_episode_010cqn6,neu,nebenrolle,0,115,115,0,6,6,FOLLOW_EQ10K_PAXG_2024_5M,0.556522,FOLLOW_EQ10K_PAXG_2024_5M:64;FOLLOW_EQ10K_DOGE_2024_5M:21;FOLLOW_EQ10K_XRP_2024_5M:16;PAXG_1H_A:7;BTC_FIELD_QUIET_02:4;BTC_LONG_2024_5M_QUIET:3,paxg:71;doge:21;xrp:16;quiet:7,0.186107,0.050579,0.281888,0.484189
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,234,336,102,28,31,3,FOLLOW_EQ10K_DOGE_2024_5M,0.169643,FOLLOW_EQ10K_DOGE_2024_5M:57;FOLLOW_EQ10K_XRP_2024_5M:36;BTC_10K_A:22;FOLLOW_XRP_2024_5M_2000:21;FOLLOW_DOGE_2024_5M_2000:20;REAL_TIME_2024_XRP:19;SOL_10K_A:19;REAL_FOLLOW_DOGE_6000:17;REAL_FOLLOW_SOL_6000:17;REAL_FOLLOW_XRP_6000:17,doge:96;xrp:96;sol:56;btc:50;quiet:14;stress:10;paxg:9;shift:5,0.528722,0.194544,0.141117,0.242676
dio_mcm_episode_15z3zml,breite_grundrolle,breite_grundrolle,168,270,102,21,24,3,FOLLOW_EQ10K_DOGE_2024_5M,0.207407,FOLLOW_EQ10K_DOGE_2024_5M:56;FOLLOW_EQ10K_XRP_2024_5M:40;SOL_10K_A:21;REAL_FOLLOW_SOL_6000:20;REAL_FOLLOW_XRP_6000:17;FOLLOW_DOGE_2024_5M_2000:15;BTC_10K_A:13;REAL_TIME_2024_BTC_5M:12;REAL_TIME_2023_SOL_ALTSEQ_A:11;BTC_STRESS_2024_5M:9,doge:80;xrp:73;sol:55;btc:33;stress:13;paxg:6;quiet:4;shift:3;other:3,0.451046,0.186331,0.143768,0.283956
dio_mcm_episode_08g1nk4,breite_grundrolle,breite_grundrolle,225,318,93,32,35,3,FOLLOW_EQ10K_DOGE_2024_5M,0.138365,FOLLOW_EQ10K_DOGE_2024_5M:44;FOLLOW_EQ10K_XRP_2024_5M:38;FOLLOW_XRP_2024_5M_2000:19;REAL_TIME_2024_XRP:18;FOLLOW_DOGE_2024_5M_2000:17;BTC_10K_A:16;REAL_FOLLOW_DOGE_6000:14;REAL_TIME_2024_BTC_5M:14;REAL_FOLLOW_XRP_6000:12;SOL_10K_A:12,xrp:92;doge:83;btc:41;sol:39;quiet:27;paxg:19;stress:11;shift:4;other:2,0.537893,0.199798,0.141175,0.243356
dio_mcm_episode_0bygq81,nebenrolle,nebenrolle,73,166,93,14,17,3,FOLLOW_EQ10K_XRP_2024_5M,0.319277,FOLLOW_EQ10K_XRP_2024_5M:53;FOLLOW_EQ10K_DOGE_2024_5M:30;REAL_TIME_2023_SOL_ALTSEQ_A:13;FOLLOW_XRP_2024_5M_2000:11;QUIET_NEAR_PAXG2025_1H:11;FOLLOW_EQ10K_PAXG_2024_5M:10;FOLLOW_DOGE_2024_5M_2000:9;REAL_FOLLOW_XRP_6000:8;REAL_FOLLOW_PAXG_6000:4;REAL_FOLLOW_SOL_6000:4,xrp:75;doge:39;sol:20;paxg:15;quiet:11;btc:4;stress:2,0.351584,0.100228,0.205666,0.35311
dio_mcm_episode_14pd6eb,breite_grundrolle,breite_grundrolle,122,210,88,17,20,3,FOLLOW_EQ10K_XRP_2024_5M,0.2,FOLLOW_EQ10K_XRP_2024_5M:42;FOLLOW_EQ10K_DOGE_2024_5M:33;FOLLOW_XRP_2024_5M_2000:19;REAL_TIME_2023_SOL_ALTSEQ_A:14;FOLLOW_EQ10K_PAXG_2024_5M:13;QUIET_NEAR_PAXG2025_1H:12;REAL_FOLLOW_XRP_6000:10;FOLLOW_DOGE_2024_5M_2000:9;REAL_TIME_2024_XRP:9;BTC_STRESS_2025_5M:8,xrp:80;doge:48;sol:29;paxg:21;quiet:17;stress:8;btc:7,0.427665,0.15226,0.179106,0.320104
dio_mcm_episode_05upp98,nebenrolle,breite_grundrolle,103,180,77,16,19,3,FOLLOW_EQ10K_XRP_2024_5M,0.211111,FOLLOW_EQ10K_XRP_2024_5M:38;FOLLOW_EQ10K_DOGE_2024_5M:28;REAL_TIME_2023_SOL_ALTSEQ_A:17;FOLLOW_XRP_2024_5M_2000:15;QUIET_NEAR_PAXG2025_1H:12;FOLLOW_EQ10K_PAXG_2024_5M:11;REAL_FOLLOW_XRP_6000:10;FOLLOW_DOGE_2024_5M_2000:8;REAL_FOLLOW_PAXG_6000:6;REAL_TIME_2024_XRP:6,xrp:69;doge:41;sol:24;paxg:20;quiet:16;btc:5;stress:5,0.404201,0.132341,0.175734,0.336163
dio_mcm_episode_1qv5i56,nebenrolle,nebenrolle,44,106,62,12,15,3,FOLLOW_EQ10K_XRP_2024_5M,0.358491,FOLLOW_EQ10K_XRP_2024_5M:38;FOLLOW_EQ10K_DOGE_2024_5M:14;FOLLOW_EQ10K_PAXG_2024_5M:10;FOLLOW_XRP_2024_5M_2000:10;QUIET_NEAR_PAXG2025_1H:6;REAL_FOLLOW_XRP_6000:6;FOLLOW_DOGE_2024_5M_2000:5;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2024_BTC_5M:3,xrp:56;doge:19;paxg:12;sol:9;quiet:7;btc:3,0.30243,0.076267,0.22151,0.397405
dio_mcm_episode_0wo0tz1,breite_grundrolle,breite_grundrolle,4661,4718,57,27,28,1,BTC_FIELD_QUIET_03,0.093684,BTC_FIELD_QUIET_03:442;BTC_STRESS_2025_5M:419;BTC_STRESS_2024_5M:401;XRP_1H_A:330;FOLLOW_PAXG_2024_5M_2000:327;REAL_TIME_2024_PAXG:327;BTC_10K_A:313;BTC_LONG_2024_5M_QUIET:289;REAL_FOLLOW_DOGE_6000:245;BTC_SHIFT_2025_15M_16000_17000:221,stress:820;quiet:783;paxg:777;btc:692;doge:690;xrp:510;shift:439;sol:7,0.821027,0.770764,0.125862,0.066499
dio_mcm_episode_0hlxzy4,neu,nebenrolle,0,49,49,0,10,10,FOLLOW_EQ10K_XRP_2024_5M,0.367347,FOLLOW_EQ10K_XRP_2024_5M:18;FOLLOW_EQ10K_DOGE_2024_5M:16;FOLLOW_EQ10K_PAXG_2024_5M:5;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_XRP_6000:2;SOL_10K_A:2;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_PAXG_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1;REAL_TIME_2024_XRP:1,xrp:23;doge:17;paxg:6;sol:3,0.22175,0.058244,0.169349,0.492808
dio_mcm_episode_10r2mum,milieurolle,milieurolle,1761,1800,39,7,8,1,PAXG_1846_A,0.768889,PAXG_1846_A:1384;REAL_TIME_2024_PAXG:109;FOLLOW_PAXG_2024_5M_2000:108;REAL_FOLLOW_PAXG_6000:101;FOLLOW_EQ10K_PAXG_2024_5M:39;BTC_FIELD_QUIET_04:25;BTC_FIELD_QUIET_03:18;BTC_10K_A:16,paxg:1741;quiet:43;btc:16,0.189798,0.018159,0.68324,0.261018
dio_mcm_episode_094f7up,nebenrolle,nebenrolle,36,72,36,11,14,3,FOLLOW_EQ10K_XRP_2024_5M,0.347222,FOLLOW_EQ10K_XRP_2024_5M:25;FOLLOW_EQ10K_PAXG_2024_5M:7;QUIET_NEAR_PAXG2025_1H:6;FOLLOW_XRP_2024_5M_2000:5;REAL_FOLLOW_PAXG_6000:5;FOLLOW_EQ10K_DOGE_2024_5M:4;REAL_TIME_2023_SOL_ALTSEQ_A:4;BTC_FIELD_QUIET_05:3;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2024_SOL_ALTSEQ_A:3,xrp:30;paxg:13;sol:13;quiet:9;doge:4;stress:2;btc:1,0.276933,0.094542,0.161061,0.431669
dio_mcm_episode_16rn392,neu,nebenrolle,0,34,34,0,9,9,FOLLOW_EQ10K_XRP_2024_5M,0.470588,FOLLOW_EQ10K_XRP_2024_5M:16;FOLLOW_EQ10K_DOGE_2024_5M:6;FOLLOW_XRP_2024_5M_2000:3;FOLLOW_EQ10K_PAXG_2024_5M:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;REAL_TIME_2024_XRP:2;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1;SOL_10K_A:1,xrp:22;doge:6;sol:3;paxg:2;btc:1,0.165542,0.040433,0.213185,0.52924
dio_mcm_episode_0ws9wvs,neu,nebenrolle,0,33,33,0,10,10,FOLLOW_EQ10K_XRP_2024_5M,0.363636,FOLLOW_EQ10K_XRP_2024_5M:12;FOLLOW_EQ10K_DOGE_2024_5M:8;SOL_10K_A:3;FOLLOW_EQ10K_PAXG_2024_5M:2;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;FOLLOW_PAXG_2024_5M_2000:1;PAXG_1846_A:1;REAL_TIME_2024_PAXG:1;REAL_TIME_2024_XRP:1,xrp:15;doge:8;paxg:5;sol:5,0.210291,0.057936,0.147336,0.520707
dio_mcm_episode_08q1993,neu,nebenrolle,0,33,33,0,9,9,FOLLOW_EQ10K_XRP_2024_5M,0.363636,FOLLOW_EQ10K_XRP_2024_5M:12;FOLLOW_EQ10K_DOGE_2024_5M:9;REAL_FOLLOW_XRP_6000:3;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_SOL_6000:2;REAL_TIME_2024_XRP:2;BTC_STRESS_2025_5M:1;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_PAXG_6000:1,xrp:19;doge:10;sol:2;stress:1;paxg:1,0.170713,0.057187,0.188088,0.531347
dio_mcm_episode_16bqw8k,breite_grundrolle,breite_grundrolle,75,107,32,25,28,3,FOLLOW_EQ10K_DOGE_2024_5M,0.130841,FOLLOW_EQ10K_DOGE_2024_5M:14;FOLLOW_EQ10K_XRP_2024_5M:11;FOLLOW_EQ10K_PAXG_2024_5M:7;FOLLOW_XRP_2024_5M_2000:7;REAL_TIME_2023_SOL_ALTSEQ_A:7;REAL_TIME_2024_XRP:7;BTC_STRESS_2025_5M:5;FOLLOW_DOGE_2024_5M_2000:5;REAL_FOLLOW_DOGE_6000:5;BTC_10K_A:4,xrp:31;doge:26;sol:15;paxg:10;quiet:8;btc:7;stress:6;shift:2;other:2,0.428763,0.191999,0.115897,0.33371
dio_mcm_episode_0n6m7si,nebenrolle,nebenrolle,52,83,31,14,17,3,FOLLOW_EQ10K_XRP_2024_5M,0.216867,FOLLOW_EQ10K_XRP_2024_5M:18;REAL_TIME_2023_SOL_ALTSEQ_A:8;FOLLOW_EQ10K_DOGE_2024_5M:7;PAXG_1846_A:7;FOLLOW_EQ10K_PAXG_2024_5M:6;REAL_FOLLOW_PAXG_6000:6;BTC_LONG_2024_5M_QUIET:5;FOLLOW_XRP_2024_5M_2000:5;QUIET_NEAR_PAXG2025_1H:4;BTC_STRESS_2025_5M:3,xrp:23;paxg:19;sol:14;quiet:10;doge:10;btc:4;stress:3,0.34436,0.123183,0.109038,0.402027
dio_mcm_episode_16rq8r1,nebenrolle,nebenrolle,13,44,31,11,14,3,FOLLOW_EQ10K_DOGE_2024_5M,0.295455,FOLLOW_EQ10K_DOGE_2024_5M:13;FOLLOW_EQ10K_XRP_2024_5M:11;FOLLOW_EQ10K_PAXG_2024_5M:7;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_FIELD_QUIET_04:1;BTC_LONG_2024_5M_QUIET:1;BTC_STRESS_2024_5M:1;BTC_STRESS_2025_5M:1;DOGE_1H_A:1,xrp:16;doge:15;paxg:8;quiet:2;stress:2;sol:1,0.247781,0.095754,0.124376,0.466424
dio_mcm_episode_16hqn22,nebenrolle,breite_grundrolle,47,75,28,21,24,3,FOLLOW_EQ10K_XRP_2024_5M,0.186667,FOLLOW_EQ10K_XRP_2024_5M:14;FOLLOW_EQ10K_DOGE_2024_5M:11;FOLLOW_XRP_2024_5M_2000:7;REAL_FOLLOW_SOL_6000:5;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_TIME_2024_XRP:4;SOL_10K_A:4;FOLLOW_EQ10K_PAXG_2024_5M:3;REAL_FOLLOW_PAXG_6000:3;BTC_10K_A:2,xrp:26;doge:13;sol:13;quiet:10;paxg:8;btc:5,0.385856,0.099724,0.129722,0.374355
dio_mcm_episode_0a6jsal,neu,nebenrolle,0,26,26,0,8,8,FOLLOW_EQ10K_PAXG_2024_5M,0.269231,FOLLOW_EQ10K_PAXG_2024_5M:7;FOLLOW_EQ10K_XRP_2024_5M:6;FOLLOW_EQ10K_DOGE_2024_5M:4;BTC_FIELD_QUIET_02:2;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_PAXG_6000:2;REAL_TIME_2024_XRP:2;DOGE_1H_B:1,xrp:10;paxg:9;doge:5;quiet:2,0.181781,0.04781,0.118096,0.560067
dio_mcm_episode_171moy1,nebenrolle,nebenrolle,55,80,25,18,21,3,FOLLOW_EQ10K_DOGE_2024_5M,0.1625,FOLLOW_EQ10K_DOGE_2024_5M:13;FOLLOW_EQ10K_XRP_2024_5M:9;REAL_FOLLOW_XRP_6000:7;REAL_FOLLOW_DOGE_6000:5;BTC_10K_A:4;FOLLOW_DOGE_2024_5M_2000:4;FOLLOW_XRP_2024_5M_2000:4;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_TIME_2024_BTC_5M:4;BTC_1H_A:3,doge:23;xrp:22;btc:11;quiet:10;sol:8;paxg:4;stress:2,0.368832,0.117349,0.110349,0.383286
dio_mcm_episode_0tfzgic,breite_grundrolle,breite_grundrolle,7966,7991,25,27,29,2,REAL_TIME_2024_SOL_ALTSEQ_A,0.225754,REAL_TIME_2024_SOL_ALTSEQ_A:1804;BTC_LONG_2025_5M_QUIET:1320;QUIET_NEAR_BTC_1869:1317;QUIET_NEAR_PAXG2025_1H:723;QUIET_NEAR_PAXG2024_1H:603;BTC_FIELD_QUIET_02:503;DOGE_1H_A:297;BTC_1H_B:290;REAL_TIME_2023_SOL_ALTSEQ_A:226;FOLLOW_KAS_2024_5M_2000:223,quiet:4601;sol:2030;btc:559;doge:329;other:223;paxg:87;shift:69;xrp:63;stress:30,0.662239,0.161132,0.441678,0.025769
dio_mcm_episode_0wyfujk,neu,nebenrolle,0,24,24,0,9,9,FOLLOW_EQ10K_PAXG_2024_5M,0.25,FOLLOW_EQ10K_PAXG_2024_5M:6;FOLLOW_EQ10K_XRP_2024_5M:6;BTC_STRESS_2024_5M:2;FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_PAXG_6000:2;REAL_TIME_2024_XRP:2;BTC_FIELD_QUIET_02:1;FOLLOW_DOGE_2024_5M_2000:1,xrp:10;paxg:8;doge:3;stress:2;quiet:1,0.180583,0.08896,0.123719,0.553821
dio_mcm_episode_0izppf1,nebenrolle,nebenrolle,56,77,21,18,21,3,FOLLOW_EQ10K_XRP_2024_5M,0.168831,FOLLOW_EQ10K_XRP_2024_5M:13;REAL_FOLLOW_SOL_6000:11;FOLLOW_EQ10K_DOGE_2024_5M:7;SOL_10K_A:7;FOLLOW_XRP_2024_5M_2000:5;REAL_FOLLOW_DOGE_6000:5;REAL_TIME_2024_XRP:5;BTC_FIELD_QUIET_04:3;BTC_STRESS_2025_5M:3;FOLLOW_DOGE_2024_5M_2000:3,xrp:27;sol:21;doge:15;quiet:5;stress:5;btc:2;shift:1;paxg:1,0.340722,0.157336,0.133414,0.385983
dio_mcm_episode_0imu3z8,neu,nebenrolle,0,19,19,0,11,11,FOLLOW_EQ10K_XRP_2024_5M,0.315789,FOLLOW_EQ10K_XRP_2024_5M:6;FOLLOW_EQ10K_DOGE_2024_5M:2;PAXG_1846_A:2;REAL_FOLLOW_XRP_6000:2;BTC_10K_A:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_PAXG2025_1H:1;REAL_FOLLOW_PAXG_6000:1,xrp:9;paxg:4;doge:3;btc:1;quiet:1;sol:1,0.175397,0.04439,0.128381,0.550042
dio_mcm_episode_01h2hhh,neu,nebenrolle,0,19,19,0,7,7,FOLLOW_EQ10K_DOGE_2024_5M,0.210526,FOLLOW_EQ10K_DOGE_2024_5M:4;FOLLOW_EQ10K_XRP_2024_5M:4;BTC_LONG_2024_5M_QUIET:3;REAL_TIME_2024_SOL_ALTSEQ_A:3;FOLLOW_EQ10K_PAXG_2024_5M:2;PAXG_1846_A:2;REAL_FOLLOW_XRP_6000:1,xrp:5;doge:4;paxg:4;quiet:3;sol:3,0.165181,0.044339,0.073737,0.595688
dio_mcm_episode_1c8zokt,nebenrolle,nebenrolle,80,99,19,6,8,2,REAL_FOLLOW_DOGE_6000,0.333333,REAL_FOLLOW_DOGE_6000:33;REAL_FOLLOW_XRP_6000:23;REAL_FOLLOW_SOL_6000:20;FOLLOW_EQ10K_XRP_2024_5M:12;FOLLOW_EQ10K_DOGE_2024_5M:7;FOLLOW_DOGE_2024_5M_2000:2;BTC_10K_A:1;SOL_10K_A:1,doge:42;xrp:35;sol:21;btc:1,0.23509,0.059743,0.183719,0.465709
dio_mcm_episode_08op00s,nebenrolle,nebenrolle,32,50,18,14,16,2,FOLLOW_EQ10K_XRP_2024_5M,0.2,FOLLOW_EQ10K_XRP_2024_5M:10;FOLLOW_EQ10K_PAXG_2024_5M:8;FOLLOW_XRP_2024_5M_2000:5;QUIET_NEAR_PAXG2025_1H:4;BTC_10K_A:3;BTC_FIELD_QUIET_05:3;BTC_STRESS_2025_5M:3;REAL_TIME_2023_SOL_ALTSEQ_A:3;REAL_FOLLOW_BTC_6000:2;REAL_FOLLOW_PAXG_6000:2,xrp:18;paxg:11;quiet:8;btc:5;sol:5;stress:3,0.299681,0.125899,0.125996,0.443917
