asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_1u5i,191,3,field_stabil,70,0.035035035035035036,0.766872,0.14667985714285714,0.7098274142857143,0.879309,62,0.031031031031031032,0.7700638387096774,0.15151146774193547,0.850435064516129,0.9482464838709678,59,0.02952952952952953,0.769918593220339,0.1517636779661017,0.8599074406779661,0.9536237627118643,-0.005505505505505506,0.15008002639225182,0.07431476271186432,0.0050838208232445725,anschlussfaehige_oberflaeche
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_0m9z,189,3,field_stabil,47,0.023523523523523524,0.7462216382978724,0.1754402340425532,0.6668406382978723,0.8486625319148936,74,0.037037037037037035,0.749896972972973,0.18330137837837837,0.8356677972972972,0.9383344864864864,68,0.03403403403403404,0.7529522941176471,0.17977491176470586,0.8545233088235294,0.9482143529411765,0.010510510510510513,0.18768267052565712,0.0995518210262829,0.004334677722152652,anschlussfaehige_oberflaeche
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_1fll,179,3,field_stabil,68,0.03403403403403404,0.7917826470588235,0.12522170588235296,0.7091556911764706,0.879565044117647,48,0.024024024024024024,0.7957248541666666,0.129988625,0.8628540416666667,0.9510963541666667,63,0.03153153153153153,0.7959189365079365,0.13048988888888888,0.8599210952380952,0.9549579047619048,-0.0025025025025025086,0.15076540406162464,0.07539286064425776,0.00526818300653592,anschlussfaehige_oberflaeche
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_0h9h,150,3,field_stabil,52,0.026026026026026026,0.7615275961538461,0.15510373076923076,0.6884826153846154,0.8616903269230769,50,0.025025025025025027,0.7652711,0.16034502,0.8463331599999999,0.9404043799999999,48,0.024024024024024024,0.7706752708333333,0.16069939583333334,0.8727604166666666,0.9526662083333334,-0.002002002002002002,0.18427780128205118,0.09097588141025648,0.005595665064102584,anschlussfaehige_oberflaeche
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_155c,137,3,field_stabil,43,0.021521521521521522,0.7536202558139534,0.16864616279069766,0.6514922093023255,0.8406188837209302,48,0.024024024024024024,0.75727625,0.17558310416666667,0.8513454375,0.9378887708333333,46,0.023023023023023025,0.7578929565217392,0.17487808695652174,0.8855582826086956,0.9527074782608697,0.0015015015015015024,0.23406607330637008,0.11208859453993947,0.0062319241658240765,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_0oc3,118,3,field_stabil,31,0.015515515515515516,0.7399955483870968,0.1837895806451613,0.6000603870967742,0.817537806451613,43,0.021521521521521522,0.7420060232558139,0.1897549534883721,0.833698488372093,0.9349226279069768,44,0.022022022022022022,0.7463122954545455,0.19193268181818182,0.8735239545454546,0.9501961136363636,0.006506506506506506,0.2734635674486804,0.13265830718475058,0.008143101173020528,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_1ewh,104,3,field_stabil,41,0.02052052052052052,0.7469490487804878,0.16440360975609755,0.6501562926829269,0.8447625365853658,38,0.01901901901901902,0.754805947368421,0.17212465789473685,0.8576268684210526,0.9440401578947368,25,0.012512512512512513,0.75500268,0.17267275999999998,0.8809421999999999,0.9544621200000001,-0.008008008008008006,0.23078590731707305,0.10969958341463426,0.008269150243902429,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_0dd2,104,3,field_stabil,34,0.01701701701701702,0.7654744117647059,0.14834255882352942,0.6181514117647059,0.8278020882352941,34,0.01701701701701702,0.7719164117647059,0.15465058823529412,0.8564853823529411,0.9426466764705883,36,0.018018018018018018,0.7764614166666667,0.15836269444444442,0.8715302777777778,0.9523827777777778,0.0010010010010009993,0.2533788660130719,0.12458068954248369,0.010020135620915,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_0obq,104,3,field_stabil,40,0.02002002002002002,0.75173555,0.172968375,0.653392575,0.8423027,26,0.013013013013013013,0.748419846153846,0.18187646153846154,0.8658295384615384,0.9442940384615385,38,0.01901901901901902,0.7500847105263159,0.1817951052631579,0.8788711052631578,0.9510788157894737,-0.0010010010010009993,0.22547853026315778,0.10877611578947377,0.00882673026315789,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_00ja,103,3,field_stabil,30,0.015015015015015015,0.7384693333333333,0.17517570000000002,0.5840251,0.8105268333333334,42,0.021021021021021023,0.7420993809523809,0.18156533333333333,0.8529113809523808,0.9378041190476191,31,0.015515515515515516,0.7447366451612903,0.1827410322580645,0.8834774516129033,0.9509571612903226,0.0005005005005005014,0.2994523516129033,0.14043032795698918,0.007565332258064494,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_00ly,99,3,field_stabil,34,0.01701701701701702,0.7644304705882352,0.15200176470588234,0.6328715588235294,0.8268856176470588,32,0.016016016016016016,0.765185625,0.159372125,0.86834034375,0.9422648124999999,33,0.016516516516516516,0.7659947575757575,0.15963421212121212,0.8740197272727273,0.9481282121212121,-0.0005005005005005031,0.24114816844919784,0.12124259447415331,0.007632447415329785,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_06er,96,3,field_stabil,32,0.016016016016016016,0.78037678125,0.1341340625,0.601503625,0.8220921875,33,0.016516516516516516,0.782823090909091,0.14152815151515152,0.8578583030303031,0.9425631818181818,31,0.015515515515515516,0.7861198387096774,0.14275403225806452,0.8717364838709678,0.9518910967741936,-0.0005005005005004996,0.2702328588709678,0.12979890927419357,0.008619969758064505,kernfamilie_mit_feldzeitverdichtung
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_1jc2,93,3,field_stabil,31,0.015515515515515516,0.7740052580645161,0.131477,0.6121416451612903,0.8227369677419355,35,0.017517517517517518,0.7765207142857143,0.13938448571428572,0.8665870285714286,0.9425081714285715,27,0.013513513513513514,0.7788573333333333,0.14051266666666667,0.8908094074074073,0.9564613333333334,-0.002002002002002002,0.278667762246117,0.1337243655913979,0.009035666666666664,kernfamilie_mit_feldzeitverdichtung
