world,start_tick,end_tick,length,top_family,field_top,temporal_top,range_avg,volume_avg,ret_sum
TRX_10K,3045,3047,3,dio_11at,field_carried,temporal_far_return,0.0016867255011691125,2209993.033333333,0.0044989206933251195
TRX_10K,9643,9645,3,dio_1foq,field_carried,temporal_first_contact,0.0006882634063693101,485812.8,0.0008604890101302908
PEPE_A_10K,1519,1521,3,dio_0u2x,field_carried,temporal_far_return,0.017805416035504486,119347411403.33333,0.00015945148688530433
PEPE_A_10K,200,201,2,dio_00ja,field_carried,temporal_far_return,0.007490741779822778,10068591661.0,-0.007462686567164265
PEPE_A_10K,2463,2464,2,dio_0g2r,field_carried,temporal_far_return,0.017543859649122823,122556836938.0,0.0
PEPE_A_10K,3441,3442,2,dio_0lbk,field_carried,temporal_far_return,0.01222897937599151,70951505302.5,0.008196721311475506
PEPE_A_10K,729,729,1,dio_0h3g,field_carried,temporal_far_return,0.041666666666666796,858500498867.0,0.00833333333333343
PEPE_B_10K,1316,1318,3,dio_18kx,field_carried,temporal_far_return,0.014578930987599728,397806853636.3333,-0.022529660455357058
PEPE_B_10K,1452,1454,3,dio_11z2,field_carried,temporal_far_return,0.01743840756669678,451452507186.6667,-0.02448467126510917
PEPE_B_10K,2975,2977,3,dio_0u2x,field_carried,temporal_far_return,0.01632615646242373,850827805259.6666,-0.0010561426966132215
PEPE_B_10K,3551,3553,3,dio_0oc3,field_carried,temporal_far_return,0.010418223266415444,733942489915.0,0.0010799085936598664
PEPE_B_10K,271,272,2,dio_14d9,field_carried,temporal_first_contact,0.016253725201690893,290720111100.0,0.01749441999077255
PEPE_C_10K,798,800,3,dio_155c,field_carried,temporal_far_return,0.0050499783380966706,95657480067.33333,4.784695775555958e-06
PEPE_C_10K,2888,2890,3,dio_0d46,field_carried,temporal_far_return,0.009353090094625299,286970991872.0,0.008183041870034484
PEPE_C_10K,3922,3924,3,dio_1ydr,field_carried,temporal_far_return,0.015227507562522296,399768869773.6667,-0.0018075412979724039
PEPE_C_10K,5760,5762,3,dio_00ly,field_carried,temporal_far_return,0.016690159351433337,654295758355.6666,-0.01758371480115857
PEPE_C_10K,5938,5940,3,dio_0kap,field_carried,temporal_far_return,0.010564776480426169,408752756445.3333,-0.006493592392093801
