preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_1f9nms9,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_1fb1phy,nebenrolle,nebenrolle,0,0,0.0,QUIET_NEAR_PAXG2025_1H,QUIET_NEAR_PAXG2025_1H,0
dio_mcm_episode_1i3ov0z,milieurolle,milieurolle,0,0,0.0,BTC_FIELD_QUIET_03,BTC_FIELD_QUIET_03,0
dio_mcm_episode_1iwpq62,nebenrolle,nebenrolle,0,0,0.0,BTC_STRESS_2024_5M,BTC_STRESS_2024_5M,0
dio_mcm_episode_1kebzg8,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1kwexso,nebenrolle,nebenrolle,0,0,0.0,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_1olmeud,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_05,BTC_FIELD_QUIET_05,0
dio_mcm_episode_1qbxuu8,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1qmlwcr,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,0
dio_mcm_episode_1qqk46w,nebenrolle,nebenrolle,0,0,0.0,BTC_1H_B,BTC_1H_B,0
dio_mcm_episode_1qv5i56,breite_grundrolle,breite_grundrolle,0,0,0.0,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1ttt3xj,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_05,BTC_FIELD_QUIET_05,0
dio_mcm_episode_1wep5t1,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_1xlv7yw,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_1xo78p1,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1xol2nw,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1yhu9yb,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_1ymlx26,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_PAXG_2024_5M_2000,FOLLOW_PAXG_2024_5M_2000,0
