asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,row_type,worlds,avg_kernfamilien,avg_oberflaechen,avg_source_family_overlap,avg_source_kern_overlap,states,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_0dd2,220,3,field_stabil,73,0.012886142983230361,0.7605082191780822,0.1531438219178082,0.7490220136986301,0.8877409863013699,54,0.009532215357458075,0.7665137962962963,0.15766459259259258,0.8945924814814815,0.9572735555555555,93,0.01641949152542373,0.7671157741935485,0.1568608494623656,0.8786491290322581,0.9559165698924731,0.0035333485421933687,0.12962711533362803,0.0681755835911032,0.003717027544557383,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1ewh,211,3,field_stabil,78,0.013768755516328331,0.7447882692307692,0.16793278205128206,0.7685935384615384,0.8940405769230768,68,0.012003530450132392,0.7490001470588235,0.17260654411764706,0.8946775,0.9584403382352941,65,0.011475988700564972,0.7503329076923076,0.1725011076923077,0.9075586615384615,0.9638327846153846,-0.0022927668157633595,0.1389651230769231,0.06979220769230776,0.004568325641025633,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1kpz,204,3,field_stabil,68,0.012003530450132392,0.7684725147058823,0.14378814705882353,0.7679676764705882,0.8904601029411765,81,0.014298323036187114,0.770678037037037,0.1473008024691358,0.8935225679012345,0.9574168024691357,55,0.00971045197740113,0.7704886909090909,0.14882185454545455,0.9080242727272728,0.9646110545454545,-0.002293078472731261,0.14005659625668465,0.07415095160427798,0.005033707486631012,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_06s7,187,3,field_stabil,64,0.011297440423654015,0.766571953125,0.1439590625,0.750889421875,0.8850905,57,0.010061782877316858,0.7700503157894737,0.14914308771929824,0.906752298245614,0.9598318421052631,66,0.011652542372881356,0.7705120303030303,0.14761063636363636,0.8926868636363636,0.9604985303030302,0.00035510194922734085,0.14179744176136366,0.07540803030303023,0.003651573863636348,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_06er,181,3,field_stabil,62,0.010944395410414828,0.7716766935483871,0.14066082258064516,0.7369545483870967,0.8802765483870968,41,0.007237422771403354,0.7738434146341463,0.14692253658536586,0.8969418292682926,0.9555664634146341,78,0.013771186440677966,0.7764647435897436,0.14372129487179486,0.8795999615384614,0.9553850384615384,0.002826791030263138,0.1426454131513647,0.07510849007444165,0.003060472291149696,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1q85,176,3,field_stabil,60,0.01059135039717564,0.7409293666666666,0.17805498333333333,0.7470166500000001,0.8787625,62,0.010944395410414828,0.745990935483871,0.1827948064516129,0.901304564516129,0.9558339838709677,54,0.009533898305084746,0.7476240555555556,0.18165625925925927,0.9103452037037038,0.9622110555555556,-0.0010574520920908943,0.1633285537037037,0.08344855555555564,0.003601275925925934,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_0g2r,163,3,field_stabil,55,0.009708737864077669,0.7423544727272727,0.16736054545454546,0.7154097818181818,0.8682308909090909,61,0.010767872903795234,0.7450214918032787,0.17401734426229507,0.8929926885245902,0.9530401967213115,47,0.008298022598870056,0.7480539787234043,0.17132904255319148,0.906440914893617,0.9606315531914894,-0.0014107152652076127,0.19103113307543518,0.09240066228239852,0.003968497098646023,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_0tay,154,3,field_stabil,51,0.009002647837599295,0.753302294117647,0.16208117647058823,0.7300456274509803,0.8715299411764706,48,0.008473080317740512,0.7566815625,0.16797150000000002,0.8982136875000001,0.9551691041666667,55,0.00971045197740113,0.7591069454545454,0.16561043636363637,0.9005395636363637,0.9612403818181818,0.0007078041398018362,0.17049393618538333,0.08971044064171119,0.0035292598930481422,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_0nlj,151,3,field_stabil,61,0.010767872903795234,0.7735419344262295,0.13677003278688524,0.7455394098360656,0.881384737704918,46,0.008120035304501325,0.7779070217391305,0.14221980434782608,0.9095898913043479,0.959645,44,0.007768361581920904,0.7765010681818182,0.14469002272727274,0.9237127954545454,0.9658496363636363,-0.00299951132187433,0.17817338561847984,0.08446489865871831,0.007919989940387506,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1r55,144,3,field_stabil,47,0.008296557811120918,0.7522650638297873,0.16290563829787236,0.6864472340425531,0.8553786170212766,31,0.005472197705207414,0.7522873870967742,0.17550103225806452,0.9040619354838709,0.9535790967741936,66,0.011652542372881356,0.756191303030303,0.16943928787878787,0.8653598484848485,0.9495697575757576,0.003355984561760438,0.17891261444229534,0.09419114055448097,0.006533649580915513,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_09bn,139,3,field_stabil,39,0.006884377758164166,0.7632620769230769,0.14706576923076925,0.6878979230769231,0.8488761538461538,52,0.009179170344218888,0.7678611730769231,0.15445936538461538,0.9048882500000001,0.9533480576923077,48,0.00847457627118644,0.7688125625,0.15486427083333335,0.9133859166666666,0.9619363333333334,0.001590198513022275,0.22548799358974347,0.11306017948717961,0.007798501602564095,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_169a,139,3,field_stabil,51,0.009002647837599295,0.734146294117647,0.18780064705882352,0.7272101960784313,0.8690833137254902,50,0.0088261253309797,0.7382626600000001,0.19377935999999998,0.91022098,0.95670056,38,0.006709039548022599,0.7381118421052631,0.19402452631578945,0.9268153421052632,0.9657232105263158,-0.002293608289576696,0.19960514602683188,0.09663989680082563,0.006223879256965936,anschlussfaehige_oberflaeche
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1u5i,134,3,field_stabil,43,0.007590467784642542,0.7578904418604652,0.14733481395348835,0.697872,0.8570684418604652,46,0.008120035304501325,0.7602948913043478,0.15520684782608696,0.9036482391304348,0.9560314347826087,45,0.007944915254237288,0.7601722222222221,0.15602588888888888,0.9132986222222222,0.9637424,0.0003544474695947458,0.2154266222222222,0.10667395813953484,0.008691074935400528,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1gp2,131,3,field_stabil,30,0.00529567519858782,0.7403239666666667,0.16530116666666667,0.6189567,0.8159867,55,0.009708737864077669,0.7446954909090909,0.17323325454545455,0.8675880181818182,0.9417127636363636,46,0.008121468926553672,0.7466095869565217,0.1731368695652174,0.9007899347826087,0.9576317608695651,0.0028257937279658517,0.2818332347826087,0.1416450608695652,0.007835702898550734,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_04uf,122,3,field_stabil,36,0.006354810238305384,0.729104,0.18607758333333335,0.6557512222222222,0.8329905277777778,47,0.008296557811120918,0.7334871914893617,0.19270925531914893,0.8970304468085107,0.949255659574468,39,0.006885593220338983,0.7340464871794872,0.19365879487179485,0.9256361282051282,0.9624695641025641,0.000530782982033599,0.26988490598290604,0.1294790363247863,0.007581211538461502,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1492,119,3,field_stabil,39,0.006884377758164166,0.7713388974358975,0.13692097435897435,0.6801246666666666,0.8471742307692307,49,0.008649602824360106,0.7747936530612245,0.1440275918367347,0.8930239795918368,0.952285224489796,31,0.0054731638418079095,0.7746638064516129,0.14619206451612904,0.9295376451612903,0.9667000322580646,-0.0014112139163562562,0.24941297849462374,0.11952580148883385,0.009271090157154688,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_0z9t,118,3,field_stabil,41,0.007237422771403354,0.7511670975609757,0.16449275609756098,0.6794233658536586,0.8488254390243902,25,0.00441306266548985,0.75500508,0.17224012,0.8945293200000001,0.9478273199999999,52,0.009180790960451978,0.756228576923077,0.17205490384615382,0.8956925384615384,0.9549838269230769,0.001943368189048624,0.2162691726078798,0.1061583878986867,0.007562147748592846,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_19pg,115,3,field_stabil,38,0.006707855251544572,0.7344790789473684,0.17704292105263156,0.6819491842105263,0.8462766315789474,44,0.007766990291262136,0.7377820681818182,0.18557888636363637,0.9056183636363637,0.953349,33,0.005826271186440678,0.7395838484848485,0.1842637878787879,0.9137673030303031,0.9612485454545455,-0.000881584065103894,0.23181811881977676,0.11497191387559813,0.00722086682615633,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_06jk,113,3,field_stabil,39,0.006884377758164166,0.745660282051282,0.1692091282051282,0.669033358974359,0.8428909487179487,33,0.005825242718446602,0.7500260909090909,0.17831878787878788,0.8919367575757576,0.9478571212121213,41,0.0072387005649717515,0.7504385365853659,0.17771636585365855,0.896457780487805,0.954209512195122,0.0003543228068075858,0.227424421513446,0.11131856347717328,0.008507237648530341,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_1jc2,110,3,field_stabil,32,0.005648720211827008,0.7692128125,0.13276840625,0.6412135625000001,0.827747375,46,0.008120035304501325,0.7761849347826086,0.1389450652173913,0.8934975434782608,0.9504552391304348,32,0.005649717514124294,0.77477546875,0.14217634375,0.92719321875,0.96558471875,9.973022972861387e-07,0.28597965625,0.13783734375,0.009407937499999991,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_10dv,109,3,field_stabil,35,0.00617828773168579,0.7586123714285714,0.15521868571428574,0.6536961142857143,0.8332407142857143,27,0.004766107678729038,0.7642067407407408,0.16188781481481482,0.8908004074074074,0.9455731481481481,47,0.008298022598870056,0.7668564468085107,0.1600085744680851,0.8992759787234043,0.9560948085106383,0.002119734867184266,0.24557986443768998,0.122854094224924,0.004789888753799376,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_17db,109,3,field_stabil,38,0.006707855251544572,0.7192085526315789,0.20196255263157895,0.6839195526315789,0.8453581578947368,32,0.005648720211827008,0.723512375,0.209292,0.91268778125,0.95442653125,39,0.006885593220338983,0.725230282051282,0.20904620512820513,0.9209375641025641,0.9610194102564102,0.00017773796879441087,0.23701801147098522,0.11566125236167346,0.0070836524966261805,kernfamilie_mit_feldzeitverdichtung
BTC,real_2025_17k,,,,,,,,,,,real,detail,,,,,,,2025,dio_0jkk,108,3,field_stabil,47,0.008296557811120918,0.7151226595744681,0.2015378085106383,0.6920938510638297,0.855752255319149,36,0.006354810238305384,0.7236588611111111,0.20335994444444444,0.8988380833333333,0.9518715277777778,25,0.004413841807909605,0.72163552,0.20674240000000002,0.91487968,0.959592,-0.0038827160032113136,0.22278582893617027,0.103839744680851,0.005204591489361726,kernfamilie_mit_feldzeitverdichtung
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_104t,1223,3,field_stabil,394,0.06954986760812004,0.7585509238578679,0.1622775076142132,0.803216730964467,0.9305925964467004,406,0.07166813768755516,0.7589099679802956,0.1632240985221675,0.834368236453202,0.9480322339901478,423,0.0746822033898305,0.7589974137115839,0.16249414184397162,0.8343684373522458,0.9492744137115838,0.005132335781710462,0.031151706387778755,0.018681817264883382,0.00021663422975842783,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_0l7p,766,3,field_stabil,252,0.044483671668137686,0.765803134920635,0.15147770634920635,0.8082212857142858,0.928317123015873,236,0.04165931156222418,0.7669249322033898,0.1532313813559322,0.851266063559322,0.952942313559322,278,0.0490819209039548,0.7662875431654677,0.15275211510791367,0.8467515287769785,0.952847489208633,0.0045982492358171145,0.038530243062692704,0.024530366192760056,0.0012744087587073238,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_155c,736,3,field_stabil,268,0.04730803177405119,0.7524617723880597,0.17134066791044777,0.8006273432835821,0.9246190335820895,233,0.0411297440423654,0.7544917339055793,0.1726593862660944,0.8498662918454936,0.9495722145922747,235,0.041490112994350285,0.7538391617021277,0.17275678723404256,0.8507942,0.9516983319148937,-0.005817918779700906,0.05016685671641785,0.027079298332804203,0.0014161193235947833,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_0m9z,623,3,field_stabil,217,0.0383053839364519,0.7463120230414747,0.1797928801843318,0.7950376036866359,0.9205396497695852,196,0.03459841129744042,0.74488675,0.18329635714285714,0.8623514591836734,0.951610275510204,210,0.037076271186440676,0.7475108142857143,0.18112657142857144,0.8569445333333333,0.9525878047619047,-0.0012291127500112242,0.06190692964669742,0.0320481549923195,0.0013336912442396542,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_0h9h,477,3,field_stabil,164,0.028949691085613415,0.7639864024390244,0.15712942682926828,0.8001567012195121,0.9184525609756097,158,0.02789055604589585,0.7644330063291139,0.15868215822784812,0.8650504367088607,0.9536791455696203,155,0.02736581920903955,0.7634785612903227,0.1583201612903226,0.8734567225806452,0.9583305096774193,-0.0015838718765738662,0.07330002136113312,0.03987794870180961,0.0011907344610543047,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_14wj,424,3,field_stabil,145,0.02559576345984113,0.7709400344827586,0.1444625448275862,0.797636924137931,0.917169475862069,129,0.022771403353927626,0.7731736744186046,0.1471146899224806,0.8776460310077518,0.9575862015503877,150,0.026483050847457626,0.7726332066666667,0.14652638,0.8688413933333333,0.9577891666666667,0.000887287387616495,0.07120446919540235,0.04061969080459771,0.0020638351724138193,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_00ly,287,3,field_stabil,109,0.019240953221535746,0.7633083394495412,0.15605970642201836,0.7845306055045871,0.9058170733944954,89,0.015710503089143867,0.766114202247191,0.1600177415730337,0.8943504157303371,0.9588048202247191,89,0.015713276836158193,0.7639482471910113,0.1605949775280899,0.9065611460674158,0.9635957078651686,-0.003527676385377553,0.1220305405628287,0.05777863447067322,0.004535271106071548,anschlussfaehige_oberflaeche
BTC,random_2025_17k,,,,,,,,,,,null_random,detail,,,,,,,2025,dio_1lsu,278,3,field_stabil,100,0.0176522506619594,0.75311931,0.17089400000000002,0.77747862,0.8999836600000001,84,0.014827890556045897,0.753762869047619,0.17598186904761906,0.8837190476190476,0.9535482619047619,94,0.016596045197740113,0.7538551063829787,0.17485,0.8913570319148936,0.9582687234042553,-0.0010562054642192856,0.11387841191489356,0.05828506340425521,0.003955999999999987,anschlussfaehige_oberflaeche
