preview_symbol,reading,total_count,world_count,target_profile_hits,target_profile_share,worlds,effects,families,avg_rekopplung,avg_strain,avg_form_stability,avg_energy_shift
dio_mcm_episode_1qjqa38,einzelspur,1,1,0,0.000000,SIDEWAYS:1,tragend_unruhig:1,dio_0qf7:1,0.601816,0.270908,-0.075669,0.504657
dio_mcm_episode_05wa9za,einzelspur,1,1,0,0.000000,SIDEWAYS:1,tragend_unruhig:1,dio_0m3j:1,0.615824,0.247256,0.275741,-0.686227
dio_mcm_episode_1fr10dh,einzelspur,1,1,0,0.000000,EXPANSION10K_AFTER:1,gespannt:1,dio_1rsh:1,0.577844,0.324434,-0.250324,0.594930
dio_mcm_episode_0s34bl3,einzelspur,1,1,0,0.000000,EXPANSION10K_AFTER:1,stabil:1,dio_0fgv:1,0.638232,0.208345,-0.001537,-0.411457
dio_mcm_episode_122d2cf,einzelspur,1,1,0,0.000000,EXPANSION10K_AFTER:1,tragend_unruhig:1,dio_1kar:1,0.607540,0.242274,0.081254,0.231480
dio_mcm_episode_0eje6op,einzelspur,1,1,0,0.000000,STABLE10K_AFTER:1,stabil:1,dio_0g4t:1,0.630375,0.197086,-0.363138,0.178877
dio_mcm_episode_0tre8bg,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,gespannt:1,dio_1xgx:1,0.566361,0.343262,-0.000825,0.840736
dio_mcm_episode_0pxjirg,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,tragend_unruhig:1,dio_1y4v:1,0.622393,0.221125,-0.084533,-0.741371
dio_mcm_episode_0pnjx2h,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,tragend_unruhig:1,dio_1npw:1,0.614330,0.258954,0.024901,0.423042
dio_mcm_episode_0wndwwx,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,stabil:1,dio_1vla:1,0.635648,0.204843,-0.027061,-0.461693
dio_mcm_episode_1anxlcl,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,kippend:1,dio_1v9f:1,0.602455,0.294606,0.497217,-0.506023
dio_mcm_episode_0ypbnxi,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,gespannt:1,dio_0kae:1,0.593552,0.357602,0.083024,0.686042
dio_mcm_episode_0i5xsu7,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,tragend_unruhig:1,dio_0si8:1,0.616341,0.233606,0.080323,-0.495406
dio_mcm_episode_044ad06,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,stabil:1,dio_167m:1,0.656564,0.214587,0.458954,-0.439253
dio_mcm_episode_156xcj9,einzelspur,1,1,0,0.000000,STRESS10K_AFTER:1,tragend_unruhig:1,dio_1prg:1,0.628195,0.221684,-0.095444,0.126002
