row_type,first,second,baseline_pairs,core_state_profile,asset_core_profile,quality_core_profile,asset,family,phase,baseline_dominant_phase_quality,core_state,first_repro_state,second_repro_state,first_followup_quality,second_followup_quality,first_observations,second_observations,first_mean_rekopplung_edge,second_mean_rekopplung_edge,first_mean_afterimage_edge,second_mean_afterimage_edge,first_mean_temporal_edge,second_mean_temporal_edge
core_intersection_detail,,,,,,,BTC,dio_0jkk,frueh,phase_ohne_nullfamilie,kein_harter_kern,lokale_qualitaet_wird_offen,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_offen_gemischt,1,2,-0.006065056,0.000226939,0.018666856,0.10226422,0.016998,0.060361859
core_intersection_detail,,,,,,,BTC,dio_0jkk,mitte,phase_ohne_nullfamilie,kein_harter_kern,lokale_qualitaet_wird_nullnah,lokale_qualitaet_wird_offen,phase_nullnah,phase_offen_gemischt,1,2,-0.001424062,0.001203801,-0.023503304,0.052292499,-0.006543792,0.020450548
core_intersection_detail,,,,,,,BTC,dio_0l7p,frueh,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_offen,phase_nullnah,phase_offen_gemischt,2,2,-0.006472018,-0.004394166,-0.018408317,-0.008956035,-0.009648865,-0.004164636
core_intersection_detail,,,,,,,BTC,dio_0l7p,mitte,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.003527092,-0.0026996,-0.006502766,-0.01071554,-0.002107592,-0.000923825
core_intersection_detail,,,,,,,BTC,dio_0l7p,spaet,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_nullnah,phase_nachhallnah_ohne_kern,2,2,-0.00452758,-0.0027709,-0.009444822,-0.008579164,-0.002904124,-0.000533456
core_intersection_detail,,,,,,,BTC,dio_0nlj,frueh,phase_nullnah,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_offen,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_nullnah,2,2,-0.00153016,-0.007312755,-0.002301735,-0.084398791,0.002778176,-0.046227786
core_intersection_detail,,,,,,,BTC,dio_0nlj,mitte,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.005332797,-0.005255335,0.006307224,-0.021763092,-0.002027708,-0.01116678
core_intersection_detail,,,,,,,BTC,dio_0nlj,spaet,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.003716254,-0.003953756,-0.013888691,-0.010297251,-0.005706516,-0.006476203
core_intersection_detail,,,,,,,BTC,dio_0obq,frueh,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nullnah,phase_offen_gemischt,phase_nullnah,2,2,-0.003308463,-0.007647099,0.044750651,0.024706729,0.024170408,0.012144773
core_intersection_detail,,,,,,,BTC,dio_0obq,mitte,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_kernnah,phase_offen_gemischt,phase_kernnah,2,2,-0.003425653,0.00018515,-0.01274949,-0.00591212,0.003131835,0.004951402
core_intersection_detail,,,,,,,BTC,dio_0obq,spaet,phase_nullnah,kein_harter_kern,lokale_qualitaet_wird_offen,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_offen_gemischt,2,2,-0.002040352,-0.003119682,-0.000765205,-0.02785389,0.001395712,-0.000916894
core_intersection_detail,,,,,,,BTC,dio_0oc3,frueh,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nullnah,phase_offen_gemischt,phase_nullnah,2,2,-0.008440955,0.001167378,-0.050185101,-0.025732866,-0.024307363,-0.014883283
core_intersection_detail,,,,,,,BTC,dio_0oc3,mitte,phase_offen_gemischt,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_offen_gemischt,2,2,-0.003468376,-0.004089151,-0.023742424,-0.014481132,-0.003493821,-0.001192942
core_intersection_detail,,,,,,,BTC,dio_0oc3,spaet,phase_offen_gemischt,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_offen_gemischt,2,2,-0.001319206,-0.002614719,-0.035981934,-0.030229038,-0.005826185,-0.004650655
core_intersection_detail,,,,,,,BTC,dio_0pz6,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.006404628,-0.008821479,-0.031536196,-0.082578202,-0.016091171,-0.046287645
core_intersection_detail,,,,,,,BTC,dio_0pz6,mitte,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.002927314,-0.002584503,-0.013053648,-0.026512371,-0.005110835,-0.011691915
core_intersection_detail,,,,,,,BTC,dio_0pz6,spaet,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.001316539,-0.003694726,-0.013150191,-0.002551851,-0.004924474,-0.003584167
core_intersection_detail,,,,,,,BTC,dio_0tay,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.007939544,-0.00333235,-0.111077872,-0.12312949,-0.058337756,-0.065556904
core_intersection_detail,,,,,,,BTC,dio_0tay,mitte,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.002820638,-0.000748881,-0.03304689,-0.048616042,-0.017897109,-0.022919905
core_intersection_detail,,,,,,,BTC,dio_0tay,spaet,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.004491167,-0.003517326,-0.008519367,-0.005404973,-0.00968107,-0.00780435
