preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_0y7hhur,nebenrolle,16,8,0.81737,REAL_TIME_2024_SOL_ALTSEQ_A,0.3125,REAL_TIME_2024_SOL_ALTSEQ_A:5;REAL_TIME_2024_BTC_5M:4;PAXG_1846_A:2;BTC_LONG_2025_5M_QUIET:1;QUIET_NEAR_BTC_1869:1;REAL_FOLLOW_PAXG_6000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_PAXG:1,sol:5;paxg:4;btc:4;quiet:2;xrp:1,0.154289,0.041799,0.081654,0.594331,0.125,0.0,0.0,0.0,0.3125,0.925695
dio_mcm_episode_1yi3qg8,nebenrolle,16,8,0.486978,FOLLOW_EQ10K_DOGE_2024_5M,0.25,FOLLOW_EQ10K_DOGE_2024_5M:4;FOLLOW_EQ10K_PEPE_B_2024_5M:3;FOLLOW_EQ10K_TRX_2024_5M:2;FOLLOW_EQ10K_XLM_2024_5M:2;XRP_1H_A:2;BTC_STRESS_2025_5M:1;FOLLOW_EQ10K_PEPE_2024_5M:1;REAL_FOLLOW_XRP_6000:1,other:8;doge:4;xrp:3;stress:1,0.151345,0.065538,0.130647,0.594331,0.0,0.0625,0.0,0.0625,0.5,0.85141
dio_mcm_episode_0wdly36,nebenrolle,29,6,0.825674,FOLLOW_EQ10K_KAS_2024_5M,0.310345,FOLLOW_EQ10K_KAS_2024_5M:9;FOLLOW_EQ10K_DOGE_2024_5M:5;FOLLOW_EQ10K_PEPE_B_2024_5M:5;FOLLOW_EQ10K_XRP_2024_5M:5;FOLLOW_EQ10K_XLM_2024_5M:3;FOLLOW_EQ10K_TRX_2024_5M:2,other:19;doge:5;xrp:5,0.150312,0.037988,0.212287,0.581413,0.0,0.0,0.0,0.0,0.655172,0.803925
dio_mcm_episode_1vfiwqb,nebenrolle,18,8,0.517173,FOLLOW_EQ10K_XLM_2024_5M,0.277778,FOLLOW_EQ10K_XLM_2024_5M:5;FOLLOW_EQ10K_XRP_2024_5M:5;FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_EQ10K_TRX_2024_5M:2;BTC_STRESS_2024_5M:1;FOLLOW_EQ10K_PEPE_2024_5M:1;FOLLOW_EQ10K_PEPE_B_2024_5M:1;REAL_FOLLOW_SOL_6000:1,other:9;xrp:5;doge:2;stress:1;sol:1,0.150132,0.062182,0.136197,0.586018,0.0,0.055556,0.0,0.055556,0.5,0.787652
dio_mcm_episode_0kdf1b0,nebenrolle,16,7,0.48535,BTC_LONG_2025_5M_QUIET,0.1875,BTC_LONG_2025_5M_QUIET:3;FOLLOW_EQ10K_PEPE_B_2024_5M:3;QUIET_NEAR_BTC_1869:3;REAL_TIME_2024_BTC_5M:3;REAL_TIME_2024_SOL_ALTSEQ_A:2;DOGE_1H_A:1;FOLLOW_EQ10K_XRP_2024_5M:1,quiet:6;other:3;btc:3;sol:2;doge:1;xrp:1,0.148731,0.037781,0.098942,0.607816,0.375,0.0,0.0,0.0,0.375,0.894124
dio_mcm_episode_0m2pnpt,nebenrolle,15,8,0.525428,REAL_FOLLOW_XRP_6000,0.333333,REAL_FOLLOW_XRP_6000:5;FOLLOW_DOGE_2024_5M_2000:2;FOLLOW_EQ10K_PEPE_2024_5M:2;QUIET_NEAR_PAXG2024_1H:2;FOLLOW_EQ10K_PEPE_B_2024_5M:1;FOLLOW_EQ10K_TRX_2024_5M:1;FOLLOW_EQ10K_XLM_2024_5M:1;REAL_TIME_2024_BTC_5M:1,other:5;xrp:5;doge:2;quiet:2;btc:1,0.147355,0.039741,0.085071,0.598885,0.133333,0.0,0.0,0.0,0.333333,0.901092
dio_mcm_episode_1xo78p1,nebenrolle,25,6,0.803846,FOLLOW_EQ10K_DOGE_2024_5M,0.24,FOLLOW_EQ10K_DOGE_2024_5M:6;FOLLOW_EQ10K_KAS_2024_5M:6;FOLLOW_EQ10K_PEPE_B_2024_5M:4;FOLLOW_EQ10K_XLM_2024_5M:4;FOLLOW_EQ10K_XRP_2024_5M:4;FOLLOW_EQ10K_PAXG_2024_5M:1,other:14;doge:6;xrp:4;paxg:1,0.145994,0.035489,0.173452,0.591887,0.0,0.0,0.0,0.0,0.56,0.785673
dio_mcm_episode_0v9h8bc,nebenrolle,18,7,0.837293,FOLLOW_EQ10K_TRX_2024_5M,0.277778,FOLLOW_EQ10K_TRX_2024_5M:5;FOLLOW_EQ10K_KAS_2024_5M:3;REAL_TIME_2024_BTC_5M:3;BTC_10K_A:2;FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_EQ10K_XRP_2024_5M:2;REAL_TIME_2024_SOL_ALTSEQ_A:1,other:8;btc:5;doge:2;xrp:2;sol:1,0.145786,0.037362,0.122246,0.599503,0.0,0.0,0.0,0.0,0.444444,0.84817
dio_mcm_episode_0xg6rjf,nebenrolle,18,7,0.444872,FOLLOW_EQ10K_KAS_2024_5M,0.222222,FOLLOW_EQ10K_KAS_2024_5M:4;FOLLOW_EQ10K_XRP_2024_5M:4;FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_XLM_2024_5M:3;FOLLOW_EQ10K_PEPE_B_2024_5M:2;FOLLOW_EQ10K_PAXG_2024_5M:1;SOL_10K_A:1,other:9;xrp:4;doge:3;paxg:1;sol:1,0.145345,0.035597,0.137527,0.599503,0.0,0.0,0.0,0.0,0.5,0.808103
dio_mcm_episode_127vzyf,nebenrolle,9,9,0.498519,BTC_10K_A,0.111111,BTC_10K_A:1;BTC_FIELD_QUIET_03:1;BTC_SHIFT_2025_30M_10000_11000:1;DOGE_1H_A:1;FOLLOW_EQ10K_PEPE_B_2024_5M:1;FOLLOW_PAXG_2024_5M_2000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1;REAL_TIME_2024_PAXG:1,btc:2;paxg:2;quiet:1;shift:1;doge:1;other:1;xrp:1,0.14303,0.07704,0.045619,0.623041,0.111111,0.0,0.111111,0.111111,0.222222,0.970836
