token,path_class,movement,base_zone,follow_zone,base_role,follow_role,base_worlds,follow_worlds,base_observations,follow_observations,contacts,worlds,dominant_prev,dominant_prev_count,dominant_next,dominant_next_count,current_role_profile,neighbor_role_profile,self_prev_share,self_next_share,neighbor_coverage,countercore_class
dio_mcm_episode_0mvt50o,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,offene_variante,offene_variante,2,1,2,1,2,2,dio_mcm_episode_1rpjexb,1,dio_mcm_episode_0ldht3x,1,offene_variante:2,offene_variante:2; spannungsrand_kippnaehe:1; zentrum_stabil:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0oc1i7g,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,zentrum_stabil,1,1,1,1,2,2,dio_mcm_episode_1ig1vs0,1,dio_mcm_episode_0tf9fq3,1,zentrum_stabil:2,offene_variante:4,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0r1o8ja,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,offene_variante,offene_variante,2,1,2,1,2,2,dio_mcm_episode_0ifxej6,1,dio_mcm_episode_0om13wf,1,offene_variante:2,offene_variante:3; zentrum_stabil:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0r1re19,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,offene_variante,1,1,1,1,2,2,dio_mcm_episode_0mw7rev,2,dio_mcm_episode_0mlk2ts,1,offene_variante:2,spannungsrand_kippnaehe:2; zentrum_stabil:1; offene_variante:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0ybhu2p,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,zentrum_stabil,offene_variante,2,1,2,1,2,2,dio_mcm_episode_1scpxqy,1,dio_mcm_episode_0om13wf,1,zentrum_stabil:2,offene_variante:2; zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1i31hl0,junge_oberflaeche,verjuengung_oberflaeche,offene_bedeutungszone,junge_spur,offene_variante,offene_variante,1,1,2,1,2,1,dio_mcm_episode_1mesbjy,1,dio_mcm_episode_1i31hl0,1,offene_variante:2,offene_variante:3; zentrum_stabil:1,0.5,0.5,1,kurzlebige_oberflaeche
dio_mcm_episode_1j0eqqb,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,offene_variante,1,1,1,1,2,2,dio_mcm_episode_1jaecfa,1,dio_mcm_episode_0ag2osp,1,zentrum_stabil:2,offene_variante:3; zentrum_stabil:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1vprn0y,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,offene_variante,offene_variante,2,1,2,1,2,2,dio_mcm_episode_0mw7rev,1,dio_mcm_episode_1uizm2j,1,offene_variante:2,spannungsrand_kippnaehe:2; offene_variante:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_08ubq99,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,zentrum_stabil,1,1,1,1,1,1,dio_mcm_episode_05lquqm,1,dio_mcm_episode_0jatqr8,1,zentrum_stabil:1,zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0i5xsu7,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,offene_variante,1,1,1,1,1,1,dio_mcm_episode_0ixmssr,1,dio_mcm_episode_0pfredm,1,offene_variante:1,zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0iiok1d,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,offene_variante,1,1,1,1,1,1,dio_mcm_episode_0a6333q,1,dio_mcm_episode_0i8oyce,1,zentrum_stabil:1,offene_variante:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0q7j4gf,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,offene_variante,1,1,1,1,1,1,dio_mcm_episode_0qhiq5e,1,dio_mcm_episode_0ldenly,1,zentrum_stabil:1,offene_variante:1; zentrum_stabil:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0sxikqi,junge_oberflaeche,stabil,junge_spur,junge_spur,spannungsrand_kippnaehe,spannungsrand_kippnaehe,1,1,1,1,1,1,dio_mcm_episode_1v8o9kh,1,dio_mcm_episode_0igfdmt,1,spannungsrand_kippnaehe:1,zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0tosxof,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,zentrum_stabil,1,1,1,1,1,1,dio_mcm_episode_1q3us3f,1,dio_mcm_episode_0tph7s0,1,zentrum_stabil:1,zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0y1i8dq,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,offene_variante,1,1,1,1,1,1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_0om13wf,1,offene_variante:1,offene_variante:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1aavr7r,junge_oberflaeche,stabil,junge_spur,junge_spur,zentrum_stabil,zentrum_stabil,1,1,1,1,1,1,dio_mcm_episode_1yy9dcm,1,dio_mcm_episode_1ytjvg8,1,zentrum_stabil:1,zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1morx8x,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,offene_variante,1,1,1,1,1,1,dio_mcm_episode_1vprn0y,1,dio_mcm_episode_0om13wf,1,offene_variante:1,offene_variante:1; zentrum_stabil:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1y1l1za,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,zentrum_stabil,1,1,1,1,1,1,dio_mcm_episode_0jatqr8,1,dio_mcm_episode_0mb95f2,1,offene_variante:1,zentrum_stabil:2,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1eju9g0,junge_oberflaeche,verjuengung_oberflaeche,stabile_bedeutungsinsel,junge_spur,zentrum_stabil,zentrum_stabil,1,1,327,1,327,1,dio_mcm_episode_1eju9g0,305,dio_mcm_episode_1eju9g0,305,zentrum_stabil:273; offene_variante:52; spannungsrand_kippnaehe:2,zentrum_stabil:547; offene_variante:104; spannungsrand_kippnaehe:3,0.9327217125382263,0.9327217125382263,1,lokale_junge_selbstinsel
dio_mcm_episode_0lne9ax,offener_driftpfad,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,2,4,3,6,12,6,dio_mcm_episode_0lne9ax,4,dio_mcm_episode_0jbl5pq,6,zentrum_stabil:8; offene_variante:4,zentrum_stabil:13; offene_variante:11,0.3333333333333333,0.3333333333333333,1,offener_drift
dio_mcm_episode_0aztxel,offener_driftpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,2,4,8,14,9,3,dio_mcm_episode_0aztxel,4,dio_mcm_episode_0aztxel,4,zentrum_stabil:9,zentrum_stabil:15; offene_variante:3,0.4444444444444444,0.4444444444444444,1,offener_drift
dio_mcm_episode_1y26981,offener_driftpfad,oeffnung_oder_drift,driftzone,offene_bedeutungszone,zentrum_stabil,zentrum_stabil,1,1,3,3,8,4,dio_mcm_episode_1y26981,4,dio_mcm_episode_1y26981,4,zentrum_stabil:6; spannungsrand_kippnaehe:1; offene_variante:1,zentrum_stabil:15; offene_variante:1,0.5,0.5,1,offener_drift
dio_mcm_episode_0krixak,offener_driftpfad,oeffnung_oder_drift,stabile_bedeutungsinsel,driftzone,zentrum_stabil,zentrum_stabil,4,3,8,3,7,4,dio_mcm_episode_0krixak,3,dio_mcm_episode_0w4721p,4,zentrum_stabil:7,zentrum_stabil:11,0.42857142857142855,0.42857142857142855,1,offener_drift
dio_mcm_episode_0cvptbz,offener_driftpfad,oeffnung_oder_drift,offene_bedeutungszone,driftzone,zentrum_stabil,spannungsrand_kippnaehe,1,1,3,2,6,2,dio_mcm_episode_0cvptbz,4,dio_mcm_episode_0cvptbz,4,zentrum_stabil:4; offene_variante:2,zentrum_stabil:9; offene_variante:3,0.6666666666666666,0.6666666666666666,1,offener_drift
dio_mcm_episode_0ldht3x,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,offene_variante,2,1,4,4,5,3,dio_mcm_episode_0mvt50o,1,dio_mcm_episode_0l3i7ey,3,zentrum_stabil:3; offene_variante:2,zentrum_stabil:6; offene_variante:4,0.2,0.2,1,offener_drift
dio_mcm_episode_00i7zy5,offener_driftpfad,oeffnung_oder_drift,junge_spur,driftzone,zentrum_stabil,zentrum_stabil,1,3,1,3,4,4,dio_mcm_episode_1yzsm16,2,dio_mcm_episode_0393v08,2,zentrum_stabil:4,zentrum_stabil:7,0.0,0.0,1,offener_drift
dio_mcm_episode_0i8oyce,offener_driftpfad,stabil,driftzone,driftzone,offene_variante,offene_variante,1,2,3,3,4,2,dio_mcm_episode_079228h,1,dio_mcm_episode_079228h,1,zentrum_stabil:2; offene_variante:2,zentrum_stabil:6; offene_variante:2,0.25,0.25,1,offener_drift
dio_mcm_episode_0ldenly,offener_driftpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,1,4,1,8,4,3,dio_mcm_episode_0vj3fzh,1,dio_mcm_episode_0lne9ax,2,zentrum_stabil:3; offene_variante:1,zentrum_stabil:6; offene_variante:2,0.25,0.25,1,offener_drift
dio_mcm_episode_0qhiq5e,offener_driftpfad,oeffnung_oder_drift,junge_spur,driftzone,offene_variante,offene_variante,1,4,1,4,3,3,dio_mcm_episode_0fljihc,1,dio_mcm_episode_0mvjoir,1,offene_variante:3,spannungsrand_kippnaehe:3; zentrum_stabil:2; offene_variante:1,0.0,0.0,1,offener_drift
dio_mcm_episode_0khjbll,offener_driftpfad,oeffnung_oder_drift,driftzone,offene_bedeutungszone,zentrum_stabil,zentrum_stabil,2,1,2,2,2,2,dio_mcm_episode_1yzsm16,1,dio_mcm_episode_13lt69z,1,zentrum_stabil:2,zentrum_stabil:4,0.0,0.0,1,offener_drift
dio_mcm_episode_0pfredm,offener_driftpfad,oeffnung_oder_drift,driftzone,offene_bedeutungszone,zentrum_stabil,zentrum_stabil,1,1,2,2,2,1,dio_mcm_episode_0i5xsu7,1,dio_mcm_episode_0pfredm,1,zentrum_stabil:1; offene_variante:1,offene_variante:2; zentrum_stabil:2,0.5,0.5,1,offener_drift
dio_mcm_episode_0vj3fzh,offener_driftpfad,oeffnung_oder_drift,junge_spur,driftzone,zentrum_stabil,zentrum_stabil,1,2,1,2,2,2,dio_mcm_episode_0pfredm,1,dio_mcm_episode_0vzztud,1,zentrum_stabil:2,offene_variante:3; zentrum_stabil:1,0.0,0.0,1,offener_drift
dio_mcm_episode_1omwzzf,offener_driftpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,1,2,1,2,2,2,dio_mcm_episode_1y2gc2i,1,dio_mcm_episode_068ops8,1,zentrum_stabil:2,zentrum_stabil:4,0.0,0.0,1,offener_drift
dio_mcm_episode_1ovglru,offener_driftpfad,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,2,3,2,6,2,2,dio_mcm_episode_1jc5z5p,1,dio_mcm_episode_0t1ymth,1,zentrum_stabil:2,zentrum_stabil:3; offene_variante:1,0.0,0.0,1,offener_drift
dio_mcm_episode_102i30n,randpfad,randnaehe_rekoppelt,randnahe_verdichtung,hoeherer_cluster_uebergang,offene_variante,zentrum_stabil,1,3,3,9,3,1,dio_mcm_episode_102i30n,2,dio_mcm_episode_102i30n,2,offene_variante:2; spannungsrand_kippnaehe:1,offene_variante:3; zentrum_stabil:2; spannungsrand_kippnaehe:1,0.6666666666666666,0.6666666666666666,1,rand_rekoppelt
dio_mcm_episode_0mm85pw,randpfad,stabil,randnahe_verdichtung,randnahe_verdichtung,spannungsrand_kippnaehe,spannungsrand_kippnaehe,2,2,2,3,6,5,dio_mcm_episode_1joiyc3,2,dio_mcm_episode_05ijhg4,2,spannungsrand_kippnaehe:6,zentrum_stabil:7; spannungsrand_kippnaehe:3; offene_variante:2,0.0,0.0,1,randstabil_ohne_selbstkern
dio_mcm_episode_0mw7rev,randpfad,stabil,randnahe_verdichtung,randnahe_verdichtung,spannungsrand_kippnaehe,spannungsrand_kippnaehe,2,2,4,4,6,4,dio_mcm_episode_0b7nep9,3,dio_mcm_episode_0r1re19,2,spannungsrand_kippnaehe:6,zentrum_stabil:6; offene_variante:6,0.0,0.0,1,randstabil_ohne_selbstkern
dio_mcm_episode_0ykar6i,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,zentrum_stabil,2,2,1351,4,3556,4,dio_mcm_episode_0ykar6i,3492,dio_mcm_episode_0ykar6i,3492,zentrum_stabil:2977; offene_variante:562; spannungsrand_kippnaehe:17,zentrum_stabil:5933; offene_variante:1141; spannungsrand_kippnaehe:37,0.9820022497187851,0.9820022497187851,1,starker_driftkern_kandidat
