source,family,bridge_type,anchor_role_analogy,total_ticks,near_ticks,before_ticks,after_ticks,all_stable_share,all_unrest_share,normal_stable_share,near_stable_share,normal_strain,near_strain,strain_delta,normal_trust,near_trust,trust_delta,normal_afterimage,near_afterimage,embedding_delta,before_worlds,after_worlds
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_155c,balancierte_bruecke,kernnaher_inselanker_aehnlich,472,13,6,7,0.9851694915254238,0.014830508474576272,0.9869281045751634,0.9230769230769231,0.1555093246187364,0.1533773076923077,-0.002132016926428698,0.8241511459694989,0.8166006153846154,-0.00755053058488353,0.35893446623093683,0.33025392307692314,-0.02461320998826888,adapted_state_negative_stress_2024_5m_10k:6,adapted_state_negative_stress_2024_5m_10k:7
818_BLOCK_K_BRUECKENTYPEN_VERGLEICH,dio_0h9h,balancierte_bruecke,weltbreiter_brueckenanker_aehnlich,1623,7,5,2,1.0,0.0,1.0,1.0,0.13823425433168315,0.13924271428571428,0.0010084599540311212,0.7937001225247525,0.8078764285714285,0.014176306046675968,0.2877477673267327,0.30561442857142856,-0.02948614737888966,"kontrolliert_2023_negative_stress_10k_5m_solusdt:2,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2023_positive_expansion_10k_5m_solusdt:1","kontrolliert_sol_2025_5m_test1_2000_solusdt:1,kontrolliert_2023_positive_expansion_10k_5m_solusdt:1"
818_BLOCK_K_BRUECKENTYPEN_VERGLEICH,dio_0obq,balancierte_bruecke,weltbreiter_brueckenanker_aehnlich,712,5,3,2,0.9929775280898876,0.007022471910112359,0.9929278642149929,1.0,0.15539907779349363,0.153987,-0.0014120777934936157,0.7410958543140029,0.7829744,0.041878545685997026,0.15687749646393212,0.18786419999999998,-0.03337833981612459,"kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_btc_2025_5m_10k_btcusdt:1",kontrolliert_btc_2025_5m_10k_btcusdt:2
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_0h9h,offene_bruecke,uebergangsanker_aehnlich,1623,7,4,3,1.0,0.0,1.0,1.0,0.1382666806930693,0.13175685714285715,-0.0065098235502121515,0.7939439158415841,0.751595,-0.04234891584158407,0.2882296559405941,0.19436699999999998,-0.05945244202616695,"kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1","kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_2023_positive_expansion_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_104t,offene_bruecke,uebergangsanker_aehnlich,721,8,5,3,0.9930651872399445,0.006934812760055479,0.9943899018232819,0.875,0.14928275736325386,0.152908875,0.00362611763674614,0.8538827769985974,0.8468085,-0.007074276998597417,0.4639324333800841,0.44086274999999997,-0.03750702870792422,adapted_state_negative_stress_2024_5m_10k:5,adapted_state_negative_stress_2024_5m_10k:3
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_1gp2,offene_bruecke,uebergangsanker_aehnlich,579,11,4,7,0.8635578583765112,0.13644214162348878,0.8644366197183099,0.8181818181818182,0.14932180809859155,0.147752,-0.0015698080985915575,0.7424942605633803,0.738459,-0.004035260563380327,0.19613046830985917,0.18957127272727273,-0.02441262937740074,"kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1","kontrolliert_btc_2024_5m_test1_2000_btcusdt:2,kontrolliert_2023_negative_stress_10k_5m_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_0g2r,offene_bruecke,uebergangsanker_aehnlich,543,13,4,9,0.9060773480662984,0.09392265193370165,0.909433962264151,0.7692307692307693,0.14695648490566038,0.14845623076923078,0.0014997458635704064,0.7310055169811321,0.7665923846153846,0.03558686763425245,0.1566307358490566,0.20383561538461537,-0.002771584303338126,"kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1","kontrolliert_2023_negative_stress_10k_5m_solusdt:3,kontrolliert_sol_2025_5m_test1_2000_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_2023_positive_expansion_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_0pq6,offene_bruecke,uebergangsanker_aehnlich,263,10,5,5,0.7718631178707225,0.22813688212927757,0.7747035573122529,0.7,0.14847558893280632,0.146026,-0.0024495889328063347,0.6717267549407114,0.7403081,0.06858134505928859,0.08806704743083003,0.12603309999999998,0.0016214018577075384,"kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1","kontrolliert_btc_2025_5m_10k_btcusdt:2,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_2023_positive_expansion_10k_5m_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1"
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_0oc3,offene_bruecke,uebergangsanker_aehnlich,174,8,3,5,0.9367816091954023,0.06321839080459771,0.9457831325301205,0.75,0.16902613253012047,0.17395375000000002,0.004927617469879547,0.7821990361445784,0.775755875,-0.006443161144578435,0.22267734939759037,0.220780875,-0.0336048359939759,adapted_state_negative_stress_2024_5m_10k:3,adapted_state_negative_stress_2024_5m_10k:5
818_BLOCK_K_BRUECKENTYPEN_VERGLEICH,dio_0m9z,instabile_kontaktzone,verteilungsanker_oder_instabile_kontaktzone,2327,12,9,3,0.7430167597765364,0.2569832402234637,0.7442764578833694,0.5,0.16389770021598274,0.16749191666666666,0.003594216450683918,0.8098284552915767,0.8039295833333333,-0.005898871958243346,0.33765698315334775,0.31101683333333335,-0.027531037055435692,"kontrolliert_2023_negative_stress_10k_5m_solusdt:3,kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1","kontrolliert_kas_2024_5m_test1_2000_kasusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_0m9z,instabile_kontaktzone,verteilungsanker_oder_instabile_kontaktzone,2327,23,7,16,0.7430167597765364,0.2569832402234637,0.7453362255965292,0.4782608695652174,0.16385876182212583,0.17029269565217392,0.006433933830048089,0.8097799175704989,0.8116513043478261,0.001871386777327122,0.33765792321041216,0.32611565217391303,-0.014079091133641475,"kontrolliert_kas_2024_5m_test1_2000_kasusdt:2,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1","kontrolliert_2023_negative_stress_10k_5m_solusdt:5,kontrolliert_2023_positive_expansion_10k_5m_solusdt:4,kontrolliert_2026_sideways_10k_5m_solusdt:3,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:2,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1"
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_0m9z,instabile_kontaktzone,verteilungsanker_oder_instabile_kontaktzone,404,7,2,5,0.7277227722772277,0.2722772277227723,0.7304785894206549,0.5714285714285714,0.16427699244332494,0.17001200000000002,0.005735007556675081,0.8187225415617129,0.8217675714285715,0.0030450298668586173,0.3425294206549119,0.34256114285714284,-0.03597219093199,adapted_state_negative_stress_2024_5m_10k:2,adapted_state_negative_stress_2024_5m_10k:5
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_0h9h,balancierte_bruecke,offene_driftnahe_anschlussphase,310,4,2,2,1.0,0.0,1.0,1.0,0.13831007843137255,0.1399165,0.0016064215686274474,0.8106642124183007,0.822119,0.011454787581699377,0.3143354019607843,0.340571,-0.05515809035947716,adapted_state_negative_stress_2024_5m_10k:2,adapted_state_negative_stress_2024_5m_10k:2
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_00ly,balancierte_bruecke,offene_driftnahe_anschlussphase,149,4,2,2,1.0,0.0,1.0,1.0,0.1349426275862069,0.143921,0.008978372413793095,0.7753587103448276,0.775706,0.0003472896551723892,0.21184624827586207,0.1829875,-0.06774018224137934,adapted_state_negative_stress_2024_5m_10k:2,adapted_state_negative_stress_2024_5m_10k:2
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_0h6t,vorfeld_anker,offene_driftnahe_anschlussphase,19,3,3,0,1.0,0.0,1.0,1.0,0.1299833125,0.132794,0.002810687499999992,0.6916997500000001,0.4467236666666667,-0.24497608333333337,0.052432,0.026383,-0.1337563364583333,adapted_state_negative_stress_2024_5m_10k:3,
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_0l7p,vorfeld_anker,offene_anschlussform,2101,7,7,0,1.0,0.0,1.0,1.0,0.13555752722063036,0.13845842857142857,0.0029009013507982073,0.815565517669532,0.8142027142857142,-0.0013628033838177789,0.35490901623686727,0.365435,-0.035449616120889704,"kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1",
818_BLOCK_K_BRUECKENTYPEN_VERGLEICH,dio_1mwv,balancierte_bruecke,offene_anschlussform,223,5,1,4,1.0,0.0,1.0,1.0,0.13777192660550458,0.13803300000000002,0.00026107339449543687,0.6652751467889908,0.708295,0.04301985321100921,0.08494527064220184,0.0987978,-0.03593587096330275,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,"kontrolliert_2023_negative_stress_10k_5m_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2"
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_0f4r,nachfeld_anker,offene_anschlussform,125,9,0,9,1.0,0.0,1.0,1.0,0.13690135344827586,0.1384978888888889,0.0015965354406130283,0.6321724827586207,0.6207714444444444,-0.01140103831417627,0.05994056034482759,0.06817233333333333,-0.027866361494253034,,"kontrolliert_2026_sideways_10k_5m_solusdt:4,kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
829_BLOCK_K_STRESS_RANDFAMILIE_BRUECKENTYPEN,dio_1gp2,balancierte_bruecke,offene_anschlussform,86,5,1,4,0.8604651162790697,0.13953488372093023,0.8518518518518519,1.0,0.14917355555555556,0.14135740000000002,-0.007816155555555537,0.7475474567901235,0.7768554,0.029307943209876508,0.1569001234567901,0.187258,-0.03213283382716048,adapted_state_negative_stress_2024_5m_10k:1,adapted_state_negative_stress_2024_5m_10k:4
