source_type;path;pages;words;total_score;feld_topologie;zeit_feldzeit;wahrnehmung_rezeptorik;regulation;emergenz_matrix;sprache_semantik;ki_logic;audio_schmerz;error
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block K - Individuelle Selbstregulation im Modell der Mental Core Matrix.pdf;4;643;38;1;1;1;28;3;3;0;1;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block L- Soziale Dynamik im Modell der Mental Core Matrix.pdf;4;661;18;0;4;2;6;3;3;0;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block M - die MCM und das Selbst.pdf;4;684;22;0;3;2;8;5;2;2;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block N - Trauma und extreme Musterstörungen im energetischen System.pdf;4;675;32;0;1;0;5;3;3;1;19;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block O - Kreativität im Modell der Mental Core Matrix.pdf;3;652;16;0;3;3;2;5;3;0;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block P - Angst im Modell der Mental Core Matrix.pdf;4;583;46;0;3;1;7;3;4;0;28;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block Q - Aggression im Modell der Mental Core Matrix.pdf;4;617;22;0;3;2;7;3;7;0;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block R - Depression im Modell der Mental Core Matrix.pdf;4;571;19;0;4;3;5;3;3;0;1;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil II - Psychologische Dynamik der Mental Core Matrix\Abhandlung Block S - Mögliche Metaregulatoren im Modell der Mental Core Matrix.pdf;6;1216;88;2;4;3;57;3;9;5;5;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil III - Zusammenführung des Modells\Abhandlung Block T - Die Mental Core Matrix als mögliches Strukturmodell komplexer Systeme.pdf;5;702;34;1;5;0;3;12;9;4;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil III - Zusammenführung des Modells\Abhandlung Block U - Die reine Form der MCM und die Möglichkeit zur Transzendenz.pdf;5;1463;107;19;2;5;11;12;36;21;1;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil III - Zusammenführung des Modells\Abhandlung Block V - Die Mental Core Matrix und die Frage, ob eine KI die starre Logik bricht.pdf;9;2220;173;1;3;10;18;21;28;92;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil III - Zusammenführung des Modells\Abhandlung Block W - Die Mental Core Matrix zwischen Logik und dem Bruch in ein physisches System.pdf;6;1780;72;8;1;4;2;12;17;28;0;
pdf;Abhandlungen\MCM - Hauptabhandlungen\Teil III - Zusammenführung des Modells\Abhandlung Block X - Die Mental Core Matrix als physisches Feldsystem.pdf;4;1177;58;3;4;9;0;17;9;16;0;
pdf;Abhandlungen\MCM - Nebenabhandlung\Das Gehirn als emergente konzentrisch-dipolare Feldstruktur.pdf;5;896;61;25;2;0;9;18;4;3;0;
pdf;Abhandlungen\MCM - Nebenabhandlung\Die Welt als Feld MCM und das kollektive Gleichgewicht.pdf;4;795;25;0;1;6;8;8;2;0;0;
pdf;Abhandlungen\MCM - Nebenabhandlung\ProtoMind, selbstaktive Feldkognition, akustische Reizmodulation und Schmerz-Gefahrenverarbeitung als integriertes Feldsystem.pdf;4;653;61;4;0;8;1;15;8;9;16;
pdf;Abhandlungen\MCM - Nebenabhandlung\Von Resonanz zu Sprache.pdf;3;649;50;0;0;21;1;4;23;0;1;
pdf;MCM - Code Beispiele\Hypothetische Entwicklungsanalyse einer MCM-basierten KI.pdf;8;1175;94;4;3;9;16;14;9;39;0;
pdf;MCM - Code Beispiele\MCM - Audio_Emergenz_3d_256\MCM_3d_256_selfscaled Funktionslogik.pdf;3;544;48;0;17;0;0;4;0;14;13;
pdf;MCM - Code Beispiele\MCM - Audio_Emergenz_3d_256\MCM_3d_256_selfscaled_Analyse der Ergebnisse.pdf;3;591;43;2;28;0;1;5;0;0;7;
pdf;MCM - Code Beispiele\MCM - Emergenze\Emergence Simulation\MCM-Emergenz Abhandlung.pdf;3;451;22;0;4;0;1;15;1;1;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\Emergence Simulation\MCM-Emergenz Ergebnis.pdf;4;595;36;3;2;0;0;19;12;0;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\MCM Pure Emergence\MCM Pure-Emergence Ergebnis.pdf;6;1200;48;3;3;0;2;35;4;1;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\MCM Pure Emergence\MCM-Pure-Emergence.pdf;3;515;30;2;3;1;1;23;0;0;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\MCM Pure Emergence V2\MCM Pure Emergence V2.pdf;4;875;40;6;6;0;2;19;5;2;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\MCM Pure-3D Emergence\MCM-3D-v3E+ Abhandlung.pdf;5;671;38;2;1;1;0;29;3;2;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\MCM-Robustness\Ausprägung des MCM-Robustness.pdf;3;612;39;6;6;0;3;14;3;7;0;
pdf;MCM - Code Beispiele\MCM - Emergenze\MCM-Robustness\MCM-Robustness.pdf;6;770;37;2;1;0;3;22;5;4;0;
pdf;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\Abhandlung MCM-Infinity v5.pdf;4;695;46;0;12;0;0;22;0;0;12;
pdf;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\MCM-Infinity Abhandlung v1-4.pdf;5;677;35;1;13;0;1;11;4;0;5;
pdf;MCM - Code Beispiele\MCM KI Modell\Abhandlung MCM_KI_Modell.pdf;7;951;45;1;4;3;17;7;3;10;0;
pdf;MCM - Code Beispiele\Simulationen der MCM – Mental Core Matrix.pdf;6;837;33;1;2;2;4;17;2;4;1;
pdf;MCM – Mental Core Matrix\A - Psychologische Mental Core Matrix.pdf;5;750;37;16;1;1;6;3;3;7;0;
pdf;MCM – Mental Core Matrix\AA - Mathematische Grundform der psychologischen MCM.pdf;4;561;34;12;6;4;1;1;7;3;0;
pdf;MCM – Mental Core Matrix\B - Reine MCM.pdf;5;690;46;12;1;1;4;19;7;1;1;
pdf;MCM – Mental Core Matrix\BB - Mathematische Grundform der reinen MCM.pdf;4;560;30;12;8;0;1;2;6;1;0;
pdf;MCM – Mental Core Matrix\C - MCM Relation .pdf;4;617;30;3;0;0;1;10;9;7;0;
pdf;MCM – Mental Core Matrix\CC- Formale Gesamtstruktur der MCM.pdf;4;493;23;6;3;1;0;1;12;0;0;
pdf;MCM – Mental Core Matrix\D - Erklärung - Energetischer Bereich der MCM.pdf;3;634;23;16;0;0;0;2;5;0;0;
pdf;Projekt-Disclaimer und methodischer Rahmen.pdf;3;448;11;0;0;0;1;7;1;2;0;
py;MCM - Code Beispiele\MCM - Audio_Emergenz_3d_256\MCM_3d_256_selfscaled_audio.py;0;854;61;3;18;0;0;1;0;4;35;
py;MCM - Code Beispiele\MCM - Emergenze\Emergence Simulation\MCM-Emergenz Simulator.py;0;1327;54;21;0;0;0;8;0;25;0;
py;MCM - Code Beispiele\MCM - Emergenze\MCM Pure Emergence\MCM-Pure-Emergence.py;0;1288;58;16;0;0;0;36;6;0;0;
py;MCM - Code Beispiele\MCM - Emergenze\MCM Pure Emergence V2\MCM Pure Emergence V2.py;0;428;17;7;7;0;0;2;1;0;0;
py;MCM - Code Beispiele\MCM - Emergenze\MCM Pure-3D Emergence\MCM-3D-v3E+.py;0;792;32;16;1;0;0;11;3;1;0;
py;MCM - Code Beispiele\MCM - Emergenze\MCM Pure-3D Emergence\v1\MCM-3D-Pure Emergence Universe.py;0;676;30;15;7;0;0;3;3;2;0;
py;MCM - Code Beispiele\MCM - Emergenze\MCM Pure-3D Emergence\v2\MCM-3D-Pure-Emergence v2 (mit Rotation + Clustern).py;0;683;38;19;2;0;2;10;3;1;1;
py;MCM - Code Beispiele\MCM - Emergenze\MCM Pure-3D Emergence\v2\MCM-3D-v2RC — Rotationsgasuniversum (clusteraktiv).py;0;594;27;11;0;0;0;12;3;1;0;
py;MCM - Code Beispiele\MCM - Emergenze\MCM-Robustness\MCM-Robustness.py;0;1469;51;21;0;0;0;6;0;24;0;
py;MCM - Code Beispiele\MCM - Energie BioLink etc\MCM - Multiagenten-System.py;0;305;24;3;1;0;0;0;0;20;0;
py;MCM - Code Beispiele\MCM - Energie BioLink etc\MCM-basierte Proto-Emotion-KI.py;0;670;16;4;6;0;2;4;0;0;0;
py;MCM - Code Beispiele\MCM - Energie BioLink etc\MCM-Co-Regulation Model.py;0;638;42;8;1;0;3;1;1;28;0;
py;MCM - Code Beispiele\MCM - Energie BioLink etc\MCM-Energie-Feedback-Agent.py;0;258;14;5;0;0;0;0;1;8;0;
py;MCM - Code Beispiele\MCM - Energie BioLink etc\MCM-single KI-Agent.py;0;338;27;5;2;0;8;0;0;12;0;
py;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\MCM - Infinity v5.py;0;1322;101;18;8;0;0;23;6;0;46;
py;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\MCM-Infinity v1.py;0;468;35;5;2;0;0;1;2;4;21;
py;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\MCM-Infinity v2.py;0;806;54;8;11;0;0;0;2;5;28;
py;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\MCM-Infinity v3.py;0;1007;64;18;8;0;0;2;6;2;28;
py;MCM - Code Beispiele\MCM - Infinity - Audio_Emergenz\MCM-Infinity v4.py;0;1123;58;22;3;0;0;1;6;0;26;
py;MCM - Code Beispiele\MCM KI Modell\einfaches MCM_KI_Modell.py;0;460;27;6;0;2;0;14;1;4;0;
py;MCM - Code Beispiele\MCM KI Modell\erweitertes MCM_KI_Modell.py;0;748;35;7;0;2;7;14;1;4;0;
