axis,world,events,pair_events,tick_min,tick_q1,tick_median,tick_q3,tick_max,phase_profile,dominant_effects,post_states,avg_rekopplung,avg_strain,avg_pressure_delta,avg_rekopplung_delta,reading
183drjy<->1t5bcxp,SIDEWAYS_2024,8,4,608.0,654.75,791.0,921.75,934.0,frueh:4 | spaet:4,rekoppelnde_lage:4 | offene_lage:2 | druck_lage:2,rekoppelnde_lage:7 | bewegungsbruch:1,0.0,0.0,-0.005177,-0.000875,zeitlich_lokalisierte_achse
183drjy<->1t5bcxp,NEG_STRESS_2023,5,4,264.0,771.0,802.0,815.0,816.0,spaet:4 | frueh:1,rekoppelnde_lage:4 | druck_lage:1,rekoppelnde_lage:4 | offene_lage:1,0.0,0.0,0.038059,0.005452,zeitlich_lokalisierte_achse
183drjy<->1t5bcxp,SIDEWAYS_2026,3,2,434.0,905.0,905.0,905.0,906.0,spaet:2 | frueh:1,bewegungsbruch:2 | rekoppelnde_lage:1,bewegungsbruch:2 | rekoppelnde_lage:1,0.0,0.0,0.034978,-0.012352,breit_verteilte_achse
183drjy<->1hjbx8p,SOL_2023_NEG_STRESS_10K_RECEPTOR,332,0,514.0,3800.0,6042.5,7697.0,9481.0,spaet:108 | spaet_mitte:94 | frueh_mitte:80 | frueh:50,tragend_unruhig:176 | kippend:154 | stabil:2,rekoppelt_nach_kontaktinsel:150 | offen_getragen_nach_kontaktinsel:144 | kippnah_nach_kontaktinsel:38,0.600975,0.27523,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,SOL_2026_STABLE_5K_RECEPTOR,154,0,912.0,2265.0,3196.0,4425.0,4953.0,spaet:70 | frueh:32 | frueh_mitte:30 | spaet_mitte:22,kippend:80 | tragend_unruhig:74,rekoppelt_nach_kontaktinsel:66 | offen_getragen_nach_kontaktinsel:59 | kippnah_nach_kontaktinsel:29,0.60022,0.282061,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,SOL_2024_SIDEWAYS_5K_RECEPTOR,82,0,2062.0,3876.0,4159.0,4721.0,4990.0,spaet:38 | spaet_mitte:28 | frueh:16,kippend:42 | tragend_unruhig:40,offen_getragen_nach_kontaktinsel:38 | rekoppelt_nach_kontaktinsel:36 | kippnah_nach_kontaktinsel:8,0.59727,0.27922,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,SOL_2025_STRESS_5K_RECEPTOR,46,0,3128.0,3303.5,3545.0,4562.25,4864.0,frueh:26 | spaet:16 | frueh_mitte:4,tragend_unruhig:24 | kippend:22,rekoppelt_nach_kontaktinsel:23 | offen_getragen_nach_kontaktinsel:19 | kippnah_nach_kontaktinsel:4,0.599925,0.274223,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,BTC_2024_1H_RECEPTOR,26,0,418.0,890.0,1157.5,1367.0,1678.0,frueh_mitte:9 | spaet_mitte:7 | spaet:7 | frueh:3,kippend:17 | tragend_unruhig:9,offen_getragen_nach_kontaktinsel:16 | kippnah_nach_kontaktinsel:9 | rekoppelt_nach_kontaktinsel:1,0.595555,0.289002,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,BTC_2024_5M_RECEPTOR,12,0,1584.0,1627.5,1768.5,1929.75,1961.0,frueh:6 | spaet:6,tragend_unruhig:7 | kippend:5,offen_getragen_nach_kontaktinsel:6 | kippnah_nach_kontaktinsel:4 | rekoppelt_nach_kontaktinsel:2,0.599963,0.276525,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,SOL_2024_1H_RECEPTOR,10,0,910.0,1015.0,1293.0,1473.0,1678.0,frueh:3 | spaet:3 | frueh_mitte:2 | spaet_mitte:2,kippend:6 | tragend_unruhig:4,offen_getragen_nach_kontaktinsel:6 | kippnah_nach_kontaktinsel:4,0.592825,0.285082,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,EXT_EXPANSION_2023,8,0,503.0,506.75,511.5,515.5,526.0,frueh:3 | frueh_mitte:2 | spaet_mitte:2 | spaet:1,rekoppelnde_lage:6 | bewegungsbruch:1 | druck_lage:1,rekoppelnde_lage:6 | bewegungsbruch:2,0.0,0.0,0.00312,-0.003473,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,POS_EXPANSION_2023,6,0,571.0,573.0,611.0,649.75,653.0,frueh:3 | spaet:3,rekoppelnde_lage:4 | offene_lage:1 | druck_lage:1,rekoppelnde_lage:5 | bewegungsbruch:1,0.0,0.0,0.011032,-0.015426,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,NEG_STRESS_2023,4,0,771.0,794.25,808.5,815.25,816.0,spaet:2 | spaet_mitte:1 | frueh:1,rekoppelnde_lage:3 | druck_lage:1,rekoppelnde_lage:4,0.0,0.0,0.048572,0.00239,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,SIDEWAYS_2024,4,0,917.0,919.25,923.5,928.75,934.0,frueh:2 | spaet:1 | spaet_mitte:1,rekoppelnde_lage:2 | druck_lage:1 | offene_lage:1,rekoppelnde_lage:3 | bewegungsbruch:1,0.0,0.0,0.012411,-0.010824,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,KAS_2024_1H_RECEPTOR,3,0,846.0,886.0,886.0,886.0,897.0,spaet:2 | frueh:1,kippend:2 | tragend_unruhig:1,offen_getragen_nach_kontaktinsel:2 | kippnah_nach_kontaktinsel:1,0.603331,0.288487,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1hjbx8p,SIDEWAYS_2026,2,0,905.0,905.5,905.5,905.5,906.0,spaet:1 | frueh:1,bewegungsbruch:1 | rekoppelnde_lage:1,rekoppelnde_lage:1 | bewegungsbruch:1,0.0,0.0,0.049112,-0.019293,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,SOL_2023_NEG_STRESS_10K_RECEPTOR,332,0,116.0,1570.0,4395.5,8158.0,9983.0,frueh_mitte:126 | frueh:108 | spaet:90 | spaet_mitte:8,tragend_unruhig:180 | kippend:138 | stabil:14,offen_getragen_nach_kontaktinsel:176 | rekoppelt_nach_kontaktinsel:124 | kippnah_nach_kontaktinsel:30 | bleibt_kippnah_nach_kontaktinsel:2,0.601068,0.270704,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,SOL_2025_STRESS_5K_RECEPTOR,284,0,46.0,896.0,1882.5,3945.0,4984.0,frueh:94 | spaet:86 | frueh_mitte:76 | spaet_mitte:28,tragend_unruhig:174 | kippend:100 | stabil:10,offen_getragen_nach_kontaktinsel:174 | rekoppelt_nach_kontaktinsel:89 | kippnah_nach_kontaktinsel:21,0.603447,0.269201,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,SOL_2024_SIDEWAYS_5K_RECEPTOR,246,0,320.0,1236.5,1883.0,2882.75,4586.0,spaet_mitte:80 | frueh:78 | frueh_mitte:70 | spaet:18,tragend_unruhig:142 | kippend:98 | stabil:6,offen_getragen_nach_kontaktinsel:153 | rekoppelt_nach_kontaktinsel:78 | kippnah_nach_kontaktinsel:13 | bleibt_kippnah_nach_kontaktinsel:2,0.601538,0.270314,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,SOL_2026_STABLE_5K_RECEPTOR,210,0,336.0,1372.0,2016.0,3407.0,4104.0,frueh_mitte:72 | spaet:62 | frueh:40 | spaet_mitte:36,tragend_unruhig:126 | kippend:80 | stabil:4,offen_getragen_nach_kontaktinsel:116 | rekoppelt_nach_kontaktinsel:75 | kippnah_nach_kontaktinsel:17 | bleibt_kippnah_nach_kontaktinsel:2,0.603104,0.27137,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,SOL_2024_5M_RECEPTOR,66,0,102.0,498.5,1041.0,1435.75,1986.0,spaet_mitte:19 | frueh:18 | frueh_mitte:15 | spaet:14,kippend:35 | tragend_unruhig:31,offen_getragen_nach_kontaktinsel:46 | kippnah_nach_kontaktinsel:14 | rekoppelt_nach_kontaktinsel:6,0.597149,0.279716,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,SOL_2024_1H_RECEPTOR,61,0,97.0,446.0,1095.0,1599.0,1993.0,spaet:25 | frueh:22 | frueh_mitte:7 | spaet_mitte:7,tragend_unruhig:33 | kippend:27 | stabil:1,offen_getragen_nach_kontaktinsel:46 | kippnah_nach_kontaktinsel:9 | rekoppelt_nach_kontaktinsel:6,0.59758,0.27702,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,KAS_2024_1H_RECEPTOR,57,0,166.0,519.0,1101.0,1550.0,1945.0,frueh:18 | spaet:17 | spaet_mitte:13 | frueh_mitte:9,kippend:30 | tragend_unruhig:27,offen_getragen_nach_kontaktinsel:36 | kippnah_nach_kontaktinsel:15 | rekoppelt_nach_kontaktinsel:6,0.593376,0.283574,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,BTC_2024_1H_RECEPTOR,53,0,79.0,446.0,1435.0,1795.0,1991.0,spaet:22 | frueh:16 | spaet_mitte:9 | frueh_mitte:6,tragend_unruhig:32 | kippend:20 | stabil:1,offen_getragen_nach_kontaktinsel:38 | kippnah_nach_kontaktinsel:9 | rekoppelt_nach_kontaktinsel:6,0.602814,0.273016,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,KAS_2024_5M_RECEPTOR,44,0,769.0,1144.0,1356.0,1542.25,1993.0,frueh_mitte:17 | spaet_mitte:15 | frueh:6 | spaet:6,tragend_unruhig:26 | kippend:18,offen_getragen_nach_kontaktinsel:32 | kippnah_nach_kontaktinsel:10 | rekoppelt_nach_kontaktinsel:2,0.60059,0.273025,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,BTC_2024_5M_RECEPTOR,33,0,692.0,850.0,1118.0,1430.0,1788.0,frueh:13 | frueh_mitte:7 | spaet_mitte:7 | spaet:6,tragend_unruhig:18 | kippend:15,offen_getragen_nach_kontaktinsel:22 | kippnah_nach_kontaktinsel:9 | rekoppelt_nach_kontaktinsel:2,0.599333,0.278698,0.0,0.0,knoten_naehe_ohne_paarverdichtung
02xikfk<->1t5bcxp,POS_EXPANSION_2023,17,11,228.0,328.0,341.0,572.0,653.0,frueh:7 | spaet:6 | frueh_mitte:4,rekoppelnde_lage:9 | offene_lage:3 | bewegungsbruch:2 | druck_lage:2 | gehaltene_form:1,rekoppelnde_lage:11 | bewegungsbruch:3 | druck_lage:1 | gehaltene_form:1 | offene_lage:1,0.0,0.0,0.00694,-0.00574,zeitlich_lokalisierte_achse
02xikfk<->1t5bcxp,EXT_EXPANSION_2023,14,6,394.0,424.25,508.0,516.5,660.0,frueh_mitte:8 | frueh:4 | spaet:2,rekoppelnde_lage:8 | druck_lage:3 | offene_lage:2 | bewegungsbruch:1,rekoppelnde_lage:8 | bewegungsbruch:5 | offene_lage:1,0.0,0.0,0.00034,-0.00526,zeitlich_lokalisierte_achse
02xikfk<->1t5bcxp,NEG_STRESS_2024,8,8,700.0,762.25,967.0,974.25,977.0,spaet:5 | frueh:3,rekoppelnde_lage:3 | offene_lage:3 | bewegungsbruch:1 | druck_lage:1,offene_lage:4 | rekoppelnde_lage:2 | bewegungsbruch:2,0.0,0.0,-0.056982,0.019055,zeitlich_lokalisierte_achse
02xikfk<->1t5bcxp,SIDEWAYS_2024,8,4,608.0,654.75,791.0,921.75,934.0,frueh:4 | spaet:4,rekoppelnde_lage:4 | offene_lage:2 | druck_lage:2,rekoppelnde_lage:7 | bewegungsbruch:1,0.0,0.0,-0.005177,-0.000875,zeitlich_lokalisierte_achse
02xikfk<->1t5bcxp,NEG_STRESS_2023,5,1,264.0,771.0,802.0,815.0,816.0,spaet:4 | frueh:1,rekoppelnde_lage:4 | druck_lage:1,rekoppelnde_lage:4 | offene_lage:1,0.0,0.0,0.038059,0.005452,zeitlich_lokalisierte_achse
02xikfk<->1t5bcxp,SIDEWAYS_2026,3,1,434.0,905.0,905.0,905.0,906.0,spaet:2 | frueh:1,bewegungsbruch:2 | rekoppelnde_lage:1,bewegungsbruch:2 | rekoppelnde_lage:1,0.0,0.0,0.034978,-0.012352,breit_verteilte_achse
