source,target,relation,edge_kind,count,worlds,duration_avg,exit_rekopplung_delta_avg,exit_strain_delta_avg,exit_phase
dio_mcm_episode_1hs3jsa,dio_mcm_episode_1q3us3f,austritt,bruecke_zu_aussen,2,2,83.5,-0.01755,0.021254,oeffnend_belastender_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0hjnwsk,eintritt,bruecke_zu_bruecke,2,2,2.0,0.009472,-0.045421,rekoppelnder_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0hjnwsk,austritt,bruecke_zu_bruecke,2,2,1.0,0.009829,-0.006091,rekoppelnder_austritt
dio_mcm_episode_0aztxel,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,1,1,2.0,0.001627,-0.006477,rekoppelnder_austritt
dio_mcm_episode_0htnihj,dio_mcm_episode_0hjnwsk,eintritt,aussen_zu_bruecke,1,1,2.0,0.02672,-0.025095,rekoppelnder_austritt
dio_mcm_episode_0i7gfxw,dio_mcm_episode_0hjnwsk,eintritt,aussen_zu_bruecke,1,1,3.0,0.012981,-0.02913,rekoppelnder_austritt
dio_mcm_episode_0jlkrep,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,1,1,1.0,-0.065998,0.054781,oeffnend_belastender_austritt
dio_mcm_episode_0ldht3x,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,1,1,1.0,-0.026684,0.022106,oeffnend_belastender_austritt
dio_mcm_episode_0lne9ax,dio_mcm_episode_0l3i7ey,eintritt,aussen_zu_bruecke,1,1,1.0,0.052361,-0.043579,rekoppelnder_austritt
dio_mcm_episode_0mm85pw,dio_mcm_episode_0ifxej6,eintritt,aussen_zu_bruecke,1,1,1.0,-0.036829,0.03135,oeffnend_belastender_austritt
dio_mcm_episode_0om13wf,dio_mcm_episode_0y1i8dq,eintritt,aussen_zu_bruecke,1,1,1.0,-0.08761,0.060317,oeffnend_belastender_austritt
dio_mcm_episode_0qhiq5e,dio_mcm_episode_0q7j4gf,eintritt,aussen_zu_bruecke,1,1,1.0,0.077487,-0.0629,rekoppelnder_austritt
dio_mcm_episode_0sv0ru8,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,1,1,3.0,0.029024,-0.004298,rekoppelnder_austritt
dio_mcm_episode_0zh3u1j,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,1,1,832.0,-0.193521,0.20388,oeffnend_belastender_austritt
dio_mcm_episode_14coypf,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,1,1,51.0,-0.000297,-0.020812,gemischter_austritt
dio_mcm_episode_1gwv1sr,dio_mcm_episode_1hs3jsa,eintritt,aussen_zu_bruecke,1,1,166.0,-0.010242,0.019411,oeffnend_belastender_austritt
dio_mcm_episode_1k7xap1,dio_mcm_episode_0l3i7ey,eintritt,aussen_zu_bruecke,1,1,2.0,0.030204,-0.03772,rekoppelnder_austritt
dio_mcm_episode_1mesbjy,dio_mcm_episode_1i31hl0,eintritt,aussen_zu_bruecke,1,1,2.0,0.015811,-0.053733,rekoppelnder_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0jzhgzp,austritt,bruecke_zu_aussen,1,1,2003.0,-0.06414,0.078138,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0lfde2c,austritt,bruecke_zu_aussen,1,1,4.0,0.020296,0.00609,gemischter_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mw7rev,austritt,bruecke_zu_aussen,1,1,713.0,-0.171516,0.183255,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0t7i6fh,austritt,bruecke_zu_aussen,1,1,578.0,-0.128797,0.184051,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0tph7s0,austritt,bruecke_zu_aussen,1,1,1199.0,-0.023386,0.010835,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_13cw75j,austritt,bruecke_zu_aussen,1,1,1842.0,-0.019048,0.019598,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_14coypf,austritt,bruecke_zu_aussen,1,1,8.0,0.008093,-0.025901,rekoppelnder_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_19dxnmz,austritt,bruecke_zu_aussen,1,1,581.0,-0.153692,0.173211,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1jansx7,austritt,bruecke_zu_aussen,1,1,2016.0,-0.025682,0.046649,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1q3us3f,austritt,bruecke_zu_aussen,1,1,2.0,0.014035,-0.017424,rekoppelnder_austritt
dio_mcm_episode_0ifxej6,dio_mcm_episode_0r1o8ja,austritt,bruecke_zu_aussen,1,1,1.0,-0.036829,0.03135,oeffnend_belastender_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0jlkrep,austritt,bruecke_zu_aussen,1,1,1.0,-0.026684,0.022106,oeffnend_belastender_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_1aurt3q,austritt,bruecke_zu_aussen,1,1,3.0,0.029024,-0.004298,rekoppelnder_austritt
dio_mcm_episode_0l3i7ey,dio_mcm_episode_0apubpm,austritt,bruecke_zu_aussen,1,1,1.0,-0.05765,0.081509,oeffnend_belastender_austritt
dio_mcm_episode_0l3i7ey,dio_mcm_episode_0aztxel,austritt,bruecke_zu_aussen,1,1,2.0,0.000789,0.009307,gemischter_austritt
dio_mcm_episode_0q7j4gf,dio_mcm_episode_0ldenly,austritt,bruecke_zu_aussen,1,1,1.0,0.077487,-0.0629,rekoppelnder_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_080f74u,austritt,bruecke_zu_aussen,1,1,3.0,0.000565,-0.000101,rekoppelnder_austritt
dio_mcm_episode_0y1i8dq,dio_mcm_episode_0om13wf,austritt,bruecke_zu_aussen,1,1,1.0,-0.08761,0.060317,oeffnend_belastender_austritt
dio_mcm_episode_1hs3jsa,dio_mcm_episode_0mw7rev,austritt,bruecke_zu_aussen,1,1,445.0,-0.184776,0.19275,oeffnend_belastender_austritt
dio_mcm_episode_1i31hl0,dio_mcm_episode_0om13wf,austritt,bruecke_zu_aussen,1,1,2.0,0.015811,-0.053733,rekoppelnder_austritt
dio_mcm_episode_0l3i7ey,dio_mcm_episode_0jbl5pq,eintritt,bruecke_zu_bruecke,1,1,3.0,0.006164,0.001751,gemischter_austritt
dio_mcm_episode_0l3i7ey,dio_mcm_episode_0jbl5pq,austritt,bruecke_zu_bruecke,1,1,1.0,0.017907,-0.030729,rekoppelnder_austritt
