short_token,status,reason,trend,read_state,class_sequence,weight_sequence,world_span_sequence,L923_class,L923_weight,rank_delta_from_max
17wwyn1,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
1ej5zl7,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
1engxbn,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> - -> -,0 -> 9 -> 0 -> 0,0 -> 2 -> 0 -> 0,-,0,-1
1fej2vb,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
1ggl8cd,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,2 -> 0 -> 0 -> 0,2 -> 0 -> 0 -> 0,-,0,-1
1gwv1sr,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
1hs3jsa,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 6 -> 0,0 -> 0 -> 2 -> 0,-,0,-
1i1sl4l,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> -,6 -> 9 -> 3 -> 0,2 -> 2 -> 1 -> 0,-,0,-1
1i31hl0,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
1k7xap1,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
1morx8x,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
1nw8bq9,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,2 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
1q3u8v6,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
1rzvd1k,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,2 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
1x5cw2v,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> - -> -,0 -> 1 -> 0 -> 0,0 -> 1 -> 0 -> 0,-,0,-1
1hdpu9s,entlastung,Die Rolle wird schwacher oder verlaesst den Kernbereich.,absteigende_entlastung,entlastung_bestaetigt,lokaler_anschlussanker -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,12 -> 11 -> 11 -> 11,2 -> 3 -> 3 -> 3,schwacher_anschluss,11,-1
00nzcuc,entlastung,Die Rolle wird schwacher oder verlaesst den Kernbereich.,absteigende_entlastung,entlastung_bestaetigt,lokaler_anschlussanker -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,14 -> 1 -> 1 -> 1,2 -> 1 -> 1 -> 1,schwacher_anschluss,1,-1
1jx2k4i,kernrolle_getragen,Token bleibt ueber mehrere Landschaften kernnah oder stark angeschlossen.,kernnah_gehalten,verdichtung_entlastet_oder_driftet,starker_anschlussanker -> brueckenkern -> starker_anschlussanker -> starker_anschlussanker,33 -> 115 -> 35 -> 35,5 -> 6 -> 6 -> 6,starker_anschlussanker,35,-1
0hjnwsk,kernrolle_getragen,Token bleibt ueber mehrere Landschaften kernnah oder stark angeschlossen.,aufsteigende_verdichtung,stabilitaet_gebrochen,schwacher_anschluss -> schwacher_anschluss -> brueckenkern -> brueckenkern,6 -> 10 -> 26 -> 26,3 -> 4 -> 4 -> 4,brueckenkern,26,3
0e7qvj1,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> brueckenkern,165 -> 276 -> 268 -> 270,5 -> 6 -> 6 -> 6,brueckenkern,270,0
0b7nep9,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,starker_anschlussanker -> brueckenkern -> brueckenkern -> brueckenkern,35 -> 228 -> 141 -> 228,2 -> 4 -> 4 -> 4,brueckenkern,228,0
0ykar6i,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,verdichtung_gehalten,schwacher_anschluss -> brueckenkern -> starker_anschlussanker -> brueckenkern,3 -> 215 -> 88 -> 215,2 -> 4 -> 4 -> 4,brueckenkern,215,0
18l3thm,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> brueckenkern,110 -> 171 -> 159 -> 171,5 -> 6 -> 6 -> 6,brueckenkern,171,0
0mji3u6,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> brueckenkern,43 -> 97 -> 97 -> 97,5 -> 6 -> 6 -> 6,brueckenkern,97,0
1jwnjz4,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,schwacher_anschluss -> starker_anschlussanker -> starker_anschlussanker -> starker_anschlussanker,13 -> 59 -> 50 -> 59,1 -> 4 -> 4 -> 4,starker_anschlussanker,59,0
14coypf,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,verdichtung_gehalten,- -> brueckenkern -> lokaler_anschlussanker -> brueckenkern,0 -> 57 -> 14 -> 57,0 -> 3 -> 3 -> 3,brueckenkern,57,0
1joiyc3,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,absteigende_entlastung,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> starker_anschlussanker,74 -> 101 -> 66 -> 57,5 -> 6 -> 6 -> 6,starker_anschlussanker,57,-1
1xx3u1e,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,verdichtung_gehalten,lokaler_anschlussanker -> brueckenkern -> starker_anschlussanker -> brueckenkern,12 -> 49 -> 46 -> 49,2 -> 3 -> 3 -> 3,brueckenkern,49,0
0ybr5e3,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,rollendrift,verdichtung_gehalten,- -> starker_anschlussanker -> schwacher_anschluss -> starker_anschlussanker,0 -> 41 -> 23 -> 41,0 -> 1 -> 1 -> 1,starker_anschlussanker,41,0
1q3us3f,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,lokaler_anschlussanker -> starker_anschlussanker -> starker_anschlussanker -> starker_anschlussanker,26 -> 39 -> 43 -> 39,3 -> 5 -> 5 -> 5,starker_anschlussanker,39,0
18n06fj,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> brueckenkern,17 -> 30 -> 38 -> 38,3 -> 5 -> 5 -> 5,brueckenkern,38,0
0jbl5pq,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> brueckenkern,27 -> 31 -> 32 -> 31,5 -> 6 -> 6 -> 6,brueckenkern,31,0
0qzjuvj,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,kernnaehe_gehalten,brueckenkern -> brueckenkern -> brueckenkern -> brueckenkern,28 -> 33 -> 29 -> 29,5 -> 6 -> 6 -> 6,brueckenkern,29,0
0geqqo3,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,rollendrift,verdichtung_gehalten,schwacher_anschluss -> lokaler_anschlussanker -> schwacher_anschluss -> lokaler_anschlussanker,11 -> 22 -> 4 -> 22,2 -> 2 -> 2 -> 2,lokaler_anschlussanker,22,0
1eju9g0,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 20 -> 24 -> 20,0 -> 1 -> 1 -> 1,schwacher_anschluss,20,0
0w4x7xs,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,schwacher_anschluss -> lokaler_anschlussanker -> lokaler_anschlussanker -> lokaler_anschlussanker,9 -> 18 -> 18 -> 18,1 -> 2 -> 2 -> 2,lokaler_anschlussanker,18,0
077r0df,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,schwacher_anschluss -> lokaler_anschlussanker -> lokaler_anschlussanker -> lokaler_anschlussanker,1 -> 16 -> 16 -> 16,1 -> 3 -> 3 -> 3,lokaler_anschlussanker,16,0
1al8fjz,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,schwacher_anschluss -> lokaler_anschlussanker -> lokaler_anschlussanker -> lokaler_anschlussanker,6 -> 14 -> 14 -> 14,2 -> 4 -> 4 -> 4,lokaler_anschlussanker,14,0
14l8khu,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> lokaler_anschlussanker -> lokaler_anschlussanker -> lokaler_anschlussanker,0 -> 13 -> 22 -> 13,0 -> 2 -> 3 -> 2,lokaler_anschlussanker,13,0
05lquqm,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,4 -> 10 -> 10 -> 10,1 -> 1 -> 1 -> 1,schwacher_anschluss,10,0
02ujuqf,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,kernnah_gehalten,verdichtung_gehalten,- -> brueckenkern -> schwacher_anschluss -> brueckenkern,0 -> 9 -> 3 -> 9,0 -> 3 -> 3 -> 3,brueckenkern,9,0
0aztxel,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,3 -> 1 -> 7 -> 7,1 -> 1 -> 3 -> 3,schwacher_anschluss,7,0
0lne9ax,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,4 -> 6 -> 9 -> 6,4 -> 6 -> 6 -> 6,schwacher_anschluss,6,0
0mm85pw,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 5 -> 5 -> 5,1 -> 2 -> 2 -> 2,schwacher_anschluss,5,0
0mw7rev,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 5 -> 7 -> 5,1 -> 2 -> 2 -> 2,schwacher_anschluss,5,0
01s42m6,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 4 -> 4 -> 4,0 -> 2 -> 2 -> 2,schwacher_anschluss,4,0
1k0rrn2,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 4 -> 4 -> 4,1 -> 2 -> 2 -> 2,schwacher_anschluss,4,0
1t42af6,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 4 -> 4 -> 4,0 -> 2 -> 2 -> 2,schwacher_anschluss,4,0
1y2gc2i,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 4 -> 4 -> 4,2 -> 4 -> 4 -> 4,schwacher_anschluss,4,0
10b8y4e,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 3 -> 3 -> 3,1 -> 2 -> 2 -> 2,schwacher_anschluss,3,0
1ds636q,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 3 -> 7 -> 3,0 -> 2 -> 2 -> 2,schwacher_anschluss,3,0
1pmt8u2,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 3 -> 2 -> 3,1 -> 1 -> 1 -> 1,schwacher_anschluss,3,0
06ccuqv,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 2 -> 2,0 -> 2 -> 2 -> 2,schwacher_anschluss,2,0
0jlkrep,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,2 -> 2 -> 2 -> 2,2 -> 1 -> 1 -> 1,schwacher_anschluss,2,0
0li6lg1,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 1 -> 2,0 -> 1 -> 1 -> 1,schwacher_anschluss,2,0
0tph7s0,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 2 -> 2,0 -> 1 -> 1 -> 1,schwacher_anschluss,2,0
1b3r4if,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 2 -> 2 -> 2,1 -> 1 -> 1 -> 1,schwacher_anschluss,2,0
1qqnvqf,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,rollendrift,verdichtung_gehalten,- -> schwacher_anschluss -> - -> schwacher_anschluss,0 -> 2 -> 0 -> 2,0 -> 2 -> 0 -> 2,schwacher_anschluss,2,0
0393v08,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1 -> 1,1 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
079228h,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1 -> 1,0 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
080f74u,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1 -> 1,0 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
08ubq99,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1 -> 1,1 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
0ag2osp,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1 -> 1,0 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
0d40zcv,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,aufsteigende_verdichtung,verdichtung_gehalten,- -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1 -> 1,0 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
0dsrwv5,memory_getragen,Die aus 894->901 gebildete Memory wird in der vierten Landschaft erneut getragen.,stabile_rolle,stabil_bestaetigt,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss,1 -> 1 -> 1 -> 1,1 -> 1 -> 1 -> 1,schwacher_anschluss,1,0
