world,role,count,share,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,rekopplung_top_share,carry_top_share,strain_top_share,dominant_effect_class,dominant_awareness,dominant_preview_symbol,dominant_symbol_family
SOL2024_5M,offene_variante,290,0.14543630892678033,0.6263499862068965,0.3917020517241379,0.2383195896551724,0.8405250965517241,0.10107674482758622,0.13023353448275862,0.0034482758620689655,0.25862068965517243,0.9689655172413794,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_11pe
SOL2024_5M,spannungsrand_kippnaehe,94,0.04714142427281846,0.5999071382978723,0.38524511702127656,0.3172583829787234,0.7983400638297872,0.18699455319148936,0.1703998404255319,0.010638297872340425,0.13829787234042554,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_1mae
SOL2024_15M,zentrum_stabil,1607,0.8059177532597793,0.6511659290603609,0.39636099502177974,0.16876178220286248,0.8722546322339763,0.04934106409458618,0.07044502115743621,0.3086496577473553,0.2445550715619166,0.07529558182949596,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_1370
SOL2024_15M,offene_variante,297,0.1489468405215647,0.6267188686868687,0.3930572154882155,0.23821683164983165,0.8387867272727272,0.10355612794612795,0.13795069696969697,0.010101010101010102,0.3063973063973064,0.9696969696969697,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_074v
SOL2024_15M,spannungsrand_kippnaehe,90,0.04513540621865597,0.5988079111111111,0.3846827333333333,0.3213062888888889,0.7987562111111111,0.18255427777777777,0.17101016666666666,0.0,0.16666666666666666,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_0g3g
SOL2024_1H,zentrum_stabil,1607,0.8059177532597793,0.6514906210329807,0.39722621966397015,0.16872470192906036,0.8726879240821407,0.04815597075295582,0.07233027566894835,0.3092719352831363,0.2507778469197262,0.0777846919726198,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_1xk5
SOL2024_1H,offene_variante,302,0.1514543630892678,0.6244386357615894,0.3891462086092715,0.23948058609271525,0.8353303410596027,0.09583143377483443,0.14983702649006622,0.006622516556291391,0.26490066225165565,0.956953642384106,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_0xnb
SOL2024_1H,spannungsrand_kippnaehe,85,0.04262788365095286,0.5979874352941177,0.3791603529411765,0.3158894588235294,0.7920172117647059,0.1862976,0.18233751764705883,0.0,0.18823529411764706,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_1a6h
KAS2024_5M,zentrum_stabil,1596,0.8004012036108324,0.6510923784461153,0.3976972631578947,0.17019060338345865,0.8728699191729323,0.04916137656641604,0.07272445363408521,0.30952380952380953,0.2506265664160401,0.07080200501253132,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_0jsu
KAS2024_5M,offene_variante,314,0.15747241725175526,0.6264288343949045,0.39209880573248407,0.2376730222929936,0.8387390063694269,0.10171476433121018,0.1366988025477707,0.012738853503184714,0.2770700636942675,0.9617834394904459,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_0kdn
KAS2024_5M,spannungsrand_kippnaehe,84,0.04212637913741224,0.6012641666666666,0.3854887261904762,0.31547186904761904,0.8019567380952382,0.17448230952380953,0.17466814285714286,0.011904761904761904,0.14285714285714285,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_0bqz
KAS2024_15M,zentrum_stabil,1596,0.8004012036108324,0.6521191315789474,0.39883863847117795,0.16899473245614036,0.873375914160401,0.049815189223057645,0.07092406829573934,0.31203007518796994,0.2600250626566416,0.07518796992481203,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_1370
KAS2024_15M,offene_variante,308,0.15446339017051153,0.6248052824675324,0.3885768961038961,0.23857148701298703,0.835747909090909,0.10543643506493505,0.13618858116883117,0.003246753246753247,0.22402597402597402,0.9383116883116883,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_09ol
KAS2024_15M,spannungsrand_kippnaehe,90,0.04513540621865597,0.5993468888888889,0.380268,0.31363606666666666,0.7975177999999999,0.17249863333333335,0.17957166666666666,0.0,0.16666666666666666,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_1bvf
KAS2024_1H,zentrum_stabil,1592,0.79839518555667,0.6508512430904523,0.39557201444723616,0.16886720854271356,0.8727962355527638,0.048360185301507534,0.0699288567839196,0.31155778894472363,0.24874371859296482,0.07097989949748744,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_1pgl
KAS2024_1H,offene_variante,311,0.1559679037111334,0.6250269935691318,0.3882827459807074,0.23790955305466235,0.8365827556270096,0.1031370578778135,0.13479790675241157,0.006430868167202572,0.2604501607717042,0.9485530546623794,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_0iah
KAS2024_1H,spannungsrand_kippnaehe,91,0.04563691073219659,0.6000997802197802,0.3858674615384616,0.3186616703296703,0.8008478571428571,0.16837323076923078,0.18067747252747252,0.01098901098901099,0.24175824175824176,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_1gkk
