role_family,symbol_family,asset,label,window_start,total_count,phase_presence,dominant_role,family_reading,rekopplung_frueh,rekopplung_mitte,rekopplung_spaet,strain_frueh,strain_mitte,strain_spaet,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,boundary
rf_07,dio_1ewh,DOGE,start1000_real_7000,1000,93,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.744508,0.748364,0.748383,0.163235,0.171249,0.171488,0.270952,0.130172,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,DOGE,start7000_real_7000,7000,70,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.743149,0.744528,0.747474,0.158524,0.171999,0.172799,0.373287,0.175353,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,DOGE,start7000_real_7000,7000,87,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.742557,0.747486,0.748647,0.162431,0.172518,0.171113,0.257666,0.130412,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,PAXG,start1000_real_7000,1000,43,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.740072,0.743357,0.745676,0.157256,0.174040,0.171215,0.410893,0.194693,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,PAXG,start1000_real_7000,1000,104,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.745839,0.750462,0.752650,0.163751,0.171614,0.172767,0.213732,0.104151,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,PAXG,start7000_real_7000,7000,43,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.738163,0.744972,0.743270,0.154678,0.168362,0.174240,0.530358,0.257091,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,PAXG,start7000_real_7000,7000,108,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.747569,0.751295,0.750274,0.163488,0.170805,0.174006,0.297315,0.141924,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,SOL,start1000_real_7000,1000,53,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.731946,0.744912,0.742123,0.158336,0.166961,0.175763,0.610707,0.313003,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,SOL,start1000_real_7000,1000,74,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.744764,0.748283,0.746660,0.160029,0.169786,0.174337,0.344510,0.163833,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,SOL,start7000_real_7000,7000,86,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.737863,0.743042,0.745449,0.162705,0.175461,0.174558,0.273731,0.129896,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,SOL,start7000_real_7000,7000,98,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.735327,0.748304,0.749702,0.163535,0.171107,0.171161,0.288237,0.138285,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,XRP,start1000_real_7000,1000,64,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.732357,0.742967,0.749198,0.166416,0.171935,0.167252,0.435369,0.214709,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,XRP,start1000_real_7000,1000,81,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.743936,0.746186,0.748284,0.160199,0.172884,0.172032,0.325205,0.157008,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_0g2r,XRP,start7000_real_7000,7000,56,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.739410,0.744676,0.745362,0.156661,0.169244,0.173334,0.509692,0.240887,passive_connected_family_followworld_trace_no_action_no_direction
rf_07,dio_1ewh,XRP,start7000_real_7000,7000,74,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.739902,0.746435,0.749109,0.162402,0.172202,0.171515,0.399011,0.190275,passive_connected_family_followworld_trace_no_action_no_direction
rf_21,dio_1pij,DOGE,start1000_real_7000,1000,62,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.719923,0.726531,0.726604,0.194882,0.202924,0.204756,0.307096,0.144200,passive_connected_family_followworld_trace_no_action_no_direction
rf_21,dio_1pij,DOGE,start7000_real_7000,7000,44,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.720241,0.723037,0.725923,0.189638,0.203956,0.204250,0.435246,0.209136,passive_connected_family_followworld_trace_no_action_no_direction
rf_21,dio_1pij,SOL,start1000_real_7000,1000,48,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.719180,0.727676,0.725491,0.188366,0.200255,0.205627,0.397531,0.186219,passive_connected_family_followworld_trace_no_action_no_direction
rf_21,dio_1pij,SOL,start7000_real_7000,7000,43,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.704646,0.721204,0.728472,0.193580,0.204513,0.203556,0.471941,0.228443,passive_connected_family_followworld_trace_no_action_no_direction
rf_21,dio_1v2w,XRP,start1000_real_7000,1000,49,3,field_stabil,kernfamilie_mit_feldzeitverdichtung,0.708106,0.715064,0.718207,0.184909,0.198915,0.201170,0.583717,0.307311,passive_connected_family_followworld_trace_no_action_no_direction
