role_family,component,response_axis,observations,holdouts,mean_value,median_value,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,observation_directional_persistence,mean_null_percentile,minimum_null_percentile,maximum_null_percentile,holdout_ids,holdout_mean_path,holdout_sign_path,holdout_directional_persistence,axis_persistence_percentile,axis_mean_null_percentile,axis_signed_mean_percentile
rf_08,volume,event_share,15,3,0.0004750726581712496,0.0005589090096132353,-0.0010619271182651466,0.001453163424994411,11,3,1,0.5333333333333333,0.756,0.025,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.000112;0.000699;0.000838,-1;1;1,0.3333333333333333,0.1875,0.6875,0.6875
rf_08,volume,member_coverage,15,3,0.037037037037037056,0.05555555555555558,-0.25,0.2777777777777778,10,5,0,0.3333333333333333,0.7893333333333333,0.135,1.0,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.097222;0.152778;0.055556,-1;1;1,0.3333333333333333,0.375,0.8125,0.9375
rf_10,volume,continuity,15,3,-0.19696204956808672,-0.18014705882352938,-0.4787280701754385,0.09951298701298705,2,13,0,0.7333333333333333,0.242,0.0,0.95,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.234191;-0.330245;-0.026450,-1;-1;-1,1.0,0.4375,0.1875,0.1875
rf_10,volume,event_share,15,3,-0.000605484760414338,-0.0006147999105745585,-0.0021238542365302933,0.00011178180192264681,3,12,0,0.6,0.21066666666666667,0.0,0.64,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.000643;-0.001006;-0.000168,-1;-1;-1,1.0,0.3125,0.4375,0.4375
rf_10,volume,member_coverage,15,3,-0.1990740740740741,-0.19444444444444448,-0.47222222222222227,0.08333333333333331,1,13,1,0.8,0.23833333333333334,0.0,0.9,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.236111;-0.305556;-0.055556,-1;-1;-1,1.0,0.6875,0.1875,0.1875
rf_13,volume,continuity,15,3,-0.041478880351646034,-0.046050642479213866,-0.19087301587301586,0.10306267806267799,4,11,0,0.4666666666666667,0.4493333333333333,0.02,0.84,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.028441;-0.056759;-0.096119,1;-1;-1,0.3333333333333333,0.3125,0.5625,0.5625
rf_13,volume,event_share,15,3,-0.0003446605559281616,-0.00016767270288397087,-0.0019561815336463224,0.0010060362173038232,5,10,0,0.3333333333333333,0.32766666666666666,0.0,0.88,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.000307;-0.000168;-0.001174,1;-1;-1,0.3333333333333333,0.0625,0.5625,0.5625
rf_13,volume,member_coverage,15,3,-0.052469135802469126,-0.04629629629629628,-0.2777777777777778,0.20370370370370372,5,10,0,0.3333333333333333,0.45366666666666666,0.0,0.885,2081_30m_windows;2083_5m_windows;2086_5m_windows,0.083333;-0.046296;-0.194444,1;-1;-1,0.3333333333333333,0.375,0.4375,0.4375
rf_17,volume,continuity,15,3,-0.19740576040093996,-0.1944444444444443,-0.32463768115942027,-0.012121212121212033,0,15,0,1.0,0.22466666666666665,0.0,0.7,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.085383;-0.190769;-0.316066,-1;-1;-1,1.0,0.875,0.0625,0.0625
rf_17,volume,event_share,15,3,-0.0013134361725911023,-0.0011737089201877935,-0.0025709814442208805,-0.00039123630672926427,0,15,0,1.0,0.07,0.0,0.43,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.000727;-0.001174;-0.002040,-1;-1;-1,1.0,0.8125,0.1875,0.3125
rf_17,volume,member_coverage,15,3,-0.2361111111111111,-0.2222222222222222,-0.38888888888888895,-0.055555555555555525,0,15,0,1.0,0.18,0.0,0.57,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.125000;-0.222222;-0.361111,-1;-1;-1,1.0,0.9375,0.0625,0.0625
rf_21,volume,continuity,15,3,-0.05252345313530541,-0.053101736972704705,-0.09684343434343445,-0.0018817204301073698,0,15,0,1.0,0.37666666666666665,0.09,0.64,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.044760;-0.068209;-0.044601,-1;-1;-1,1.0,0.875,0.4375,0.4375
rf_21,volume,event_share,15,3,-0.002021387584767866,-0.0020679633355689675,-0.0038564721663313217,0.0002235636038452945,2,13,0,0.7333333333333333,0.05066666666666667,0.0,0.28,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.001174;-0.002040;-0.002850,-1;-1;-1,1.0,0.4375,0.0625,0.0625
rf_21,volume,member_coverage,15,3,-0.03240740740740741,-0.02777777777777779,-0.08333333333333337,0.05555555555555558,1,11,3,0.6666666666666666,0.48633333333333334,0.195,0.87,2081_30m_windows;2083_5m_windows;2086_5m_windows,-0.013889;-0.055556;-0.027778,-1;-1;-1,1.0,0.5625,0.5625,0.5625
