source_file,world,preview_symbol,symbol_family,field_effect,depth_state,positive_phase_proximity,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_sensory_coupling,mcm_visual_field_gap,mcm_hearing_field_gap,mcm_feldwirkung_mcm_coherence,mcm_feldwirkung_mcm_tension,mcm_feldwirkung_mcm_asymmetry
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.987573,0.588614,0.154751,0.727419,0.850796,0.224866,0.026475,0.579201,0.053053,-0.021034
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0rbjarj,dio_14wj,stabil,multiworld_depth_seed,0.987472,0.580326,0.148821,0.726318,0.854293,0.229972,0.012326,0.580534,0.046594,-0.013295
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.987408,0.594790,0.151452,0.731400,0.850777,0.234635,0.014747,0.566849,0.048888,-0.003722
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.986949,0.588414,0.154104,0.727556,0.847319,0.228651,0.033371,0.576475,0.060415,-0.016390
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.986826,0.589265,0.153990,0.727455,0.848641,0.229673,0.027063,0.567700,0.047520,-0.030691
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.986809,0.592834,0.154324,0.729143,0.847543,0.242700,0.022932,0.584908,0.052706,-0.004044
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_1cic,stabil,multiworld_depth_seed,0.986661,0.582105,0.160342,0.722827,0.846774,0.238776,0.019980,0.561497,0.052326,0.003078
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_1fdlu6e,dio_0l7p,stabil,multiworld_depth_seed,0.986535,0.592427,0.159127,0.727124,0.845583,0.246016,0.020978,0.571260,0.050361,-0.001056
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.9863,0.593935,0.158159,0.728209,0.846194,0.235989,0.030452,0.576643,0.054230,0.002938
debug\2005_mb_targeted_btc_follow6000_7000\dio_mini_lauf_49\episodes.csv,MB_TARGET_UEBERGANG_BTC_FOLLOW6000_7000,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.985845,0.588051,0.148764,0.729941,0.855312,0.215786,0.019091,0.571751,0.051254,-0.010499
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0wo0tz1,dio_0l7p,stabil,multiworld_depth_seed,0.985754,0.576274,0.146644,0.725462,0.853209,0.217015,0.029794,0.580827,0.052344,-0.000190
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0iwh9d2,dio_0l7p,stabil,multiworld_depth_seed,0.985619,0.591989,0.160033,0.726996,0.847222,0.231118,0.032469,0.585560,0.060164,-0.006573
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0wo0tz1,dio_0l7p,stabil,multiworld_depth_seed,0.985422,0.581848,0.159136,0.722950,0.845344,0.234664,0.035557,0.585058,0.062454,-0.003591
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.985369,0.585991,0.160131,0.724268,0.846004,0.232627,0.032984,0.580582,0.061672,-0.015428
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.98536,0.594873,0.155465,0.729696,0.848230,0.234856,0.030403,0.589242,0.051565,-0.000123
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.985207,0.592843,0.151774,0.729761,0.846966,0.236270,0.036001,0.589960,0.048783,-0.004074
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.984975,0.594625,0.155960,0.730071,0.852961,0.217152,0.026433,0.580039,0.054389,-0.008502
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.984908,0.593721,0.154056,0.729375,0.845115,0.243545,0.023625,0.564906,0.053789,-0.012063
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.984809,0.593061,0.152676,0.729786,0.848049,0.228504,0.031937,0.576418,0.056465,-0.024325
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.984718,0.593954,0.155341,0.729353,0.845968,0.236398,0.033216,0.581961,0.057506,-0.001703
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_0icnf2v,dio_14wj,stabil,multiworld_depth_seed,0.984287,0.593992,0.153374,0.730033,0.848984,0.246601,0.014151,0.580968,0.046344,-0.003677
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.984185,0.589636,0.157217,0.727066,0.845997,0.234987,0.033191,0.583345,0.061936,0.000595
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.984059,0.592954,0.157031,0.728157,0.844634,0.238087,0.029007,0.565378,0.058801,-0.012367
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.983825,0.595169,0.151542,0.731854,0.854370,0.223745,0.017088,0.580318,0.049567,0.003844
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_0l7p,stabil,multiworld_depth_seed,0.983752,0.592167,0.160793,0.726622,0.843650,0.241542,0.028967,0.567905,0.059502,-0.001408
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_0l7p,stabil,multiworld_depth_seed,0.983727,0.593439,0.160019,0.727642,0.847226,0.238104,0.019036,0.564152,0.054306,0.003191
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0wo0tz1,dio_104t,stabil,multiworld_depth_seed,0.983693,0.572554,0.154649,0.720441,0.843438,0.239300,0.032792,0.567542,0.063305,-0.003613
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.983623,0.586123,0.157608,0.725639,0.849313,0.215511,0.039229,0.575667,0.057672,0.004091
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.983502,0.593672,0.153554,0.729653,0.847968,0.235881,0.026402,0.580340,0.053581,0.019321
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.983143,0.595131,0.158591,0.728638,0.847881,0.245712,0.017366,0.582603,0.048641,-0.000855
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.983052,0.593221,0.155148,0.729465,0.853067,0.227303,0.018867,0.589499,0.052741,-0.015346
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.982665,0.592167,0.151587,0.730241,0.853096,0.230857,0.014491,0.583091,0.050818,0.014671
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.982656,0.586565,0.155526,0.725632,0.847175,0.229143,0.031044,0.571578,0.056015,-0.042421
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_1cic,stabil,multiworld_depth_seed,0.982602,0.582656,0.158036,0.723831,0.851249,0.217565,0.026010,0.561698,0.049385,-0.033194
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_1qlxgj7,dio_14wj,stabil,multiworld_depth_seed,0.98252,0.584818,0.150096,0.727268,0.851979,0.239147,0.009163,0.571793,0.041138,-0.023387
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0tfzgic,dio_14wj,stabil,multiworld_depth_seed,0.982119,0.594310,0.149833,0.731996,0.854975,0.231451,0.008746,0.581085,0.044899,-0.012416
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.982102,0.591309,0.154381,0.727681,0.842732,0.257884,0.021598,0.574750,0.050697,-0.017536
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_14wj,stabil,multiworld_depth_seed,0.98208,0.597002,0.150921,0.732690,0.854395,0.229533,0.011365,0.581245,0.048511,-0.015757
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_1yxc2ug,dio_0l7p,stabil,multiworld_depth_seed,0.981979,0.595088,0.155624,0.729622,0.850664,0.233460,0.017845,0.576471,0.047853,0.022859
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_1yxc2ug,dio_0l7p,stabil,multiworld_depth_seed,0.981948,0.594992,0.158144,0.728428,0.848014,0.244324,0.013633,0.573353,0.049919,-0.022750
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981886,0.597776,0.150241,0.732466,0.849733,0.238233,0.023716,0.587549,0.044738,-0.016533
debug\2005_mb_targeted_doge_transition2024\dio_mini_lauf_48\episodes.csv,MB_TARGET_UEBERGANG_DOGE2024,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.981805,0.593425,0.154924,0.729136,0.849758,0.221250,0.030892,0.570090,0.052130,-0.031409
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_0l7p,stabil,multiworld_depth_seed,0.981761,0.593974,0.159311,0.728195,0.849904,0.231700,0.023244,0.588458,0.057570,0.012370
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981722,0.596720,0.153951,0.731298,0.854343,0.219725,0.023709,0.585375,0.044120,-0.013613
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981587,0.592787,0.156066,0.727855,0.847513,0.229657,0.033810,0.578885,0.049124,-0.037587
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0wo0tz1,dio_0l7p,stabil,multiworld_depth_seed,0.981542,0.579601,0.153472,0.724164,0.850560,0.228377,0.029904,0.599795,0.059311,0.012036
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981494,0.595049,0.158506,0.728855,0.850230,0.238523,0.015790,0.584461,0.050596,0.008767
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_0vig3jz,dio_0l7p,stabil,multiworld_depth_seed,0.981443,0.595540,0.153322,0.730964,0.852488,0.232601,0.016535,0.588677,0.050552,0.011772
debug\2005_mb_targeted_btc_quiet2025\dio_mini_lauf_47\episodes.csv,MB_TARGET_RUHIG_BTC_QUIET2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981433,0.593884,0.158640,0.727577,0.844313,0.258039,0.015934,0.577182,0.047908,-0.005076
debug\2005_mb_targeted_paxg_real2024\dio_mini_lauf_46\episodes.csv,MB_TARGET_RUHIG_PAXG_REAL2024,dio_mcm_episode_1fdlu6e,dio_0l7p,stabil,multiworld_depth_seed,0.981316,0.596173,0.149423,0.733130,0.855073,0.213825,0.019763,0.564620,0.049869,-0.009353
