sequence,position,world_id,corpus,variant,world_profiles,episode_observations,active_neighborhoods,historical_neighborhoods,active_three_scope_neighborhoods,active_world_pair_observations
reverse,37,W2079_045,null_2025_1h,shuffle,37,909,852,852,250,9059
reverse,38,W2079_044,null_2025_1h,random_sign,38,928,875,875,259,9445
reverse,39,W2079_043,null_2025_1h,shuffle,39,953,900,900,266,9909
reverse,40,W2079_042,null_2025_1h,random_sign,40,970,928,928,269,10327
reverse,41,W2079_041,null_2025_1h,shuffle,41,1005,975,975,280,10949
reverse,42,W2079_040,null_2025_1h,random_sign,42,1036,1030,1030,285,11585
reverse,43,W2079_039,null_2025_1h,shuffle,43,1073,1068,1068,292,12264
reverse,44,W2079_038,null_2025_1h,random_sign,44,1090,1070,1070,295,12785
reverse,45,W2079_037,null_2025_1h,shuffle,45,1111,1099,1099,305,13329
reverse,46,W2079_036,null_2025_1h,random_sign,46,1142,1147,1147,317,13970
reverse,47,W2079_035,null_2025_1h,shuffle,47,1163,1161,1161,319,14522
reverse,48,W2079_034,null_2025_1h,random_sign,48,1184,1175,1175,325,15105
reverse,49,W2079_033,null_2025_1h,shuffle,49,1211,1203,1203,330,15789
reverse,50,W2079_032,null_2025_1h,random_sign,50,1228,1243,1243,340,16431
reverse,51,W2079_031,null_2025_1h,shuffle,51,1257,1267,1267,346,17096
reverse,52,W2079_030,null_2025_1h,random_sign,52,1286,1310,1310,350,17906
reverse,53,W2079_029,null_2025_1h,shuffle,53,1305,1374,1374,359,18585
reverse,54,W2079_028,null_2025_1h,random_sign,54,1332,1381,1381,368,19329
reverse,55,W2079_027,null_2025_1h,shuffle,55,1351,1383,1383,370,19943
reverse,56,W2079_026,null_2025_1h,random_sign,56,1380,1416,1416,380,20812
reverse,57,W2079_025,null_2025_1h,shuffle,57,1407,1422,1422,385,21531
reverse,58,W2079_024,null_2025_1h,random_sign,58,1432,1465,1465,392,22371
reverse,59,W2079_023,null_2025_1h,shuffle,59,1459,1523,1523,404,23252
reverse,60,W2079_022,null_2025_1h,random_sign,60,1484,1541,1541,404,24126
reverse,61,W2079_021,null_2025_1h,shuffle,61,1513,1559,1559,409,24918
reverse,62,W2079_020,null_2025_1h,random_sign,62,1536,1585,1585,412,25769
reverse,63,W2079_019,null_2025_1h,shuffle,63,1561,1619,1619,416,26691
reverse,64,W2079_018,null_2025_1h,random_sign,64,1580,1656,1656,427,27382
reverse,65,W2079_017,null_2025_1h,shuffle,65,1607,1669,1669,436,28303
reverse,66,W2079_016,null_2025_1h,random_sign,66,1634,1687,1687,443,29117
reverse,67,W2079_015,follow_2025_1h,real,67,1653,1702,1702,447,29908
reverse,68,W2079_014,follow_2025_1h,real,68,1678,1784,1784,457,30897
reverse,69,W2079_013,follow_2025_1h,real,69,1711,1814,1814,465,31843
reverse,70,W2079_012,follow_2025_1h,real,70,1738,1826,1826,472,32870
reverse,71,W2079_011,follow_2025_1h,real,71,1761,1832,1832,472,33831
reverse,72,W2079_010,follow_2025_1h,real,72,1784,1840,1840,475,34670
reverse,73,W2079_009,follow_2025_1h,real,73,1815,1851,1851,481,35754
reverse,74,W2079_008,follow_2025_1h,real,74,1846,1891,1891,496,37007
reverse,75,W2079_007,follow_2025_1h,real,75,1871,1940,1940,502,38140
reverse,76,W2079_006,follow_2025_1h,real,76,1900,1945,1945,502,39313
reverse,77,W2079_005,follow_2025_1h,real,77,1941,2001,2001,518,40727
reverse,78,W2079_004,follow_2025_1h,real,78,1964,2014,2014,528,41759
reverse,79,W2079_003,follow_2025_1h,real,79,1989,2049,2049,535,42916
reverse,80,W2079_002,follow_2025_1h,real,80,2012,2067,2067,538,43899
reverse,81,W2079_001,follow_2025_1h,real,81,2037,2085,2085,542,45092
