preview_symbol,shift_label,real_origin,shuffle_origin,random_sign_origin,real_state,shuffle_state,random_sign_state,real_function,shuffle_function,random_sign_function,real_depth,shuffle_depth,random_sign_depth,real_null_share,shuffle_null_share,random_sign_null_share,real_mixed_share,shuffle_mixed_share,random_sign_mixed_share,real_count,shuffle_count,random_sign_count
dio_mcm_episode_13nf5kn,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,milieu_island,milieu_island,milieu_island,0.617074,0.617074,0.617074,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8
dio_mcm_episode_0u7qgeu,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.595904,0.595904,0.643807,0.0,0.0,0.25,0.0,0.0,0.0,6,6,8
dio_mcm_episode_1e5qs1j,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,young_field_phase,young_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.582049,0.582049,0.616871,0.0,0.0,0.25,0.0,0.0,0.0,3,3,4
dio_mcm_episode_1yhu9yb,realwelt_stabil,realwelt_getragen,realwelt_getragen,realwelt_getragen,positive_recoupling_field_phase,positive_recoupling_field_phase,positive_recoupling_field_phase,active_recoupling,active_recoupling,active_recoupling,0.581247,0.581247,0.581247,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5
dio_mcm_episode_0m2pnpt,offener_wechsel,realwelt_getragen,realwelt_getragen,-,positive_recoupling_field_phase,positive_recoupling_field_phase,-,open_surface,active_recoupling,-,0.576376,0.613603,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,5,6,0
dio_mcm_episode_0y53nyb,offener_wechsel,realwelt_getragen,-,realwelt_getragen,positive_recoupling_field_phase,-,positive_recoupling_field_phase,active_recoupling,-,active_recoupling,0.575558,0.0,0.622766,0.0,0.0,0.25,0.0,0.0,0.0,6,0,8
dio_mcm_episode_17e1ecl,offener_wechsel,realwelt_getragen,-,realwelt_getragen,positive_recoupling_field_phase,-,positive_recoupling_field_phase,active_recoupling,-,active_recoupling,0.565348,0.0,0.607855,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,5,0,6
dio_mcm_episode_12k5tow,offener_wechsel,realwelt_getragen,realwelt_getragen,-,young_field_phase,positive_recoupling_field_phase,-,open_surface,open_surface,-,0.564864,0.60092,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4,5,0
dio_mcm_episode_014zdo3,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,milieu_island,-,0.0,0.68788,0.0,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0,7,0
dio_mcm_episode_10r2mum,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,-,0.0,0.676286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,110,0
dio_mcm_episode_07x93e7,nur_stoerketten_sichtbar,-,gemischte_bindung,gemischte_bindung,-,positive_recoupling_field_phase,positive_recoupling_field_phase,-,active_recoupling,active_recoupling,0.0,0.651332,0.604277,0.0,0.5714285714285714,0.625,0.0,0.42857142857142855,0.375,0,7,8
dio_mcm_episode_08w107d,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,open_surface,-,0.0,0.6366,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0,8,0
dio_mcm_episode_1kwexso,nur_stoerketten_sichtbar,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,-,0.0,0.631488,0.0,0.0,0.625,0.0,0.0,0.375,0.0,0,8,0
dio_mcm_episode_0wyzu1s,nur_stoerketten_sichtbar,-,gemischte_bindung,gemischte_bindung,-,stable_crossworld_field_phase,positive_recoupling_field_phase,-,open_surface,open_surface,0.0,0.623638,0.611626,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0,6,6
dio_mcm_episode_0gdrwbp,nur_stoerketten_sichtbar,-,gemischte_bindung,gemischte_bindung,-,positive_recoupling_field_phase,positive_recoupling_field_phase,-,active_recoupling,active_recoupling,0.0,0.619173,0.609659,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0,6,6
dio_mcm_episode_11dx6vi,nur_stoerketten_sichtbar,-,gemischte_bindung,gemischte_bindung,-,positive_recoupling_field_phase,positive_recoupling_field_phase,-,active_recoupling,active_recoupling,0.0,0.617026,0.614929,0.0,0.5,0.5,0.0,0.25,0.25,0,4,4
dio_mcm_episode_163b6v6,nur_stoerketten_sichtbar,-,gemischte_bindung,-,-,young_field_phase,-,-,milieu_island,-,0.0,0.615492,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0,3,0
dio_mcm_episode_0ws9wvs,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,-,0.0,0.612709,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0,4,0
dio_mcm_episode_11w0mrr,nur_stoerketten_sichtbar,-,gemischte_bindung,gemischte_bindung,-,positive_recoupling_field_phase,positive_recoupling_field_phase,-,active_recoupling,active_recoupling,0.0,0.611835,0.6266,0.0,0.5,0.6,0.0,0.25,0.2,0,4,5
dio_mcm_episode_1200bb0,nur_stoerketten_sichtbar,-,gemischte_bindung,gemischte_bindung,-,positive_recoupling_field_phase,young_field_phase,-,active_recoupling,active_recoupling,0.0,0.609434,0.594425,0.0,0.6,0.5,0.0,0.4,0.25,0,5,4
dio_mcm_episode_1xdh0bk,nur_stoerketten_sichtbar,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,-,0.0,0.609255,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0,5,0
dio_mcm_episode_19ljsne,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,-,0.0,0.60115,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0,4,0
dio_mcm_episode_0a2pf1p,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,young_field_phase,-,-,milieu_island,-,0.0,0.597932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0
dio_mcm_episode_16lqhxj,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,open_surface,-,0.0,0.595602,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0,5,0
dio_mcm_episode_05kzk26,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,young_field_phase,-,-,milieu_island,-,0.0,0.589582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0
dio_mcm_episode_0mtt9o5,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,milieu_island,-,0.0,0.587409,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,7,0
dio_mcm_episode_0nn6ri9,nur_stoerketten_sichtbar,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,open_surface,-,0.0,0.585438,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0,5,0
dio_mcm_episode_1be1yef,nur_stoerketten_sichtbar,-,gemischte_bindung,-,-,young_field_phase,-,-,milieu_island,-,0.0,0.58464,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0,2,0
dio_mcm_episode_1a49lc5,nur_stoerketten_sichtbar,-,feldinterne_nullordnung,-,-,young_field_phase,-,-,milieu_island,-,0.0,0.581854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0
dio_mcm_episode_14xx81a,nur_stoerketten_sichtbar,-,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,milieu_island,0.0,0.0,0.72315,0.0,0.0,1.0,0.0,0.0,0.0,0,0,105
dio_mcm_episode_0v0uojh,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.635344,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0,0,6
dio_mcm_episode_1ymlx26,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.629169,0.0,0.0,0.5,0.0,0.0,0.25,0,0,4
dio_mcm_episode_0quo3nn,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.625153,0.0,0.0,0.625,0.0,0.0,0.375,0,0,8
dio_mcm_episode_0r55qr8,nur_stoerketten_sichtbar,-,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,milieu_island,0.0,0.0,0.62056,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4
dio_mcm_episode_1ole1yf,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.609317,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0,0,6
dio_mcm_episode_0z1w5lo,nur_stoerketten_sichtbar,-,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.608488,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0,0,7
dio_mcm_episode_1qmlwcr,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,young_field_phase,-,-,milieu_island,0.0,0.0,0.596434,0.0,0.0,0.5,0.0,0.0,0.5,0,0,2
dio_mcm_episode_1fy7zy2,nur_stoerketten_sichtbar,-,-,feldinterne_nullordnung,-,-,young_field_phase,-,-,active_recoupling,0.0,0.0,0.594606,0.0,0.0,1.0,0.0,0.0,0.0,0,0,3
dio_mcm_episode_04fxyrn,nur_stoerketten_sichtbar,-,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.587715,0.0,0.0,0.8,0.0,0.0,0.2,0,0,5
dio_mcm_episode_0ptcfn6,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.586943,0.0,0.0,0.6,0.0,0.0,0.2,0,0,5
dio_mcm_episode_08q1993,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,young_field_phase,-,-,active_recoupling,0.0,0.0,0.584181,0.0,0.0,0.5,0.0,0.0,0.25,0,0,4
dio_mcm_episode_0mcp9es,nur_stoerketten_sichtbar,-,-,feldinterne_nullordnung,-,-,positive_recoupling_field_phase,-,-,active_recoupling,0.0,0.0,0.581955,0.0,0.0,0.8,0.0,0.0,0.2,0,0,5
dio_mcm_episode_0sscnvc,nur_stoerketten_sichtbar,-,-,gemischte_bindung,-,-,young_field_phase,-,-,active_recoupling,0.0,0.0,0.581555,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0,0,3
dio_mcm_episode_19ysphu,nur_real_sichtbar,realwelt_getragen,-,-,positive_recoupling_field_phase,-,-,active_recoupling,-,-,0.581041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
dio_mcm_episode_11uzrg2,nur_real_sichtbar,realwelt_getragen,-,-,positive_recoupling_field_phase,-,-,open_surface,-,-,0.57336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
dio_mcm_episode_0278cl0,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,active_recoupling,-,-,0.571332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
dio_mcm_episode_18bzc1l,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.562257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
dio_mcm_episode_0cpxes1,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.562017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
dio_mcm_episode_1ighrbw,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.561134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
dio_mcm_episode_0c05m49,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.558621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
dio_mcm_episode_1c8zokt,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.555881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
dio_mcm_episode_1nr3krt,nur_real_sichtbar,realwelt_getragen,-,-,positive_recoupling_field_phase,-,-,open_surface,-,-,0.555356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
dio_mcm_episode_0c2acj0,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.553332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
dio_mcm_episode_19ry8iv,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.544557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
dio_mcm_episode_0y7hhur,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.543435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
dio_mcm_episode_0vidg3n,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.542113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
dio_mcm_episode_075h63q,nur_real_sichtbar,realwelt_getragen,-,-,young_field_phase,-,-,milieu_island,-,-,0.541942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
dio_mcm_episode_0icnf2v,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,milieu_island,active_recoupling,active_recoupling,0.847206,0.870324,0.870452,0.0,0.5592011412268189,0.5282802839477903,0.0,0.16176890156918688,0.13937867338371115,12360,28040,26202
dio_mcm_episode_1qlxgj7,kippt_zu_gemischt,realwelt_getragen,realwelt_getragen,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.843927,0.858598,0.860043,0.0,0.23922686945500635,0.30284552845528456,0.0,0.0,0.0,2401,3156,3444
dio_mcm_episode_1rj8742,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.84252,0.860633,0.859945,0.0,0.4171168129642134,0.40083289953149404,0.0,0.0,0.0,3453,5924,5763
dio_mcm_episode_0wo0tz1,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.82569,0.83967,0.851621,0.0,0.3194570135746606,0.5409035409035409,0.0,0.0,0.0989010989010989,1504,2210,3276
dio_mcm_episode_0tfzgic,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.820822,0.835336,0.837329,0.0,0.3812360387192852,0.40600428877769834,0.0,0.0,0.0,831,1343,1399
dio_mcm_episode_1yxc2ug,kippt_zu_gemischt,realwelt_getragen,realwelt_getragen,gemischte_bindung,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.812387,0.821621,0.836176,0.0,0.004273504273504274,0.33045977011494254,0.0,0.0,0.0,233,234,348
dio_mcm_episode_0vcr3lw,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.811692,0.840265,0.835031,0.0,0.3595505617977528,0.3522727272727273,0.0,0.0,0.0,57,89,88
dio_mcm_episode_1eav7xq,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.809676,0.838604,0.841739,0.0,0.425531914893617,0.46,0.0,0.0,0.02,54,94,100
dio_mcm_episode_0bsaqu1,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.809338,0.83783,0.842171,0.0,0.375,0.43820224719101125,0.0,0.0,0.0,50,80,89
dio_mcm_episode_0hvxln3,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,realwelt_getragen,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.80086,0.8326,0.826352,0.0,0.3561643835616438,0.27692307692307694,0.0,0.0,0.0,47,73,65
dio_mcm_episode_08g1nk4,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,stable_crossworld_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.784989,0.829568,0.823218,0.0,0.39285714285714285,0.3625,0.0,0.0,0.0,51,84,80
dio_mcm_episode_14sn1ov,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.778156,0.824319,0.810365,0.0,0.4050632911392405,0.3561643835616438,0.0,0.0,0.0,47,79,73
dio_mcm_episode_0b8eoy2,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,positive_recoupling_field_phase,stable_crossworld_field_phase,stable_crossworld_field_phase,active_recoupling,active_recoupling,active_recoupling,0.77008,0.809808,0.809398,0.0,0.373134328358209,0.3225806451612903,0.0,0.0,0.0,42,67,62
dio_mcm_episode_14pd6eb,kippt_zu_gemischt,realwelt_getragen,gemischte_bindung,gemischte_bindung,positive_recoupling_field_phase,positive_recoupling_field_phase,stable_crossworld_field_phase,milieu_island,active_recoupling,milieu_island,0.769585,0.824771,0.821029,0.0,0.5,0.3684210526315789,0.0,0.125,0.0,24,48,38
