dataset,finalization_index,incoming_relation_events,incoming_existing_relations,new_relations,active_relations,shared_relations,previous_maximum_pareto_depth,current_maximum_pareto_depth,moved_shallower,moved_deeper,unchanged_depth,depth_change_count,depth_change_share,absolute_depth_change_sum,mean_absolute_depth_change,future_event_reads,null_mean_depth_change_share,observed_minus_null_mean_depth_change_share
2092_holdout,15,120,76,44,381,337,27,30,29,277,31,306,0.9080118694362018,849,2.5192878338278932,0,0.7774480712166175,0.1305637982195843
2092_holdout,16,23,15,8,389,381,30,29,371,2,8,373,0.979002624671916,424,1.1128608923884515,0,0.6618635170603673,0.31713910761154873
2092_holdout,17,135,89,46,435,389,29,34,24,342,23,366,0.9408740359897172,1568,4.030848329048843,0,0.916349614395887,0.02452442159383017
2092_holdout,18,107,56,51,486,435,34,36,34,379,22,413,0.9494252873563218,884,2.032183908045977,0,0.8522988505747128,0.09712643678160904
2092_holdout,19,131,79,52,538,486,36,38,55,405,26,460,0.9465020576131687,973,2.0020576131687244,0,0.7565843621399176,0.1899176954732511
2092_holdout,20,117,68,49,587,538,38,35,513,8,17,521,0.9684014869888475,1671,3.1059479553903344,0,0.823736059479554,0.14466542750929356
2092_holdout,21,85,63,22,609,587,35,37,44,514,29,558,0.9505962521294719,1082,1.8432708688245316,0,0.8541737649063035,0.09642248722316837
2092_holdout,22,26,23,3,612,609,37,37,16,50,543,66,0.10837438423645321,112,0.1839080459770115,0,0.6899835796387519,-0.5816091954022987
2092_holdout,23,150,110,40,652,612,37,38,100,466,46,566,0.9248366013071896,746,1.2189542483660132,0,0.7635620915032679,0.16127450980392166
2092_holdout,24,28,22,6,658,652,38,39,30,579,43,609,0.9340490797546013,663,1.0168711656441718,0,0.641319018404908,0.29273006134969326
2092_holdout,25,144,117,27,685,658,39,41,75,541,42,616,0.9361702127659575,1229,1.8677811550151975,0,0.8414893617021284,0.09468085106382906
2092_holdout,26,87,65,22,707,685,41,42,52,607,26,659,0.962043795620438,775,1.1313868613138687,0,0.6995328467153287,0.2625109489051093
2092_holdout,27,105,69,36,743,707,42,43,87,598,22,685,0.9688826025459689,807,1.1414427157001414,0,0.7976661951909475,0.17121640735502142
2092_holdout,28,141,104,37,780,743,43,43,117,11,615,128,0.17227456258411844,353,0.47510094212651416,0,0.7321668909825034,-0.559892328398385
2092_holdout,29,183,149,34,814,780,43,44,139,606,35,745,0.9551282051282052,946,1.2128205128205127,0,0.7689487179487179,0.1861794871794873
2092_holdout,30,106,88,18,832,814,44,44,88,22,704,110,0.13513513513513514,264,0.32432432432432434,0,0.7452457002457004,-0.6101105651105652
2092_holdout,31,147,96,51,883,832,44,47,37,756,39,793,0.953125,2319,2.7872596153846154,0,0.7953846153846154,0.15774038461538464
2092_holdout,32,169,127,42,925,883,47,46,803,14,66,817,0.9252548131370328,1134,1.2842582106455267,0,0.7992638731596833,0.12599093997734956
2092_holdout,33,198,144,54,979,925,46,48,73,807,45,880,0.9513513513513514,1814,1.961081081081081,0,0.7914918918918918,0.15985945945945956
2092_holdout,34,161,102,59,1038,979,48,50,98,800,81,898,0.9172625127681308,1746,1.783452502553626,0,0.8301430030643512,0.08711950970377957
2092_holdout,35,214,156,58,1096,1038,50,51,121,879,38,1000,0.9633911368015414,1171,1.128131021194605,0,0.8481502890173409,0.11524084778420052
2092_holdout,36,186,135,51,1147,1096,51,53,142,914,40,1056,0.9635036496350365,2061,1.8804744525547445,0,0.783923357664234,0.1795802919708025
2092_holdout,37,210,167,43,1190,1147,53,53,169,53,925,222,0.1935483870967742,535,0.4664341761115955,0,0.7330688753269403,-0.5395204882301661
2092_holdout,38,187,137,50,1240,1190,53,52,1042,65,83,1107,0.9302521008403362,1526,1.2823529411764707,0,0.791294117647058,0.13895798319327812
2092_holdout,39,170,123,47,1287,1240,52,53,78,1104,58,1182,0.9532258064516129,1390,1.1209677419354838,0,0.7409596774193546,0.21226612903225828
2092_holdout,40,83,81,2,1289,1287,53,52,1226,15,46,1241,0.9642579642579643,1397,1.0854700854700854,0,0.7569075369075365,0.20735042735042775
