dataset,finalization_index,world_label,new_relation_events,changed_relations,active_relations,active_age_cohorts,maximum_current_relation_age,current_synchrony_pairs,new_lifecycle_observations,cumulative_lifecycle_observations,lifecycle_exact_at_finalization,lifecycle_prefix_exact,event_prefix_fingerprint,event_state_changed,maximum_event_finalization_read,future_event_reads
2091_basis,48,W2089_D_048,200,200,1686,40,46,52317,7654,103190,1,1,b5575c94af698695595d3d95c44be665301b4ca1e5e527a38ae1e38a738e87a3,1,48,0
2091_basis,49,W2089_D_049,139,139,1707,41,47,53426,1948,105138,1,1,c5a58521d6c23e620fefbcde75d66bf35585e405f4ed49604c77a5d1f073dfea,1,49,0
2091_basis,50,W2089_D_050,203,203,1767,42,48,56787,4052,109190,1,1,92d440c2cfd6898773a000cb86cf4d8a41e89f81c24f62af5d096d8b07653213,1,50,0
2091_basis,51,W2089_D_051,237,237,1827,42,49,59244,5582,114772,1,1,5c3b1e4f445315b1710317b9541d9a8805c863904e95176e683eb360febdc665,1,51,0
2091_basis,52,W2089_D_052,224,224,1877,44,50,58791,5887,120659,1,1,cc251436e7e160c186ed59afa9f4c4e19384245c84ace2707cf3c84aa76d6f8c,1,52,0
2091_basis,53,W2089_D_053,252,252,1937,41,51,65332,10222,130881,1,1,0022829737981774c7f0d2b2b160c5dd1ee9079b1959eaaba9d3b6c796b1d066,1,53,0
2091_basis,54,W2089_D_054,164,164,1955,42,52,67019,4975,135856,1,1,803f48c38d010e6316227578f6f8aaaba135d97b6cb747ddca5c08a529bffc66,1,54,0
2091_basis,55,W2089_D_055,309,309,2063,43,53,70923,5034,140890,1,1,6105c9295f11b4cad5e0c178f8e498ce6802c50acde5f737863970a9a1455cc9,1,55,0
2091_basis,56,W2089_D_056,186,186,2127,44,54,70890,2249,143139,1,1,d6c0c6c07bd739a4a459d4d0ab6a0a9514ccd704745c2182b2c9a1e7a026f9ff,1,56,0
2091_basis,57,W2089_D_057,198,198,2148,45,55,73300,5350,148489,1,1,ccd615c6e13d75695672330b8e107abcfb9d9d7a609ae9d5ac4d9d1492128e79,1,57,0
2091_basis,58,W2089_D_058,243,243,2171,44,56,79314,9931,158420,1,1,c70f5e44ee7cab743660fddccba0830da910933a187c5bdf2e1ef26cf5275d80,1,58,0
2091_basis,59,W2089_D_059,251,251,2230,48,57,79632,5041,163461,1,1,09f66fa833456198bde7719f3bbc41a38a76c7de83ff91aec735448a7939b84f,1,59,0
2091_basis,60,W2089_D_060,278,278,2309,49,58,79818,5867,169328,1,1,8ff6f88cc24377bbeff40f45e277e1bdbe771841c011cfee2a0c793c81431eb2,1,60,0
2091_basis,61,W2089_D_061,292,292,2404,50,59,83926,6755,176083,1,1,3923807e833ad6a21e644944ab45ace5e476123d7761f4ffa34fc3466d948c96,1,61,0
2091_basis,62,W2089_D_062,244,244,2457,49,60,100567,15060,191143,1,1,e2743e114d8bb4f380a59bdc54b59e9d85a55f350a5e1ba3074792d54065583c,1,62,0
2091_basis,63,W2089_D_063,285,285,2506,49,61,110939,15779,206922,1,1,941d588e683b72c05fd99cb2d187bce3bf97e61501410965041fc82bc40b9747,1,63,0
2091_basis,64,W2089_D_064,277,277,2580,51,62,110694,5544,212466,1,1,3b170fecc86020b880dd4d7139501b2cd7feb8e4164076d4edd09f8195faca12,1,64,0
2092_holdout,1,W2092_H_001,0,0,0,0,0,0,0,0,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,1,0
2092_holdout,2,W2092_H_002,20,20,20,0,0,0,0,0,1,1,bf36fb3d769214eb8baa8de9ec30cece1b16e1d73545e458ff9ef0ba376a3850,1,2,0
2092_holdout,3,W2092_H_003,24,24,35,1,2,36,28,28,1,1,3188acaf472221bae1723392fd55587a02979393b3306b0b0a603684050c8b0a,1,3,0
2092_holdout,4,W2092_H_004,30,30,55,2,3,136,53,81,1,1,ca56fc898247b405613e795c53abe01c2d62f8a9a6af0845ed3456d0e7cd5d9e,1,4,0
2092_holdout,5,W2092_H_005,44,44,83,2,3,199,90,171,1,1,c56658aa31e169afa0cdfc8d8cefd3c475a9206cb9d3048a46b1d3d5bf6262d5,1,5,0
2092_holdout,6,W2092_H_006,50,50,114,3,4,405,134,305,1,1,1245c9d431f07bccf6ccf972aeaf9316c743165bba6da074710137706368c4d5,1,6,0
2092_holdout,7,W2092_H_007,80,80,162,4,5,569,144,449,1,1,06e9779a975016ee59a6ed6e68533d9e583dcf1204930bb685adacc397742786,1,7,0
2092_holdout,8,W2092_H_008,85,85,205,5,6,661,231,680,1,1,3c5cc5a0757fc80fa92bc29d2471fce4b2a4e74b548bd66075c01b475fdeb9db,1,8,0
2092_holdout,9,W2092_H_009,41,41,214,6,7,1061,212,892,1,1,f1b56d7b2e6f9db85764e471e16daa2757daba9a0da6a1117c35a43486acc659,1,9,0
2092_holdout,10,W2092_H_010,63,63,246,7,8,1135,150,1042,1,1,3d1be6f41dd87f0c439695340beb2d202abf62b0935c1baba7e744325db04c8c,1,10,0
2092_holdout,11,W2092_H_011,89,89,276,8,9,2001,614,1656,1,1,9efb8a7cc17f5f356b21251a1f312c3a847ec332fd7a966663e2912972dab2a0,1,11,0
2092_holdout,12,W2092_H_012,50,50,294,7,9,2187,311,1967,1,1,8582e2647dbc75a981ff7fa6330131efac0a6780c9d84d5cb74156ecb5e5a897,1,12,0
2092_holdout,13,W2092_H_013,60,60,304,8,10,2321,357,2324,1,1,bec873828d0b6bbed09282b38c4e1470c2be2bf341d9fbf47585d9956038fdb4,1,13,0
2092_holdout,14,W2092_H_014,102,102,337,9,11,3221,870,3194,1,1,2b045a96b316eb6bd7d1413f9a67cfe9215325848077e2c8e07c6ffbc6daa988,1,14,0
2092_holdout,15,W2092_H_015,120,120,381,10,12,3940,930,4124,1,1,11a6b5b7bebb0e1f900ab0ca00a916340419adec5096e6e5d4c78576f1ab8828,1,15,0
2092_holdout,16,W2092_H_016,23,23,389,11,12,4004,119,4243,1,1,2feb5527f7e47d782b112897243d7a2abea510895a03144796d04488d1851a73,1,16,0
2092_holdout,17,W2092_H_017,135,135,435,11,13,4935,1351,5594,1,1,802519531fb13315160a9310a484250b5ad912d4c510ed54039e84769990f53d,1,17,0
2092_holdout,18,W2092_H_018,107,107,486,12,14,5118,430,6024,1,1,fd2cb839f2f79d4b6095159d7ba4fa6dcf12b5907243c57271fae5396dfde2d9,1,18,0
2092_holdout,19,W2092_H_019,131,131,538,13,15,5582,878,6902,1,1,6e5c9bbebada6e410b3dbe9e39e49147d7b18d75d1920141b42979c3812fc70f,1,19,0
2092_holdout,20,W2092_H_020,117,117,587,13,16,5501,552,7454,1,1,e2aa5887b26ef8870c9bee7c4131479dc5a7b1dfb0d7364077198c64ccda9f96,1,20,0
2092_holdout,21,W2092_H_021,85,85,609,14,17,6012,873,8327,1,1,0e7cbfe01135573990b412f0af3f113bcbff5cfc4bc74ec05f73ce98ef1b5c3e,1,21,0
2092_holdout,22,W2092_H_022,26,26,612,13,17,6099,279,8606,1,1,d663a9f23bdb1c2d59c71a771c46aee491bc12cf616a5fa4a10c824e0170ec86,1,22,0
2092_holdout,23,W2092_H_023,150,150,652,14,18,10126,2661,11267,1,1,d6c2e075641be1238f97e590a8d1ac00837a7e0b1bab4e1bdc9b107184abb8e5,1,23,0
2092_holdout,24,W2092_H_024,28,28,658,14,18,10978,518,11785,1,1,03daac7f69d7d88f5050d1bb85cce4b70894b9360db534e41801be92210df09b,1,24,0
2092_holdout,25,W2092_H_025,144,144,685,16,19,12178,2583,14368,1,1,9056d392df019077d092d250fab65164624accbd489e0703081287b3a08e3701,1,25,0
2092_holdout,26,W2092_H_026,87,87,707,17,20,12298,1013,15381,1,1,e6c179e7a883b1cc318c30e1ceec8c41052969a365f5e8fd482d7506a9e958bb,1,26,0
2092_holdout,27,W2092_H_027,105,105,743,19,21,13085,947,16328,1,1,ebf32c1023ba9649a2704253f9f537c45affa7b301369da62c7e69b51ba7788f,1,27,0
2092_holdout,28,W2092_H_028,141,141,780,20,22,14662,1681,18009,1,1,cd7a95816e1f8f78f06c63b7ad9143d68ba009486992e3b975817579d3b3fc58,1,28,0
2092_holdout,29,W2092_H_029,183,183,814,21,23,15694,2293,20302,1,1,e7108771aa7a89e79f626f03de56503098c1c5ceaf997acf79734da8f0807bd3,1,29,0
2092_holdout,30,W2092_H_030,106,106,832,22,24,16189,1915,22217,1,1,4be252a157ebefeeaafa48896cd66361611e8e2c17c3a1f03e734c93deb126c5,1,30,0
2092_holdout,31,W2092_H_031,147,147,883,22,25,18266,2145,24362,1,1,10bd3f28f7d47985d5214bc3cd2f44012e046bc88078097a169376927309abad,1,31,0
2092_holdout,32,W2092_H_032,169,169,925,23,26,20022,2979,27341,1,1,307a5c091b9c7096c9a0aef26695ce84a9d7ca68c6381272d211b59cd3b3bca1,1,32,0
2092_holdout,33,W2092_H_033,198,198,979,25,27,21512,3356,30697,1,1,6d7a1fb5a545cf9f845c56e54f10b16ffd982afd6de5d9a6358cac44f37b28a1,1,33,0
2092_holdout,34,W2092_H_034,161,161,1038,25,28,23320,3193,33890,1,1,9719e7704d49ef20c98430467e5cec3b6d79a4b084d6808edcfcbbf19ad6ce92,1,34,0
2092_holdout,35,W2092_H_035,214,214,1096,26,29,26874,4992,38882,1,1,53863780f6d44132e038a45cbb302006a585140fca0648d43b7963c4827dd986,1,35,0
2092_holdout,36,W2092_H_036,186,186,1147,26,29,28234,3508,42390,1,1,f98f6ac2321a0f74082fed0fc95590db487830a712930a13dab9ae1a092967d7,1,36,0
2092_holdout,37,W2092_H_037,210,210,1190,27,30,31683,5910,48300,1,1,f3bd676f7c6e5424273d9dea04c24f889513d116f2f7086ef065259719c58a82,1,37,0
2092_holdout,38,W2092_H_038,187,187,1240,27,31,34853,4723,53023,1,1,31e119bc68d27ec416e80b198fe332f2fd207027350e6dffa17fc7fb4375ec11,1,38,0
2092_holdout,39,W2092_H_039,170,170,1287,27,32,38963,3488,56511,1,1,259c084af6a4d15d3f0728148efd84f8e870dbdc1d4b1fd16ce353e3d45c910d,1,39,0
2092_holdout,40,W2092_H_040,83,83,1289,29,33,41160,1624,58135,1,1,447f91894ee72887031b4a0a07d6dbd22865953edcfd85cd52344c490b2c666d,1,40,0
2092_holdout,41,W2092_H_041,45,45,1296,28,33,42318,1179,59314,1,1,341122dd7425aed76962cfe045df83b1693770fef382217551233f37a2bb45ef,1,41,0
2092_holdout,42,W2092_H_042,207,207,1326,30,34,45793,5866,65180,1,1,b877e7cde19b56d6a1698c901f63200d6d592ad0bfbd02b06970edcd46d2aa11,1,42,0
2092_holdout,43,W2092_H_043,41,41,1329,30,35,46486,707,65887,1,1,cebbf4d25510a02647af7960ea50a1a078c26a4913e04d06060863b68aa69307,1,43,0
2092_holdout,44,W2092_H_044,242,242,1365,31,36,52085,7222,73109,1,1,d08474e3886801de1eb9908e0ac89d2ef8bf9926cacb227dbcc074b00ab86976,1,44,0
2092_holdout,45,W2092_H_045,117,117,1399,31,37,51309,1659,74768,1,1,da956a7ed6454b8ce015a5c8fcdb692be6afc11c8e48bf4847b31de323758242,1,45,0
2092_holdout,46,W2092_H_046,209,209,1432,33,38,54246,6264,81032,1,1,fb59c7b689bfc1e2dbd196e1edd23c2fedb24c88b969d7c2f0206b14e353efb3,1,46,0
2092_holdout,47,W2092_H_047,235,235,1459,33,39,53986,7438,88470,1,1,1c025e8fe22b57714e88b22568d270808007df570a43dcd476e9dc2d85156673,1,47,0
2092_holdout,48,W2092_H_048,186,186,1465,34,40,56508,5669,94139,1,1,53cc8c126c5cafeb0ba681bf462724cd212019490881b50258614d98ddf7a76a,1,48,0
2092_holdout,49,W2092_H_049,250,250,1543,35,41,60423,7331,101470,1,1,f67d7e6a374d1e88d62fc60ac142c3e1e1e13b6fe71cee61c4b9bb982d94ef31,1,49,0
2092_holdout,50,W2092_H_050,221,221,1574,36,42,67899,9228,110698,1,1,a77d4e21e4a074dced9225fdd81592ff4524eb82c4bb60c03ba24407e48693f8,1,50,0
2092_holdout,51,W2092_H_051,195,195,1620,37,43,68051,3813,114511,1,1,b7c3a199b2004fbbc4d1d434725579b067266cfbfee90c960c02d182dec4d91c,1,51,0
2092_holdout,52,W2092_H_052,101,101,1634,38,44,67495,1098,115609,1,1,eafc74970678e2316ac59ed2dc158adc1240e4c05c1f5ad1251008841da0d9d9,1,52,0
2092_holdout,53,W2092_H_053,144,144,1691,37,44,67565,1069,116678,1,1,362623aeb64c74f4d5a45ac6b2787e0ce4b6e9ee99e78b1fe80e1ffa50e182bc,1,53,0
2092_holdout,54,W2092_H_054,241,241,1717,37,45,68107,8997,125675,1,1,c62506b8534709861e70eea8deb3ff2c7dc9129911090651ab20d88abc143bcc,1,54,0
2092_holdout,55,W2092_H_055,158,158,1761,37,46,72211,4477,130152,1,1,4668165ae327a2257d2fc797ebfa328c170580195e2e8092c8cb90d4a530533c,1,55,0
2092_holdout,56,W2092_H_056,196,196,1767,39,47,70236,4929,135081,1,1,4ea3b37fe6571c28e21a57d733261f4e7adcdbf90432fa676ad9816ebfce815a,1,56,0
2092_holdout,57,W2092_H_057,190,190,1797,42,48,72231,6011,141092,1,1,13f3551f60dd9d8bff6b76825e6e2b81f8eee9e7ac8efb24b11105ae47f23fad,1,57,0
2092_holdout,58,W2092_H_058,206,206,1828,43,49,74490,4058,145150,1,1,a236cfc267c0607eeff09a8e59a2892834012ec30d37608dceefca4dafa910cd,1,58,0
2092_holdout,59,W2092_H_059,209,209,1861,44,50,77446,6531,151681,1,1,3ff84f48c96e8c69b31f6f8e8f469f3bada2c0ab99abc9098bda071cf553a256,1,59,0
2092_holdout,60,W2092_H_060,263,263,1932,44,51,80867,7518,159199,1,1,a7049c7dbb36e8736375dba95e36ddbdcf47b8ddb2b09e6ecbb0447af3f256ea,1,60,0
