asset,window_start,role_family,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
XRP,6000,rf_05,shuffle,0.875,0.625,0.25,0.03219315895372234,0.013078470824949699,0.019114688128772636,0.125,0.0,0.125,0.10855718181818177,0.11237964285714284,-0.0038224610389610697,0.1772187202797202,0.46737175000000003,-0.29015302972027984,1
XRP,7000,rf_05,shuffle,0.875,0.625,0.25,0.02716297786720322,0.015090543259557344,0.012072434607645876,0.25,0.125,0.125,0.2275891,0.10422383333333332,0.12336526666666667,0.394627575,0.19041758333333325,0.20420999166666676,1
BTC,5000,rf_06,random_sign,0.5,0.125,0.375,0.004024144869215292,0.001006036217303823,0.003018108651911469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BTC,6000,rf_06,random_sign,0.375,0.125,0.25,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BTC,7000,rf_06,random_sign,0.375,0.125,0.25,0.006036217303822937,0.002012072434607646,0.004024144869215291,0.0,0.0,0.0,0.100304,0.10006,0.0002440000000000081,0.628849,0.626902,0.001947000000000032,1
DOGE,5000,rf_06,random_sign,0.25,0.125,0.125,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,-0.0492265,0.0,-0.0492265,-0.314629,0.0,-0.314629,1
DOGE,6000,rf_06,random_sign,0.375,0.125,0.25,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DOGE,7000,rf_06,random_sign,0.5,0.125,0.375,0.006036217303822937,0.002012072434607646,0.004024144869215291,0.0,0.0,0.0,0.03250133333333333,0.0,0.03250133333333333,0.20999299999999999,0.0,0.20999299999999999,1
PAXG,5000,rf_06,random_sign,0.375,0.375,0.0,0.005030181086519115,0.005030181086519115,0.0,0.0,0.0,0.0,-0.032329666666666666,0.099998,-0.13232766666666668,-0.20698566666666665,0.62204,-0.8290256666666667,0
PAXG,6000,rf_06,random_sign,0.375,0.5,-0.125,0.004024144869215292,0.006036217303822937,-0.002012072434607645,0.0,0.0,0.0,0.0499715,0.02808266666666667,0.021888833333333333,0.3116705,0.20818866666666666,0.10348183333333336,0
PAXG,7000,rf_06,random_sign,0.375,0.5,-0.125,0.0030181086519114686,0.006036217303822937,-0.0030181086519114686,0.0,0.0,0.0,0.0,0.06673166666666668,-0.06673166666666668,0.0,0.41468499999999997,-0.41468499999999997,0
SOL,5000,rf_06,random_sign,0.5,0.25,0.25,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,0.049953,0.0,0.049953,0.3101215,0.0,0.3101215,1
SOL,6000,rf_06,random_sign,0.25,0.375,-0.125,0.002012072434607646,0.004024144869215292,-0.002012072434607646,0.0,0.0,0.0,0.0,0.099507,-0.099507,0.0,0.628873,-0.628873,0
SOL,7000,rf_06,random_sign,0.25,0.25,0.0,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,5000,rf_06,random_sign,0.125,0.375,-0.25,0.001006036217303823,0.005030181086519115,-0.004024144869215292,0.0,0.0,0.0,0.0,-0.023793,0.023793,0.0,-0.15526975,0.15526975,0
XRP,6000,rf_06,random_sign,0.25,0.375,-0.125,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,7000,rf_06,random_sign,0.25,0.5,-0.25,0.002012072434607646,0.005030181086519115,-0.0030181086519114686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,5000,rf_06,shuffle,0.5,0.375,0.125,0.004024144869215292,0.0030181086519114686,0.0010060362173038235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BTC,6000,rf_06,shuffle,0.375,0.375,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,7000,rf_06,shuffle,0.375,0.625,-0.25,0.006036217303822937,0.007042253521126761,-0.0010060362173038235,0.0,0.0,0.0,0.100304,0.0251155,0.0751885,0.628849,0.15521375,0.47363524999999995,0
DOGE,5000,rf_06,shuffle,0.25,0.625,-0.375,0.0030181086519114686,0.008048289738430584,-0.0050301810865191155,0.0,0.125,-0.125,-0.0492265,0.189188,-0.2384145,-0.314629,0.667449,-0.982078,0
DOGE,6000,rf_06,shuffle,0.375,0.375,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,7000,rf_06,shuffle,0.5,0.375,0.125,0.006036217303822937,0.006036217303822937,0.0,0.0,0.125,-0.125,0.03250133333333333,0.188487,-0.15598566666666666,0.20999299999999999,0.673327,-0.463334,0
PAXG,5000,rf_06,shuffle,0.375,0.375,0.0,0.005030181086519115,0.0030181086519114686,0.002012072434607646,0.0,0.0,0.0,-0.032329666666666666,0.0,-0.032329666666666666,-0.20698566666666665,0.0,-0.20698566666666665,0
PAXG,6000,rf_06,shuffle,0.375,0.75,-0.375,0.004024144869215292,0.012072434607645875,-0.008048289738430582,0.0,0.125,-0.125,0.0499715,0.08265249999999999,-0.03268099999999999,0.3116705,0.03209325000000002,0.27957725,0
PAXG,7000,rf_06,shuffle,0.375,0.5,-0.125,0.0030181086519114686,0.004024144869215292,-0.0010060362173038235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,5000,rf_06,shuffle,0.5,0.25,0.25,0.005030181086519115,0.0030181086519114686,0.002012072434607646,0.0,0.0,0.0,0.049953,0.032357333333333335,0.017595666666666662,0.3101215,0.207226,0.1028955,1
SOL,6000,rf_06,shuffle,0.25,0.25,0.0,0.002012072434607646,0.004024144869215292,-0.002012072434607646,0.0,0.0,0.0,0.0,0.099661,-0.099661,0.0,0.6252515000000001,-0.6252515000000001,0
SOL,7000,rf_06,shuffle,0.25,0.5,-0.25,0.002012072434607646,0.006036217303822937,-0.004024144869215291,0.0,0.0,0.0,0.0,-0.01463316666666667,0.01463316666666667,0.0,-0.10121216666666669,0.10121216666666669,0
XRP,5000,rf_06,shuffle,0.125,0.25,-0.125,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,6000,rf_06,shuffle,0.25,0.125,0.125,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0491195,-0.0491195,0.0,0.3156785,-0.3156785,0
XRP,7000,rf_06,shuffle,0.25,0.625,-0.375,0.002012072434607646,0.007042253521126761,-0.005030181086519115,0.0,0.0,0.0,0.0,0.01689483333333333,-0.01689483333333333,0.0,0.10681933333333332,-0.10681933333333332,0
BTC,5000,rf_07,random_sign,1.0,1.0,0.0,0.013078470824949699,0.01609657947686117,-0.0030181086519114695,1.0,1.0,0.0,0.3128968,0.36551763333333337,-0.052620833333333394,0.36724979999999996,0.3469112666666666,0.020338533333333353,0
BTC,6000,rf_07,random_sign,1.0,1.0,0.0,0.025150905432595575,0.02012072434607646,0.005030181086519116,0.5,0.5,0.0,0.30600952380952384,0.23361349999999997,0.07239602380952387,0.3218359999999999,0.21279930000000002,0.10903669999999988,0
BTC,7000,rf_07,random_sign,1.0,1.0,0.0,0.023138832997987926,0.014084507042253521,0.009054325955734405,1.0,0.5,0.5,0.43760322222222225,0.39013149999999996,0.04747172222222229,0.3438876031746033,0.46312500000000006,-0.11923739682539675,0
DOGE,5000,rf_07,random_sign,1.0,1.0,0.0,0.03722334004024145,0.02414486921529175,0.0130784708249497,1.0,1.0,0.0,0.45509003636363643,0.4191150952380952,0.03597494112554123,0.2538522121212121,0.3368074999999998,-0.0829552878787877,0
DOGE,6000,rf_07,random_sign,1.0,1.0,0.0,0.02112676056338028,0.022132796780684104,-0.0010060362173038226,1.0,1.0,0.0,0.4924711500000001,0.2556192727272727,0.23685187727272738,0.49513274999999995,0.20647445454545443,0.2886582954545455,0
DOGE,7000,rf_07,random_sign,1.0,1.0,0.0,0.030181086519114688,0.02112676056338028,0.009054325955734407,1.0,1.0,0.0,0.45680552499999993,0.3909741666666667,0.06583135833333326,0.301415325,0.3594198333333334,-0.05800450833333337,0
PAXG,5000,rf_07,random_sign,1.0,1.0,0.0,0.03219315895372234,0.02012072434607646,0.012072434607645878,1.0,1.0,0.0,0.45884583333333323,0.39294837500000007,0.06589745833333316,0.3034511333333334,0.30901647499999985,-0.005565341666666446,0
PAXG,6000,rf_07,random_sign,1.0,1.0,0.0,0.023138832997987926,0.018108651911468814,0.005030181086519113,0.5,0.5,0.0,0.3415393392857142,0.234573775,0.10696556428571422,0.20592903571428578,0.217966675,-0.012037639285714219,0
PAXG,7000,rf_07,random_sign,1.0,1.0,0.0,0.02012072434607646,0.011066398390342052,0.009054325955734407,1.0,0.5,0.5,0.39578364999999993,0.3130032,0.08278044999999995,0.31547755000000005,0.7175084,-0.40203085,0
SOL,5000,rf_07,random_sign,1.0,1.0,0.0,0.02414486921529175,0.023138832997987926,0.0010060362173038226,1.0,1.0,0.0,0.4523488750000001,0.45256070000000004,-0.0002118249999999433,0.3556371428571428,0.3291373999999999,0.026499742857142905,0
SOL,6000,rf_07,random_sign,1.0,1.0,0.0,0.026156941649899398,0.022132796780684104,0.004024144869215294,0.5,1.0,-0.5,0.3791093750000001,0.4163486666666667,-0.03723929166666662,0.24610420833333335,0.34240655555555544,-0.09630234722222208,0
SOL,7000,rf_07,random_sign,1.0,1.0,0.0,0.026156941649899398,0.01609657947686117,0.01006036217303823,1.0,1.0,0.0,0.4446322,0.32351566666666665,0.12111653333333333,0.35072671428571434,0.43553899999999995,-0.08481228571428562,0
XRP,5000,rf_07,random_sign,1.0,1.0,0.0,0.028169014084507043,0.019114688128772636,0.009054325955734407,1.0,1.0,0.0,0.39605799999999997,0.3858879583333334,0.010170041666666574,0.21374233333333326,0.3577202083333333,-0.14397787500000003,0
XRP,6000,rf_07,random_sign,1.0,1.0,0.0,0.02012072434607646,0.02716297786720322,-0.007042253521126762,1.0,1.0,0.0,0.456913,0.438032125,0.01888087500000002,0.48655412499999995,0.2811545568181818,0.20539956818181815,0
XRP,7000,rf_07,random_sign,1.0,1.0,0.0,0.03822937625754527,0.02112676056338028,0.01710261569416499,1.0,0.5,0.5,0.3847256666666667,0.47175666666666666,-0.08703099999999997,0.24921024999999997,0.3906726666666667,-0.14146241666666676,0
BTC,5000,rf_07,shuffle,1.0,1.0,0.0,0.013078470824949699,0.02012072434607646,-0.00704225352112676,1.0,1.0,0.0,0.3128968,0.43866792500000007,-0.1257711250000001,0.36724979999999996,0.41918494999999995,-0.051935149999999985,0
BTC,6000,rf_07,shuffle,1.0,1.0,0.0,0.025150905432595575,0.02012072434607646,0.005030181086519116,0.5,0.5,0.0,0.30600952380952384,0.34270408333333335,-0.03669455952380951,0.3218359999999999,0.27395975000000006,0.04787624999999984,0
BTC,7000,rf_07,shuffle,1.0,1.0,0.0,0.023138832997987926,0.01609657947686117,0.007042253521126758,1.0,1.0,0.0,0.43760322222222225,0.38810200000000006,0.049501222222222196,0.3438876031746033,0.35734066666666664,-0.013453063492063322,0
DOGE,5000,rf_07,shuffle,1.0,1.0,0.0,0.03722334004024145,0.018108651911468814,0.019114688128772636,1.0,1.0,0.0,0.45509003636363643,0.4077355000000001,0.047354536363636346,0.2538522121212121,0.36775683333333326,-0.11390462121212114,0
DOGE,6000,rf_07,shuffle,1.0,1.0,0.0,0.02112676056338028,0.012072434607645875,0.009054325955734407,1.0,0.5,0.5,0.4924711500000001,0.32380491666666666,0.16866623333333342,0.49513274999999995,0.33007749999999997,0.16505525,0
DOGE,7000,rf_07,shuffle,1.0,1.0,0.0,0.030181086519114688,0.022132796780684104,0.008048289738430584,1.0,1.0,0.0,0.45680552499999993,0.4683326750000001,-0.011527150000000153,0.301415325,0.42982384999999995,-0.12840852499999994,0
PAXG,5000,rf_07,shuffle,1.0,1.0,0.0,0.03219315895372234,0.01609657947686117,0.01609657947686117,1.0,1.0,0.0,0.45884583333333323,0.377466,0.0813798333333332,0.3034511333333334,0.32719619047619053,-0.02374505714285713,0
PAXG,6000,rf_07,shuffle,1.0,1.0,0.0,0.023138832997987926,0.019114688128772636,0.00402414486921529,0.5,1.0,-0.5,0.3415393392857142,0.389715225,-0.04817588571428577,0.20592903571428578,0.3912400999999999,-0.18531106428571414,0
PAXG,7000,rf_07,shuffle,1.0,1.0,0.0,0.02012072434607646,0.02112676056338028,-0.0010060362173038226,1.0,1.0,0.0,0.39578364999999993,0.40652328571428564,-0.010739635714285711,0.31547755000000005,0.3393646031746032,-0.023887053174603157,0
SOL,5000,rf_07,shuffle,1.0,1.0,0.0,0.02414486921529175,0.030181086519114688,-0.006036217303822939,1.0,1.0,0.0,0.4523488750000001,0.467404119047619,-0.015055244047618932,0.3556371428571428,0.2822210595238095,0.07341608333333333,0
SOL,6000,rf_07,shuffle,1.0,1.0,0.0,0.026156941649899398,0.028169014084507043,-0.002012072434607645,0.5,1.0,-0.5,0.3791093750000001,0.51213,-0.1330206249999999,0.24610420833333335,0.35050737499999995,-0.1044031666666666,0
SOL,7000,rf_07,shuffle,1.0,1.0,0.0,0.026156941649899398,0.015090543259557344,0.011066398390342054,1.0,0.5,0.5,0.4446322,0.42799425,0.016637949999999957,0.35072671428571434,0.40802485,-0.05729813571428566,0
XRP,5000,rf_07,shuffle,1.0,1.0,0.0,0.028169014084507043,0.02012072434607646,0.008048289738430584,1.0,1.0,0.0,0.39605799999999997,0.409112875,-0.013054875000000021,0.21374233333333326,0.31601644999999984,-0.10227411666666658,0
XRP,6000,rf_07,shuffle,1.0,1.0,0.0,0.02012072434607646,0.01710261569416499,0.0030181086519114678,1.0,1.0,0.0,0.456913,0.4200185,0.0368945,0.48655412499999995,0.469251,0.017303124999999975,0
XRP,7000,rf_07,shuffle,1.0,1.0,0.0,0.03822937625754527,0.019114688128772636,0.019114688128772636,1.0,1.0,0.0,0.3847256666666667,0.3692834523809524,0.015442214285714295,0.24921024999999997,0.35228971428571426,-0.1030794642857143,0
BTC,5000,rf_08,random_sign,1.0,0.5,0.5,0.005030181086519115,0.004024144869215292,0.0010060362173038226,0.0,0.5,-0.5,0.13706575000000001,0.25788,-0.12081424999999998,0.498613,0.692611,-0.193998,1
BTC,6000,rf_08,random_sign,0.5,0.0,0.5,0.001006036217303823,0.0,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BTC,7000,rf_08,random_sign,1.0,0.5,0.5,0.004024144869215292,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.099168,-0.0494245,0.14859250000000002,0.614407,-0.3106705,0.9250775,1
DOGE,5000,rf_08,random_sign,1.0,1.0,0.0,0.0030181086519114686,0.006036217303822937,-0.0030181086519114686,0.0,0.5,-0.5,-0.032383666666666665,0.15589116666666666,-0.18827483333333334,-0.20831833333333336,0.45907466666666674,-0.6673930000000001,0
DOGE,6000,rf_08,random_sign,0.5,1.0,-0.5,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,0.1367775,0.0,0.1367775,0.3467295,0.0,0.3467295,0
DOGE,7000,rf_08,random_sign,0.5,1.0,-0.5,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAXG,5000,rf_08,random_sign,1.0,1.0,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.0,0.0,-0.047557,0.032196666666666665,-0.07975366666666667,-0.3105825,0.20663233333333333,-0.5172148333333333,0
PAXG,6000,rf_08,random_sign,1.0,1.0,0.0,0.004024144869215292,0.006036217303822937,-0.002012072434607645,0.0,0.0,0.0,0.06590233333333334,0.1651195,-0.09921716666666666,0.41734566666666667,0.659407,-0.2420613333333333,0
PAXG,7000,rf_08,random_sign,0.5,0.5,0.0,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,-0.0438205,0.099787,-0.1436075,-0.3139,0.627226,-0.9411259999999999,0
SOL,5000,rf_08,random_sign,1.0,1.0,0.0,0.007042253521126761,0.002012072434607646,0.005030181086519115,0.5,0.0,0.5,0.23650400000000002,0.0,0.23650400000000002,0.49090733333333336,0.0,0.49090733333333336,0
SOL,6000,rf_08,random_sign,1.0,0.5,0.5,0.004024144869215292,0.001006036217303823,0.003018108651911469,0.0,0.0,0.0,0.0472275,0.0,0.0472275,0.310209,0.0,0.310209,1
SOL,7000,rf_08,random_sign,1.0,1.0,0.0,0.002012072434607646,0.008048289738430584,-0.006036217303822938,0.0,0.5,-0.5,0.0,0.26375866666666664,-0.26375866666666664,0.0,0.7024826666666666,-0.7024826666666666,0
XRP,5000,rf_08,random_sign,0.5,0.5,0.0,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,6000,rf_08,random_sign,1.0,1.0,0.0,0.004024144869215292,0.0030181086519114686,0.0010060362173038235,0.0,0.0,0.0,0.05241866666666667,0.100388,-0.047969333333333336,0.4120473333333334,0.629913,-0.21786566666666657,0
XRP,7000,rf_08,random_sign,0.5,1.0,-0.5,0.002012072434607646,0.005030181086519115,-0.0030181086519114686,0.0,0.0,0.0,0.040412,0.258328,-0.217916,0.308797,0.701782,-0.39298500000000003,0
BTC,5000,rf_08,shuffle,1.0,0.5,0.5,0.005030181086519115,0.001006036217303823,0.004024144869215292,0.0,0.0,0.0,0.13706575000000001,0.0,0.13706575000000001,0.498613,0.0,0.498613,1
BTC,6000,rf_08,shuffle,0.5,1.0,-0.5,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.100213,-0.100213,0.0,0.620176,-0.620176,0
BTC,7000,rf_08,shuffle,1.0,0.5,0.5,0.004024144869215292,0.004024144869215292,0.0,0.0,0.5,-0.5,0.099168,0.22732,-0.128152,0.614407,0.691489,-0.07708199999999998,0
DOGE,5000,rf_08,shuffle,1.0,0.0,1.0,0.0030181086519114686,0.0,0.0030181086519114686,0.0,0.0,0.0,-0.032383666666666665,0.0,-0.032383666666666665,-0.20831833333333336,0.0,-0.20831833333333336,1
DOGE,6000,rf_08,shuffle,0.5,0.5,0.0,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,0.1367775,0.0,0.1367775,0.3467295,0.0,0.3467295,0
DOGE,7000,rf_08,shuffle,0.5,1.0,-0.5,0.001006036217303823,0.004024144869215292,-0.003018108651911469,0.0,0.0,0.0,0.0,0.099947,-0.099947,0.0,0.622889,-0.622889,0
PAXG,5000,rf_08,shuffle,1.0,1.0,0.0,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,-0.047557,0.0,-0.047557,-0.3105825,0.0,-0.3105825,0
PAXG,6000,rf_08,shuffle,1.0,0.5,0.5,0.004024144869215292,0.001006036217303823,0.003018108651911469,0.0,0.0,0.0,0.06590233333333334,0.0,0.06590233333333334,0.41734566666666667,0.0,0.41734566666666667,1
PAXG,7000,rf_08,shuffle,0.5,1.0,-0.5,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,-0.0438205,0.0,-0.0438205,-0.3139,0.0,-0.3139,0
SOL,5000,rf_08,shuffle,1.0,0.0,1.0,0.007042253521126761,0.0,0.007042253521126761,0.5,0.0,0.5,0.23650400000000002,0.0,0.23650400000000002,0.49090733333333336,0.0,0.49090733333333336,1
SOL,6000,rf_08,shuffle,1.0,1.0,0.0,0.004024144869215292,0.004024144869215292,0.0,0.0,0.0,0.0,0.0472275,0.1436965,-0.096469,0.310209,0.644675,-0.334466,0
SOL,7000,rf_08,shuffle,1.0,1.0,0.0,0.002012072434607646,0.005030181086519115,-0.0030181086519114686,0.0,0.0,0.0,0.0,-0.061811000000000005,0.061811000000000005,0.0,-0.32050725,0.32050725,0
