group,role_family,component,primary_axis,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
overall,rf_07,volume,0,gemischt,54,100,2.3539725387434105,0.31767719897523483,-0.005717171717171787,-0.027404709569181018,0.61,0.00251509054325956,0.0007059020791415157,0.97,0.0,-0.028611111111111105,0.64
overall,rf_08,sign,1,verstaerkt,13,100,0.501292711736154,1.0260586319218241,0.0715517241379311,-0.08279520650620571,0.9,0.0003632908562486033,-0.0004353901184887101,0.92,0.08333333333333337,-0.09708333333333334,0.93
overall,rf_08,magnitude,0,verstaerkt,26,100,0.501292711736154,1.0260586319218241,0.10298913043478264,-0.0427564600009956,0.92,0.0014531634249944103,9.501453163424936e-06,0.97,0.125,-0.051527777777777777,0.935
overall,rf_08,wick,0,verstaerkt,20,100,0.501292711736154,1.0260586319218241,0.023903508771929816,-0.04156807812192471,0.73,2.7945450480662028e-05,-0.00014922870556673378,0.73,0.02777777777777779,-0.04736111111111111,0.77
overall,rf_08,volume,0,verstaerkt,29,100,0.501292711736154,1.0260586319218241,0.06905413625304146,-0.06706440384791017,0.94,0.00013972725240330927,-7.740889783143309e-05,0.7,0.09722222222222221,-0.07222222222222223,0.94
overall,rf_10,sign,1,abgeschwaecht,54,100,0.523890102114776,0.9022988505747126,-0.07503787878787871,-0.059697694992448036,0.45,-0.00033534540576794086,-0.00017102615694164995,0.37,-0.09722222222222221,-0.060972222222222226,0.37
overall,rf_10,magnitude,1,abgeschwaecht,45,100,0.523890102114776,0.9022988505747126,-0.065,-0.03691665129744474,0.36,-0.0004191817572099261,3.912363067292581e-06,0.36,-0.1111111111111111,-0.03805555555555556,0.29
overall,rf_10,wick,0,abgeschwaecht,50,100,0.523890102114776,0.9022988505747126,-0.01763157894736833,-0.04807531524056088,0.56,-0.00019561815336463224,-3.8844176168119896e-05,0.58,-0.027777777777777735,-0.04875,0.535
overall,rf_10,volume,0,gemischt,23,100,0.523890102114776,0.9022988505747126,-0.006416666666666626,-0.03601392592785577,0.54,0.00013972725240330884,0.0003291974066621954,0.49,-0.013888888888888895,-0.029861111111111113,0.49
overall,rf_13,sign,0,verstaerkt,18,100,0.14455981408974777,1.0034562211981566,0.007682863113897653,-0.034776909966846827,0.81,0.0006427453610552201,-0.00034820031298904544,0.955,0.02777777777777779,-0.037685185185185176,0.82
overall,rf_13,magnitude,0,abgeschwaecht,44,100,0.14455981408974777,1.0034562211981566,-0.12388694893059804,-0.008376347113837262,0.0,-0.00022356360384529362,-0.00015202325061479998,0.54,-0.13888888888888895,-0.009999999999999997,0.03
overall,rf_13,wick,0,abgeschwaecht,45,100,0.14455981408974777,1.0034562211981566,-0.07165314401622724,-0.017016031070266936,0.26,-5.589090096132319e-05,-0.0001796892465906551,0.62,-0.08333333333333337,-0.0212037037037037,0.235
overall,rf_13,volume,0,gemischt,31,100,0.14455981408974777,1.0034562211981566,-0.004251961320926978,-0.016988329255297654,0.53,0.0005030181086519113,0.00026911468812877254,0.7,-0.009259259259259411,-0.018055555555555547,0.53
overall,rf_17,sign,0,abgeschwaecht,50,100,0.45198108761550226,1.0472312703583062,-0.2824337831084457,-0.022004290527536757,0.0,-0.0011178180192264698,-0.0001685110663983904,0.05,-0.3333333333333333,-0.025833333333333337,0.0
overall,rf_17,magnitude,0,abgeschwaecht,32,100,0.45198108761550226,1.0472312703583062,-0.13502292221236312,-0.007921397718603833,0.13,-0.0005589090096132349,0.0003333892242342946,0.105,-0.16666666666666669,-0.006249999999999998,0.08
overall,rf_17,wick,0,abgeschwaecht,45,100,0.45198108761550226,1.0472312703583062,-0.10315217391304343,-0.02618124199409881,0.22,-0.0003912363067292645,-8.88665325285044e-05,0.325,-0.11111111111111116,-0.027638888888888893,0.21
overall,rf_17,volume,0,abgeschwaecht,31,100,0.45198108761550226,1.0472312703583062,-0.22891366816591696,-0.009762388848046108,0.02,-0.0011178180192264698,0.0001576123407109322,0.0,-0.2638888888888889,-0.007500000000000004,0.0
overall,rf_21,sign,0,gemischt,44,100,1.148641803475441,0.6791147994467497,-0.009838964227262048,-0.020296320845690358,0.55,-0.0002515090543259539,-0.0012231723675385645,0.96,0.01388888888888895,-0.027222222222222228,0.67
overall,rf_21,magnitude,0,gemischt,42,100,1.148641803475441,0.6791147994467497,0.025416601240480396,-0.01656815065958415,0.67,-0.00030739995528727797,-0.0009051531410686341,0.83,0.04166666666666674,-0.023472222222222217,0.815
overall,rf_21,wick,0,gemischt,56,100,1.148641803475441,0.6791147994467497,-0.013044707030320346,-0.017951484570122727,0.5,0.000447127207690589,0.00021937178627319455,0.51,0.01388888888888895,-0.019999999999999997,0.65
overall,rf_21,volume,0,gemischt,60,100,1.148641803475441,0.6791147994467497,-0.059051418439716286,-0.018472275261718893,0.24,0.0005030181086519113,0.0012743125419181758,0.265,-0.04166666666666663,-0.020277777777777773,0.3
timeframe:1h,rf_05,sign,0,gemischt,40,100,0.2312181863878203,0.9826866916979557,0.016455636308577604,-0.005290169464071349,0.9,-0.0034093449586407327,-0.004424323720098368,0.74,-0.02777777777777779,-0.04687500000000001,0.705
timeframe:1h,rf_05,magnitude,0,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.06128481798124652,-0.006373091582042309,1.0,0.00016767270288397043,-0.0031902526268723455,1.0,0.0625,-0.030069444444444447,1.0
timeframe:1h,rf_05,wick,0,verstaerkt,6,100,0.2312181863878203,0.9826866916979557,0.07953878623521482,-0.013218862584703457,1.0,0.0025150905432595565,-0.0006522468142186451,1.0,0.0625,-0.04104166666666667,1.0
timeframe:1h,rf_05,volume,0,verstaerkt,16,100,0.2312181863878203,0.9826866916979557,0.04505606301924603,-0.012119479910897695,1.0,0.004918399284596468,0.0006030628213726805,1.0,0.02777777777777779,-0.03805555555555556,0.935
timeframe:1h,rf_06,sign,0,abgeschwaecht,8,100,0.5210120305799294,1.345,-0.02941217840519672,0.01365025062807102,0.0,-0.0004471272076905881,-2.4591996422982416e-05,0.29,-0.02777777777777779,0.023749999999999997,0.045
timeframe:1h,rf_06,magnitude,0,gemischt,2,100,0.5210120305799294,1.345,-8.674239361849967e-05,0.031794897553412166,0.0,0.00027945450480661724,0.0010932260228034875,0.08,0.013888888888888895,0.07319444444444445,0.0
