dataset,universe_scope,source_key_posthoc,paths,observed_synchrony_excess,collective_null_excess_mean,observed_minus_collective_null_mean,direction,empirical_upper_p
2091_basis,b,2091_basis|SOL|2024|4000,8,105.879154078,68.496852971,37.382301107,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|5000,8,106.355488419,66.801328047,39.554160372,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|6000,8,107.499496475,67.263689577,40.235806898,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|7000,8,106.278952669,69.488953928,36.789998741,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|8000,8,106.135951662,67.977876385,38.158075277,positive,0.030303
2091_basis,b,2091_basis|SOL|2024|9000,8,105.73716012,71.458899799,34.278260321,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|10000,8,107.209466263,68.733383686,38.476082577,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|11000,8,105.27391742,67.159963495,38.113953925,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|12000,8,105.242698891,70.44288142,34.799817471,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|13000,8,106.650553877,72.573011078,34.077542799,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|14000,8,103.595166163,70.201693102,33.393473061,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|2000,8,107.04531722,70.388028701,36.657288519,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|3000,8,107.193353473,72.179191843,35.01416163,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|4000,8,105.901309165,70.427586858,35.473722307,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|5000,8,105.789526686,68.040754028,37.748772658,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|6000,8,107.04531722,67.710284491,39.335032729,positive,0.030303
2091_basis,b,2091_basis|SOL|2025|9000,8,106.62940584,68.454021903,38.175383937,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|0,16,189.076535749,140.27376007,48.802775679,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|10000,16,189.076535749,133.158578801,55.917956948,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|11000,16,191.134944611,136.064545569,55.070399042,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|12000,16,187.191339373,135.130066717,52.061272656,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|13000,16,190.257804631,137.646022155,52.611782476,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|14000,16,190.86304129,134.236216012,56.626825278,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|15000,16,189.362537764,130.664117573,58.698420191,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|2000,16,189.375629406,131.329777191,58.045852215,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|3000,16,190.093655588,137.591861783,52.501793805,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|5000,16,190.606243705,134.924786002,55.681457703,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|6000,16,189.165156092,132.664211984,56.500944108,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|7000,16,189.661631419,139.854449899,49.80718152,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|8000,16,189.076535749,134.794750755,54.281784994,positive,0.030303
2091_basis,all,2091_basis|BTC|2024|9000,16,189.076535749,138.205280715,50.871255034,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|0,16,184.523665661,140.276025932,44.247639729,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|10000,16,189.165156092,136.174408358,52.990747734,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|11000,16,189.092648538,138.501384693,50.591263845,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|14000,16,190.093655588,135.037134945,55.056520643,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|15000,16,190.437059416,134.493957704,55.943101712,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|3000,16,190.884189324,136.907257049,53.976932275,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|4000,16,189.092648538,141.54632427,47.546324268,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|5000,16,189.901309163,131.061681772,58.839627391,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|6000,16,192.358509566,133.014759567,59.343749999,positive,0.030303
2091_basis,all,2091_basis|BTC|2025|9000,16,188.872104734,131.018126888,57.853977846,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|0,16,189.092648538,134.914117573,54.178530965,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|1000,16,189.661631419,131.71229859,57.949332829,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|11000,16,189.658610271,135.588494461,54.07011581,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|12000,16,192.373615306,127.861027191,64.512588115,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|14000,16,186.091641489,133.278984139,52.81265735,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|15000,16,188.107754277,132.630318479,55.477435798,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|3000,16,188.930513594,131.483603978,57.446909616,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|4000,16,192.078549847,132.072318731,60.006231116,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|5000,16,189.901309163,126.806677996,63.094631167,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|6000,16,190.646525679,128.173306898,62.473218781,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|7000,16,189.076535749,132.624811178,56.451724571,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|8000,16,185.850956698,137.299188067,48.551768631,positive,0.030303
2091_basis,all,2091_basis|SOL|2024|9000,16,193.2286002,135.639885448,57.588714752,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|10000,16,190.368580059,131.419121349,58.94945871,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|11000,16,187.170191336,133.7294499,53.440741436,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|12000,16,186.286002012,134.391868077,51.894133935,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|13000,16,191.143001006,140.363293052,50.779707954,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|14000,16,186.957703926,138.60986279,48.347841136,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|2000,16,189.931520643,136.343372357,53.588148286,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|3000,16,190.657603221,137.112160121,53.5454431,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|4000,16,189.375629406,133.034994965,56.340634441,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|5000,16,187.926485396,130.854764602,57.071720794,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|6000,16,189.181268881,132.210567724,56.970701157,positive,0.030303
2091_basis,all,2091_basis|SOL|2025|9000,16,186.824773412,133.629154079,53.195619333,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2024|0,8,94.766364551,71.028197382,23.738167169,positive,0.060606
2092_holdout,a,2092_holdout|DOGE|2024|1000,8,94.812688822,69.724760826,25.087927996,positive,0.060606
2092_holdout,a,2092_holdout|DOGE|2024|2000,8,95.055387714,72.460725075,22.594662639,positive,0.060606
2092_holdout,a,2092_holdout|DOGE|2024|3000,8,95.497482377,70.805954179,24.691528198,positive,0.060606
2092_holdout,a,2092_holdout|DOGE|2024|4000,8,94.436052366,71.907382931,22.528669435,positive,0.090909
2092_holdout,a,2092_holdout|DOGE|2024|6000,8,98.087613295,71.763941339,26.323671956,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2024|7000,8,95.497482377,71.493296827,24.00418555,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2024|8000,8,98.124874119,70.556363293,27.568510826,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2025|1000,8,98.264853978,77.682999748,20.58185423,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2025|3000,8,94.693856998,72.72513847,21.968718528,positive,0.090909
2092_holdout,a,2092_holdout|DOGE|2025|4000,8,96.963746223,68.438821753,28.52492447,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2025|5000,8,95.767371601,72.426359517,23.341012084,positive,0.060606
2092_holdout,a,2092_holdout|DOGE|2025|6000,8,95.839879154,71.664086103,24.175793051,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2025|7000,8,95.767371601,71.291509315,24.475862286,positive,0.030303
2092_holdout,a,2092_holdout|DOGE|2025|8000,8,94.910372608,73.335473313,21.574899295,positive,0.060606
2092_holdout,a,2092_holdout|DOGE|2025|9000,8,95.497482377,76.109642497,19.38783988,positive,0.121212
2092_holdout,a,2092_holdout|PAXG|2024|0,8,97.233635448,72.197539023,25.036096425,positive,0.090909
2092_holdout,a,2092_holdout|PAXG|2024|2000,8,94.712990937,70.965602971,23.747387966,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2024|3000,8,99.703927493,71.47954431,28.224383183,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2024|4000,8,94.693856998,71.725421702,22.968435296,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2024|5000,8,95.788519637,73.381262588,22.407257049,positive,0.060606
2092_holdout,a,2092_holdout|PAXG|2024|6000,8,98.264853978,75.416666667,22.848187311,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2024|7000,8,101.650553878,71.755066717,29.895487161,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2024|8000,8,95.933534743,72.696909617,23.236625126,positive,0.060606
2092_holdout,a,2092_holdout|PAXG|2024|9000,8,95.694864048,70.494492699,25.200371349,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2025|1000,8,96.005035247,69.634535498,26.370499749,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2025|2000,8,98.508559918,74.943668177,23.564891741,positive,0.060606
2092_holdout,a,2092_holdout|PAXG|2025|3000,8,94.693856998,72.911851712,21.782005286,positive,0.060606
2092_holdout,a,2092_holdout|PAXG|2025|5000,8,98.675730112,71.911725831,26.764004281,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2025|6000,8,95.620342398,73.640483384,21.979859014,positive,0.030303
2092_holdout,a,2092_holdout|PAXG|2025|7000,8,99.718026183,76.400522407,23.317503776,positive,0.060606
2092_holdout,a,2092_holdout|XRP|2024|0,8,96.407854985,70.209308912,26.198546073,positive,0.030303
2092_holdout,a,2092_holdout|XRP|2024|1000,8,95.597180262,74.642875126,20.954305136,positive,0.090909
2092_holdout,a,2092_holdout|XRP|2024|2000,8,98.67673716,72.357628399,26.319108761,positive,0.030303
2092_holdout,a,2092_holdout|XRP|2024|3000,8,95.86102719,71.935580312,23.925446878,positive,0.060606
2092_holdout,a,2092_holdout|XRP|2024|5000,8,95.497482377,72.092774421,23.404707956,positive,0.030303
2092_holdout,a,2092_holdout|XRP|2024|7000,8,94.693856998,71.002045569,23.691811429,positive,0.090909
2092_holdout,a,2092_holdout|XRP|2024|8000,8,94.712990937,73.476711984,21.236278953,positive,0.060606
2092_holdout,a,2092_holdout|XRP|2025|0,8,94.910372608,70.517717774,24.392654834,positive,0.030303
2092_holdout,a,2092_holdout|XRP|2025|1000,8,95.694864048,71.320304632,24.374559416,positive,0.060606
2092_holdout,a,2092_holdout|XRP|2025|2000,8,95.305135951,69.69404582,25.611090131,positive,0.060606
2092_holdout,a,2092_holdout|XRP|2025|4000,8,96.096676736,68.99351712,27.103159616,positive,0.030303
2092_holdout,a,2092_holdout|XRP|2025|6000,8,94.402819738,68.364457452,26.038362286,positive,0.060606
2092_holdout,a,2092_holdout|XRP|2025|9000,8,95.403826788,72.025113293,23.378713495,positive,0.060606
2092_holdout,b,2092_holdout|DOGE|2024|0,8,88.761329305,64.81895141,23.942377895,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2024|1000,8,86.473313193,63.735429255,22.737883938,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2024|2000,8,88.083585096,62.853757553,25.229827543,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2024|3000,8,88.083585096,62.914589628,25.168995468,positive,0.060606
2092_holdout,b,2092_holdout|DOGE|2024|4000,8,88.878147029,68.132615811,20.745531218,positive,0.151515
2092_holdout,b,2092_holdout|DOGE|2024|6000,8,87.189325278,64.876856747,22.312468531,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2024|7000,8,85.777442095,65.883937563,19.893504532,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2024|8000,8,86.579053374,64.31360146,22.265451914,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2025|1000,8,88.972809667,63.914589627,25.05822004,positive,0.090909
2092_holdout,b,2092_holdout|DOGE|2025|3000,8,87.310171198,64.099383182,23.210788016,positive,0.060606
2092_holdout,b,2092_holdout|DOGE|2025|4000,8,88.0,65.210190081,22.789809919,positive,0.060606
2092_holdout,b,2092_holdout|DOGE|2025|5000,8,88.761329305,64.725169939,24.036159366,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2025|6000,8,88.844914401,64.765798087,24.079116314,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2025|7000,8,88.136958711,60.872419436,27.264539275,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2025|8000,8,87.310171198,63.786851712,23.523319486,positive,0.030303
2092_holdout,b,2092_holdout|DOGE|2025|9000,8,85.777442095,61.532445871,24.244996224,positive,0.030303
2092_holdout,b,2092_holdout|PAXG|2024|0,8,88.824773413,66.480771652,22.344001761,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2024|2000,8,86.026183284,62.056677996,23.969505288,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2024|3000,8,86.916414905,61.517497482,25.398917423,positive,0.030303
2092_holdout,b,2092_holdout|PAXG|2024|4000,8,87.310171198,61.838462991,25.471708207,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2024|5000,8,87.760322256,66.203361027,21.556961229,positive,0.030303
2092_holdout,b,2092_holdout|PAXG|2024|6000,8,88.749244712,63.80822004,24.941024672,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2024|7000,8,90.59919436,64.22306143,26.37613293,positive,0.030303
2092_holdout,b,2092_holdout|PAXG|2024|8000,8,88.844914401,66.371192095,22.473722306,positive,0.090909
2092_holdout,b,2092_holdout|PAXG|2024|9000,8,88.062437059,65.953801611,22.108635448,positive,0.090909
2092_holdout,b,2092_holdout|PAXG|2025|1000,8,88.083585096,64.076881923,24.006703173,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2025|2000,8,86.409869083,61.090854733,25.31901435,positive,0.030303
2092_holdout,b,2092_holdout|PAXG|2025|3000,8,87.310171198,63.164400806,24.145770392,positive,0.030303
2092_holdout,b,2092_holdout|PAXG|2025|5000,8,86.788519638,63.875786757,22.912732881,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2025|6000,8,85.555891239,62.395864804,23.160026435,positive,0.060606
2092_holdout,b,2092_holdout|PAXG|2025|7000,8,92.283987914,68.864331571,23.419656343,positive,0.030303
2092_holdout,b,2092_holdout|XRP|2024|0,8,87.160120845,62.730331068,24.429789777,positive,0.030303
2092_holdout,b,2092_holdout|XRP|2024|1000,8,87.30916415,65.803751259,21.505412891,positive,0.060606
2092_holdout,b,2092_holdout|XRP|2024|2000,8,91.525679758,65.932024169,25.593655589,positive,0.060606
2092_holdout,b,2092_holdout|XRP|2024|3000,8,88.0,65.399924471,22.600075529,positive,0.060606
2092_holdout,b,2092_holdout|XRP|2024|5000,8,88.083585096,66.805419184,21.278165912,positive,0.030303
2092_holdout,b,2092_holdout|XRP|2024|7000,8,87.310171198,66.19716138,21.113009818,positive,0.060606
2092_holdout,b,2092_holdout|XRP|2024|8000,8,86.026183284,62.226963746,23.799219538,positive,0.090909
2092_holdout,b,2092_holdout|XRP|2025|0,8,88.083585096,67.60136581,20.482219285,positive,0.121212
2092_holdout,b,2092_holdout|XRP|2025|1000,8,87.310171198,65.952920443,21.357250755,positive,0.090909
2092_holdout,b,2092_holdout|XRP|2025|2000,8,90.640483383,63.441182024,27.199301359,positive,0.030303
2092_holdout,b,2092_holdout|XRP|2025|4000,8,88.81470292,66.405463243,22.409239677,positive,0.090909
2092_holdout,b,2092_holdout|XRP|2025|6000,8,85.555891239,66.00865433,19.547236909,positive,0.090909
