role_family,component,response_axis,observations,holdouts,mean_value,median_value,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,observation_directional_persistence,mean_null_percentile,minimum_null_percentile,maximum_null_percentile,holdout_ids,holdout_mean_path,holdout_sign_path,holdout_directional_persistence,axis_persistence_percentile,axis_mean_null_percentile,axis_signed_mean_percentile
rf_08,volume,event_share,5,1,-0.00011178180192264724,-0.00011178180192264724,-0.0010619271182651466,0.0008383635144198522,1,3,1,0.4,0.527,0.025,0.96,2081_30m_windows,-0.000112,-1,1.0,0.1875,0.5625,0.5625
rf_08,volume,member_coverage,5,1,-0.09722222222222221,-0.09722222222222221,-0.25,0.05555555555555558,1,4,0,0.6,0.48,0.135,0.855,2081_30m_windows,-0.097222,-1,1.0,0.375,0.4375,0.4375
rf_10,volume,continuity,5,1,-0.23419123611770673,-0.23465090090090096,-0.3,-0.16740196078431374,0,5,0,1.0,0.03,0.0,0.09,2081_30m_windows,-0.234191,-1,1.0,0.625,0.1875,0.0625
rf_10,volume,event_share,5,1,-0.0006427453610552203,-0.0006427453610552203,-0.0008942544153811762,-0.0003912363067292646,0,5,0,1.0,0.07200000000000001,0.03,0.12,2081_30m_windows,-0.000643,-1,1.0,0.6875,0.1875,0.4375
rf_10,volume,member_coverage,5,1,-0.23611111111111113,-0.23611111111111116,-0.3333333333333333,-0.1388888888888889,0,5,0,1.0,0.04,0.0,0.13,2081_30m_windows,-0.236111,-1,1.0,0.75,0.1875,0.0625
rf_13,volume,continuity,5,1,0.02844063334497604,0.028135313531353123,-0.046050642479213866,0.10306267806267799,3,2,0,0.2,0.516,0.19,0.77,2081_30m_windows,0.028441,1,1.0,0.0625,0.6875,0.8125
rf_13,volume,event_share,5,1,0.0003073999552872793,0.00030739995528727927,-0.0003912363067292645,0.0010060362173038232,4,1,0,0.6,0.545,0.15,0.88,2081_30m_windows,0.000307,1,1.0,0.3125,0.6875,0.6875
rf_13,volume,member_coverage,5,1,0.08333333333333333,0.08333333333333337,-0.03703703703703709,0.20370370370370372,4,1,0,0.6,0.66,0.3,0.885,2081_30m_windows,0.083333,1,1.0,0.375,0.8125,0.8125
rf_17,volume,continuity,5,1,-0.08538274321586342,-0.10139705882352945,-0.15249999999999997,-0.012121212121212033,0,5,0,1.0,0.43,0.16,0.7,2081_30m_windows,-0.085383,-1,1.0,0.625,0.375,0.3125
rf_17,volume,event_share,5,1,-0.0007265817124972056,-0.0007265817124972055,-0.0010619271182651469,-0.00039123630672926427,0,5,0,1.0,0.14200000000000002,0.0,0.43,2081_30m_windows,-0.000727,-1,1.0,0.6875,0.4375,0.3125
rf_17,volume,member_coverage,5,1,-0.125,-0.125,-0.19444444444444448,-0.055555555555555525,0,5,0,1.0,0.356,0.11,0.57,2081_30m_windows,-0.125000,-1,1.0,0.75,0.3125,0.3125
rf_21,volume,continuity,5,1,-0.04476034245086957,-0.04622979938701588,-0.08509764833085554,-0.0018817204301073698,0,5,0,1.0,0.43,0.24,0.64,2081_30m_windows,-0.044760,-1,1.0,0.625,0.375,0.5625
rf_21,volume,event_share,5,1,-0.001173708920187793,-0.001173708920187793,-0.0025709814442208805,0.0002235636038452945,2,3,0,0.2,0.1,0.0,0.28,2081_30m_windows,-0.001174,-1,1.0,0.0625,0.3125,0.0625
rf_21,volume,member_coverage,5,1,-0.013888888888888862,-0.01388888888888884,-0.08333333333333326,0.05555555555555558,1,3,1,0.4,0.577,0.3,0.87,2081_30m_windows,-0.013889,-1,1.0,0.1875,0.5625,0.5625
