support_rank,left_node,right_node,scope_count,total_supported_world_pairs,real_real_supported,real_real_all_scopes,real_real_eligible,real_real_rate,real_null_supported,real_null_all_scopes,real_null_eligible,real_null_rate,null_null_supported,null_null_all_scopes,null_null_eligible,null_null_rate,real_rate_advantage,real_2025_supported,real_2025_all_scopes,real_2025_eligible,real_crossyear_supported,real_crossyear_all_scopes,real_crossyear_eligible,real_2024_supported,real_2024_all_scopes,real_2024_eligible
95,dio_mcm_episode_04appcg,dio_mcm_episode_1qpd84c,3,85,15,2,31,0.4838709677419355,39,5,101,0.38613861386138615,31,2,78,0.3974358974358974,0.08643507030603809,3,0,12,9,1,16,3,1,3
96,dio_mcm_episode_14jcwih,dio_mcm_episode_1nxni6k,3,84,0,0,0,0.0,26,10,36,0.7222222222222222,58,15,91,0.6373626373626373,-0.7222222222222222,0,0,0,0,0,0,0,0,0
97,dio_mcm_episode_1o7gsvl,dio_mcm_episode_1vpfj3r,3,83,5,0,40,0.125,33,3,144,0.22916666666666666,45,3,125,0.36,-0.235,3,0,10,2,0,21,0,0,9
98,dio_mcm_episode_07iaozp,dio_mcm_episode_0gslldm,3,82,7,0,32,0.21875,39,2,103,0.3786407766990291,36,3,63,0.5714285714285714,-0.3526785714285714,3,0,5,4,0,24,0,0,3
99,dio_mcm_episode_14y2lc5,dio_mcm_episode_1vpfj3r,1,82,12,0,35,0.34285714285714286,45,0,116,0.3879310344827586,25,0,95,0.2631578947368421,-0.04507389162561576,0,0,8,8,0,18,4,0,9
100,dio_mcm_episode_0ff8lrz,dio_mcm_episode_1vu7n3a,3,81,13,1,53,0.24528301886792453,39,3,149,0.26174496644295303,29,3,83,0.3493975903614458,-0.10411457149352127,6,0,20,5,1,27,2,0,6
101,dio_mcm_episode_0qxnz4m,dio_mcm_episode_1ny5ha7,3,81,21,0,29,0.7241379310344828,40,3,54,0.7407407407407407,20,3,24,0.8333333333333334,-0.10919540229885061,5,0,6,11,0,16,5,0,7
102,dio_mcm_episode_0gslldm,dio_mcm_episode_1qlxgj7,3,78,14,1,90,0.15555555555555556,44,0,351,0.12535612535612536,20,0,320,0.0625,0.030199430199430194,0,0,11,9,0,53,5,1,26
103,dio_mcm_episode_0mx1107,dio_mcm_episode_0z5d2qb,3,77,8,0,43,0.18604651162790697,36,6,113,0.3185840707964602,33,7,72,0.4583333333333333,-0.27228682170542634,5,0,19,3,0,24,0,0,0
104,dio_mcm_episode_1ugezq6,dio_mcm_episode_1x3djkm,3,76,7,0,123,0.056910569105691054,41,0,406,0.10098522167487685,28,6,300,0.09333333333333334,-0.044074652569185795,2,0,33,5,0,63,0,0,27
105,dio_mcm_episode_1rj8742,dio_mcm_episode_1x557o1,3,76,0,0,75,0.0,12,0,450,0.02666666666666667,64,12,570,0.11228070175438597,-0.11228070175438597,0,0,14,0,0,40,0,0,21
106,dio_mcm_episode_0ilwqth,dio_mcm_episode_1w9k3lg,3,74,12,6,15,0.8,35,23,48,0.7291666666666666,27,21,35,0.7714285714285715,0.02857142857142858,6,4,8,5,2,6,1,0,1
107,dio_mcm_episode_08m65fb,dio_mcm_episode_1tvdhgs,3,74,11,1,54,0.2037037037037037,44,6,148,0.2972972972972973,19,0,73,0.2602739726027397,-0.09359359359359362,5,1,21,6,0,26,0,0,7
108,dio_mcm_episode_0gslldm,dio_mcm_episode_1tvdhgs,3,73,10,0,92,0.10869565217391304,32,0,381,0.08398950131233596,31,0,373,0.08310991957104558,0.024706150861577084,0,0,11,6,0,54,4,0,27
109,dio_mcm_episode_1no5vl8,dio_mcm_episode_1wjjpaf,3,73,4,1,6,0.6666666666666666,28,6,39,0.717948717948718,41,5,63,0.6507936507936508,-0.05128205128205132,0,0,0,2,1,3,2,0,3
110,dio_mcm_episode_0mx1107,dio_mcm_episode_1vu7n3a,3,73,17,1,35,0.4857142857142857,37,6,71,0.5211267605633803,19,3,32,0.59375,-0.10803571428571429,11,0,27,6,1,8,0,0,0
111,dio_mcm_episode_05bno88,dio_mcm_episode_1qlxgj7,3,72,18,1,37,0.4864864864864865,41,2,98,0.41836734693877553,13,0,59,0.22033898305084745,0.06811913954771098,0,0,11,13,0,19,5,1,7
112,dio_mcm_episode_0b4v1an,dio_mcm_episode_0vorwpi,3,72,0,0,0,0.0,18,18,18,1.0,54,51,54,1.0,-1.0,0,0,0,0,0,0,0,0,0
113,dio_mcm_episode_02cpbzo,dio_mcm_episode_1qpd84c,3,71,7,2,23,0.30434782608695654,36,3,82,0.43902439024390244,28,1,69,0.4057971014492754,-0.1346765641569459,1,0,7,4,1,12,2,1,4
114,dio_mcm_episode_1qpd84c,dio_mcm_episode_1vu7n3a,3,71,8,1,69,0.11594202898550725,42,3,160,0.2625,21,5,81,0.25925925925925924,-0.14655797101449275,3,0,27,4,0,35,1,1,7
115,dio_mcm_episode_0ffk9vo,dio_mcm_episode_1vu7n3a,1,71,12,0,60,0.2,37,0,162,0.22839506172839505,22,0,88,0.25,-0.04999999999999999,5,0,34,7,0,23,0,0,3
116,dio_mcm_episode_04asuuf,dio_mcm_episode_1vpfj3r,3,70,11,2,29,0.3793103448275862,30,3,128,0.234375,29,5,128,0.2265625,0.1449353448275862,4,1,8,5,1,16,2,0,5
117,dio_mcm_episode_0hchn9l,dio_mcm_episode_0t4969n,3,70,25,13,42,0.5952380952380952,35,4,68,0.5147058823529411,10,0,24,0.4166666666666667,0.08053221288515411,8,5,21,14,6,18,3,2,3
118,dio_mcm_episode_04asuuf,dio_mcm_episode_1o7gsvl,3,70,3,0,47,0.06382978723404255,28,3,220,0.12727272727272726,39,1,246,0.15853658536585366,-0.09470679813181111,2,0,19,1,0,22,0,0,6
119,dio_mcm_episode_0ffk9vo,dio_mcm_episode_1ugezq6,3,69,10,0,39,0.2564102564102564,37,0,123,0.3008130081300813,22,0,88,0.25,-0.04440275171982494,3,0,14,6,0,20,1,0,5
