dataset,source,relation_age,eligible_current_edges,carried_edges,carried_continued,carried_continuation_rate,new_edges,new_continued,new_continuation_rate,continuation_rate_difference,future_current_edges,informative
2091_basis,BTC_2025,14,16,4,2,0.5,12,8,0.6666666666666666,-0.16666666666666663,10,1
2091_basis,BTC_2025,15,10,6,3,0.5,4,4,1.0,-0.5,7,1
2091_basis,BTC_2025,16,8,1,0,0.0,7,2,0.2857142857142857,-0.2857142857142857,2,1
2091_basis,BTC_2025,17,4,1,1,1.0,3,2,0.6666666666666666,0.33333333333333337,3,1
2091_basis,BTC_2025,18,8,1,0,0.0,7,5,0.7142857142857143,-0.7142857142857143,5,1
2091_basis,BTC_2025,19,9,1,1,1.0,8,2,0.25,0.75,3,1
2091_basis,BTC_2025,20,5,2,1,0.5,3,2,0.6666666666666666,-0.16666666666666663,3,1
2091_basis,BTC_2025,21,6,3,3,1.0,3,1,0.3333333333333333,0.6666666666666667,4,1
2091_basis,BTC_2025,22,8,4,3,0.75,4,1,0.25,0.5,4,1
2091_basis,BTC_2025,23,10,4,4,1.0,6,3,0.5,0.5,7,1
2091_basis,BTC_2025,24,3,1,1,1.0,2,0,0.0,1.0,1,1
2091_basis,BTC_2025,25,4,1,0,0.0,3,2,0.6666666666666666,-0.6666666666666666,2,1
2091_basis,BTC_2025,26,4,2,2,1.0,2,0,0.0,1.0,2,1
2091_basis,BTC_2025,27,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,BTC_2025,28,3,1,1,1.0,2,2,1.0,0.0,3,1
2091_basis,BTC_2025,29,3,0,0,0.0,3,3,1.0,-1.0,3,0
2091_basis,BTC_2025,30,2,0,0,0.0,2,1,0.5,-0.5,1,0
2091_basis,BTC_2025,31,5,0,0,0.0,5,5,1.0,-1.0,5,0
2091_basis,BTC_2025,32,3,1,1,1.0,2,2,1.0,0.0,3,1
2091_basis,BTC_2025,33,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,BTC_2025,34,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,BTC_2025,35,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2025,36,3,2,2,1.0,1,1,1.0,0.0,3,1
2091_basis,BTC_2025,38,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,BTC_2025,39,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,BTC_2025,40,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,BTC_2025,41,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2025,42,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,BTC_2025,44,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2025,45,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2025,46,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,BTC_2025,47,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,BTC_2025,49,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2025,50,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,BTC_2025,51,1,1,0,0.0,0,0,0.0,0.0,0,0
2091_basis,SOL_2024,3,1665,916,608,0.6637554585152838,749,482,0.6435246995994659,0.020230758915817937,1090,1
2091_basis,SOL_2024,4,371,234,187,0.7991452991452992,137,103,0.7518248175182481,0.04732048162705105,290,1
2091_basis,SOL_2024,5,229,125,109,0.872,104,84,0.8076923076923077,0.06430769230769229,193,1
2091_basis,SOL_2024,6,142,70,43,0.6142857142857143,72,47,0.6527777777777778,-0.038492063492063466,90,1
2091_basis,SOL_2024,7,93,43,36,0.8372093023255814,50,45,0.9,-0.06279069767441858,81,1
2091_basis,SOL_2024,8,32,11,9,0.8181818181818182,21,10,0.47619047619047616,0.34199134199134207,19,1
2091_basis,SOL_2024,9,31,18,17,0.9444444444444444,13,12,0.9230769230769231,0.02136752136752129,29,1
2091_basis,SOL_2024,10,23,9,6,0.6666666666666666,14,3,0.21428571428571427,0.45238095238095233,9,1
2091_basis,SOL_2024,11,19,7,5,0.7142857142857143,12,9,0.75,-0.0357142857142857,14,1
2091_basis,SOL_2024,12,10,2,1,0.5,8,4,0.5,0.0,5,1
2091_basis,SOL_2024,13,6,1,0,0.0,5,4,0.8,-0.8,4,1
2091_basis,SOL_2024,14,8,4,3,0.75,4,1,0.25,0.5,4,1
2091_basis,SOL_2024,15,17,6,4,0.6666666666666666,11,6,0.5454545454545454,0.12121212121212122,10,1
2091_basis,SOL_2024,16,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2024,17,9,5,5,1.0,4,1,0.25,0.75,6,1
2091_basis,SOL_2024,18,11,7,6,0.8571428571428571,4,1,0.25,0.6071428571428571,7,1
2091_basis,SOL_2024,19,8,3,3,1.0,5,3,0.6,0.4,6,1
2091_basis,SOL_2024,20,4,2,2,1.0,2,1,0.5,0.5,3,1
2091_basis,SOL_2024,21,7,4,4,1.0,3,2,0.6666666666666666,0.33333333333333337,6,1
2091_basis,SOL_2024,22,6,3,3,1.0,3,1,0.3333333333333333,0.6666666666666667,4,1
2091_basis,SOL_2024,23,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2024,24,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2024,25,3,2,2,1.0,1,1,1.0,0.0,3,1
2091_basis,SOL_2024,26,2,1,0,0.0,1,1,1.0,-1.0,1,1
2091_basis,SOL_2024,27,4,2,2,1.0,2,2,1.0,0.0,4,1
2091_basis,SOL_2024,28,5,4,3,0.75,1,0,0.0,0.75,3,1
2091_basis,SOL_2024,29,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2024,30,5,3,3,1.0,2,1,0.5,0.5,4,1
2091_basis,SOL_2024,31,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,SOL_2024,32,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,SOL_2024,33,3,3,3,1.0,0,0,0.0,1.0,3,0
2091_basis,SOL_2024,34,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,SOL_2024,35,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2024,38,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2024,41,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2024,44,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2025,3,1038,614,382,0.6221498371335505,424,252,0.5943396226415094,0.02781021449204113,634,1
2091_basis,SOL_2025,4,415,215,162,0.7534883720930232,200,156,0.78,-0.02651162790697681,318,1
2091_basis,SOL_2025,5,205,111,100,0.9009009009009009,94,69,0.7340425531914894,0.16685834770941155,169,1
2091_basis,SOL_2025,6,107,60,44,0.7333333333333333,47,33,0.7021276595744681,0.031205673758865182,77,1
2091_basis,SOL_2025,7,41,22,14,0.6363636363636364,19,11,0.5789473684210527,0.0574162679425837,25,1
2091_basis,SOL_2025,8,27,14,14,1.0,13,12,0.9230769230769231,0.07692307692307687,26,1
2091_basis,SOL_2025,9,12,5,5,1.0,7,6,0.8571428571428571,0.1428571428571429,11,1
2091_basis,SOL_2025,10,16,6,6,1.0,10,6,0.6,0.4,12,1
2091_basis,SOL_2025,11,9,3,3,1.0,6,4,0.6666666666666666,0.33333333333333337,7,1
2091_basis,SOL_2025,12,11,3,3,1.0,8,3,0.375,0.625,6,1
2091_basis,SOL_2025,13,12,2,2,1.0,10,6,0.6,0.4,8,1
2091_basis,SOL_2025,14,6,2,2,1.0,4,4,1.0,0.0,6,1
2091_basis,SOL_2025,15,4,1,1,1.0,3,1,0.3333333333333333,0.6666666666666667,2,1
2091_basis,SOL_2025,16,8,5,5,1.0,3,1,0.3333333333333333,0.6666666666666667,6,1
2091_basis,SOL_2025,17,2,0,0,0.0,2,2,1.0,-1.0,2,0
2091_basis,SOL_2025,18,6,3,3,1.0,3,0,0.0,1.0,3,1
2091_basis,SOL_2025,19,7,4,3,0.75,3,3,1.0,-0.25,6,1
2091_basis,SOL_2025,20,4,3,2,0.6666666666666666,1,0,0.0,0.6666666666666666,2,1
2091_basis,SOL_2025,21,3,0,0,0.0,3,2,0.6666666666666666,-0.6666666666666666,2,0
2091_basis,SOL_2025,22,2,0,0,0.0,2,1,0.5,-0.5,1,0
2091_basis,SOL_2025,23,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,SOL_2025,24,7,2,1,0.5,5,3,0.6,-0.09999999999999998,4,1
2091_basis,SOL_2025,25,4,3,3,1.0,1,1,1.0,0.0,4,1
2091_basis,SOL_2025,26,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2025,27,2,1,1,1.0,1,0,0.0,1.0,1,1
2091_basis,SOL_2025,28,3,1,1,1.0,2,1,0.5,0.5,2,1
2091_basis,SOL_2025,29,4,1,1,1.0,3,2,0.6666666666666666,0.33333333333333337,3,1
2091_basis,SOL_2025,30,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2025,31,2,0,0,0.0,2,1,0.5,-0.5,1,0
2091_basis,SOL_2025,34,2,1,1,1.0,1,0,0.0,1.0,1,1
2091_basis,SOL_2025,37,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2025,39,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2025,40,1,0,0,0.0,1,1,1.0,-1.0,1,0
2091_basis,SOL_2025,42,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,SOL_2025,48,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,SOL_2025,49,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2024,3,935,499,322,0.6452905811623246,436,252,0.5779816513761468,0.06730892978617786,574,1
2092_holdout,DOGE_2024,4,249,149,115,0.7718120805369127,100,75,0.75,0.021812080536912748,190,1
2092_holdout,DOGE_2024,5,49,31,24,0.7741935483870968,18,15,0.8333333333333334,-0.05913978494623662,39,1
2092_holdout,DOGE_2024,6,20,7,4,0.5714285714285714,13,3,0.23076923076923078,0.3406593406593406,7,1
2092_holdout,DOGE_2024,7,10,3,3,1.0,7,6,0.8571428571428571,0.1428571428571429,9,1
2092_holdout,DOGE_2024,8,13,5,3,0.6,8,6,0.75,-0.15000000000000002,9,1
2092_holdout,DOGE_2024,9,7,2,1,0.5,5,3,0.6,-0.09999999999999998,4,1
2092_holdout,DOGE_2024,10,5,1,1,1.0,4,3,0.75,0.25,4,1
2092_holdout,DOGE_2024,11,7,1,1,1.0,6,3,0.5,0.5,4,1
2092_holdout,DOGE_2024,12,10,4,3,0.75,6,3,0.5,0.25,6,1
2092_holdout,DOGE_2024,13,4,0,0,0.0,4,2,0.5,-0.5,2,0
2092_holdout,DOGE_2024,14,10,2,2,1.0,8,3,0.375,0.625,5,1
2092_holdout,DOGE_2024,15,5,2,2,1.0,3,2,0.6666666666666666,0.33333333333333337,4,1
2092_holdout,DOGE_2024,16,5,3,1,0.3333333333333333,2,0,0.0,0.3333333333333333,1,1
2092_holdout,DOGE_2024,17,2,1,1,1.0,1,0,0.0,1.0,1,1
2092_holdout,DOGE_2024,18,6,2,2,1.0,4,2,0.5,0.5,4,1
2092_holdout,DOGE_2024,19,2,0,0,0.0,2,1,0.5,-0.5,1,0
2092_holdout,DOGE_2024,20,4,2,2,1.0,2,2,1.0,0.0,4,1
2092_holdout,DOGE_2024,21,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2024,22,2,0,0,0.0,2,1,0.5,-0.5,1,0
2092_holdout,DOGE_2024,23,1,0,0,0.0,1,0,0.0,0.0,0,0
2092_holdout,DOGE_2024,26,2,0,0,0.0,2,1,0.5,-0.5,1,0
2092_holdout,DOGE_2024,28,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2024,30,2,1,1,1.0,1,1,1.0,0.0,2,1
2092_holdout,DOGE_2024,31,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2024,33,2,2,2,1.0,0,0,0.0,1.0,2,0
2092_holdout,DOGE_2024,34,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2024,36,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2024,39,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2024,47,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2024,50,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2025,3,1171,612,398,0.6503267973856209,559,338,0.6046511627906976,0.0456756345949233,736,1
2092_holdout,DOGE_2025,4,320,200,99,0.495,120,72,0.6,-0.10499999999999998,171,1
2092_holdout,DOGE_2025,5,92,56,45,0.8035714285714286,36,27,0.75,0.0535714285714286,72,1
2092_holdout,DOGE_2025,6,31,11,3,0.2727272727272727,20,8,0.4,-0.12727272727272732,11,1
2092_holdout,DOGE_2025,7,10,4,0,0.0,6,4,0.6666666666666666,-0.6666666666666666,4,1
