symbol_family,seed_class,seed_real_events,seed_null_events,seed_ratio,seed_field,follow_status,follow_events,follow_labels,follow_field,follow_reifung,follow_field_share,follow_mcm,boundary
dio_0trm,real_deutlich_staerker,239,125,1.721068,tragende_rekopplung,folge_stabil_feldgleich,196,doge2025:2;paxg2025:2;doge2025_clean:2;xrp2025_clean:2;btc2025_current:2;paxg2025_follow:2;sol2026_stable:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.943878,0.443/0.218/0.645,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0ioc,real_deutlich_staerker,298,71,3.778053,tragende_rekopplung,folge_stabil_feldgleich,193,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;doge2025_follow:1;sol2026_stable:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.466/0.195/0.661,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_18po,real_deutlich_staerker,310,150,1.860290,tragende_rekopplung,folge_stabil_feldgleich,189,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.478/0.182/0.674,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1udx,real_deutlich_staerker,201,59,3.066579,tragende_rekopplung,folge_stabil_feldgleich,166,paxg2025:2;doge2025:2;xrp2025_clean:2;btc2025_current:2;doge2025_clean:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.963855,0.444/0.201/0.654,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_00m4,real_deutlich_staerker,220,63,3.143346,tragende_rekopplung,folge_stabil_feldgleich,157,doge2025:2;paxg2025:2;xrp2025_clean:2;btc2025_current:2;doge2025_clean:2;sol2026_stable:2;xrp2025_follow:2;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.929936,0.432/0.224/0.633,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0h6t,real_deutlich_staerker,194,96,1.819033,tragende_rekopplung,folge_stabil_feldgleich,155,doge2025:1;xrp2025_clean:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;btc2025_follow:1;paxg2025_follow:1;sol2026_stable:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.506/0.142/0.696,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1w94,real_deutlich_staerker,233,129,1.625834,tragende_rekopplung,folge_stabil_feldgleich,152,doge2025:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.503/0.142/0.695,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0s8r,real_deutlich_staerker,160,63,2.286070,tragende_rekopplung,folge_stabil_feldgleich,147,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.481/0.176/0.683,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1cmd,real_deutlich_staerker,123,71,1.559398,tragende_rekopplung,folge_stabil_feldgleich,141,paxg2025:2;btc2025_current:2;doge2025:2;xrp2025_clean:1;doge2025_clean:1;sol2026_stable:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.964539,0.444/0.200/0.656,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1xme,real_deutlich_staerker,129,64,1.814345,tragende_rekopplung,folge_stabil_feldgleich,126,paxg2025:1;doge2025:1;xrp2025_clean:1;sol2026_stable:1;btc2025_current:1;doge2025_clean:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.463/0.181/0.671,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_13it,real_deutlich_staerker,151,81,1.678039,tragende_rekopplung,folge_stabil_feldgleich,121,btc2025_current:2;paxg2025:2;xrp2025_follow:2;xrp2025_clean:1;doge2025:1;doge2025_clean:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.966942,0.455/0.205/0.642,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0if9,real_deutlich_staerker,128,38,3.032051,tragende_rekopplung,folge_stabil_feldgleich,112,doge2025:1;doge2025_clean:1;paxg2025:1;xrp2025_clean:1;btc2025_current:1;doge2025_follow:1;sol2026_stable:1;btc2025_follow:1;xrp2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.481/0.162/0.679,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1xkg,real_deutlich_staerker,118,68,1.562008,tragende_rekopplung,folge_stabil_feldgleich,112,doge2025:2;doge2025_clean:2;btc2025_current:2;paxg2025:2;xrp2025_clean:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.937500,0.439/0.208/0.649,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0f8s,real_deutlich_staerker,218,59,3.325941,tragende_rekopplung,folge_stabil_feldgleich,111,paxg2025:1;doge2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.468/0.177/0.677,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1l7p,real_deutlich_staerker,150,21,6.429572,tragende_rekopplung,folge_stabil_feldgleich,108,doge2025:2;paxg2025:2;doge2025_follow:2;sol2026_stable:2;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.944444,0.436/0.212/0.640,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0nx9,real_deutlich_staerker,111,61,1.637960,tragende_rekopplung,folge_stabil_feldgleich,105,doge2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;paxg2025:1;paxg2025_follow:1;sol2026_stable:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.466/0.177/0.674,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_02vn,real_deutlich_staerker,137,63,1.957447,tragende_rekopplung,folge_stabil_feldgleich,99,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.463/0.189/0.654,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1kue,real_deutlich_staerker,110,60,1.650257,tragende_rekopplung,folge_stabil_feldgleich,93,doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025:1;sol2026_stable:1;doge2025_follow:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.492/0.163/0.677,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1t9l,real_deutlich_staerker,148,32,4.163148,tragende_rekopplung,folge_stabil_feldgleich,93,doge2025:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.454/0.203/0.652,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0gh3,real_deutlich_staerker,178,51,3.141665,tragende_rekopplung,folge_stabil_feldgleich,92,doge2025:1;paxg2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.471/0.175/0.674,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0u24,real_deutlich_staerker,111,49,2.039093,tragende_rekopplung,folge_stabil_feldgleich,85,paxg2025:1;doge2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;sol2026_stable:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.513/0.120/0.708,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1ejq,real_deutlich_staerker,109,47,2.087559,tragende_rekopplung,folge_stabil_feldgleich,82,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.482/0.175/0.679,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_14l0,real_deutlich_staerker,117,65,1.620252,tragende_rekopplung,folge_stabil_feldgleich,79,sol2026_stable:2;xrp2025_follow:2;doge2025_clean:1;doge2025:1;btc2025_current:1;paxg2025:1;xrp2025_clean:1;btc2025_follow:1;doge2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.974684,0.452/0.196/0.650,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0qup,real_deutlich_staerker,95,43,1.988682,tragende_rekopplung,folge_stabil_feldgleich,74,xrp2025_clean:1;doge2025:1;doge2025_clean:1;btc2025_current:1;paxg2025:1;sol2026_stable:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.513/0.124/0.709,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0lr0,real_deutlich_staerker,89,44,1.820738,tragende_rekopplung,folge_stabil_feldgleich,72,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;doge2025_follow:1;btc2025_follow:1;sol2026_stable:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.468/0.176/0.665,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1yhs,real_deutlich_staerker,98,44,2.004857,tragende_rekopplung,folge_stabil_feldgleich,65,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.475/0.173/0.679,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_17j2,real_deutlich_staerker,46,26,1.592556,tragende_rekopplung,folge_stabil_feldgleich,18,doge2025_clean:1;doge2025:1;paxg2025:1;xrp2025_clean:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.480/0.139/0.695,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_04i1,real_deutlich_staerker,114,6,17.102662,tragende_rekopplung,folge_offen_feldgleich,75,doge2025:2;paxg2025:2;xrp2025_clean:2;btc2025_current:1,tragende_rekopplung,weltuebergreifend_feldoffen,0.613333,0.419/0.247/0.624,passive_real_strengthened_followworld_trace_no_action_no_direction
