role_family,component,response_symbol,response_axis,observations,evidence_sources,mean_value,median_value,population_stdev,median_absolute_deviation,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,positive_share,negative_share,observation_directional_persistence,mean_null_percentile,source_positive_means,source_negative_means,source_zero_means,source_directional_persistence,source_mean_range,source_sign_switches,source_ids,source_mean_path,source_sign_path,axis_observation_persistence_percentile,axis_source_persistence_percentile,axis_mad_percentile,axis_source_range_percentile
rf_05,volume,dio_rresponse_0gpsabe,member_coverage,21,5,0.025297714285714284,0.020833,0.06660997097185037,0.027777,-0.069444,0.201389,13,8,0,0.6190476190476191,0.38095238095238093,0.23809523809523808,0.9607142857142857,4,1,0,0.6,0.1701388,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo;2081_2024_2025_30m_holdout;2083_2024_2025_5m_rf05_volume_holdout;2086_2024_2025_5m_orientation_holdout,0.010417;0.045139;0.118056;0.006944;-0.052083,1;1;1;1;-1,0.328125,0.359375,0.421875,0.921875
rf_07,magnitude,dio_rresponse_0hbaf09,continuity,6,2,0.0027706666666666665,0.001613,0.004837910005593554,0.0035595,-0.002304,0.010262,3,3,0,0.5,0.5,0.0,0.5283333333333333,1,1,0,0.0,0.009101999999999999,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.001780;0.007322,-1;1,0.03125,0.0625,0.078125,0.140625
rf_07,magnitude,dio_rresponse_0hbaf09,event_share,6,2,-0.0021238333333333335,-0.002124,0.0028360637872860963,0.0015090000000000001,-0.006427,0.00285,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.19833333333333333,0,2,0,1.0,0.0006703333333333331,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.001789;-0.002459,-1;-1,0.53125,0.65625,0.890625,0.515625
rf_07,magnitude,dio_rresponse_0hbaf09,member_coverage,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.5333333333333333,0,0,2,0.0,0.0,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000000;0.000000,0;0,0.09375,0.140625,0.0625,0.0625
rf_05,wick,dio_rresponse_0jzvf64,continuity,6,2,0.0014233333333333314,0.014792,0.06852453266207334,0.043096499999999996,-0.129836,0.079539,4,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.65,1,1,0,0.0,0.055358000000000004,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.026256;0.029102,-1;1,0.234375,0.0625,0.765625,0.640625
rf_05,wick,dio_rresponse_0jzvf64,event_share,6,2,0.002543,0.0027665,0.002120772500764757,0.0017330000000000002,-0.000894,0.005533,5,1,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.845,2,0,0,1.0,0.0034653333333333333,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000810;0.004276,1;1,0.53125,0.65625,0.953125,0.953125
rf_05,wick,dio_rresponse_0jzvf64,member_coverage,6,2,0.005208333333333333,0.005208000000000001,0.05094223876007894,0.041666499999999995,-0.083333,0.0625,3,3,0,0.5,0.5,0.0,0.7883333333333333,1,1,0,0.0,0.03125,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.010417;0.020833,-1;1,0.09375,0.140625,0.671875,0.359375
rf_10,wick,dio_rresponse_0k6vvw6,continuity,6,2,-0.07929083333333334,-0.059559,0.06940003778437172,0.04925500000000001,-0.198864,-0.002976,0,6,0,0.0,1.0,1.0,0.32833333333333337,0,2,0,1.0,0.11886233333333335,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.019860;-0.138722,-1;-1,0.796875,0.609375,0.828125,0.890625
rf_10,wick,dio_rresponse_0k6vvw6,event_share,6,2,-0.0004051666666666667,-0.000391,0.0002707048926208924,0.0002095,-0.000838,0.0,0,5,1,0.0,0.8333333333333334,0.8333333333333334,0.3883333333333333,0,2,0,1.0,0.000419,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.000196;-0.000615,-1;-1,0.671875,0.65625,0.359375,0.390625
rf_10,wick,dio_rresponse_0k6vvw6,member_coverage,6,2,-0.08333333333333334,-0.0555555,0.06414982142263184,0.027777500000000004,-0.194444,-0.027778,0,6,0,0.0,1.0,1.0,0.325,0,2,0,1.0,0.11111066666666666,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.027778;-0.138889,-1;-1,0.875,0.6875,0.5,0.859375
