dataset,kind,support,structures,instances,collision_pairs
2092_holdout,transition_edge,9,15,135,540
2092_holdout,transition_edge,10,22,220,990
2092_holdout,transition_edge,11,20,220,1100
2092_holdout,transition_edge,12,6,72,396
2092_holdout,transition_edge,13,9,117,702
2092_holdout,transition_edge,14,8,112,728
2092_holdout,transition_edge,15,6,90,630
2092_holdout,transition_edge,16,8,128,960
2092_holdout,transition_edge,17,6,102,816
2092_holdout,transition_edge,18,7,126,1071
2092_holdout,transition_edge,19,9,171,1539
2092_holdout,transition_edge,20,4,80,760
2092_holdout,transition_edge,21,4,84,840
2092_holdout,transition_edge,22,2,44,462
2092_holdout,transition_edge,23,5,115,1265
2092_holdout,transition_edge,24,2,48,552
2092_holdout,transition_edge,25,8,200,2400
2092_holdout,transition_edge,26,2,52,650
2092_holdout,transition_edge,27,2,54,702
2092_holdout,transition_edge,28,3,84,1134
2092_holdout,transition_edge,29,2,58,812
2092_holdout,transition_edge,30,1,30,435
2092_holdout,transition_edge,31,2,62,930
2092_holdout,transition_edge,32,3,96,1488
2092_holdout,transition_edge,34,4,136,2244
2092_holdout,transition_edge,36,2,72,1260
2092_holdout,transition_edge,38,1,38,703
2092_holdout,transition_edge,39,2,78,1482
2092_holdout,transition_edge,40,2,80,1560
2092_holdout,transition_edge,41,4,164,3280
2092_holdout,transition_edge,42,1,42,861
2092_holdout,transition_edge,43,1,43,903
2092_holdout,transition_edge,45,1,45,990
2092_holdout,transition_edge,46,3,138,3105
2092_holdout,transition_edge,47,1,47,1081
2092_holdout,transition_edge,49,2,98,2352
2092_holdout,transition_edge,50,1,50,1225
2092_holdout,transition_edge,56,2,112,3080
2092_holdout,transition_edge,57,2,114,3192
2092_holdout,transition_edge,58,1,58,1653
2092_holdout,transition_edge,60,1,60,1770
2092_holdout,transition_edge,61,1,61,1830
2092_holdout,transition_edge,64,1,64,2016
2092_holdout,transition_edge,68,2,136,4556
2092_holdout,transition_edge,69,1,69,2346
2092_holdout,transition_edge,72,1,72,2556
2092_holdout,two_step_path,1,1229,1229,0
2092_holdout,two_step_path,2,350,700,350
2092_holdout,two_step_path,3,125,375,375
2092_holdout,two_step_path,4,69,276,414
2092_holdout,two_step_path,5,40,200,400
2092_holdout,two_step_path,6,38,228,570
2092_holdout,two_step_path,7,19,133,399
2092_holdout,two_step_path,8,11,88,308
2092_holdout,two_step_path,9,18,162,648
2092_holdout,two_step_path,10,18,180,810
2092_holdout,two_step_path,11,9,99,495
2092_holdout,two_step_path,12,9,108,594
2092_holdout,two_step_path,13,7,91,546
2092_holdout,two_step_path,14,3,42,273
2092_holdout,two_step_path,15,9,135,945
2092_holdout,two_step_path,16,2,32,240
2092_holdout,two_step_path,17,3,51,408
2092_holdout,two_step_path,18,3,54,459
2092_holdout,two_step_path,19,1,19,171
2092_holdout,two_step_path,21,2,42,420
2092_holdout,two_step_path,22,1,22,231
2092_holdout,two_step_path,23,4,92,1012
2092_holdout,two_step_path,24,2,48,552
2092_holdout,two_step_path,25,1,25,300
2092_holdout,two_step_path,26,1,26,325
2092_holdout,two_step_path,27,1,27,351
2092_holdout,two_step_path,28,4,112,1512
2092_holdout,two_step_path,29,1,29,406
2092_holdout,two_step_path,32,1,32,496
2092_holdout,two_step_path,33,3,99,1584
2092_holdout,two_step_path,35,1,35,595
2092_holdout,two_step_path,37,1,37,666
