dataset,previous_gap,predictions,conditional_history_known,conditional_history_known_share,conditional_mean_percentile_score,global_mean_percentile_score,relation_mean_percentile_score,conditional_minus_global_mean,conditional_minus_relation_mean,conditional_better_than_global,conditional_equal_to_global,conditional_worse_than_global,conditional_global_nontie_win_share,conditional_better_than_relation,conditional_equal_to_relation,conditional_worse_than_relation
2091_basis,23,9,8,0.8888888888888888,0.5330680955680955,0.8183007183007183,0.47830873455873457,-0.28523262273262273,0.054759361009361,2,0,7,0.2222222222222222,3,4,2
2091_basis,24,7,5,0.7142857142857143,0.5516186516186516,0.8296934296934297,0.5381296524153667,-0.27807477807477804,0.013488999203284946,0,0,7,0.0,4,1,2
2091_basis,25,14,7,0.5,0.5133001918716205,0.6042974882260597,0.48097454793883365,-0.09099729635443922,0.032325643932786766,5,0,9,0.35714285714285715,8,1,5
2091_basis,26,8,6,0.75,0.5367883852258852,0.6985284391534391,0.47924488705738705,-0.1617400539275539,0.057543498168498186,2,0,6,0.25,3,2,3
2091_basis,27,8,5,0.625,0.47478813083253874,0.6815632709958368,0.4806483403317285,-0.20677514016329807,-0.00586020949918975,2,1,5,0.2857142857142857,3,2,3
2091_basis,28,6,3,0.5,0.4839331234068076,0.851159281751387,0.4816761789623632,-0.3672261583445794,0.0022569444444444455,1,0,5,0.16666666666666666,3,2,1
2091_basis,29,5,2,0.4,0.48878787878787877,0.7192724234829498,0.5835588972431077,-0.23048454469507101,-0.09477101845522895,1,0,4,0.2,3,1,1
2091_basis,30,2,0,0.0,0.5,0.763888888888889,0.4791666666666667,-0.26388888888888895,0.020833333333333315,0,0,2,0.0,2,0,0
2091_basis,31,1,0,0.0,0.5,0.46875,0.484375,0.03125,0.015625,1,0,0,1.0,1,0,0
2091_basis,32,5,1,0.2,0.4954545454545455,0.6774684774684775,0.47947345447345446,-0.182013932013932,0.015981090981090972,1,0,4,0.2,4,1,0
2091_basis,33,1,0,0.0,0.5,0.875,0.484375,-0.375,0.015625,0,0,1,0.0,1,0,0
2091_basis,34,1,0,0.0,0.5,0.85,0.48750000000000004,-0.35,0.012499999999999956,0,0,1,0.0,1,0,0
2091_basis,35,2,0,0.0,0.5,0.7501732501732502,0.48683298683298687,-0.2501732501732502,0.01316701316701313,0,0,2,0.0,2,0,0
2091_basis,36,1,0,0.0,0.5,0.7692307692307692,0.4871794871794872,-0.26923076923076916,0.012820512820512775,0,0,1,0.0,1,0,0
2091_basis,37,1,0,0.0,0.5,0.9333333333333333,0.9777777777777777,-0.43333333333333335,-0.47777777777777775,0,0,1,0.0,0,0,1
2091_basis,38,1,0,0.0,0.5,1.0,0.484375,-0.5,0.015625,0,0,1,0.0,1,0,0
2091_basis,39,1,0,0.0,0.5,0.9189189189189189,0.4864864864864865,-0.41891891891891886,0.013513513513513487,0,0,1,0.0,1,0,0
2091_basis,40,1,0,0.0,0.5,0.9285714285714286,0.48809523809523814,-0.4285714285714286,0.011904761904761862,0,0,1,0.0,1,0,0
2091_basis,42,2,0,0.0,0.5,1.0,0.4871794871794872,-0.5,0.012820512820512775,0,0,2,0.0,2,0,0
2091_basis,43,1,0,0.0,0.5,0.8947368421052632,0.48684210526315785,-0.39473684210526316,0.013157894736842146,0,0,1,0.0,1,0,0
2091_basis,56,1,0,0.0,0.5,1.0,0.48958333333333337,-0.5,0.01041666666666663,0,0,1,0.0,1,0,0
2092_holdout,1,1733,1724,0.9948066935949221,0.8967967593914606,0.8952492858040207,0.8185460647644759,0.0015474735874399926,0.07825069462698475,93,1513,127,0.42272727272727273,630,899,204
2092_holdout,2,886,882,0.9954853273137697,0.8706824164454319,0.8740167045573743,0.7795941830230301,-0.0033342881119425034,0.09108823342240183,113,644,129,0.4669421487603306,402,279,205
2092_holdout,3,506,501,0.9901185770750988,0.8636677371413294,0.8595287789286479,0.7392698764704843,0.004138958212681463,0.12439786067084513,106,275,125,0.4588744588744589,276,101,129
2092_holdout,4,359,355,0.9888579387186629,0.818792006945295,0.8305721475602389,0.6773490336671927,-0.011780140614943887,0.14144297327810232,60,216,83,0.4195804195804196,221,55,83
2092_holdout,5,226,223,0.9867256637168141,0.7957869028232478,0.7995995864086216,0.6680647300197688,-0.003812683585373836,0.12772217280347897,47,114,65,0.41964285714285715,121,25,80
2092_holdout,6,240,232,0.9666666666666667,0.7923223801138494,0.8066926961791855,0.6719751103858461,-0.014370316065336099,0.12034726972800325,54,103,83,0.39416058394160586,140,17,83
2092_holdout,7,150,149,0.9933333333333333,0.8102206791520531,0.8536588221804977,0.6106426398291475,-0.04343814302844459,0.19957803932290563,28,53,69,0.28865979381443296,93,14,43
2092_holdout,8,127,125,0.984251968503937,0.7875973846093965,0.8252822363401028,0.6144506923658046,-0.037684851730706286,0.17314669224359194,24,37,66,0.26666666666666666,77,22,28
2092_holdout,9,99,91,0.9191919191919192,0.7577105850010355,0.797037076035857,0.5792837660159718,-0.039326491034821595,0.17842681898506374,22,10,67,0.24719101123595505,69,2,28
2092_holdout,10,81,80,0.9876543209876543,0.7876940184708856,0.853957023507852,0.5590988909589039,-0.06626300503696636,0.22859512751198172,22,27,32,0.4074074074074074,51,7,23
2092_holdout,11,67,65,0.9701492537313433,0.738441884460996,0.8308396948485418,0.5168633876792117,-0.0923978103875458,0.22157849678178426,17,8,42,0.288135593220339,45,3,19
2092_holdout,12,52,50,0.9615384615384616,0.6627822710562329,0.8224912395816624,0.5276212267835699,-0.15970896852542948,0.1351610442726629,12,11,29,0.2926829268292683,29,5,18
2092_holdout,13,44,41,0.9318181818181818,0.7309954257336857,0.8325262853889782,0.5547064086849703,-0.10153085965529252,0.17628901704871533,11,0,33,0.25,25,1,18
2092_holdout,14,44,43,0.9772727272727273,0.7023139633058575,0.8135572804745064,0.5427167898188641,-0.11124331716864881,0.1595971734869935,10,5,29,0.2564102564102564,24,3,17
2092_holdout,15,31,26,0.8387096774193549,0.6396716712578969,0.7279842681944368,0.5131128755172554,-0.08831259693653996,0.12655879574064158,10,2,19,0.3448275862068966,20,0,11
2092_holdout,16,35,30,0.8571428571428571,0.6940721994181613,0.7585007598128127,0.5736623225719921,-0.06442856039465147,0.12040987684616915,16,1,18,0.47058823529411764,21,2,12
2092_holdout,17,14,11,0.7857142857142857,0.5237896613718982,0.8093631225210173,0.5365389355520934,-0.2855734611491191,-0.012749274180195225,2,0,12,0.14285714285714285,4,1,9
2092_holdout,18,37,34,0.918918918918919,0.6507173699606287,0.78975958827301,0.5213075970149476,-0.1390422183123812,0.12940977294568112,14,1,22,0.3888888888888889,18,3,16
2092_holdout,19,14,11,0.7857142857142857,0.5226230694980695,0.7511364018283256,0.47708063423807523,-0.2285133323302561,0.04554243525999425,2,0,12,0.14285714285714285,7,6,1
2092_holdout,20,8,7,0.875,0.5321563007134695,0.7999776140542928,0.4727908282439816,-0.2678213133408233,0.059365472469487895,1,0,7,0.125,4,1,3
2092_holdout,21,14,13,0.9285714285714286,0.4966020509662751,0.7695283070124601,0.46934371726144036,-0.27292625604618503,0.027258333704834707,0,0,14,0.0,5,3,6
2092_holdout,22,11,9,0.8181818181818182,0.7086375929682218,0.8606802889323394,0.5187632362052504,-0.1520426959641176,0.18987435676297126,5,0,6,0.45454545454545453,8,1,2
2092_holdout,23,5,4,0.8,0.5798635057471264,0.8831498673740054,0.5590461980548187,-0.3032863616268789,0.020817307692307697,1,0,4,0.2,4,0,1
2092_holdout,24,6,2,0.3333333333333333,0.4880028735632184,0.7193854995579133,0.46539566755084,-0.23138262599469495,0.022607206012378422,1,0,5,0.16666666666666666,4,0,2
2092_holdout,25,2,1,0.5,0.49375,0.9364864864864866,0.4739864864864865,-0.4427364864864865,0.01976351351351352,0,0,2,0.0,2,0,0
2092_holdout,26,5,3,0.6,0.4845945945945946,0.7393336439888164,0.4686416589002796,-0.2547390493942218,0.015952935694314996,1,0,4,0.2,4,0,1
2092_holdout,27,7,3,0.42857142857142855,0.6281954887218045,0.8149038461538461,0.48467511498526533,-0.18670835743204167,0.14352037373653914,1,2,4,0.2,6,0,1
2092_holdout,28,5,4,0.8,0.49000000000000005,0.8945945945945946,0.4872972972972973,-0.40459459459459457,0.002702702702702697,0,0,5,0.0,1,4,0
2092_holdout,29,3,1,0.3333333333333333,0.6617647058823529,0.9589460784313726,0.4693627450980392,-0.2971813725490196,0.19240196078431374,1,0,2,0.3333333333333333,3,0,0
2092_holdout,30,2,0,0.0,0.5,0.29940318302387264,0.47214854111405835,0.20059681697612736,0.02785145888594165,2,0,0,1.0,2,0,0
2092_holdout,31,3,2,0.6666666666666666,0.489044540229885,0.7205459770114943,0.6551724137931034,-0.2315014367816092,-0.16612787356321837,1,0,2,0.3333333333333333,1,1,1
2092_holdout,32,4,3,0.75,0.6112119932432433,0.9427927927927928,0.48229870495495497,-0.33158079954954955,0.12891328828828832,0,0,4,0.0,2,1,1
2092_holdout,33,1,0,0.0,0.5,0.95,0.475,-0.44999999999999996,0.025000000000000022,0,0,1,0.0,1,0,0
2092_holdout,35,2,1,0.5,0.49375,0.9355263157894737,0.48717105263157895,-0.44177631578947363,0.006578947368421073,0,0,2,0.0,1,1,0
2092_holdout,36,1,0,0.0,0.5,0.9,0.48750000000000004,-0.4,0.012499999999999956,0,0,1,0.0,1,0,0
2092_holdout,37,2,0,0.0,0.5,0.8458614864864865,0.48543074324324326,-0.3458614864864865,0.014569256756756743,0,0,2,0.0,2,0,0
2092_holdout,41,1,0,0.0,0.5,0.7777777777777778,0.48611111111111116,-0.2777777777777778,0.01388888888888884,0,0,1,0.0,1,0,0
2092_holdout,47,1,0,0.0,0.5,0.9,0.48750000000000004,-0.4,0.012499999999999956,0,0,1,0.0,1,0,0
