symbol_family,candidate_class,present_in,same_field,same_reifung,xrp_events,multi_events,xrp_field,multi_field,xrp_reifung,multi_reifung,xrp_mcm,multi_mcm
dio_06s7,robuste_feldsyntax,xrp_and_multi,1,1,342,604,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.566/0.122/0.730,0.594/0.145/0.736
dio_1kpz,robuste_feldsyntax,xrp_and_multi,1,1,290,601,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.564/0.120/0.730,0.595/0.145/0.737
dio_02n3,robuste_feldsyntax,xrp_and_multi,1,1,138,590,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.556/0.112/0.730,0.593/0.138/0.741
dio_0pz6,robuste_feldsyntax,xrp_and_multi,1,1,586,486,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.572/0.132/0.730,0.592/0.152/0.733
dio_1lsu,robuste_feldsyntax,xrp_and_multi,1,1,566,527,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.155/0.712,0.576/0.172/0.719
dio_06er,robuste_feldsyntax,xrp_and_multi,1,1,370,565,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.574/0.120/0.736,0.597/0.143/0.741
dio_17ct,robuste_feldsyntax,xrp_and_multi,1,1,550,349,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.560/0.150/0.717,0.578/0.167/0.722
dio_0obq,robuste_feldsyntax,xrp_and_multi,1,1,542,149,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.542/0.161/0.706,0.550/0.178/0.707
dio_1q85,robuste_feldsyntax,xrp_and_multi,1,1,526,276,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.161/0.709,0.568/0.179/0.712
dio_1fll,robuste_feldsyntax,xrp_and_multi,1,1,282,501,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.576/0.109/0.741,0.599/0.131/0.747
dio_0tay,robuste_feldsyntax,xrp_and_multi,1,1,470,334,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.562/0.141/0.721,0.581/0.163/0.725
dio_03uk,robuste_feldsyntax,xrp_and_multi,1,1,178,464,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.485/0.221/0.658,0.591/0.146/0.736
dio_01hu,robuste_feldsyntax,xrp_and_multi,1,1,234,450,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.553/0.134/0.721,0.581/0.155/0.730
dio_09bn,robuste_feldsyntax,xrp_and_multi,1,1,444,283,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.568/0.129/0.729,0.586/0.149/0.733
dio_1jc2,robuste_feldsyntax,xrp_and_multi,1,1,308,390,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.568/0.113/0.733,0.597/0.137/0.740
dio_0kx9,robuste_feldsyntax,xrp_and_multi,1,1,234,380,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.565/0.113/0.732,0.596/0.137/0.740
dio_0g2r,robuste_feldsyntax,xrp_and_multi,1,1,354,138,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.548/0.149/0.710,0.558/0.168/0.709
dio_19pg,robuste_feldsyntax,xrp_and_multi,1,1,352,215,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.545/0.158/0.703,0.562/0.179/0.706
dio_1r55,robuste_feldsyntax,xrp_and_multi,1,1,278,349,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.545/0.149/0.713,0.572/0.168/0.722
dio_1gp2,robuste_feldsyntax,xrp_and_multi,1,1,330,171,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.549/0.150/0.709,0.562/0.169/0.709
dio_1492,robuste_feldsyntax,xrp_and_multi,1,1,218,300,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.566/0.115/0.733,0.594/0.140/0.739
dio_0jkk,robuste_feldsyntax,xrp_and_multi,1,1,294,94,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.525/0.185/0.685,0.532/0.196/0.685
dio_0nlj,robuste_feldsyntax,xrp_and_multi,1,1,248,292,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.568/0.114/0.735,0.594/0.139/0.740
dio_04uf,robuste_feldsyntax,xrp_and_multi,1,1,290,163,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.536/0.171/0.696,0.555/0.185/0.701
dio_05yg,robuste_feldsyntax,xrp_and_multi,1,1,290,147,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.530/0.181/0.689,0.545/0.196/0.691
dio_1u5i,robuste_feldsyntax,xrp_and_multi,1,1,286,162,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.556/0.129/0.721,0.570/0.149/0.723
dio_0z9t,robuste_feldsyntax,xrp_and_multi,1,1,282,157,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.549/0.150/0.714,0.564/0.167/0.718
dio_0fe7,robuste_feldsyntax,xrp_and_multi,1,1,254,83,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.547/0.139/0.715,0.550/0.155/0.712
dio_06qi,robuste_feldsyntax,xrp_and_multi,1,1,248,125,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.549/0.143/0.717,0.563/0.158/0.718
dio_10dv,robuste_feldsyntax,xrp_and_multi,1,1,248,168,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.553/0.139/0.722,0.569/0.157/0.725
dio_18v0,robuste_feldsyntax,xrp_and_multi,1,1,238,56,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.516/0.183/0.687,0.506/0.198/0.679
dio_1tiu,robuste_feldsyntax,xrp_and_multi,1,1,236,216,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.561/0.125/0.729,0.585/0.146/0.736
dio_06jk,robuste_feldsyntax,xrp_and_multi,1,1,226,149,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.538/0.153/0.708,0.558/0.170/0.715
dio_1772,robuste_feldsyntax,xrp_and_multi,1,1,222,63,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.525/0.170/0.694,0.526/0.182/0.690
dio_12fw,robuste_feldsyntax,xrp_and_multi,1,1,218,90,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.171/0.691,0.536/0.187/0.690
dio_1xrt,robuste_feldsyntax,xrp_and_multi,1,1,218,85,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.545/0.139/0.714,0.550/0.158/0.712
dio_07uk,robuste_feldsyntax,xrp_and_multi,1,1,216,198,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.139/0.719,0.576/0.159/0.725
dio_1uof,robuste_feldsyntax,xrp_and_multi,1,1,212,200,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.544/0.143/0.708,0.571/0.163/0.714
dio_1v2w,robuste_feldsyntax,xrp_and_multi,1,1,210,95,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.177/0.684,0.529/0.191/0.681
dio_1o4z,robuste_feldsyntax,xrp_and_multi,1,1,206,145,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.542/0.150/0.706,0.562/0.168/0.710
dio_05ap,robuste_feldsyntax,xrp_and_multi,1,1,130,196,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.558/0.110/0.735,0.590/0.136/0.741
dio_0fl2,robuste_feldsyntax,xrp_and_multi,1,1,194,146,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.559/0.121/0.730,0.577/0.142/0.734
dio_0jsd,robuste_feldsyntax,xrp_and_multi,1,1,192,24,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.511/0.192/0.681,0.469/0.205/0.657
dio_0ioc,robuste_feldsyntax,xrp_and_multi,1,1,184,6,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.518/0.178/0.689,0.438/0.200/0.646
dio_0ly7,robuste_feldsyntax,xrp_and_multi,1,1,146,176,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.561/0.111/0.734,0.589/0.134/0.741
dio_0oc3,robuste_feldsyntax,xrp_and_multi,1,1,72,175,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.501/0.166/0.688,0.546/0.189/0.700
dio_1350,robuste_feldsyntax,xrp_and_multi,1,1,120,172,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.546/0.125/0.722,0.580/0.149/0.730
dio_087m,robuste_feldsyntax,xrp_and_multi,1,1,168,86,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.559/0.118/0.730,0.569/0.138/0.730
dio_0pq6,robuste_feldsyntax,xrp_and_multi,1,1,168,95,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.539/0.148/0.706,0.548/0.165/0.705
dio_0lsd,robuste_feldsyntax,xrp_and_multi,1,1,154,50,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.522/0.168/0.691,0.520/0.174/0.688
dio_07o8,robuste_feldsyntax,xrp_and_multi,1,1,152,38,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.525/0.158/0.699,0.509/0.169/0.691
dio_02xf,robuste_feldsyntax,xrp_and_multi,1,1,70,150,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.518/0.146/0.696,0.561/0.170/0.707
dio_169a,robuste_feldsyntax,xrp_and_multi,1,1,140,103,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.517/0.170/0.693,0.537/0.190/0.695
dio_0pxr,robuste_feldsyntax,xrp_and_multi,1,1,138,72,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.522/0.167/0.692,0.534/0.181/0.692
dio_0jqc,robuste_feldsyntax,xrp_and_multi,1,1,136,122,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.545/0.136/0.720,0.561/0.153/0.722
dio_0n0i,robuste_feldsyntax,xrp_and_multi,1,1,136,129,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.563/0.106/0.736,0.587/0.128/0.740
dio_1mwv,robuste_feldsyntax,xrp_and_multi,1,1,134,73,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.541/0.140/0.715,0.554/0.155/0.715
dio_17db,robuste_feldsyntax,xrp_and_multi,1,1,110,133,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.507/0.181/0.683,0.534/0.204/0.686
dio_161t,robuste_feldsyntax,xrp_and_multi,1,1,132,126,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.533/0.148/0.710,0.552/0.163/0.716
dio_13o0,robuste_feldsyntax,xrp_and_multi,1,1,104,127,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.555/0.106/0.732,0.586/0.128/0.740
dio_0om4,robuste_feldsyntax,xrp_and_multi,1,1,126,68,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.546/0.129/0.719,0.553/0.146/0.715
dio_17dc,robuste_feldsyntax,xrp_and_multi,1,1,120,78,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.531/0.145/0.708,0.548/0.162/0.710
dio_1sub,robuste_feldsyntax,xrp_and_multi,1,1,118,29,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.495/0.194/0.673,0.478/0.207/0.659
dio_0gh3,robuste_feldsyntax,xrp_and_multi,1,1,116,14,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.515/0.167/0.695,0.472/0.176/0.676
dio_1cic,robuste_feldsyntax,xrp_and_multi,1,1,106,116,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.535/0.133/0.713,0.560/0.157/0.715
dio_0qqg,robuste_feldsyntax,xrp_and_multi,1,1,28,113,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.482/0.157/0.686,0.523/0.166/0.701
dio_08l0,robuste_feldsyntax,xrp_and_multi,1,1,62,112,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.519/0.142/0.700,0.556/0.164/0.709
dio_0klp,robuste_feldsyntax,xrp_and_multi,1,1,112,38,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.500/0.200/0.665,0.487/0.205/0.658
dio_18kx,robuste_feldsyntax,xrp_and_multi,1,1,108,54,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.543/0.130/0.716,0.547/0.143/0.714
dio_1oc2,robuste_feldsyntax,xrp_and_multi,1,1,108,39,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.529/0.151/0.703,0.526/0.160/0.699
dio_1mjc,robuste_feldsyntax,xrp_and_multi,1,1,68,99,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.540/0.116/0.722,0.570/0.134/0.732
dio_0jmo,robuste_feldsyntax,xrp_and_multi,1,1,98,55,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.440/0.218/0.644,0.473/0.217/0.656
dio_0v65,robuste_feldsyntax,xrp_and_multi,1,1,98,74,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.536/0.129/0.712,0.555/0.146/0.715
dio_14d9,robuste_feldsyntax,xrp_and_multi,1,1,98,66,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.147/0.703,0.543/0.164/0.705
dio_1sa0,robuste_feldsyntax,xrp_and_multi,1,1,98,39,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.532/0.153/0.703,0.528/0.159/0.700
dio_1nmh,robuste_feldsyntax,xrp_and_multi,1,1,36,97,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.477/0.168/0.681,0.534/0.175/0.705
dio_1o0u,robuste_feldsyntax,xrp_and_multi,1,1,32,90,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.491/0.158/0.688,0.542/0.176/0.703
dio_18po,robuste_feldsyntax,xrp_and_multi,1,1,88,3,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.493/0.182/0.680,0.422/0.194/0.645
dio_1i76,robuste_feldsyntax,xrp_and_multi,1,1,88,28,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.508/0.170/0.690,0.497/0.180/0.683
dio_05mh,robuste_feldsyntax,xrp_and_multi,1,1,86,29,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.523/0.146/0.705,0.518/0.152/0.702
dio_0g3b,robuste_feldsyntax,xrp_and_multi,1,1,74,86,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.102/0.734,0.577/0.123/0.739
dio_1ygx,robuste_feldsyntax,xrp_and_multi,1,1,60,86,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.545/0.102/0.733,0.577/0.123/0.740
dio_1wdi,robuste_feldsyntax,xrp_and_multi,1,1,66,85,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.528/0.122/0.713,0.559/0.139/0.721
dio_0nx9,robuste_feldsyntax,xrp_and_multi,1,1,84,26,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.498/0.172/0.688,0.479/0.180/0.680
dio_0dzv,robuste_feldsyntax,xrp_and_multi,1,1,82,12,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.546/0.116/0.727,0.498/0.132/0.703
dio_1t9l,robuste_feldsyntax,xrp_and_multi,1,1,82,6,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.494/0.192/0.672,0.424/0.216/0.635
dio_0ein,robuste_feldsyntax,xrp_and_multi,1,1,80,69,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.530/0.130/0.710,0.553/0.145/0.715
dio_1rqi,robuste_feldsyntax,xrp_and_multi,1,1,80,53,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.542/0.119/0.723,0.555/0.136/0.727
dio_1j37,robuste_feldsyntax,xrp_and_multi,1,1,22,76,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.495/0.133/0.696,0.552/0.151/0.712
dio_0ahb,robuste_feldsyntax,xrp_and_multi,1,1,74,45,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.510/0.164/0.684,0.514/0.175/0.684
dio_0f4r,robuste_feldsyntax,xrp_and_multi,1,1,74,23,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.528/0.140/0.711,0.521/0.143/0.707
dio_0une,robuste_feldsyntax,xrp_and_multi,1,1,74,24,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.543/0.117/0.726,0.529/0.131/0.714
dio_13it,robuste_feldsyntax,xrp_and_multi,1,1,74,19,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.466/0.203/0.647,0.446/0.215/0.633
dio_17qz,robuste_feldsyntax,xrp_and_multi,1,1,74,26,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.495/0.174/0.685,0.490/0.180/0.677
dio_1ba6,robuste_feldsyntax,xrp_and_multi,1,1,72,74,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.532/0.121/0.716,0.555/0.136/0.720
dio_0h6t,robuste_feldsyntax,xrp_and_multi,1,1,72,27,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.525/0.136/0.706,0.519/0.144/0.701
dio_02x1,robuste_feldsyntax,xrp_and_multi,1,1,70,17,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.508/0.161/0.690,0.489/0.164/0.680
dio_1b3m,robuste_feldsyntax,xrp_and_multi,1,1,70,34,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.507/0.168/0.682,0.504/0.174/0.678
dio_1w94,robuste_feldsyntax,xrp_and_multi,1,1,70,33,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.136/0.706,0.521/0.145/0.700
dio_0gaw,robuste_feldsyntax,xrp_and_multi,1,1,68,45,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.484/0.189/0.674,0.497/0.195/0.678
dio_0jho,robuste_feldsyntax,xrp_and_multi,1,1,68,35,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.494/0.190/0.668,0.498/0.193/0.670
dio_1rcm,robuste_feldsyntax,xrp_and_multi,1,1,50,68,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.497/0.166/0.686,0.526/0.183/0.693
dio_0trm,robuste_feldsyntax,xrp_and_multi,1,1,66,37,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.432/0.219/0.642,0.443/0.220/0.651
dio_0kd6,robuste_feldsyntax,xrp_and_multi,1,1,46,63,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.517/0.130/0.711,0.546/0.147/0.719
dio_1aeg,robuste_feldsyntax,xrp_and_multi,1,1,30,63,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.494/0.156/0.692,0.537/0.172/0.703
dio_0s8r,robuste_feldsyntax,xrp_and_multi,1,1,62,4,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.494/0.171/0.685,0.436/0.184/0.660
dio_1q2r,robuste_feldsyntax,xrp_and_multi,1,1,62,28,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.141/0.709,0.541/0.147/0.710
dio_1xme,robuste_feldsyntax,xrp_and_multi,1,1,60,19,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.496/0.170/0.687,0.462/0.188/0.668
dio_00pl,robuste_feldsyntax,xrp_and_multi,1,1,12,59,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.478/0.138/0.693,0.543/0.151/0.710
dio_1ejq,robuste_feldsyntax,xrp_and_multi,1,1,58,11,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.503/0.169/0.690,0.473/0.183/0.678
dio_02vn,robuste_feldsyntax,xrp_and_multi,1,1,56,16,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.491/0.181/0.668,0.472/0.189/0.656
dio_0z3k,robuste_feldsyntax,xrp_and_multi,1,1,56,29,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.526/0.136/0.711,0.532/0.140/0.713
dio_110p,robuste_feldsyntax,xrp_and_multi,1,1,40,56,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.516/0.127/0.710,0.535/0.142/0.716
dio_0ssi,robuste_feldsyntax,xrp_and_multi,1,1,54,36,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.506/0.163/0.689,0.515/0.172/0.691
dio_104d,robuste_feldsyntax,xrp_and_multi,1,1,54,3,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.479/0.200/0.662,0.408/0.218/0.625
