dataset,gap_ticks,scope,directed_pairs,syntax_changed_pairs,syntax_changed_pair_share,syntax_different_ticks_total,syntax_boundary_differences_total,syntax_node_set_differences_total,syntax_edge_set_differences_total,order_changed_pairs,order_changed_pair_share,minimum_order_different_ticks,median_order_different_ticks,mean_order_different_ticks,maximum_order_different_ticks,median_order_last_difference_tick,maximum_order_last_difference_tick,mean_rank_pair_disagreements_when_changed,maximum_rank_pair_disagreements,order_boundary_differences_total,order_node_set_differences_total,order_edge_set_differences_total,order_edge_observation_differences_total,first_signature_order_duration_correlation,uses_existing_dio_syntax,activation_order_threshold,field_learning_used,memory_read,memory_written,influences_action
2092_holdout,2,reverse,54,0,0.0,0,0,0,0,54,1.0,2,6.5,6.296296296296297,11,21.0,55,1.2319664902998237,5,46,67,570,1022,0.0016058939649592195,1,0,0,0,0,0
2092_holdout,4,all,108,0,0.0,0,0,0,0,108,1.0,1,5.0,5.324074074074074,11,19.0,55,1.2106384613329058,5,79,136,1006,1771,-0.05024387112618267,1,0,0,0,0,0
2092_holdout,4,forward,54,0,0.0,0,0,0,0,54,1.0,1,5.0,5.185185185185185,11,19.0,55,1.2022413286302176,4,34,68,492,868,-0.07799458743803951,1,0,0,0,0,0
2092_holdout,4,reverse,54,0,0.0,0,0,0,0,54,1.0,1,5.0,5.462962962962963,11,19.0,47,1.219035594035594,5,45,68,514,903,-0.017087913231510876,1,0,0,0,0,0
2092_holdout,8,all,108,0,0.0,0,0,0,0,105,0.9722222222222222,0,4.0,3.740740740740741,8,16.0,55,1.1694664902998235,4,50,106,750,1282,0.036034623921207126,1,0,0,0,0,0
2092_holdout,8,forward,54,0,0.0,0,0,0,0,52,0.9629629629629629,0,4.0,3.7777777777777777,8,16.0,55,1.1639329805996472,4,23,53,377,649,0.003766827289002366,1,0,0,0,0,0
2092_holdout,8,reverse,54,0,0.0,0,0,0,0,53,0.9814814814814815,0,4.0,3.7037037037037037,7,15.5,35,1.175,4,27,53,373,633,0.06719639557190699,1,0,0,0,0,0
2092_holdout,16,all,108,0,0.0,0,0,0,0,88,0.8148148148148148,0,2.0,1.6574074074074074,5,7.5,35,0.874537037037037,2,26,66,377,608,0.0792920630744559,1,0,0,0,0,0
2092_holdout,16,forward,54,0,0.0,0,0,0,0,45,0.8333333333333334,0,1.5,1.6666666666666667,5,7.5,27,0.8895061728395062,2,15,32,182,301,0.13937065541697413,1,0,0,0,0,0
2092_holdout,16,reverse,54,0,0.0,0,0,0,0,43,0.7962962962962963,0,2.0,1.6481481481481481,4,7.5,35,0.8595679012345679,2,11,34,195,307,0.02501195908865278,1,0,0,0,0,0
2092_holdout,32,all,108,0,0.0,0,0,0,0,27,0.25,0,0.0,0.26851851851851855,2,0.0,25,0.25,1,5,16,71,105,-0.020525165333971297,1,0,0,0,0,0
2092_holdout,32,forward,54,0,0.0,0,0,0,0,11,0.2037037037037037,0,0.0,0.2222222222222222,2,0.0,21,0.2037037037037037,1,2,8,32,44,-0.014337225323026998,1,0,0,0,0,0
2092_holdout,32,reverse,54,0,0.0,0,0,0,0,16,0.2962962962962963,0,0.0,0.3148148148148148,2,0.0,25,0.2962962962962963,1,3,8,39,61,-0.015787711703344396,1,0,0,0,0,0
2092_holdout,64,all,108,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0
2092_holdout,64,forward,54,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0
2092_holdout,64,reverse,54,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0
