sequence,position,pareto_depth,relations,strict_core_relations
forward,81,26,10,1
forward,81,27,13,0
forward,81,28,6,0
forward,81,29,8,0
forward,81,30,10,0
forward,81,31,9,1
forward,81,32,16,0
forward,81,33,10,0
forward,81,34,11,0
forward,81,35,8,1
forward,81,36,10,0
forward,81,37,9,0
forward,81,38,8,0
forward,81,39,12,0
forward,81,40,14,0
forward,81,41,11,0
forward,81,42,13,0
forward,81,43,12,0
forward,81,44,7,0
forward,81,45,11,0
forward,81,46,8,0
forward,81,47,10,0
forward,81,48,15,0
forward,81,49,10,0
forward,81,50,12,0
forward,81,51,17,0
forward,81,52,12,0
forward,81,53,13,0
forward,81,54,12,0
forward,81,55,10,0
forward,81,56,13,0
forward,81,57,12,0
forward,81,58,23,0
forward,81,59,13,0
forward,81,60,17,0
forward,81,61,19,0
forward,81,62,20,0
forward,81,63,25,0
forward,81,64,9,0
forward,81,65,39,0
forward,81,66,10,0
forward,81,67,26,0
forward,81,68,30,0
forward,81,69,59,0
forward,81,70,42,0
forward,81,71,26,0
forward,81,72,79,0
forward,81,73,46,0
forward,81,74,33,0
forward,81,75,219,0
forward,81,76,93,0
forward,81,77,697,0
reverse,10,1,1,1
reverse,10,2,1,1
reverse,10,3,3,2
reverse,10,4,4,3
reverse,10,5,1,0
reverse,10,6,2,1
reverse,10,7,5,1
reverse,10,8,1,0
reverse,10,9,2,2
reverse,10,10,1,0
reverse,10,11,2,1
reverse,10,12,3,2
reverse,10,13,1,0
reverse,10,14,3,0
reverse,10,15,3,0
reverse,10,16,3,1
reverse,10,17,9,2
reverse,10,18,6,0
reverse,10,19,9,3
reverse,10,20,8,2
reverse,10,21,25,1
reverse,10,22,14,0
reverse,10,23,83,1
reverse,20,1,1,1
reverse,20,2,3,2
reverse,20,3,3,1
reverse,20,4,2,1
reverse,20,5,4,0
reverse,20,6,4,3
reverse,20,7,3,1
reverse,20,8,8,5
reverse,20,9,3,0
reverse,20,10,4,0
reverse,20,11,5,0
reverse,20,12,3,1
reverse,20,13,4,0
reverse,20,14,4,2
reverse,20,15,3,0
reverse,20,16,4,0
reverse,20,17,7,2
reverse,20,18,4,0
reverse,20,19,5,1
reverse,20,20,5,1
reverse,20,21,7,1
reverse,20,22,11,0
reverse,20,23,6,0
reverse,20,24,6,0
reverse,20,25,7,1
reverse,20,26,12,1
reverse,20,27,8,0
reverse,20,28,7,1
reverse,20,29,21,0
reverse,20,30,13,0
reverse,20,31,9,0
reverse,20,32,41,0
reverse,20,33,36,0
reverse,20,34,158,1
reverse,40,1,2,2
reverse,40,2,3,1
reverse,40,3,6,3
reverse,40,4,4,1
reverse,40,5,2,1
reverse,40,6,4,1
reverse,40,7,6,2
reverse,40,8,5,1
reverse,40,9,6,1
reverse,40,10,3,1
reverse,40,11,3,2
reverse,40,12,6,0
reverse,40,13,4,1
reverse,40,14,6,0
reverse,40,15,5,2
reverse,40,16,5,0
reverse,40,17,5,0
reverse,40,18,9,1
reverse,40,19,5,0
reverse,40,20,6,1
reverse,40,21,6,1
reverse,40,22,9,0
reverse,40,23,9,1
reverse,40,24,9,0
reverse,40,25,9,0
reverse,40,26,7,0
reverse,40,27,8,0
reverse,40,28,5,0
reverse,40,29,9,0
reverse,40,30,8,1
reverse,40,31,12,0
reverse,40,32,6,1
reverse,40,33,5,0
reverse,40,34,9,0
reverse,40,35,6,0
reverse,40,36,5,0
reverse,40,37,10,1
reverse,40,38,8,0
reverse,40,39,5,0
reverse,40,40,7,0
reverse,40,41,10,0
reverse,40,42,8,0
reverse,40,43,8,0
reverse,40,44,26,0
reverse,40,45,8,0
reverse,40,46,14,0
reverse,40,47,30,0
reverse,40,48,25,0
reverse,40,49,25,0
reverse,40,50,43,0
reverse,40,51,18,0
reverse,40,52,21,0
reverse,40,53,72,0
reverse,40,54,42,0
reverse,40,55,331,0
reverse,60,1,2,2
reverse,60,2,3,2
reverse,60,3,4,0
reverse,60,4,4,2
reverse,60,5,5,2
reverse,60,6,3,2
reverse,60,7,5,2
reverse,60,8,7,3
reverse,60,9,6,0
reverse,60,10,3,0
reverse,60,11,8,2
reverse,60,12,8,0
reverse,60,13,8,0
reverse,60,14,6,0
reverse,60,15,8,0
reverse,60,16,10,1
reverse,60,17,12,1
reverse,60,18,8,1
reverse,60,19,9,1
reverse,60,20,8,0
reverse,60,21,13,0
reverse,60,22,12,1
reverse,60,23,10,0
reverse,60,24,8,0
reverse,60,25,9,1
reverse,60,26,7,1
reverse,60,27,12,1
reverse,60,28,11,0
reverse,60,29,9,0
reverse,60,30,11,0
reverse,60,31,8,0
reverse,60,32,9,0
reverse,60,33,10,0
reverse,60,34,6,0
reverse,60,35,7,0
reverse,60,36,6,0
reverse,60,37,7,0
reverse,60,38,7,0
reverse,60,39,11,1
reverse,60,40,7,0
reverse,60,41,8,0
reverse,60,42,10,0
reverse,60,43,6,0
reverse,60,44,10,0
reverse,60,45,5,0
reverse,60,46,9,0
reverse,60,47,10,0
reverse,60,48,12,0
reverse,60,49,11,0
reverse,60,50,10,0
reverse,60,51,14,0
reverse,60,52,20,0
reverse,60,53,18,0
reverse,60,54,13,0
reverse,60,55,24,0
reverse,60,56,17,0
reverse,60,57,18,0
reverse,60,58,32,0
reverse,60,59,36,0
reverse,60,60,27,0
reverse,60,61,57,0
reverse,60,62,28,0
reverse,60,63,28,0
reverse,60,64,126,0
reverse,60,65,89,0
reverse,60,66,596,0
reverse,81,1,2,2
reverse,81,2,3,1
reverse,81,3,3,0
reverse,81,4,5,3
reverse,81,5,2,1
reverse,81,6,4,1
reverse,81,7,7,2
reverse,81,8,5,2
reverse,81,9,6,3
reverse,81,10,10,2
reverse,81,11,6,0
reverse,81,12,5,0
reverse,81,13,9,0
reverse,81,14,9,1
reverse,81,15,10,0
reverse,81,16,11,0
reverse,81,17,9,1
reverse,81,18,11,0
reverse,81,19,10,1
reverse,81,20,8,0
reverse,81,21,10,0
reverse,81,22,12,3
reverse,81,23,10,0
reverse,81,24,15,1
reverse,81,25,10,0
reverse,81,26,9,0
reverse,81,27,9,0
reverse,81,28,13,0
reverse,81,29,13,0
reverse,81,30,8,0
reverse,81,31,9,1
reverse,81,32,7,0
reverse,81,33,13,0
reverse,81,34,11,0
reverse,81,35,11,1
reverse,81,36,13,0
reverse,81,37,11,0
reverse,81,38,12,0
reverse,81,39,12,0
reverse,81,40,9,0
reverse,81,41,8,0
reverse,81,42,14,0
reverse,81,43,10,0
reverse,81,44,13,0
reverse,81,45,7,0
reverse,81,46,9,0
reverse,81,47,10,0
reverse,81,48,12,0
reverse,81,49,15,0
reverse,81,50,11,0
reverse,81,51,10,0
reverse,81,52,13,0
reverse,81,53,11,0
reverse,81,54,11,0
reverse,81,55,11,0
reverse,81,56,18,0
reverse,81,57,10,0
reverse,81,58,16,0
reverse,81,59,13,0
reverse,81,60,24,0
reverse,81,61,20,0
reverse,81,62,17,0
reverse,81,63,25,0
reverse,81,64,34,0
reverse,81,65,26,0
reverse,81,66,18,0
reverse,81,67,50,0
reverse,81,68,43,0
reverse,81,69,35,0
reverse,81,70,80,0
reverse,81,71,43,0
reverse,81,72,53,0
reverse,81,73,192,0
reverse,81,74,109,0
reverse,81,75,742,0
