role_family,symbol_family,family_reading,follow_events,event_share,shared_label_hits,majority_label_hits,carry,strain,rekopplung,follow_labels,boundary
rf_07,dio_1ewh,familie_breit_getragen,1433,0.611870,10,10,0.530000,0.154000,0.702000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;btc2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_07,dio_0g2r,familie_breit_getragen,909,0.388130,10,10,0.533000,0.155000,0.701000,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_08,dio_0h6t,familie_breit_getragen,155,0.504886,8,9,0.506000,0.142000,0.696000,doge2025:1;xrp2025_clean:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;btc2025_follow:1;paxg2025_follow:1;sol2026_stable:1;doge2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_08,dio_1w94,familie_breit_getragen,152,0.495114,8,9,0.503000,0.142000,0.695000,doge2025:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_10,dio_0jsd,familie_breit_getragen,242,0.556322,6,7,0.471000,0.202000,0.661000,btc2025_current:2;doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;sol2026_stable:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_10,dio_0ioc,familie_breit_getragen,193,0.443678,6,7,0.466000,0.195000,0.661000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;doge2025_follow:1;sol2026_stable:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_13,dio_1sub,familie_breit_getragen,262,0.603687,6,9,0.457000,0.207000,0.655000,paxg2025:2;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;paxg2025_follow:1;doge2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_13,dio_1t9l,familie_breit_getragen,93,0.214286,6,6,0.454000,0.203000,0.652000,doge2025:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_13,dio_14l0,familie_breit_getragen,79,0.182028,6,9,0.452000,0.196000,0.650000,sol2026_stable:2;xrp2025_follow:2;doge2025_clean:1;doge2025:1;btc2025_current:1;paxg2025:1;xrp2025_clean:1;btc2025_follow:1;doge2025_follow:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_17,dio_1udx,familie_breit_getragen,166,0.540717,5,6,0.444000,0.201000,0.654000,paxg2025:2;doge2025:2;xrp2025_clean:2;btc2025_current:2;doge2025_clean:1;btc2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_17,dio_1cmd,familie_breit_getragen,141,0.459283,5,6,0.444000,0.200000,0.656000,paxg2025:2;btc2025_current:2;doge2025:2;xrp2025_clean:1;doge2025_clean:1;sol2026_stable:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_21,dio_1pij,familie_kernlastig_getragen,1033,0.714385,7,7,0.502000,0.184000,0.682000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_21,dio_1v2w,familie_kernlastig_getragen,413,0.285615,7,10,0.504000,0.183000,0.673000,doge2025:1;xrp2025_clean:1;doge2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
