dataset,universe_scope,younger_exact_run_length,older_exact_run_length,exact_age_gap,matched_pairs,older_wins,ties,older_losses,older_age_auc
2091_basis,all,8,9,1,194,47,147,0,0.6211340206185567
2091_basis,all,8,10,2,161,29,132,0,0.5900621118012422
2091_basis,all,8,11,3,8,0,8,0,0.5
2091_basis,all,8,13,5,68,41,27,0,0.8014705882352942
2091_basis,all,8,14,6,41,0,41,0,0.5
2091_basis,all,8,16,8,11,11,0,0,1.0
2091_basis,all,9,10,1,104,0,96,8,0.46153846153846156
2091_basis,all,9,11,2,30,0,30,0,0.5
2091_basis,all,9,12,3,8,0,0,8,0.0
2091_basis,all,9,15,6,41,0,41,0,0.5
2091_basis,all,10,11,1,73,33,40,0,0.726027397260274
2091_basis,all,10,12,2,2,0,2,0,0.5
2091_basis,all,10,16,6,41,0,41,0,0.5
2091_basis,all,11,12,1,21,0,21,0,0.5
2091_basis,all,11,13,2,2,0,2,0,0.5
2091_basis,all,11,17,6,41,0,41,0,0.5
2091_basis,all,12,13,1,21,21,0,0,1.0
2091_basis,all,12,14,2,2,0,2,0,0.5
2091_basis,all,13,15,2,2,0,2,0,0.5
2091_basis,all,14,16,2,2,0,2,0,0.5
2091_basis,all,15,17,2,2,0,2,0,0.5
2091_basis,all,16,18,2,2,0,2,0,0.5
2091_basis,all,17,19,2,2,0,2,0,0.5
2091_basis,universe_a,1,2,1,3152,126,2549,477,0.4443210659898477
2091_basis,universe_a,1,3,2,1274,92,1043,139,0.4815541601255887
2091_basis,universe_a,1,4,3,871,104,693,74,0.5172215843857635
2091_basis,universe_a,1,5,4,415,0,398,17,0.4795180722891566
2091_basis,universe_a,1,6,5,422,0,354,68,0.4194312796208531
2091_basis,universe_a,1,7,6,285,43,200,42,0.5017543859649123
2091_basis,universe_a,1,8,7,7,0,7,0,0.5
2091_basis,universe_a,1,9,8,11,0,11,0,0.5
2091_basis,universe_a,1,11,10,53,0,11,42,0.10377358490566038
2091_basis,universe_a,1,12,11,39,0,39,0,0.5
2091_basis,universe_a,1,13,12,48,0,48,0,0.5
2091_basis,universe_a,1,14,13,19,0,19,0,0.5
2091_basis,universe_a,1,16,15,43,0,43,0,0.5
2091_basis,universe_a,1,18,17,5,0,5,0,0.5
2091_basis,universe_a,1,19,18,5,0,5,0,0.5
2091_basis,universe_a,1,21,20,25,0,25,0,0.5
2091_basis,universe_a,1,23,22,43,0,43,0,0.5
2091_basis,universe_a,2,3,1,1544,12,1509,23,0.4964378238341969
2091_basis,universe_a,2,4,2,655,47,540,68,0.48396946564885496
2091_basis,universe_a,2,5,3,490,4,415,71,0.4316326530612245
2091_basis,universe_a,2,6,4,361,18,341,2,0.5221606648199446
2091_basis,universe_a,2,7,5,266,39,179,48,0.4830827067669173
2091_basis,universe_a,2,8,6,187,22,136,29,0.48128342245989303
2091_basis,universe_a,2,9,7,5,0,5,0,0.5
2091_basis,universe_a,2,10,8,11,0,11,0,0.5
2091_basis,universe_a,2,12,10,11,0,11,0,0.5
2091_basis,universe_a,2,13,11,28,0,26,2,0.4642857142857143
2091_basis,universe_a,2,14,12,48,0,0,48,0.0
2091_basis,universe_a,2,15,13,19,0,0,19,0.0
2091_basis,universe_a,2,17,15,43,0,43,0,0.5
2091_basis,universe_a,2,19,17,5,0,5,0,0.5
2091_basis,universe_a,2,20,18,5,0,5,0,0.5
2091_basis,universe_a,2,22,20,25,0,25,0,0.5
2091_basis,universe_a,2,24,22,43,0,43,0,0.5
2091_basis,universe_a,3,4,1,929,9,827,93,0.45479009687836386
2091_basis,universe_a,3,5,2,274,0,274,0,0.5
2091_basis,universe_a,3,6,3,164,0,163,1,0.4969512195121951
2091_basis,universe_a,3,7,4,287,53,222,12,0.5714285714285714
2091_basis,universe_a,3,8,5,120,0,81,39,0.3375
2091_basis,universe_a,3,9,6,127,0,127,0,0.5
2091_basis,universe_a,3,10,7,5,0,5,0,0.5
2091_basis,universe_a,3,11,8,11,0,11,0,0.5
2091_basis,universe_a,3,13,10,11,0,11,0,0.5
2091_basis,universe_a,3,14,11,26,5,0,21,0.19230769230769232
2091_basis,universe_a,3,18,15,43,0,43,0,0.5
2091_basis,universe_a,3,20,17,5,0,5,0,0.5
2091_basis,universe_a,3,21,18,5,5,0,0,1.0
2091_basis,universe_a,3,23,20,25,0,25,0,0.5
2091_basis,universe_a,3,25,22,43,0,43,0,0.5
2091_basis,universe_a,4,5,1,584,51,512,21,0.5256849315068494
2091_basis,universe_a,4,6,2,202,47,155,0,0.6163366336633663
2091_basis,universe_a,4,7,3,95,0,95,0,0.5
2091_basis,universe_a,4,8,4,174,0,174,0,0.5
2091_basis,universe_a,4,9,5,41,3,38,0,0.5365853658536586
2091_basis,universe_a,4,10,6,127,0,106,21,0.41732283464566927
2091_basis,universe_a,4,11,7,5,0,5,0,0.5
2091_basis,universe_a,4,12,8,11,0,11,0,0.5
2091_basis,universe_a,4,14,10,11,11,0,0,1.0
2091_basis,universe_a,4,19,15,43,0,43,0,0.5
2091_basis,universe_a,4,26,22,43,0,43,0,0.5
2091_basis,universe_a,5,6,1,344,39,268,37,0.502906976744186
2091_basis,universe_a,5,7,2,149,0,121,28,0.40604026845637586
2091_basis,universe_a,5,8,3,74,0,74,0,0.5
2091_basis,universe_a,5,9,4,93,0,72,21,0.3870967741935484
2091_basis,universe_a,5,10,5,38,0,38,0,0.5
2091_basis,universe_a,5,11,6,58,41,17,0,0.853448275862069
2091_basis,universe_a,5,12,7,5,0,5,0,0.5
2091_basis,universe_a,5,13,8,11,0,11,0,0.5
2091_basis,universe_a,5,20,15,43,0,43,0,0.5
2091_basis,universe_a,6,7,1,102,11,91,0,0.553921568627451
2091_basis,universe_a,6,8,2,121,0,121,0,0.5
2091_basis,universe_a,6,9,3,46,0,46,0,0.5
2091_basis,universe_a,6,10,4,53,0,53,0,0.5
2091_basis,universe_a,6,11,5,38,11,27,0,0.6447368421052632
2091_basis,universe_a,6,12,6,17,17,0,0,1.0
2091_basis,universe_a,6,13,7,5,0,5,0,0.5
2091_basis,universe_a,6,14,8,11,0,11,0,0.5
2091_basis,universe_a,6,21,15,43,0,43,0,0.5
2091_basis,universe_a,7,8,1,91,28,63,0,0.6538461538461539
2091_basis,universe_a,7,9,2,121,0,121,0,0.5
2091_basis,universe_a,7,10,3,46,46,0,0,1.0
2091_basis,universe_a,7,11,4,5,0,0,5,0.0
2091_basis,universe_a,7,12,5,27,0,27,0,0.5
2091_basis,universe_a,7,14,7,5,0,5,0,0.5
2091_basis,universe_a,7,15,8,11,0,11,0,0.5
2091_basis,universe_a,8,9,1,61,0,61,0,0.5
2091_basis,universe_a,8,10,2,120,29,91,0,0.6208333333333333
2091_basis,universe_a,8,13,5,27,0,27,0,0.5
2091_basis,universe_a,8,16,8,11,11,0,0,1.0
2091_basis,universe_a,9,10,1,61,0,61,0,0.5
2091_basis,universe_a,10,11,1,40,0,40,0,0.5
2091_basis,universe_a,11,12,1,21,0,21,0,0.5
2091_basis,universe_a,12,13,1,21,21,0,0,1.0
2091_basis,universe_b,1,2,1,2993,256,2169,568,0.44787838289341797
2091_basis,universe_b,1,3,2,1347,106,1052,189,0.46919079435783223
2091_basis,universe_b,1,4,3,436,2,344,90,0.39908256880733944
2091_basis,universe_b,1,5,4,250,7,158,85,0.344
2091_basis,universe_b,1,6,5,416,0,323,93,0.38822115384615385
2091_basis,universe_b,1,7,6,176,0,90,86,0.2556818181818182
2091_basis,universe_b,1,8,7,73,0,71,2,0.4863013698630137
2091_basis,universe_b,1,9,8,86,0,85,1,0.4941860465116279
2091_basis,universe_b,1,10,9,4,0,3,1,0.375
2091_basis,universe_b,1,11,10,92,0,92,0,0.5
2091_basis,universe_b,1,12,11,3,0,3,0,0.5
2091_basis,universe_b,1,13,12,10,0,10,0,0.5
2091_basis,universe_b,1,14,13,45,0,45,0,0.5
2091_basis,universe_b,2,3,1,1519,88,1364,67,0.5069124423963134
2091_basis,universe_b,2,4,2,579,13,519,47,0.47063903281519864
2091_basis,universe_b,2,5,3,205,0,167,38,0.4073170731707317
2091_basis,universe_b,2,6,4,102,0,55,47,0.2696078431372549
2091_basis,universe_b,2,7,5,256,0,254,2,0.49609375
2091_basis,universe_b,2,8,6,78,0,78,0,0.5
2091_basis,universe_b,2,9,7,66,0,66,0,0.5
2091_basis,universe_b,2,10,8,85,0,85,0,0.5
2091_basis,universe_b,2,11,9,3,0,3,0,0.5
2091_basis,universe_b,2,12,10,92,0,50,42,0.2717391304347826
2091_basis,universe_b,2,14,12,10,0,10,0,0.5
2091_basis,universe_b,2,15,13,45,0,45,0,0.5
2091_basis,universe_b,3,4,1,1237,46,1128,63,0.4931285367825384
2091_basis,universe_b,3,5,2,330,67,263,0,0.6015151515151516
2091_basis,universe_b,3,6,3,130,0,129,1,0.49615384615384617
2091_basis,universe_b,3,7,4,55,2,53,0,0.5181818181818182
2091_basis,universe_b,3,8,5,219,0,219,0,0.5
2091_basis,universe_b,3,9,6,69,0,69,0,0.5
2091_basis,universe_b,3,10,7,66,0,19,47,0.14393939393939395
2091_basis,universe_b,3,11,8,44,0,44,0,0.5
2091_basis,universe_b,3,12,9,3,0,3,0,0.5
2091_basis,universe_b,3,13,10,48,0,48,0,0.5
2091_basis,universe_b,3,16,13,45,45,0,0,1.0
2091_basis,universe_b,4,5,1,595,0,595,0,0.5
2091_basis,universe_b,4,6,2,175,66,86,23,0.6228571428571429
2091_basis,universe_b,4,7,3,60,0,60,0,0.5
2091_basis,universe_b,4,8,4,5,0,5,0,0.5
2091_basis,universe_b,4,9,5,179,87,92,0,0.7430167597765364
2091_basis,universe_b,4,10,6,69,0,69,0,0.5
2091_basis,universe_b,4,11,7,19,0,6,13,0.15789473684210525
2091_basis,universe_b,4,12,8,44,0,44,0,0.5
2091_basis,universe_b,4,14,10,48,0,48,0,0.5
2091_basis,universe_b,5,6,1,323,5,318,0,0.5077399380804953
2091_basis,universe_b,5,7,2,65,1,46,18,0.36923076923076925
2091_basis,universe_b,5,8,3,17,0,17,0,0.5
2091_basis,universe_b,5,10,5,41,0,41,0,0.5
2091_basis,universe_b,5,11,6,69,0,69,0,0.5
2091_basis,universe_b,5,12,7,6,6,0,0,1.0
2091_basis,universe_b,5,13,8,44,1,43,0,0.5113636363636364
2091_basis,universe_b,5,15,10,48,0,48,0,0.5
2091_basis,universe_b,6,7,1,251,15,226,10,0.5099601593625498
2091_basis,universe_b,6,8,2,43,0,43,0,0.5
2091_basis,universe_b,6,9,3,16,0,16,0,0.5
2091_basis,universe_b,6,11,5,41,0,41,0,0.5
2091_basis,universe_b,6,12,6,69,0,69,0,0.5
2091_basis,universe_b,6,14,8,43,0,43,0,0.5
2091_basis,universe_b,7,8,1,134,0,134,0,0.5
2091_basis,universe_b,7,9,2,41,0,41,0,0.5
2091_basis,universe_b,7,10,3,8,0,8,0,0.5
2091_basis,universe_b,7,12,5,41,0,41,0,0.5
2091_basis,universe_b,7,13,6,41,0,41,0,0.5
2091_basis,universe_b,7,15,8,43,43,0,0,1.0
2091_basis,universe_b,8,9,1,133,47,86,0,0.6766917293233082
2091_basis,universe_b,8,10,2,41,0,41,0,0.5
2091_basis,universe_b,8,11,3,8,0,8,0,0.5
2091_basis,universe_b,8,13,5,41,41,0,0,1.0
2091_basis,universe_b,8,14,6,41,0,41,0,0.5
2091_basis,universe_b,9,10,1,43,0,35,8,0.4069767441860465
2091_basis,universe_b,9,11,2,30,0,30,0,0.5
2091_basis,universe_b,9,12,3,8,0,0,8,0.0
2091_basis,universe_b,9,15,6,41,0,41,0,0.5
2091_basis,universe_b,10,11,1,33,33,0,0,1.0
2091_basis,universe_b,10,12,2,2,0,2,0,0.5
2091_basis,universe_b,10,16,6,41,0,41,0,0.5
2091_basis,universe_b,11,13,2,2,0,2,0,0.5
2091_basis,universe_b,11,17,6,41,0,41,0,0.5
2091_basis,universe_b,12,14,2,2,0,2,0,0.5
2091_basis,universe_b,13,15,2,2,0,2,0,0.5
2091_basis,universe_b,14,16,2,2,0,2,0,0.5
2091_basis,universe_b,15,17,2,2,0,2,0,0.5
2091_basis,universe_b,16,18,2,2,0,2,0,0.5
2091_basis,universe_b,17,19,2,2,0,2,0,0.5
2092_holdout,all,1,2,1,6026,142,5102,782,0.4468967806173249
2092_holdout,all,1,3,2,2001,117,1515,369,0.4370314842578711
2092_holdout,all,1,4,3,1510,15,1350,145,0.45695364238410596
2092_holdout,all,1,5,4,1147,85,920,142,0.47515257192676547
2092_holdout,all,1,6,5,519,38,371,110,0.430635838150289
2092_holdout,all,1,7,6,399,27,362,10,0.5213032581453634
2092_holdout,all,1,8,7,241,0,241,0,0.5
2092_holdout,all,1,9,8,181,0,172,9,0.47513812154696133
2092_holdout,all,1,10,9,77,0,77,0,0.5
2092_holdout,all,1,11,10,10,0,10,0,0.5
2092_holdout,all,1,12,11,7,0,7,0,0.5
2092_holdout,all,1,13,12,11,0,11,0,0.5
2092_holdout,all,1,14,13,18,0,18,0,0.5
2092_holdout,all,1,15,14,64,0,64,0,0.5
2092_holdout,all,1,17,16,1,0,1,0,0.5
2092_holdout,all,2,3,1,3467,153,3069,245,0.4867320449956735
2092_holdout,all,2,4,2,962,112,793,57,0.5285862785862786
2092_holdout,all,2,5,3,978,0,874,104,0.44683026584867075
2092_holdout,all,2,6,4,741,2,616,123,0.4183535762483131
2092_holdout,all,2,7,5,341,42,299,0,0.5615835777126099
2092_holdout,all,2,8,6,292,0,257,35,0.4400684931506849
2092_holdout,all,2,9,7,170,0,125,45,0.36764705882352944
2092_holdout,all,2,10,8,161,0,161,0,0.5
2092_holdout,all,2,11,9,44,44,0,0,1.0
2092_holdout,all,2,12,10,10,0,10,0,0.5
2092_holdout,all,2,13,11,7,7,0,0,1.0
2092_holdout,all,2,14,12,1,1,0,0,1.0
2092_holdout,all,2,15,13,3,3,0,0,1.0
2092_holdout,all,2,16,14,64,0,34,30,0.265625
2092_holdout,all,3,4,1,2095,195,1641,259,0.4847255369928401
2092_holdout,all,3,5,2,668,10,658,0,0.5074850299401198
2092_holdout,all,3,6,3,595,115,407,73,0.5352941176470588
2092_holdout,all,3,7,4,548,86,462,0,0.5784671532846716
2092_holdout,all,3,8,5,224,0,213,11,0.47544642857142855
2092_holdout,all,3,9,6,250,77,129,44,0.566
2092_holdout,all,3,10,7,80,0,80,0,0.5
2092_holdout,all,3,11,8,157,0,113,44,0.35987261146496813
2092_holdout,all,3,13,10,10,6,4,0,0.8
2092_holdout,all,3,17,14,34,0,34,0,0.5
2092_holdout,all,4,5,1,1269,77,1102,90,0.49487785657998423
2092_holdout,all,4,6,2,522,34,362,126,0.4118773946360153
2092_holdout,all,4,7,3,169,19,143,7,0.5355029585798816
2092_holdout,all,4,8,4,357,4,313,40,0.4495798319327731
2092_holdout,all,4,9,5,124,0,71,53,0.2862903225806452
2092_holdout,all,4,10,6,126,0,126,0,0.5
2092_holdout,all,4,11,7,80,0,80,0,0.5
2092_holdout,all,4,12,8,113,27,86,0,0.6194690265486725
2092_holdout,all,4,14,10,4,0,4,0,0.5
2092_holdout,all,5,6,1,827,9,720,98,0.44619105199516323
2092_holdout,all,5,7,2,324,0,324,0,0.5
2092_holdout,all,5,8,3,92,0,85,7,0.46195652173913043
2092_holdout,all,5,9,4,269,0,269,0,0.5
2092_holdout,all,5,10,5,61,0,52,9,0.4262295081967213
2092_holdout,all,5,11,6,78,0,78,0,0.5
2092_holdout,all,5,12,7,80,0,80,0,0.5
2092_holdout,all,5,13,8,44,0,44,0,0.5
2092_holdout,all,5,15,10,3,0,0,3,0.0
2092_holdout,all,6,7,1,445,0,392,53,0.4404494382022472
2092_holdout,all,6,8,2,156,2,154,0,0.5064102564102564
2092_holdout,all,6,9,3,80,0,80,0,0.5
2092_holdout,all,6,10,4,176,0,176,0,0.5
2092_holdout,all,6,11,5,45,0,45,0,0.5
2092_holdout,all,6,12,6,78,0,78,0,0.5
2092_holdout,all,6,13,7,47,0,47,0,0.5
2092_holdout,all,6,14,8,44,0,44,0,0.5
2092_holdout,all,7,8,1,226,0,181,45,0.4004424778761062
2092_holdout,all,7,9,2,141,36,63,42,0.4787234042553192
2092_holdout,all,7,10,3,43,0,43,0,0.5
2092_holdout,all,7,11,4,110,44,66,0,0.7
2092_holdout,all,7,12,5,45,0,43,2,0.4777777777777778
2092_holdout,all,7,13,6,78,0,78,0,0.5
2092_holdout,all,7,14,7,47,0,44,3,0.46808510638297873
2092_holdout,all,7,15,8,44,0,44,0,0.5
2092_holdout,all,8,9,1,148,0,148,0,0.5
2092_holdout,all,8,10,2,56,0,56,0,0.5
2092_holdout,all,8,11,3,43,21,22,0,0.7441860465116279
2092_holdout,all,8,12,4,66,0,66,0,0.5
2092_holdout,all,8,13,5,43,0,43,0,0.5
2092_holdout,all,8,14,6,78,0,78,0,0.5
2092_holdout,all,8,15,7,44,0,44,0,0.5
2092_holdout,all,8,16,8,44,0,44,0,0.5
2092_holdout,all,9,10,1,148,0,114,34,0.38513513513513514
2092_holdout,all,9,11,2,55,0,55,0,0.5
2092_holdout,all,9,12,3,22,0,22,0,0.5
2092_holdout,all,9,13,4,66,0,66,0,0.5
2092_holdout,all,9,14,5,43,0,43,0,0.5
2092_holdout,all,9,15,6,34,34,0,0,1.0
2092_holdout,all,9,16,7,44,0,44,0,0.5
2092_holdout,all,9,17,8,44,0,44,0,0.5
2092_holdout,all,10,11,1,75,34,41,0,0.7266666666666667
2092_holdout,all,10,12,2,55,0,55,0,0.5
2092_holdout,all,10,13,3,22,0,22,0,0.5
2092_holdout,all,10,14,4,44,0,44,0,0.5
2092_holdout,all,10,15,5,43,0,43,0,0.5
2092_holdout,all,10,17,7,44,0,44,0,0.5
2092_holdout,all,10,18,8,44,0,44,0,0.5
2092_holdout,all,11,12,1,41,0,0,41,0.0
2092_holdout,all,11,13,2,55,0,55,0,0.5
2092_holdout,all,11,14,3,22,0,22,0,0.5
2092_holdout,all,11,15,4,44,0,44,0,0.5
2092_holdout,all,11,16,5,43,43,0,0,1.0
2092_holdout,all,11,18,7,44,0,44,0,0.5
2092_holdout,all,11,19,8,44,0,0,44,0.0
2092_holdout,all,12,14,2,55,0,55,0,0.5
2092_holdout,all,12,15,3,22,0,22,0,0.5
2092_holdout,all,12,16,4,7,0,7,0,0.5
2092_holdout,all,12,19,7,44,0,44,0,0.5
2092_holdout,all,13,15,2,55,0,44,11,0.4
2092_holdout,all,13,16,3,22,0,22,0,0.5
2092_holdout,all,14,17,3,22,0,22,0,0.5
2092_holdout,all,15,18,3,22,0,0,22,0.0
2092_holdout,universe_a,1,2,1,3248,53,2778,417,0.44396551724137934
2092_holdout,universe_a,1,3,2,1207,4,941,262,0.39312344656172327
2092_holdout,universe_a,1,4,3,708,15,639,54,0.4724576271186441
2092_holdout,universe_a,1,5,4,702,85,543,74,0.5078347578347578
2092_holdout,universe_a,1,6,5,249,0,139,110,0.2791164658634538
2092_holdout,universe_a,1,7,6,212,27,185,0,0.5636792452830188
2092_holdout,universe_a,1,8,7,64,0,64,0,0.5
2092_holdout,universe_a,1,9,8,92,0,83,9,0.45108695652173914
2092_holdout,universe_a,1,10,9,44,0,44,0,0.5
2092_holdout,universe_a,1,11,10,3,0,3,0,0.5
2092_holdout,universe_a,1,13,12,1,0,1,0,0.5
2092_holdout,universe_a,1,14,13,18,0,18,0,0.5
2092_holdout,universe_a,1,15,14,30,0,30,0,0.5
2092_holdout,universe_a,2,3,1,1869,99,1619,151,0.4860888175494917
2092_holdout,universe_a,2,4,2,545,91,404,50,0.5376146788990825
2092_holdout,universe_a,2,5,3,453,0,413,40,0.45584988962472406
2092_holdout,universe_a,2,6,4,462,2,379,81,0.4145021645021645
2092_holdout,universe_a,2,7,5,139,0,139,0,0.5
2092_holdout,universe_a,2,8,6,126,0,126,0,0.5
2092_holdout,universe_a,2,9,7,45,0,45,0,0.5
2092_holdout,universe_a,2,10,8,83,0,83,0,0.5
2092_holdout,universe_a,2,11,9,44,44,0,0,1.0
2092_holdout,universe_a,2,12,10,3,0,3,0,0.5
2092_holdout,universe_a,2,14,12,1,1,0,0,1.0
2092_holdout,universe_a,2,15,13,3,3,0,0,1.0
2092_holdout,universe_a,2,16,14,30,0,0,30,0.0
2092_holdout,universe_a,3,4,1,1068,111,798,159,0.47752808988764045
2092_holdout,universe_a,3,5,2,363,0,363,0,0.5
2092_holdout,universe_a,3,6,3,243,1,169,73,0.35185185185185186
2092_holdout,universe_a,3,7,4,355,86,269,0,0.6211267605633802
2092_holdout,universe_a,3,8,5,95,0,91,4,0.4789473684210526
2092_holdout,universe_a,3,9,6,119,34,85,0,0.6428571428571429
2092_holdout,universe_a,3,11,8,79,0,35,44,0.22151898734177214
2092_holdout,universe_a,3,13,10,3,0,3,0,0.5
2092_holdout,universe_a,4,5,1,614,40,529,45,0.495928338762215
2092_holdout,universe_a,4,6,2,229,0,166,63,0.3624454148471616
2092_holdout,universe_a,4,7,3,57,9,48,0,0.5789473684210527
2092_holdout,universe_a,4,8,4,229,4,185,40,0.42139737991266374
2092_holdout,universe_a,4,9,5,2,0,2,0,0.5
2092_holdout,universe_a,4,10,6,82,0,82,0,0.5
2092_holdout,universe_a,4,12,8,35,27,8,0,0.8857142857142857
2092_holdout,universe_a,4,14,10,3,0,3,0,0.5
2092_holdout,universe_a,5,6,1,436,0,436,0,0.5
2092_holdout,universe_a,5,7,2,164,0,164,0,0.5
2092_holdout,universe_a,5,8,3,48,0,41,7,0.4270833333333333
2092_holdout,universe_a,5,9,4,147,0,147,0,0.5
2092_holdout,universe_a,5,10,5,2,0,2,0,0.5
2092_holdout,universe_a,5,11,6,78,0,78,0,0.5
2092_holdout,universe_a,5,15,10,3,0,0,3,0.0
2092_holdout,universe_a,6,7,1,337,0,284,53,0.42136498516320475
2092_holdout,universe_a,6,8,2,125,2,123,0,0.508
2092_holdout,universe_a,6,9,3,37,0,37,0,0.5
2092_holdout,universe_a,6,10,4,95,0,95,0,0.5
2092_holdout,universe_a,6,11,5,2,0,2,0,0.5
2092_holdout,universe_a,6,12,6,78,0,78,0,0.5
2092_holdout,universe_a,7,8,1,156,0,114,42,0.36538461538461536
2092_holdout,universe_a,7,9,2,122,36,44,42,0.47540983606557374
2092_holdout,universe_a,7,11,4,59,0,59,0,0.5
2092_holdout,universe_a,7,12,5,2,0,0,2,0.0
2092_holdout,universe_a,7,13,6,78,0,78,0,0.5
2092_holdout,universe_a,8,9,1,114,0,114,0,0.5
2092_holdout,universe_a,8,10,2,44,0,44,0,0.5
