relation_age,eligible_nodes,eligible_current_edges,carried_edges,carried_continued,carried_continuation_rate,new_edges,new_continued,new_continuation_rate,continuation_rate_difference,continuation_rate_ratio,future_edges,future_current_edges,label_null_expected_carried_continuations,label_null_sd,label_null_z_score,informative
42,14,6,2,1,0.5,4,2,0.5,0.0,1.0,3,3,1.0,0.6324555320336759,0.0,1
43,14,3,3,2,0.6666666666666666,0,0,0.0,0.6666666666666666,666666666666.6666,2,2,2.0,0.0,0.0,0
44,13,2,2,2,1.0,0,0,0.0,1.0,1000000000000.0,2,2,2.0,0.0,0.0,0
45,12,2,2,2,1.0,0,0,0.0,1.0,1000000000000.0,3,2,2.0,0.0,0.0,0
46,12,3,2,1,0.5,1,1,1.0,-0.5,0.5,3,2,1.3333333333333333,0.4714045207910317,-0.7071067811865474,1
47,11,3,2,1,0.5,1,1,1.0,-0.5,0.5,2,2,1.3333333333333333,0.4714045207910317,-0.7071067811865474,1
48,11,2,2,2,1.0,0,0,0.0,1.0,1000000000000.0,2,2,2.0,0.0,0.0,0
49,10,2,2,2,1.0,0,0,0.0,1.0,1000000000000.0,2,2,2.0,0.0,0.0,0
50,10,2,2,2,1.0,0,0,0.0,1.0,1000000000000.0,2,2,2.0,0.0,0.0,0
51,8,1,1,0,0.0,0,0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0
