role_family,asset,timeframe,window_start,component,lag,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
rf_06,SOL,1h,6000,volume,83,volume_phase_083,0.375,0.125,0.25,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_06,SOL,1h,6000,volume,251,volume_phase_251,0.375,0.25,0.125,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rf_07,BTC,15m,0,sign,17,sign_phase_017,1.0,1.0,0.0,0.025150905432595575,0.025150905432595575,0.0,1.0,0.5,0.5,0.2884051880341881,0.35543291666666665,-0.06702772863247858,0.2057652478632478,0.29416385833333336,-0.08839861047008557,0
rf_07,BTC,15m,0,sign,83,sign_phase_083,1.0,1.0,0.0,0.025150905432595575,0.01710261569416499,0.008048289738430584,1.0,0.5,0.5,0.2884051880341881,0.2951094047619048,-0.006704216727716705,0.2057652478632478,0.2892453333333333,-0.08348008547008551,0
rf_07,BTC,15m,0,sign,251,sign_phase_251,1.0,1.0,0.0,0.025150905432595575,0.026156941649899398,-0.0010060362173038226,1.0,1.0,0.0,0.2884051880341881,0.4462382,-0.1578330119658119,0.2057652478632478,0.419713,-0.2139477521367522,0
rf_07,BTC,15m,0,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.025150905432595575,0.02112676056338028,0.004024144869215294,1.0,1.0,0.0,0.2884051880341881,0.46904474285714287,-0.1806395548229548,0.2057652478632478,0.4296893714285715,-0.2239241235653237,0
rf_07,BTC,15m,0,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.025150905432595575,0.026156941649899398,-0.0010060362173038226,1.0,1.0,0.0,0.2884051880341881,0.38489653333333335,-0.09649134529914527,0.2057652478632478,0.2265978666666667,-0.020832618803418912,0
rf_07,BTC,15m,0,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.025150905432595575,0.023138832997987926,0.0020120724346076486,1.0,1.0,0.0,0.2884051880341881,0.4263329555555555,-0.13792776752136743,0.2057652478632478,0.2944752666666668,-0.088710018803419,0
rf_07,BTC,15m,0,wick,17,wick_phase_017,1.0,1.0,0.0,0.025150905432595575,0.025150905432595575,0.0,1.0,1.0,0.0,0.2884051880341881,0.3841714444444444,-0.09576625641025632,0.2057652478632478,0.28797422222222235,-0.08220897435897456,0
rf_07,BTC,15m,0,wick,83,wick_phase_083,1.0,1.0,0.0,0.025150905432595575,0.02414486921529175,0.001006036217303826,1.0,1.0,0.0,0.2884051880341881,0.37722439999999996,-0.08881921196581188,0.2057652478632478,0.2726107333333334,-0.06684548547008562,0
rf_07,BTC,15m,0,wick,251,wick_phase_251,1.0,1.0,0.0,0.025150905432595575,0.018108651911468814,0.007042253521126762,1.0,1.0,0.0,0.2884051880341881,0.28231525,0.006089938034188058,0.2057652478632478,0.266346375,-0.06058112713675223,0
rf_07,BTC,15m,0,volume,17,volume_phase_017,1.0,1.0,0.0,0.025150905432595575,0.03722334004024145,-0.012072434607645875,1.0,1.0,0.0,0.2884051880341881,0.42388407142857143,-0.13547888339438335,0.2057652478632478,0.2534915,-0.04772625213675219,0
rf_07,BTC,15m,0,volume,83,volume_phase_083,1.0,1.0,0.0,0.025150905432595575,0.030181086519114688,-0.005030181086519113,1.0,1.0,0.0,0.2884051880341881,0.3482205333333333,-0.05981534529914523,0.2057652478632478,0.2144121333333332,-0.008646885470085408,0
rf_07,BTC,15m,0,volume,251,volume_phase_251,1.0,1.0,0.0,0.025150905432595575,0.023138832997987926,0.0020120724346076486,1.0,1.0,0.0,0.2884051880341881,0.3306440277777778,-0.04223883974358972,0.2057652478632478,0.22940324999999995,-0.023638002136752156,0
rf_07,BTC,15m,12000,sign,17,sign_phase_017,1.0,1.0,0.0,0.019114688128772636,0.022132796780684104,-0.0030181086519114678,1.0,1.0,0.0,0.44708559999999997,0.4789925,-0.031906900000000016,0.4268304,0.39717075,0.029659649999999982,0
rf_07,BTC,15m,12000,sign,83,sign_phase_083,1.0,1.0,0.0,0.019114688128772636,0.026156941649899398,-0.007042253521126762,1.0,1.0,0.0,0.44708559999999997,0.45602349999999997,-0.008937899999999999,0.4268304,0.2996523000000002,0.1271780999999998,0
rf_07,BTC,15m,12000,sign,251,sign_phase_251,1.0,1.0,0.0,0.019114688128772636,0.035211267605633804,-0.01609657947686117,1.0,1.0,0.0,0.44708559999999997,0.45684553333333344,-0.00975993333333347,0.4268304,0.2554723,0.1713581,0
rf_07,BTC,15m,12000,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.019114688128772636,0.026156941649899398,-0.007042253521126762,1.0,1.0,0.0,0.44708559999999997,0.48249033333333324,-0.03540473333333327,0.4268304,0.3238594444444445,0.10297095555555552,0
rf_07,BTC,15m,12000,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.019114688128772636,0.026156941649899398,-0.007042253521126762,1.0,1.0,0.0,0.44708559999999997,0.5121642142857142,-0.06507861428571426,0.4268304,0.3789924285714285,0.04783797142857149,0
rf_07,BTC,15m,12000,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.019114688128772636,0.026156941649899398,-0.007042253521126762,1.0,1.0,0.0,0.44708559999999997,0.5180249285714286,-0.0709393285714286,0.4268304,0.38025507142857146,0.04657532857142854,0
rf_07,BTC,15m,12000,wick,17,wick_phase_017,1.0,1.0,0.0,0.019114688128772636,0.03118712273641851,-0.012072434607645875,1.0,1.0,0.0,0.44708559999999997,0.4963892666666667,-0.049303666666666746,0.4268304,0.33645021111111106,0.09038018888888893,0
rf_07,BTC,15m,12000,wick,83,wick_phase_083,1.0,1.0,0.0,0.019114688128772636,0.025150905432595575,-0.006036217303822939,1.0,1.0,0.0,0.44708559999999997,0.43257445454545457,0.014511145454545404,0.4268304,0.3447027662337662,0.08212763376623378,0
rf_07,BTC,15m,12000,wick,251,wick_phase_251,1.0,1.0,0.0,0.019114688128772636,0.030181086519114688,-0.011066398390342052,1.0,1.0,0.0,0.44708559999999997,0.48480018269230774,-0.03771458269230776,0.4268304,0.34479705769230773,0.08203334230769227,0
rf_07,BTC,15m,12000,volume,17,volume_phase_017,1.0,1.0,0.0,0.019114688128772636,0.030181086519114688,-0.011066398390342052,1.0,1.0,0.0,0.44708559999999997,0.4314299777777778,0.015655622222222165,0.4268304,0.30318852222222226,0.12364187777777774,0
rf_07,BTC,15m,12000,volume,83,volume_phase_083,1.0,1.0,0.0,0.019114688128772636,0.03219315895372234,-0.0130784708249497,1.0,1.0,0.0,0.44708559999999997,0.4610553181818182,-0.013969718181818247,0.4268304,0.29036107575757575,0.13646932424242425,0
rf_07,BTC,15m,12000,volume,251,volume_phase_251,1.0,1.0,0.0,0.019114688128772636,0.035211267605633804,-0.01609657947686117,1.0,1.0,0.0,0.44708559999999997,0.49242759999999997,-0.04534199999999999,0.4268304,0.31434926666666674,0.11248113333333326,0
rf_07,BTC,15m,24000,sign,17,sign_phase_017,1.0,1.0,0.0,0.03319919517102616,0.02012072434607646,0.0130784708249497,0.5,1.0,-0.5,0.5023221750000001,0.359389125,0.14293305000000012,0.31987005,0.2955690000000001,0.024301049999999935,0
rf_07,BTC,15m,24000,sign,83,sign_phase_083,1.0,1.0,0.0,0.03319919517102616,0.02112676056338028,0.012072434607645878,0.5,1.0,-0.5,0.5023221750000001,0.42733952500000005,0.07498265000000004,0.31987005,0.3215367499999999,-0.00166669999999991,0
rf_07,BTC,15m,24000,sign,251,sign_phase_251,1.0,1.0,0.0,0.03319919517102616,0.02716297786720322,0.006036217303822939,0.5,1.0,-0.5,0.5023221750000001,0.42079876190476195,0.08152341309523814,0.31987005,0.26566733333333326,0.05420271666666676,0
rf_07,BTC,15m,24000,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.03319919517102616,0.02414486921529175,0.00905432595573441,0.5,1.0,-0.5,0.5023221750000001,0.3362844285714286,0.1660377464285715,0.31987005,0.2134031904761906,0.10646685952380941,0
rf_07,BTC,15m,24000,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.03319919517102616,0.02112676056338028,0.012072434607645878,0.5,1.0,-0.5,0.5023221750000001,0.360815225,0.14150695000000008,0.31987005,0.28618579999999993,0.03368425000000008,0
rf_07,BTC,15m,24000,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.03319919517102616,0.022132796780684104,0.011066398390342055,0.5,1.0,-0.5,0.5023221750000001,0.3798297142857143,0.12249246071428577,0.31987005,0.3253935714285714,-0.005523521428571376,0
rf_07,BTC,15m,24000,wick,17,wick_phase_017,1.0,1.0,0.0,0.03319919517102616,0.02012072434607646,0.0130784708249497,0.5,1.0,-0.5,0.5023221750000001,0.4180246666666667,0.08429750833333338,0.31987005,0.36389066666666675,-0.044020616666666734,0
rf_07,BTC,15m,24000,wick,83,wick_phase_083,1.0,1.0,0.0,0.03319919517102616,0.03621730382293763,-0.0030181086519114678,0.5,1.0,-0.5,0.5023221750000001,0.45027068750000004,0.05205148750000005,0.31987005,0.2500466250000001,0.06982342499999994,0
rf_07,BTC,15m,24000,wick,251,wick_phase_251,1.0,1.0,0.0,0.03319919517102616,0.03118712273641851,0.0020120724346076486,0.5,1.0,-0.5,0.5023221750000001,0.4484307857142858,0.0538913892857143,0.31987005,0.262236642857143,0.05763340714285703,0
rf_07,BTC,15m,24000,volume,17,volume_phase_017,1.0,1.0,0.0,0.03319919517102616,0.03420523138832998,-0.0010060362173038226,0.5,1.0,-0.5,0.5023221750000001,0.5014402083333332,0.0008819666666668446,0.31987005,0.297501625,0.022368425000000025,0
rf_07,BTC,15m,24000,volume,83,volume_phase_083,1.0,1.0,0.0,0.03319919517102616,0.03219315895372234,0.0010060362173038226,0.5,0.5,0.0,0.5023221750000001,0.5217395714285715,-0.019417396428571432,0.31987005,0.30462352380952373,0.015246526190476284,0
rf_07,BTC,15m,24000,volume,251,volume_phase_251,1.0,1.0,0.0,0.03319919517102616,0.03822937625754527,-0.005030181086519113,0.5,1.0,-0.5,0.5023221750000001,0.4720170625000001,0.03030511250000001,0.31987005,0.26338843750000007,0.056481612499999945,0
rf_07,BTC,1h,0,sign,17,sign_phase_017,1.0,1.0,0.0,0.025150905432595575,0.030181086519114688,-0.005030181086519113,1.0,1.0,0.0,0.4592159583333333,0.3951568632478632,0.06405909508547009,0.31302995833333336,0.24565097435897432,0.06737898397435904,0
rf_07,BTC,1h,0,sign,83,sign_phase_083,1.0,1.0,0.0,0.025150905432595575,0.019114688128772636,0.006036217303822939,1.0,1.0,0.0,0.4592159583333333,0.512763,-0.053547041666666684,0.31302995833333336,0.6055297083333334,-0.29249975000000006,0
rf_07,BTC,1h,0,sign,251,sign_phase_251,1.0,1.0,0.0,0.025150905432595575,0.01710261569416499,0.008048289738430584,1.0,0.5,0.5,0.4592159583333333,0.3362880666666666,0.12292789166666668,0.31302995833333336,0.25576946666666667,0.05726049166666669,0
rf_07,BTC,1h,0,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.025150905432595575,0.013078470824949699,0.012072434607645876,1.0,1.0,0.0,0.4592159583333333,0.34791416666666664,0.11130179166666665,0.31302995833333336,0.4391155,-0.12608554166666663,0
rf_07,BTC,1h,0,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.025150905432595575,0.02012072434607646,0.005030181086519116,1.0,1.0,0.0,0.4592159583333333,0.4125965714285714,0.04661938690476186,0.31302995833333336,0.3414318571428572,-0.028401898809523818,0
rf_07,BTC,1h,0,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.025150905432595575,0.02414486921529175,0.001006036217303826,1.0,1.0,0.0,0.4592159583333333,0.4387329249999999,0.0204830333333334,0.31302995833333336,0.29080439999999996,0.022225558333333395,0
rf_07,BTC,1h,0,wick,17,wick_phase_017,1.0,1.0,0.0,0.025150905432595575,0.02012072434607646,0.005030181086519116,1.0,1.0,0.0,0.4592159583333333,0.39743285714285703,0.06178310119047625,0.31302995833333336,0.33225314285714286,-0.0192231845238095,0
rf_07,BTC,1h,0,wick,83,wick_phase_083,1.0,1.0,0.0,0.025150905432595575,0.015090543259557344,0.010060362173038231,1.0,1.0,0.0,0.4592159583333333,0.26311140476190475,0.19610455357142853,0.31302995833333336,0.2803106428571428,0.03271931547619056,0
rf_07,BTC,1h,0,wick,251,wick_phase_251,1.0,1.0,0.0,0.025150905432595575,0.02012072434607646,0.005030181086519116,1.0,1.0,0.0,0.4592159583333333,0.39411624999999995,0.06509970833333334,0.31302995833333336,0.27460005,0.038429908333333374,0
rf_07,BTC,1h,0,volume,17,volume_phase_017,1.0,1.0,0.0,0.025150905432595575,0.02012072434607646,0.005030181086519116,1.0,1.0,0.0,0.4592159583333333,0.4424455555555556,0.016770402777777693,0.31302995833333336,0.48093427777777775,-0.1679043194444444,0
rf_07,BTC,1h,0,volume,83,volume_phase_083,1.0,1.0,0.0,0.025150905432595575,0.025150905432595575,0.0,1.0,1.0,0.0,0.4592159583333333,0.4428320714285714,0.01638388690476189,0.31302995833333336,0.34761757142857136,-0.034587613095238,0
rf_07,BTC,1h,0,volume,251,volume_phase_251,1.0,1.0,0.0,0.025150905432595575,0.02716297786720322,-0.002012072434607645,1.0,1.0,0.0,0.4592159583333333,0.4087633472222222,0.0504526111111111,0.31302995833333336,0.3141106388888888,-0.0010806805555554355,0
rf_07,BTC,1h,3000,sign,17,sign_phase_017,1.0,1.0,0.0,0.02112676056338028,0.022132796780684104,-0.0010060362173038226,0.5,1.0,-0.5,0.4855629166666667,0.43415324999999994,0.05140966666666674,0.40416274999999996,0.322687375,0.08147537499999996,0
rf_07,BTC,1h,3000,sign,83,sign_phase_083,1.0,1.0,0.0,0.02112676056338028,0.01609657947686117,0.005030181086519113,0.5,0.5,0.0,0.4855629166666667,0.459933,0.025629916666666697,0.40416274999999996,0.3833381666666667,0.020824583333333258,0
rf_07,BTC,1h,3000,sign,251,sign_phase_251,1.0,1.0,0.0,0.02112676056338028,0.02012072434607646,0.0010060362173038226,0.5,1.0,-0.5,0.4855629166666667,0.47680516666666667,0.008757750000000009,0.40416274999999996,0.38982225000000004,0.014340499999999923,0
rf_07,BTC,1h,3000,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.02112676056338028,0.023138832997987926,-0.002012072434607645,0.5,1.0,-0.5,0.4855629166666667,0.42643316666666664,0.059129750000000036,0.40416274999999996,0.29951372222222206,0.1046490277777779,0
rf_07,BTC,1h,3000,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.02112676056338028,0.01710261569416499,0.00402414486921529,0.5,1.0,-0.5,0.4855629166666667,0.3733835000000001,0.11217941666666659,0.40416274999999996,0.45070941666666653,-0.04654666666666657,0
rf_07,BTC,1h,3000,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.02112676056338028,0.01609657947686117,0.005030181086519113,0.5,1.0,-0.5,0.4855629166666667,0.39127237499999995,0.09429054166666673,0.40416274999999996,0.46250750000000007,-0.05834475000000011,0
rf_07,BTC,1h,3000,wick,17,wick_phase_017,1.0,1.0,0.0,0.02112676056338028,0.01710261569416499,0.00402414486921529,0.5,0.5,0.0,0.4855629166666667,0.40543149999999994,0.08013141666666673,0.40416274999999996,0.3100617499999999,0.09410100000000005,0
rf_07,BTC,1h,3000,wick,83,wick_phase_083,1.0,1.0,0.0,0.02112676056338028,0.02012072434607646,0.0010060362173038226,0.5,0.5,0.0,0.4855629166666667,0.4782502,0.007312716666666663,0.40416274999999996,0.3091126666666666,0.09505008333333337,0
rf_07,BTC,1h,3000,wick,251,wick_phase_251,1.0,1.0,0.0,0.02112676056338028,0.022132796780684104,-0.0010060362173038226,0.5,0.5,0.0,0.4855629166666667,0.43974,0.04582291666666666,0.40416274999999996,0.2627081923076924,0.14145455769230758,0
rf_07,BTC,1h,3000,volume,17,volume_phase_017,1.0,1.0,0.0,0.02112676056338028,0.023138832997987926,-0.002012072434607645,0.5,1.0,-0.5,0.4855629166666667,0.5176746,-0.03211168333333331,0.40416274999999996,0.4062692333333333,-0.0021064833333333532,0
rf_07,BTC,1h,3000,volume,83,volume_phase_083,1.0,1.0,0.0,0.02112676056338028,0.018108651911468814,0.0030181086519114678,0.5,0.5,0.0,0.4855629166666667,0.4369306666666667,0.04863224999999999,0.40416274999999996,0.37627866666666665,0.02788408333333331,0
rf_07,BTC,1h,3000,volume,251,volume_phase_251,1.0,1.0,0.0,0.02112676056338028,0.029175050301810865,-0.008048289738430584,0.5,0.5,0.0,0.4855629166666667,0.4998235974025974,-0.01426068073593073,0.40416274999999996,0.30949981818181815,0.0946629318181818,0
rf_07,BTC,1h,6000,sign,17,sign_phase_017,1.0,1.0,0.0,0.014084507042253521,0.019114688128772636,-0.005030181086519115,0.5,0.5,0.0,0.28967283333333327,0.22426484444444447,0.0654079888888888,0.5185648666666667,0.22196446666666658,0.2966004000000001,0
rf_07,BTC,1h,6000,sign,83,sign_phase_083,1.0,1.0,0.0,0.014084507042253521,0.028169014084507043,-0.014084507042253521,0.5,0.5,0.0,0.28967283333333327,0.43740148863636363,-0.14772865530303037,0.5185648666666667,0.2841580681818182,0.23440679848484847,0
rf_07,BTC,1h,6000,sign,251,sign_phase_251,1.0,1.0,0.0,0.014084507042253521,0.022132796780684104,-0.008048289738430582,0.5,1.0,-0.5,0.28967283333333327,0.411881,-0.12220816666666673,0.5185648666666667,0.3393011428571428,0.17926372380952388,0
rf_07,BTC,1h,6000,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.014084507042253521,0.023138832997987926,-0.009054325955734405,0.5,1.0,-0.5,0.28967283333333327,0.37174148611111113,-0.08206865277777786,0.5185648666666667,0.2810265277777778,0.23753833888888887,0
rf_07,BTC,1h,6000,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.014084507042253521,0.022132796780684104,-0.008048289738430582,0.5,1.0,-0.5,0.28967283333333327,0.39188873015873016,-0.10221589682539689,0.5185648666666667,0.2880337460317459,0.23053112063492076,0
rf_07,BTC,1h,6000,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.014084507042253521,0.01710261569416499,-0.0030181086519114695,0.5,1.0,-0.5,0.28967283333333327,0.44692639999999995,-0.15725356666666668,0.5185648666666667,0.48108205,0.037482816666666696,0
rf_07,BTC,1h,6000,wick,17,wick_phase_017,1.0,1.0,0.0,0.014084507042253521,0.022132796780684104,-0.008048289738430582,0.5,1.0,-0.5,0.28967283333333327,0.44277085714285713,-0.15309802380952386,0.5185648666666667,0.351761857142857,0.16680300952380966,0
rf_07,BTC,1h,6000,wick,83,wick_phase_083,1.0,1.0,0.0,0.014084507042253521,0.026156941649899398,-0.012072434607645876,0.5,1.0,-0.5,0.28967283333333327,0.4865913333333332,-0.19691849999999994,0.5185648666666667,0.3918446111111111,0.1267202555555556,0
rf_07,BTC,1h,6000,wick,251,wick_phase_251,1.0,1.0,0.0,0.014084507042253521,0.02012072434607646,-0.006036217303822937,0.5,1.0,-0.5,0.28967283333333327,0.43864290000000006,-0.1489700666666668,0.5185648666666667,0.47804775,0.040517116666666686,0
rf_07,BTC,1h,6000,volume,17,volume_phase_017,1.0,1.0,0.0,0.014084507042253521,0.018108651911468814,-0.004024144869215292,0.5,1.0,-0.5,0.28967283333333327,0.3804883333333333,-0.09081550000000005,0.5185648666666667,0.35529029166666654,0.16327457500000014,0
rf_07,BTC,1h,6000,volume,83,volume_phase_083,1.0,1.0,0.0,0.014084507042253521,0.022132796780684104,-0.008048289738430582,0.5,1.0,-0.5,0.28967283333333327,0.3824873454545455,-0.09281451212121222,0.5185648666666667,0.3974344181818182,0.1211304484848485,0
rf_07,BTC,1h,6000,volume,251,volume_phase_251,1.0,1.0,0.0,0.014084507042253521,0.018108651911468814,-0.004024144869215292,0.5,0.5,0.0,0.28967283333333327,0.3180302424242425,-0.028357409090909225,0.5185648666666667,0.3311255757575757,0.187439290909091,0
rf_07,SOL,15m,0,sign,17,sign_phase_017,1.0,1.0,0.0,0.03420523138832998,0.03219315895372234,0.002012072434607645,1.0,1.0,0.0,0.5107194615384616,0.4188894166666667,0.09183004487179491,0.3370023504273505,0.24413399166666672,0.09286835876068378,0
rf_07,SOL,15m,0,sign,83,sign_phase_083,1.0,1.0,0.0,0.03420523138832998,0.01609657947686117,0.018108651911468814,1.0,1.0,0.0,0.5107194615384616,0.3310497857142858,0.1796696758241758,0.3370023504273505,0.42951557142857133,-0.09251322100122084,0
rf_07,SOL,15m,0,sign,251,sign_phase_251,1.0,1.0,0.0,0.03420523138832998,0.03118712273641851,0.0030181086519114712,1.0,1.0,0.0,0.5107194615384616,0.47811817171717175,0.03260128982128985,0.3370023504273505,0.32100984848484837,0.015992501942502124,0
rf_07,SOL,15m,0,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.03420523138832998,0.03219315895372234,0.002012072434607645,1.0,1.0,0.0,0.5107194615384616,0.4483404642857143,0.062378997252747315,0.3370023504273505,0.3265316964285715,0.010470653998779,0
rf_07,SOL,15m,0,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.03420523138832998,0.035211267605633804,-0.0010060362173038226,1.0,1.0,0.0,0.5107194615384616,0.539138375,-0.028418913461538353,0.3370023504273505,0.36568512499999994,-0.02868277457264945,0
rf_07,SOL,15m,0,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.03420523138832998,0.02716297786720322,0.007042253521126762,1.0,1.0,0.0,0.5107194615384616,0.4164651944444445,0.09425426709401707,0.3370023504273505,0.2613827500000001,0.07561960042735039,0
rf_07,SOL,15m,0,wick,17,wick_phase_017,1.0,1.0,0.0,0.03420523138832998,0.03118712273641851,0.0030181086519114712,1.0,1.0,0.0,0.5107194615384616,0.5068055833333334,0.0039138782051282295,0.3370023504273505,0.35361937500000007,-0.016617024572649575,0
rf_07,SOL,15m,0,wick,83,wick_phase_083,1.0,1.0,0.0,0.03420523138832998,0.028169014084507043,0.006036217303822939,1.0,1.0,0.0,0.5107194615384616,0.4221465333333334,0.08857292820512819,0.3370023504273505,0.26578058333333343,0.07122176709401706,0
rf_07,SOL,15m,0,wick,251,wick_phase_251,1.0,1.0,0.0,0.03420523138832998,0.03118712273641851,0.0030181086519114712,1.0,0.5,0.5,0.5107194615384616,0.4751641833333333,0.03555527820512827,0.3370023504273505,0.34131158333333333,-0.0043092329059828405,0
rf_07,SOL,15m,0,volume,17,volume_phase_017,1.0,1.0,0.0,0.03420523138832998,0.03420523138832998,0.0,1.0,1.0,0.0,0.5107194615384616,0.4303333769230769,0.08038608461538471,0.3370023504273505,0.25846839230769225,0.07853395811965824,0
rf_07,SOL,15m,0,volume,83,volume_phase_083,1.0,1.0,0.0,0.03420523138832998,0.039235412474849095,-0.005030181086519113,1.0,1.0,0.0,0.5107194615384616,0.4699258468899522,0.04079361464850939,0.3370023504273505,0.2924737894736842,0.04452856095366631,0
rf_07,SOL,15m,0,volume,251,volume_phase_251,1.0,1.0,0.0,0.03420523138832998,0.04124748490945674,-0.007042253521126758,1.0,1.0,0.0,0.5107194615384616,0.46090394999999995,0.04981551153846164,0.3370023504273505,0.26096704999999987,0.07603530042735063,0
rf_07,SOL,15m,12000,sign,17,sign_phase_017,1.0,1.0,0.0,0.02716297786720322,0.02012072434607646,0.007042253521126762,1.0,1.0,0.0,0.3896681596638656,0.46140165,-0.07173349033613441,0.3285013613445378,0.42857959999999995,-0.10007823865546217,0
rf_07,SOL,15m,12000,sign,83,sign_phase_083,1.0,1.0,0.0,0.02716297786720322,0.026156941649899398,0.0010060362173038226,1.0,1.0,0.0,0.3896681596638656,0.44533519999999993,-0.055667040336134344,0.3285013613445378,0.29759179999999985,0.030909561344537928,0
rf_07,SOL,15m,12000,sign,251,sign_phase_251,1.0,1.0,0.0,0.02716297786720322,0.02112676056338028,0.006036217303822939,1.0,1.0,0.0,0.3896681596638656,0.46785782499999995,-0.07818966533613436,0.3285013613445378,0.43197374999999993,-0.10347238865546216,0
rf_07,SOL,15m,12000,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.02716297786720322,0.022132796780684104,0.005030181086519116,1.0,0.5,0.5,0.3896681596638656,0.40357350000000003,-0.013905340336134442,0.3285013613445378,0.27865889999999993,0.04984246134453785,0
rf_07,SOL,15m,12000,magnitude,83,magnitude_phase_083,1.0,1.0,0.0,0.02716297786720322,0.015090543259557344,0.012072434607645876,1.0,0.5,0.5,0.3896681596638656,0.39443150000000005,-0.004763340336134458,0.3285013613445378,0.46216699999999994,-0.13366563865546216,0
rf_07,SOL,15m,12000,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.02716297786720322,0.019114688128772636,0.008048289738430584,1.0,1.0,0.0,0.3896681596638656,0.42623900000000003,-0.03657084033613445,0.3285013613445378,0.5774131111111112,-0.24891174976657338,0
rf_07,SOL,15m,12000,wick,17,wick_phase_017,1.0,1.0,0.0,0.02716297786720322,0.022132796780684104,0.005030181086519116,1.0,0.5,0.5,0.3896681596638656,0.5157928,-0.12612464033613446,0.3285013613445378,0.5091583,-0.18065693865546217,0
rf_07,SOL,15m,12000,wick,83,wick_phase_083,1.0,1.0,0.0,0.02716297786720322,0.03118712273641851,-0.00402414486921529,1.0,1.0,0.0,0.3896681596638656,0.5071215833333333,-0.11745342366946776,0.3285013613445378,0.4032935833333334,-0.07479222198879565,0
rf_07,SOL,15m,12000,wick,251,wick_phase_251,1.0,1.0,0.0,0.02716297786720322,0.02414486921529175,0.0030181086519114712,1.0,0.5,0.5,0.3896681596638656,0.4913490545454545,-0.10168089488158893,0.3285013613445378,0.3018105636363637,0.026690797708174063,0
rf_07,SOL,15m,12000,volume,17,volume_phase_017,1.0,1.0,0.0,0.02716297786720322,0.02414486921529175,0.0030181086519114712,1.0,1.0,0.0,0.3896681596638656,0.41614070000000003,-0.026472540336134442,0.3285013613445378,0.2861157,0.042385661344537806,0
rf_07,SOL,15m,12000,volume,83,volume_phase_083,1.0,1.0,0.0,0.02716297786720322,0.028169014084507043,-0.0010060362173038226,1.0,1.0,0.0,0.3896681596638656,0.45334510000000006,-0.06367694033613447,0.3285013613445378,0.3808187333333331,-0.052317371988795325,0
rf_07,SOL,15m,12000,volume,251,volume_phase_251,1.0,1.0,0.0,0.02716297786720322,0.030181086519114688,-0.0030181086519114678,1.0,1.0,0.0,0.3896681596638656,0.5046521875,-0.11498402783613437,0.3285013613445378,0.3532144374999999,-0.024713076155462144,0
rf_07,SOL,15m,24000,sign,17,sign_phase_017,1.0,1.0,0.0,0.030181086519114688,0.02716297786720322,0.0030181086519114678,1.0,1.0,0.0,0.44442661538461536,0.532791107142857,-0.08836449175824168,0.2662159401709402,0.3588560714285714,-0.09264013125763121,0
rf_07,SOL,15m,24000,sign,83,sign_phase_083,1.0,1.0,0.0,0.030181086519114688,0.02112676056338028,0.009054325955734407,1.0,1.0,0.0,0.44442661538461536,0.45209924999999995,-0.007672634615384588,0.2662159401709402,0.33279225,-0.06657630982905982,0
rf_07,SOL,15m,24000,sign,251,sign_phase_251,1.0,1.0,0.0,0.030181086519114688,0.030181086519114688,0.0,1.0,1.0,0.0,0.44442661538461536,0.46256149999999996,-0.018134884615384594,0.2662159401709402,0.33298099999999986,-0.06676505982905967,0
rf_07,SOL,15m,24000,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.030181086519114688,0.023138832997987926,0.007042253521126762,1.0,1.0,0.0,0.44442661538461536,0.3765920649350649,0.06783455044955045,0.2662159401709402,0.25853445454545465,0.00768148562548554,0
