holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
doge_random,dio_1ewh,tragende_rekopplung,197,1,dio_mini_lauf_1:197,dio_1ewh8ej:197,0.5772570152284264,0.17116402538071065,0.7195616802030457
doge_random,dio_0tay,tragende_rekopplung,196,1,dio_mini_lauf_1:196,dio_0tay831:196,0.5869045204081633,0.16523057142857142,0.7263097908163265
btc_shuffle,dio_17ct,tragende_rekopplung,195,1,dio_mini_lauf_44:195,dio_17ctp0f:195,0.5851258102564103,0.16629311794871796,0.724194241025641
paxg_random,dio_0nlj,tragende_rekopplung,195,1,dio_mini_lauf_1:195,dio_0nljypu:195,0.6029742307692307,0.14059046666666666,0.744884358974359
paxg_shuffle,dio_0nlj,tragende_rekopplung,195,1,dio_mini_lauf_46:195,dio_0nljypu:195,0.6023276666666667,0.13941006666666667,0.7419506051282051
xrp_random,dio_0oc3,tragende_rekopplung,195,1,dio_mini_lauf_1:195,dio_0oc3c1g:195,0.5596682974358974,0.19246383076923076,0.7066040923076923
xrp_random,dio_1kpz,tragende_rekopplung,195,1,dio_mini_lauf_1:195,dio_1kpzc2b:195,0.5945719487179487,0.1468157641025641,0.7378709538461539
doge_random,dio_00ja,tragende_rekopplung,194,1,dio_mini_lauf_1:194,dio_00jaski:194,0.5712129329896907,0.18356274742268042,0.7077886082474227
xrp_random,dio_1ewh,tragende_rekopplung,194,1,dio_mini_lauf_1:194,dio_1ewh8ej:194,0.5770687628865979,0.1720420051546392,0.7183256958762887
xrp_random,dio_00ja,tragende_rekopplung,193,1,dio_mini_lauf_1:193,dio_00jaski:193,0.5708597202072538,0.18410617098445595,0.7078546839378238
doge_random,dio_1kpz,tragende_rekopplung,191,1,dio_mini_lauf_1:191,dio_1kpzc2b:191,0.5948747591623037,0.14616221989528796,0.737965387434555
paxg_random,dio_1lsu,tragende_rekopplung,191,1,dio_mini_lauf_1:191,dio_1lsuk2g:191,0.5746578638743456,0.17734029319371727,0.7185501465968587
xrp_random,dio_0tay,tragende_rekopplung,191,1,dio_mini_lauf_1:191,dio_0tay831:191,0.5854199057591623,0.16634446073298428,0.7275230942408377
btc_random,dio_0oc3,tragende_rekopplung,189,1,dio_mini_lauf_1:189,dio_0oc3c1g:189,0.5598916455026455,0.19210975132275132,0.7060327142857142
doge_shuffle,dio_17ct,tragende_rekopplung,189,1,dio_mini_lauf_45:189,dio_17ctp0f:189,0.5848934232804233,0.1668665873015873,0.7234504761904762
xrp_random,dio_1492,tragende_rekopplung,186,1,dio_mini_lauf_1:186,dio_1492fc4:186,0.6010307688172043,0.1416641182795699,0.742865
xrp_random,dio_09bn,tragende_rekopplung,184,1,dio_mini_lauf_1:184,dio_09bnon2:184,0.5946431195652174,0.15217061956521738,0.7361792989130435
paxg_random,dio_10dv,tragende_rekopplung,182,1,dio_mini_lauf_1:182,dio_10dv2hw:182,0.5861169175824176,0.16166861538461538,0.7312368406593407
paxg_random,dio_1jc2,tragende_rekopplung,182,1,dio_mini_lauf_1:182,dio_1jc244o:182,0.5984266043956044,0.13865327472527472,0.7417841648351648
