source_file,world,preview_symbol,symbol_family,field_effect,depth_state,positive_phase_proximity,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_sensory_coupling,mcm_visual_field_gap,mcm_hearing_field_gap,mcm_feldwirkung_mcm_coherence,mcm_feldwirkung_mcm_tension,mcm_feldwirkung_mcm_asymmetry
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.984809,0.593063,0.152675,0.729784,0.848048,0.228504,0.031937,0.576418,0.056465,-0.024325
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_10r2mum,dio_0l7p,stabil,multiworld_depth_seed,0.984353,0.565740,0.149225,0.719308,0.848861,0.242077,0.015099,0.569203,0.048203,-0.001848
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.984272,0.592108,0.158977,0.727153,0.845698,0.231391,0.038118,0.583246,0.058362,-0.008870
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_0rbjarj,dio_104t,stabil,multiworld_depth_seed,0.984077,0.583322,0.161290,0.722741,0.843439,0.233536,0.034826,0.563492,0.064141,-0.009446
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.983623,0.586125,0.157607,0.725637,0.849312,0.215511,0.039229,0.575667,0.057672,0.004091
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.983316,0.587534,0.156683,0.725824,0.841537,0.246230,0.032864,0.566966,0.060574,-0.003008
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.982981,0.593340,0.158341,0.727580,0.844667,0.236340,0.035871,0.576162,0.053090,0.010253
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_0icnf2v,dio_104t,stabil,multiworld_depth_seed,0.98296,0.590595,0.159526,0.726494,0.844489,0.235211,0.037045,0.582777,0.063781,-0.004553
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_0iwh9d2,dio_104t,stabil,multiworld_depth_seed,0.982785,0.583892,0.161128,0.723004,0.841772,0.236752,0.040562,0.574179,0.069071,-0.007635
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_0rbjarj,dio_0l7p,stabil,multiworld_depth_seed,0.982739,0.588048,0.152324,0.728415,0.853838,0.227267,0.014310,0.580953,0.051434,0.018097
debug\2007_mb_transition_doge_start0\dio_mini_lauf_46\episodes.csv,MB_COUNTER_TRANSITION_DOGE_START0,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.982655,0.586571,0.155522,0.725626,0.847169,0.229143,0.031044,0.571578,0.056015,-0.042421
debug\2007_mb_transition_doge_start0\dio_mini_lauf_46\episodes.csv,MB_COUNTER_TRANSITION_DOGE_START0,dio_mcm_episode_1qlxgj7,dio_14wj,stabil,multiworld_depth_seed,0.98252,0.584827,0.150091,0.727259,0.851971,0.239147,0.009163,0.571793,0.041138,-0.023387
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.982311,0.594592,0.156613,0.729000,0.848444,0.242077,0.019317,0.581554,0.047820,0.010672
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_0m8cxz1,dio_0l7p,stabil,multiworld_depth_seed,0.982222,0.575893,0.150044,0.722710,0.844579,0.245774,0.027939,0.576076,0.053490,-0.029774
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_14wj,stabil,multiworld_depth_seed,0.98212,0.594316,0.149829,0.731990,0.854970,0.231451,0.008746,0.581085,0.044899,-0.012416
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_0m8cxz1,dio_0l7p,stabil,multiworld_depth_seed,0.981999,0.571184,0.143878,0.723152,0.848608,0.238551,0.023103,0.568942,0.043019,0.016401
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.981981,0.586329,0.154716,0.725669,0.845260,0.241050,0.030749,0.580199,0.052821,0.023639
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_1yxc2ug,dio_0l7p,stabil,multiworld_depth_seed,0.98198,0.595090,0.155623,0.729620,0.850662,0.233460,0.017845,0.576471,0.047853,0.022859
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981722,0.596722,0.153950,0.731296,0.854342,0.219725,0.023709,0.585375,0.044120,-0.013613
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981433,0.593886,0.158639,0.727575,0.844312,0.258039,0.015934,0.577182,0.047908,-0.005076
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.981378,0.591156,0.151605,0.729160,0.850183,0.235631,0.015505,0.570448,0.049670,-0.039618
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.981335,0.595520,0.152555,0.731345,0.852566,0.229798,0.024659,0.602160,0.051481,0.005877
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_0rbjarj,dio_0l7p,stabil,multiworld_depth_seed,0.98118,0.582093,0.151148,0.725072,0.846399,0.229503,0.037343,0.573959,0.052442,0.040340
debug\2007_mb_transition_doge_start5000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_TRANSITION_DOGE_START5000,dio_mcm_episode_1rj8742,dio_104t,stabil,multiworld_depth_seed,0.980985,0.585603,0.159742,0.724517,0.845686,0.227923,0.041520,0.589435,0.067209,-0.003459
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.980581,0.589635,0.158105,0.725647,0.841341,0.251398,0.030147,0.573661,0.056845,-0.021721
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0m8cxz1,dio_0l7p,stabil,multiworld_depth_seed,0.980539,0.591952,0.152799,0.728874,0.846558,0.242948,0.034881,0.603246,0.048686,-0.003815
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_104t,stabil,multiworld_depth_seed,0.980403,0.586131,0.160613,0.724359,0.844166,0.228314,0.043919,0.582098,0.067794,0.000303
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_1rj8742,dio_14wj,stabil,multiworld_depth_seed,0.980339,0.591011,0.151157,0.730247,0.856795,0.221232,0.016602,0.592616,0.044070,-0.009420
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.980171,0.595015,0.152066,0.730563,0.850219,0.226037,0.024434,0.568486,0.050122,-0.045194
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.980127,0.591350,0.157666,0.726394,0.839063,0.266410,0.023718,0.570963,0.053330,-0.008707
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_12tgchq,dio_0l7p,stabil,multiworld_depth_seed,0.979987,0.596906,0.152141,0.731687,0.850190,0.234823,0.017981,0.574448,0.050878,0.030116
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0iwh9d2,dio_0l7p,stabil,multiworld_depth_seed,0.979788,0.595832,0.150821,0.732028,0.853973,0.224815,0.018955,0.583551,0.047631,0.014982
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0iwh9d2,dio_0l7p,stabil,multiworld_depth_seed,0.979674,0.595754,0.151208,0.732565,0.856789,0.205297,0.028024,0.581634,0.050315,-0.000227
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0rbjarj,dio_0l7p,stabil,multiworld_depth_seed,0.979617,0.586190,0.149767,0.727641,0.852102,0.231214,0.016729,0.579524,0.048272,-0.049860
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.979493,0.594376,0.152248,0.730408,0.852577,0.227500,0.028422,0.601326,0.043720,-0.016863
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_12tgchq,dio_14wj,stabil,multiworld_depth_seed,0.979483,0.592982,0.155143,0.728690,0.848987,0.245829,0.019206,0.592289,0.042877,-0.016104
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_0rbjarj,dio_14wj,stabil,multiworld_depth_seed,0.979449,0.584273,0.145326,0.729314,0.856252,0.227765,0.007447,0.578346,0.046115,0.017833
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.979338,0.594966,0.148930,0.732447,0.853565,0.218132,0.028862,0.584316,0.048513,0.011616
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.979313,0.591723,0.162976,0.725391,0.843127,0.246959,0.031380,0.588753,0.060570,-0.005756
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_0rbjarj,dio_0l7p,stabil,multiworld_depth_seed,0.979295,0.564215,0.146738,0.719860,0.853738,0.226032,0.019541,0.589268,0.052942,-0.016201
debug\2007_mb_transition_doge_start5000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_TRANSITION_DOGE_START5000,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.979282,0.587582,0.155078,0.726213,0.846902,0.246739,0.026041,0.598485,0.050080,0.016310
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_14wj,stabil,multiworld_depth_seed,0.97912,0.591571,0.149108,0.731001,0.855353,0.234467,0.005301,0.579676,0.039950,0.004976
debug\2007_mb_transition_doge_start0\dio_mini_lauf_46\episodes.csv,MB_COUNTER_TRANSITION_DOGE_START0,dio_mcm_episode_1rj8742,dio_14wj,stabil,multiworld_depth_seed,0.979099,0.581051,0.143692,0.727996,0.854656,0.232286,0.007459,0.570054,0.040636,-0.029730
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.97907,0.592518,0.145839,0.732880,0.856726,0.212811,0.020812,0.572679,0.043760,0.007602
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.979059,0.594864,0.154615,0.729575,0.847054,0.242407,0.029990,0.598994,0.052191,-0.015714
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_0rbjarj,dio_0l7p,stabil,multiworld_depth_seed,0.978958,0.572712,0.145116,0.724524,0.856016,0.211458,0.030940,0.596764,0.051847,-0.005652
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_0rbjarj,dio_104t,stabil,multiworld_depth_seed,0.978832,0.584083,0.160832,0.723136,0.844419,0.233217,0.043641,0.597447,0.065247,-0.005101
