preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_1xdh0bk,nebenrolle,24,12,0.471223,FOLLOW_EQ10K_DOGE_2024_5M,0.208333,FOLLOW_EQ10K_DOGE_2024_5M:5;FOLLOW_EQ10K_XRP_2024_5M:3;QUIET_NEAR_PAXG2024_1H:3;BTC_STRESS_2024_5M:2;REAL_FOLLOW_SOL_6000:2;REAL_FOLLOW_XRP_6000:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_XRP_2024_5M_2000:1;REAL_FOLLOW_DOGE_6000:1,xrp:8;doge:6;sol:4;quiet:3;stress:2;paxg:1,0.216622,0.105085,0.096875,0.524768,0.125,0.083333,0.0,0.083333,0.333333,0.899021
dio_mcm_episode_0zm713b,nebenrolle,21,13,0.507712,REAL_FOLLOW_XRP_6000,0.190476,REAL_FOLLOW_XRP_6000:4;FOLLOW_EQ10K_XRP_2024_5M:3;REAL_FOLLOW_DOGE_6000:3;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_1H_B:1;BTC_FIELD_QUIET_03:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_STRESS_2024_5M:1;FOLLOW_EQ10K_DOGE_2024_5M:1;FOLLOW_EQ10K_PAXG_2024_5M:1,xrp:7;doge:4;sol:3;btc:2;paxg:2;quiet:1;shift:1;stress:1,0.214043,0.110119,0.092245,0.526109,0.047619,0.047619,0.047619,0.095238,0.333333,0.886227
dio_mcm_episode_1kwexso,nebenrolle,25,10,0.482179,BTC_1H_C,0.12,BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;DOGE_1H_B:3;PAXG_1H_A:3;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2024_SOL_ALTSEQ_A:3;SOL_10K_A:3;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_1H_A:1;BTC_SHIFT_2025_30M_10000_11000:1,sol:11;btc:4;shift:4;doge:3;paxg:3,0.210817,0.141695,0.131297,0.5403,0.0,0.0,0.16,0.16,0.44,0.904987
dio_mcm_episode_0ws9wvs,nebenrolle,33,10,0.671766,FOLLOW_EQ10K_XRP_2024_5M,0.363636,FOLLOW_EQ10K_XRP_2024_5M:12;FOLLOW_EQ10K_DOGE_2024_5M:8;SOL_10K_A:3;FOLLOW_EQ10K_PAXG_2024_5M:2;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;FOLLOW_PAXG_2024_5M_2000:1;PAXG_1846_A:1;REAL_TIME_2024_PAXG:1;REAL_TIME_2024_XRP:1,xrp:15;doge:8;paxg:5;sol:5,0.210291,0.057936,0.147336,0.520707,0.0,0.0,0.0,0.0,0.454545,0.918824
dio_mcm_episode_1b57ksv,nebenrolle,406,4,0.827091,FOLLOW_EQ10K_XRP_2024_5M,0.359606,FOLLOW_EQ10K_XRP_2024_5M:146;FOLLOW_EQ10K_PAXG_2024_5M:143;FOLLOW_EQ10K_DOGE_2024_5M:108;QUIET_NEAR_PAXG2025_1H:9,xrp:146;paxg:143;doge:108;quiet:9,0.208637,0.055133,0.213873,0.436115,0.022167,0.0,0.0,0.0,0.359606,0.845435
dio_mcm_episode_14xx81a,milieurolle,1157,6,0.839824,REAL_FOLLOW_PAXG_6000,0.721694,REAL_FOLLOW_PAXG_6000:835;REAL_TIME_2024_SOL_ALTSEQ_A:155;PAXG_1846_A:100;BTC_LONG_2025_5M_QUIET:31;QUIET_NEAR_BTC_1869:31;REAL_TIME_2024_BTC_5M:5,paxg:935;sol:155;quiet:62;btc:5,0.206167,0.044397,0.548497,0.321261,0.053587,0.0,0.0,0.0,0.808124,0.448537
dio_mcm_episode_0ww122h,nebenrolle,15,13,0.481027,BTC_10K_A,0.133333,BTC_10K_A:2;FOLLOW_EQ10K_XRP_2024_5M:2;BTC_FIELD_QUIET_03:1;BTC_LONG_2024_5M_QUIET:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_SHIFT_2025_30M_10000_11000:1;BTC_STRESS_2024_5M:1;DOGE_1H_B:1;FOLLOW_DOGE_2024_5M_2000:1,shift:3;doge:3;btc:2;quiet:2;xrp:2;sol:2;stress:1,0.204693,0.192353,0.04923,0.549854,0.133333,0.066667,0.2,0.266667,0.2,0.975855
dio_mcm_episode_1f9nms9,nebenrolle,19,11,0.588049,BTC_10K_A,0.157895,BTC_10K_A:3;BTC_FIELD_QUIET_03:2;BTC_STRESS_2024_5M:2;FOLLOW_DOGE_2024_5M_2000:2;FOLLOW_EQ10K_XRP_2024_5M:2;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_LONG_2024_5M_QUIET:1;DOGE_1H_B:1;FOLLOW_EQ10K_DOGE_2024_5M:1,xrp:6;quiet:4;doge:4;btc:3;stress:2,0.204612,0.109082,0.085587,0.550042,0.210526,0.105263,0.0,0.105263,0.315789,0.962131
dio_mcm_episode_0nn6ri9,nebenrolle,22,10,0.480322,BTC_1H_C,0.136364,BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;QUIET_NEAR_PAXG2025_1H:3;REAL_FOLLOW_SOL_6000:3;SOL_10K_A:3;DOGE_1H_B:2;PAXG_1H_A:2;BTC_1H_A:1;FOLLOW_KAS_2024_5M_2000:1;REAL_TIME_2024_SOL_ALTSEQ_A:1,sol:7;btc:4;shift:3;quiet:3;doge:2;paxg:2;other:1,0.203224,0.124369,0.091176,0.549321,0.136364,0.0,0.136364,0.136364,0.318182,0.92203
dio_mcm_episode_1xlv7yw,nebenrolle,28,11,0.838351,FOLLOW_EQ10K_PAXG_2024_5M,0.214286,FOLLOW_EQ10K_PAXG_2024_5M:6;BTC_LONG_2024_5M_QUIET:3;FOLLOW_EQ10K_XRP_2024_5M:3;FOLLOW_XRP_2024_5M_2000:3;REAL_FOLLOW_XRP_6000:3;REAL_TIME_2024_XRP:3;PAXG_1846_A:2;REAL_FOLLOW_BTC_6000:2;BTC_STRESS_2025_5M:1;FOLLOW_EQ10K_DOGE_2024_5M:1,xrp:12;paxg:8;quiet:3;btc:2;stress:1;doge:1;sol:1,0.202747,0.069885,0.131451,0.522677,0.107143,0.035714,0.0,0.035714,0.428571,0.773879
dio_mcm_episode_1r085q1,nebenrolle,17,12,0.541946,FOLLOW_EQ10K_DOGE_2024_5M,0.117647,FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_EQ10K_XRP_2024_5M:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;REAL_TIME_2024_BTC_5M:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;BTC_STRESS_2024_5M:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_PAXG2024_1H:1;REAL_FOLLOW_BTC_6000:1;REAL_FOLLOW_DOGE_6000:1,xrp:5;sol:4;doge:3;btc:3;stress:1;quiet:1,0.202007,0.081788,0.076203,0.549105,0.058824,0.058824,0.0,0.058824,0.294118,0.918604
dio_mcm_episode_17i3weh,nebenrolle,25,10,0.661128,BTC_LONG_2024_5M_QUIET,0.28,BTC_LONG_2024_5M_QUIET:7;SOL_10K_A:5;FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_PAXG_2024_5M:2;PAXG_1846_A:2;REAL_FOLLOW_BTC_6000:2;DOGE_1H_A:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_XRP_2024_5M:1;REAL_FOLLOW_PAXG_6000:1,quiet:7;doge:5;paxg:5;sol:5;btc:2;xrp:1,0.200511,0.05355,0.083553,0.5403,0.28,0.0,0.0,0.0,0.28,0.922505
dio_mcm_episode_0y53nyb,nebenrolle,23,11,0.48454,BTC_1H_B,0.130435,BTC_1H_B:3;BTC_FIELD_QUIET_04:3;BTC_FIELD_QUIET_05:3;BTC_STRESS_2024_5M:3;BTC_STRESS_2025_5M:3;BTC_LONG_2024_5M_QUIET:2;QUIET_NEAR_SOL_SIDEWAYS:2;BTC_1H_A:1;BTC_SHIFT_2025_30M_10000_11000:1;FOLLOW_EQ10K_XRP_2024_5M:1,quiet:10;stress:6;btc:4;shift:1;xrp:1;paxg:1,0.19954,0.218907,0.125484,0.536559,0.434783,0.26087,0.043478,0.304348,0.434783,0.795788
