world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_perception_visual_sharpness,avg_perception_auditory_loudness,ruhe_rekopplung_score
PAXG_2024_5M,dio_1nmh,14,0.007021,stabil,1.0,0.703563,0.499122,0.162337,0.866313,0.178606,0.163759,0.175662,0.175662,0.085913,0.641864,0.780638,0.354269,0.743172
PAXG_2024_5M,dio_1pij,10,0.005015,stabil,0.6,0.682816,0.475479,0.178816,0.822875,0.200312,0.188964,0.193322,0.193322,0.054956,0.603094,0.615459,0.393635,0.717846
PAXG_2024_5M_10K,dio_104t,732,0.073244,stabil,0.998634,0.730013,0.572476,0.149251,0.856988,0.04497,0.082173,0.085971,0.085971,0.446066,0.848721,0.648898,0.130941,0.780811
PAXG_2024_5M_10K,dio_0g3b,44,0.004403,stabil,1.0,0.748735,0.569578,0.101739,0.922945,0.007644,0.039621,0.023013,0.023013,0.139656,0.726407,0.821065,0.02671,0.81618
PAXG_2024_5M_10K,dio_1mjc,45,0.004503,stabil,1.0,0.739287,0.563894,0.110865,0.899186,0.009246,0.046151,0.02282,0.02282,0.114827,0.719427,0.799165,0.022068,0.805747
PAXG_2024_5M_10K,dio_092h,10,0.001001,stabil,0.8,0.67222,0.46873,0.204813,0.831834,0.208358,0.194453,0.27225,0.27225,0.007783,0.589142,0.766519,0.480608,0.7031
PAXG_2024_5M_10K,dio_1ewh,227,0.022714,stabil,0.995595,0.719501,0.558317,0.150099,0.840455,0.034403,0.092346,0.086858,0.086858,0.268915,0.796803,0.599776,0.121261,0.772092
PAXG_2024_5M_10K,dio_1772,56,0.005603,stabil,0.821429,0.69832,0.523046,0.168128,0.821533,0.103053,0.128272,0.145173,0.145173,0.069911,0.714317,0.616088,0.248226,0.742814
PAXG_2024_5M_10K,dio_1v2w,49,0.004903,tragend_unruhig,1.0,0.687762,0.523055,0.174861,0.779921,0.037825,0.119781,0.097383,0.097383,0.094458,0.714133,0.480853,0.134945,0.73832
PAXG_2024_5M_10K,dio_00ly,201,0.020112,stabil,1.0,0.73053,0.564942,0.137461,0.871149,0.051259,0.083796,0.084861,0.084861,0.239269,0.786841,0.666635,0.13612,0.784335
PAXG_2024_5M_10K,dio_0z9t,94,0.009406,stabil,1.0,0.723072,0.552073,0.14997,0.874089,0.096301,0.095514,0.120685,0.120685,0.19795,0.763533,0.797559,0.216986,0.772291
PAXG_2024_5M_10K,dio_07o8,101,0.010106,stabil,1.0,0.715444,0.537565,0.159159,0.854579,0.102045,0.134324,0.157887,0.157887,0.190856,0.761736,0.617345,0.259932,0.757717
PAXG_2024_5M_10K,dio_14wj,530,0.053032,stabil,1.0,0.743973,0.582428,0.130787,0.874362,0.010099,0.055095,0.038828,0.038828,0.4664,0.856297,0.672939,0.032596,0.800094
PAXG_2024_5M_10K,dio_0h9h,287,0.028717,stabil,1.0,0.730033,0.567465,0.139843,0.869491,0.053736,0.08616,0.090702,0.090702,0.283327,0.801514,0.653415,0.144438,0.783172
PAXG_2024_5M_10K,dio_1pij,225,0.022514,stabil,0.968889,0.703698,0.53282,0.181107,0.834786,0.145504,0.17268,0.212235,0.212235,0.259852,0.793027,0.617645,0.357739,0.737665
PAXG_2024_5M_10K,dio_0m9z,326,0.03262,stabil,0.92638,0.715838,0.553794,0.166432,0.839843,0.094249,0.10776,0.13187,0.13187,0.331388,0.814055,0.641717,0.226119,0.759412
PAXG_2024_5M_10K,dio_0nmc,15,0.001501,stabil,1.0,0.68568,0.478657,0.18052,0.840058,0.160401,0.20251,0.247099,0.247099,0.014205,0.629239,0.627487,0.4075,0.719744
PAXG_2024_5M_10K,dio_1xrt,97,0.009706,stabil,1.0,0.723873,0.552045,0.139263,0.85831,0.033124,0.092131,0.084605,0.084605,0.168389,0.756306,0.599722,0.11773,0.778151
PAXG_2024_5M_10K,dio_10dv,82,0.008205,stabil,1.0,0.732412,0.554111,0.14113,0.89916,0.100686,0.098339,0.128653,0.128653,0.196415,0.759439,0.795234,0.229339,0.781143
PAXG_2024_5M_10K,dio_0dd2,169,0.01691,stabil,1.0,0.735135,0.568706,0.135501,0.888262,0.069575,0.073611,0.084239,0.084239,0.239492,0.786614,0.803997,0.153814,0.789344
PAXG_2024_5M_10K,dio_06er,154,0.015409,stabil,1.0,0.745984,0.57868,0.121143,0.904783,0.034502,0.048364,0.049067,0.049067,0.262347,0.793044,0.812407,0.083569,0.80573
PAXG_2024_5M_10K,dio_1xme,24,0.002401,stabil,1.0,0.699797,0.503163,0.170124,0.864021,0.15995,0.173602,0.217666,0.217666,0.028087,0.663478,0.777169,0.377616,0.738014
PAXG_2024_5M_10K,dio_155c,222,0.022213,stabil,0.990991,0.719567,0.553971,0.155541,0.857438,0.097066,0.108821,0.133333,0.133333,0.23888,0.786098,0.635008,0.230399,0.765786
PAXG_2024_5M_10K,dio_0l7p,203,0.020312,stabil,1.0,0.731707,0.567986,0.13313,0.864372,0.01838,0.067433,0.056205,0.056205,0.249637,0.792704,0.661113,0.074586,0.789253
PAXG_2024_5M_10K,dio_18v0,96,0.009606,stabil,0.9375,0.697701,0.520564,0.180878,0.830622,0.147285,0.172322,0.214371,0.214371,0.134357,0.744926,0.603478,0.361655,0.73258
PAXG_2024_5M_10K,dio_0obq,111,0.011107,stabil,1.0,0.712208,0.537517,0.160529,0.850606,0.105826,0.134921,0.160207,0.160207,0.164626,0.75758,0.62134,0.266033,0.75525
PAXG_2024_5M_10K,dio_0jqc,63,0.006304,stabil,1.0,0.727725,0.548542,0.138353,0.89895,0.104962,0.10446,0.134119,0.134119,0.107608,0.726432,0.792045,0.239081,0.778423
PAXG_2024_5M_10K,dio_06jk,14,0.001401,stabil,1.0,0.707618,0.49442,0.163842,0.860628,0.120362,0.13218,0.155128,0.155128,0.007989,0.624495,0.792643,0.275489,0.747518
PAXG_2024_5M_10K,dio_0ly7,31,0.003102,stabil,1.0,0.740199,0.555995,0.109187,0.918413,0.033186,0.051045,0.049926,0.049926,0.06192,0.690416,0.815475,0.083112,0.804932
PAXG_2024_5M_10K,dio_0g2r,120,0.012007,stabil,0.975,0.716599,0.552974,0.147336,0.838967,0.02773,0.103603,0.086728,0.086728,0.214503,0.770354,0.540454,0.114088,0.770845
PAXG_2024_5M_10K,dio_0fe7,93,0.009306,stabil,1.0,0.724753,0.550406,0.137621,0.863637,0.039455,0.094223,0.091564,0.091564,0.143491,0.748723,0.609993,0.131019,0.778461
PAXG_2024_5M_10K,dio_1fll,229,0.022914,stabil,1.0,0.75555,0.591956,0.114208,0.91418,0.010246,0.036697,0.024031,0.024031,0.402824,0.833067,0.818682,0.03151,0.817935
PAXG_2024_5M_10K,dio_17qz,15,0.001501,stabil,1.0,0.696562,0.487929,0.172552,0.856995,0.162207,0.175018,0.221062,0.221062,0.02418,0.628881,0.615974,0.383268,0.731957
PAXG_2024_5M_10K,dio_1cic,16,0.001601,stabil,1.0,0.712403,0.522058,0.131563,0.857484,0.007668,0.075303,0.060173,0.060173,0.029149,0.640633,0.616277,0.067842,0.774562
PAXG_2024_5M_10K,dio_05yg,54,0.005403,tragend_unruhig,0.851852,0.693061,0.523061,0.176867,0.805441,0.095936,0.12219,0.136689,0.136689,0.104992,0.720453,0.571309,0.232626,0.737681
PAXG_2024_5M_10K,dio_00pl,11,0.001101,stabil,1.0,0.708199,0.514463,0.129802,0.857272,0.014899,0.08727,0.058043,0.058043,0.007373,0.601279,0.63445,0.072941,0.772032
PAXG_2024_5M_10K,dio_1gp2,143,0.014309,stabil,0.944056,0.71547,0.553675,0.149631,0.836684,0.033793,0.105435,0.091027,0.091027,0.220944,0.773881,0.541316,0.124748,0.768992
PAXG_2024_5M_10K,dio_00ja,205,0.020512,stabil,0.570732,0.709964,0.551928,0.161283,0.815133,0.035396,0.103158,0.08843,0.08843,0.260579,0.791648,0.548546,0.12378,0.760694
