source_state,target_state,source_role,target_role,transition_quality,edge_count,weighted_edges,source_node_count,target_node_count,source_observations_sum,target_observations_sum,avg_rekopplung_delta_weighted,avg_strain_delta_weighted,examples
netz_driftend_getragen,netz_driftend_getragen,drift_getragen,drift_getragen,selbstbindung,12,40,10,8,890,964,-0.001747,0.001956,0z748ck->0qzjuvj:6 | 0z748ck->0ac3vc1:1 | 0qzjuvj->0z748ck:6 | 0db07p4->0nuo9k1:2 | 0db07p4->0t1ymth:2 | 05lquqm->1b3r4if:6 | 1b3r4if->05lquqm:6 | 08ubq99->05lquqm:3
netz_rekoppelnd_verbunden,netz_zentrum_mit_anschluss,rekoppelnd,zentrum_anschluss,belastende_fragmentierungsachse,9,38,8,5,367,3937,-0.020896,0.025293,1eju9g0->0b7nep9:8 | 1eju9g0->17c7qwp:2 | 077r0df->1xx3u1e:6 | 0i7gfxw->0hjnwsk:5 | 00nzcuc->0b7nep9:4 | 17eveju->0b7nep9:4 | 0htnihj->0hjnwsk:4 | 17rahh6->17c7qwp:2
netz_zentrum_mit_anschluss,netz_driftend_getragen,zentrum_anschluss,drift_getragen,driftachse,8,38,5,7,3121,733,0.017939,-0.008268,0ykar6i->0geqqo3:6 | 0ykar6i->1pmt8u2:3 | 1jx2k4i->1ahj81f:2 | 1jx2k4i->0dgle71:2 | 1xx3u1e->0geqqo3:6 | 0hjnwsk->0qzjuvj:9 | 0hjnwsk->0aztxel:4 | 0l3i7ey->0lne9ax:6
netz_offen_verbunden,netz_zentrum_mit_anschluss,offen,zentrum_anschluss,rekopplungsnahe_uebergangsachse,8,33,7,4,242,3915,0.032917,-0.039238,0w4x7xs->0b7nep9:8 | 0w4x7xs->1xx3u1e:3 | 01s42m6->0b7nep9:8 | 0ldht3x->0l3i7ey:3 | 0li6lg1->0b7nep9:4 | 1jaecfa->1xx3u1e:3 | 0apubpm->0l3i7ey:3 | 17wwyn1->17c7qwp:1
netz_zentrum_mit_anschluss,netz_zentrum_mit_anschluss,zentrum_anschluss,zentrum_anschluss,selbstbindung,3,33,3,2,2175,3278,-0.006097,0.00525,0b7nep9->0ykar6i:14 | 0ykar6i->0b7nep9:14 | 17c7qwp->0b7nep9:5
netz_rekoppelnd_verbunden,netz_driftend_getragen,rekoppelnd,drift_getragen,driftachse,8,31,6,6,246,538,-0.002045,0.009115,1al8fjz->1k0rrn2:8 | 1al8fjz->1y2gc2i:4 | 1al8fjz->0393v08:4 | 1n9f8vr->0z748ck:1 | 080f74u->0qzjuvj:5 | 0dxi31r->05lquqm:3 | 0xsq19y->05lquqm:3 | 1a9sbfi->05lquqm:3
netz_driftend_getragen,netz_rekoppelnd_verbunden,drift_getragen,rekoppelnd,offene_nachbarschaftsachse,8,30,7,6,531,316,0.004031,-0.007131,0z748ck->1n9f8vr:1 | 0qzjuvj->080f74u:5 | 05lquqm->0dxi31r:3 | 05lquqm->1a9sbfi:3 | 0aztxel->0om13wf:2 | 1k0rrn2->1al8fjz:8 | 1y2gc2i->1al8fjz:4 | 0393v08->1al8fjz:4
netz_zentrum_mit_anschluss,netz_rekoppelnd_verbunden,zentrum_anschluss,rekoppelnd,offene_nachbarschaftsachse,7,30,5,6,1689,355,0.019609,-0.02365,0b7nep9->1eju9g0:8 | 1xx3u1e->077r0df:6 | 0hjnwsk->0i7gfxw:5 | 0hjnwsk->0htnihj:4 | 0l3i7ey->1k7xap1:3 | 17c7qwp->1eju9g0:2 | 17c7qwp->17rahh6:2
netz_zentrum_mit_anschluss,netz_offen_verbunden,zentrum_anschluss,offen,oeffnende_achse,6,26,4,5,2576,227,-0.012577,0.015271,0b7nep9->0w4x7xs:8 | 0b7nep9->01s42m6:8 | 1xx3u1e->0w4x7xs:3 | 0l3i7ey->0ldht3x:3 | 0l3i7ey->0apubpm:3 | 17c7qwp->17wwyn1:1
netz_offen_verbunden,netz_rekoppelnd_verbunden,offen,rekoppelnd,rekopplungsnahe_uebergangsachse,10,18,7,8,136,196,0.068575,-0.027426,0ultars->0om13wf:4 | 0ultars->00dz86x:2 | 0mvjoir->0n5sqpn:2 | 0mvjoir->0qhs6nb:2 | 00yl137->00dz86x:1 | 00yl137->0tv1tha:1 | 0qhiq5e->0q7j4gf:1 | 0ifxej6->0r1o8ja:2
netz_rekoppelnd_verbunden,netz_fragmentiert_belastet,rekoppelnd,fragment_belastet,belastende_fragmentierungsachse,4,18,4,3,94,1177,-0.035907,0.028077,1al8fjz->0dsrwv5:4 | 1n9f8vr->18l3thm:4 | 0sv0ru8->0jbl5pq:5 | 1aurt3q->0jbl5pq:5
netz_rekoppelnd_verbunden,netz_offen_verbunden,rekoppelnd,offen,belastende_fragmentierungsachse,9,16,8,6,121,133,-0.06916,0.02488,0om13wf->0ultars:4 | 00dz86x->0ultars:2 | 00dz86x->00yl137:1 | 0qhs6nb->0mvjoir:2 | 0r1o8ja->0ifxej6:2 | 0tf9fq3->0oc1i7g:1 | 0n5sqpn->0mvjoir:2 | 0q7j4gf->0qhiq5e:1
netz_offen_verbunden,netz_driftend_getragen,offen,drift_getragen,rekopplungsnahe_uebergangsachse,4,11,4,2,49,161,0.030227,-0.035359,0ultars->0aztxel:2 | 0tph7s0->05lquqm:3 | 079228h->05lquqm:3 | 0ag2osp->05lquqm:3
netz_driftend_getragen,netz_offen_verbunden,drift_getragen,offen,belastende_fragmentierungsachse,3,8,2,3,119,44,-0.028779,0.030937,05lquqm->0ag2osp:3 | 05lquqm->0tph7s0:3 | 0aztxel->0ultars:2
netz_fragmentiert_belastet,netz_rekoppelnd_verbunden,fragment_belastet,rekoppelnd,rekopplungsnahe_uebergangsachse,2,8,2,2,843,80,0.03677,-0.046031,18l3thm->1n9f8vr:4 | 0dsrwv5->1al8fjz:4
