from_family,to_family,effect_path,count,dominant_world,avg_rekopplung_delta,avg_strain_delta,avg_carry_delta
dio_0l7p,dio_104t,stabil->stabil,35,PAXG2025_5M_10K,-0.000318,0.011212,0.008982
dio_14wj,dio_155c,stabil->stabil,34,PAXG2025_5M_10K,-0.021631,0.025158,-0.037855
dio_14wj,dio_1jc2,stabil->stabil,33,PAXG2025_5M_10K,-0.007897,-0.015696,-0.02314
dio_06er,dio_14wj,stabil->stabil,32,PAXG2025_5M_10K,-0.011087,0.012336,0.000995
dio_1jc2,dio_14wj,stabil->stabil,32,PAXG2024_5M_10K,0.004635,0.015037,0.015451
dio_00ly,dio_104t,stabil->stabil,31,PAXG2025_5M_10K,-0.000675,0.012254,0.007621
dio_14wj,dio_1pij,stabil->stabil,31,PAXG2024_5M_10K,-0.039314,0.043015,-0.051975
dio_14wj,dio_0kx9,stabil->stabil,31,PAXG2024_5M_10K,-0.003965,-0.016096,-0.020133
dio_1lsu,dio_104t,stabil->stabil,30,PAXG2024_5M_10K,0.016504,-0.009553,0.024158
dio_104t,dio_1ewh,stabil->stabil,29,PAXG2024_5M_10K,-0.011127,0.000511,-0.015805
dio_104t,dio_1jc2,stabil->stabil,29,PAXG2024_5M_10K,0.014949,-0.037409,-0.000524
dio_1ewh,dio_14wj,stabil->stabil,28,PAXG2024_5M_10K,0.022005,-0.018237,0.027278
dio_06er,dio_104t,stabil->stabil,28,PAXG2025_5M_10K,-0.009281,0.022455,-0.008459
dio_14wj,dio_0l7p,stabil->stabil,26,PAXG2024_5M_10K,-0.010278,0.000443,-0.020018
dio_104t,dio_06s7,stabil->stabil,25,PAXG2024_5M_10K,0.003792,-0.029145,-0.011566
dio_14wj,dio_06er,stabil->stabil,25,PAXG2025_5M_10K,0.0033,-0.008516,-0.000908
dio_1fll,dio_104t,stabil->stabil,25,PAXG2025_5M_10K,-0.026216,0.031643,-0.020579
dio_14wj,dio_0m9z,stabil->stabil,24,PAXG2024_5M_10K,-0.03019,0.035801,-0.035963
dio_07o8,dio_104t,stabil->stabil,23,PAXG2025_5M_10K,0.020529,-0.012162,0.038358
dio_104t,dio_0kx9,stabil->stabil,23,PAXG2025_5M_10K,0.013893,-0.034258,-0.009763
dio_10dv,dio_104t,stabil->stabil,23,PAXG2025_5M_10K,0.002748,0.006167,0.019374
dio_14wj,dio_0h9h,stabil->stabil,23,PAXG2024_5M_10K,-0.011861,0.007862,-0.016511
dio_0fe7,dio_14wj,stabil->stabil,22,PAXG2024_5M_10K,0.019965,-0.004745,0.036209
dio_104t,dio_1lsu,stabil->stabil,22,PAXG2025_5M_10K,-0.007665,0.003683,-0.022735
dio_1lsu,dio_14wj,stabil->stabil,20,PAXG2024_5M_10K,0.021306,-0.0259,0.041641
dio_0m9z,dio_14wj,stabil->stabil,20,PAXG2024_5M_10K,0.020289,-0.032296,0.03002
dio_104t,dio_1kpz,stabil->stabil,20,PAXG2024_5M_10K,0.005682,-0.029205,-0.014162
dio_0dd2,dio_104t,stabil->stabil,19,PAXG2025_5M_10K,-0.001845,0.009389,0.011141
dio_0kx9,dio_104t,stabil->stabil,19,PAXG2025_5M_10K,-0.015586,0.032562,0.008416
dio_155c,dio_14wj,stabil->stabil,19,PAXG2025_5M_10K,0.019075,-0.020009,0.028523
dio_07o8,dio_14wj,stabil->stabil,19,PAXG2025_5M_10K,0.024046,-0.022193,0.043238
dio_104t,dio_0dd2,stabil->stabil,18,PAXG2024_5M_10K,0.000197,-0.009615,-0.005279
dio_1q85,dio_104t,stabil->stabil,18,PAXG2025_5M_10K,0.011847,-0.007387,0.027197
dio_14wj,dio_1lsu,stabil->stabil,18,PAXG2025_5M_10K,-0.0238,0.027618,-0.037792
dio_14wj,dio_07o8,stabil->stabil,17,PAXG2025_5M_10K,-0.031176,0.02626,-0.044796
dio_1xrt,dio_14wj,stabil->stabil,17,PAXG2024_5M_10K,0.015126,-0.011207,0.034217
dio_14wj,dio_1ygx,stabil->stabil,17,PAXG2024_5M_10K,0.002957,-0.031008,-0.015732
dio_18v0,dio_104t,stabil->stabil,17,PAXG2024_5M_10K,0.026737,-0.028166,0.049921
dio_14wj,dio_0jqc,stabil->stabil,17,PAXG2024_5M_10K,-0.003789,0.006166,-0.029021
dio_06s7,dio_14wj,stabil->stabil,17,PAXG2025_5M_10K,0.009146,0.007747,0.024793
dio_14wj,dio_18v0,stabil->stabil,17,PAXG2025_5M_10K,-0.044792,0.046101,-0.061753
dio_14wj,dio_00ly,stabil->stabil,17,PAXG2025_5M_10K,-0.013988,0.006285,-0.01959
dio_0z9t,dio_104t,stabil->stabil,16,PAXG2025_5M_10K,0.010274,-0.006485,0.029955
dio_0fe7,dio_104t,stabil->stabil,16,PAXG2025_5M_10K,0.010349,0.012999,0.024877
dio_1kpz,dio_14wj,stabil->stabil,15,PAXG2025_5M_10K,0.00882,0.005827,0.02113
dio_18po,dio_104t,stabil->stabil,15,PAXG2024_5M_10K,0.034677,-0.034885,0.063741
dio_17ct,dio_104t,stabil->stabil,15,PAXG2025_5M_10K,0.001034,0.005592,0.031578
dio_104t,dio_07o8,stabil->stabil,14,PAXG2025_5M_10K,-0.020787,0.01327,-0.041714
dio_104t,dio_10dv,stabil->stabil,14,PAXG2024_5M_10K,-0.007053,-0.002484,-0.028058
dio_1gp2,dio_104t,stabil->stabil,14,PAXG2024_5M_10K,0.010013,0.000622,0.022278
dio_104t,dio_0fe7,stabil->stabil,14,PAXG2024_5M_10K,-0.013225,-0.009742,-0.035142
dio_104t,dio_18po,stabil->stabil,14,PAXG2024_5M_10K,-0.041028,0.03208,-0.05477
dio_104t,dio_0obq,stabil->stabil,14,PAXG2024_5M_10K,-0.021982,0.007877,-0.026624
dio_14wj,dio_0g3b,stabil->stabil,14,PAXG2024_5M_10K,0.01152,-0.032914,-0.017841
dio_0pz6,dio_104t,stabil->stabil,14,PAXG2025_5M_10K,-0.00483,0.016476,0.015489
dio_14wj,dio_10dv,stabil->stabil,13,PAXG2025_5M_10K,-0.0161,0.015134,-0.03366
dio_104t,dio_1xrt,stabil->stabil,13,PAXG2024_5M_10K,0.000239,-0.017254,-0.025245
dio_1xrt,dio_104t,stabil->stabil,13,PAXG2024_5M_10K,0.00823,0.008049,0.024819
dio_1kpz,dio_104t,stabil->stabil,13,PAXG2024_5M_10K,-0.003765,0.027092,0.015843
dio_06s7,dio_104t,stabil->stabil,13,PAXG2025_5M_10K,-0.002696,0.0263,0.017026
dio_14wj,dio_0obq,stabil->stabil,13,PAXG2024_5M_10K,-0.02834,0.02589,-0.043779
dio_104t,dio_17ct,stabil->stabil,13,PAXG2025_5M_10K,-0.013184,-0.001929,-0.038508
dio_14wj,dio_18po,stabil->stabil,13,PAXG2024_5M_10K,-0.053098,0.048638,-0.070104
dio_104t,dio_18v0,stabil->stabil,13,PAXG2024_5M_10K,-0.026853,0.031799,-0.054589
dio_0tay,dio_104t,stabil->stabil,13,PAXG2024_5M_10K,0.006387,0.005462,0.014058
dio_14wj,dio_0z9t,stabil->stabil,13,PAXG2024_5M_10K,-0.017354,0.020523,-0.032748
dio_14wj,dio_0dd2,stabil->stabil,12,PAXG2025_5M_10K,-0.010713,0.003438,-0.014757
dio_104t,dio_0jqc,stabil->stabil,12,PAXG2025_5M_10K,-0.006169,-0.006265,-0.028217
dio_104t,dio_0z9t,stabil->stabil,12,PAXG2025_5M_10K,-0.011396,0.006436,-0.023846
dio_1jc2,dio_104t,stabil->stabil,12,PAXG2025_5M_10K,-0.009812,0.038108,-0.003748
dio_0dd2,dio_14wj,stabil->stabil,11,PAXG2024_5M_10K,-0.007014,0.001842,0.017633
dio_104t,dio_0n0i,stabil->stabil,11,PAXG2024_5M_10K,0.010749,-0.042896,-0.016068
dio_14wj,dio_0f8s,stabil->stabil,11,PAXG2024_5M_10K,-0.033955,0.036682,-0.060859
dio_1tiu,dio_104t,stabil->stabil,11,PAXG2024_5M_10K,-0.007491,0.026268,0.006666
dio_12fw,dio_104t,stabil->stabil,11,PAXG2025_5M_10K,0.023042,-0.020862,0.049921
dio_104t,dio_0g3b,stabil->stabil,10,PAXG2024_5M_10K,0.015152,-0.042444,0.00362
dio_104t,dio_1tiu,stabil->stabil,10,PAXG2025_5M_10K,0.003951,-0.028279,-0.00784
dio_0g2r,dio_104t,stabil->stabil,10,PAXG2024_5M_10K,0.0132,0.002708,0.029302
dio_104t,dio_1q85,stabil->stabil,10,PAXG2024_5M_10K,-0.012532,0.009088,-0.028252
dio_104t,dio_1492,stabil->stabil,10,PAXG2024_5M_10K,0.008516,-0.029079,-0.007187
dio_104t,dio_1xme,stabil->stabil,10,PAXG2025_5M_10K,-0.032664,0.031502,-0.064687
dio_1wdi,dio_14wj,stabil->stabil,10,PAXG2025_5M_10K,0.00664,0.006667,0.030152
