counterform_kind,window_reading,phase_key,world,data_file,current_start_tick,current_end_tick,center_tick,current_loudness,current_intake,current_sharpness,current_rekopplung,current_strain,delta_next_rekopplung,delta_next_strain,raw_return,range_ratio,expansion_ratio,direction_consistency,movement_class,severity
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,9534,9541,9538,0.166083,0.1051,0.657688,0.724437,0.141167,-0.026487,0.037969,0.00049432,0.00346021,5.71264368,0.12820513,bewegungsbruch,0.146684
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,8690,8690,8690,0.218958,0.126222,0.64558,0.7176,0.133885,-0.025828,0.034437,0.0177288,0.02755151,2.82217573,0.02857143,bewegungsbruch,0.140398
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,5348,5353,5350,0.123372,0.081705,0.634547,0.72194,0.136798,-0.018569,0.035609,-0.0385502,0.04853996,3.51191895,0.05882353,bewegungsbruch,0.131267
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,9805,9805,9805,0.221941,0.121365,0.808772,0.723028,0.1389,-0.023,0.030097,0.00723961,0.0228865,3.28052805,0.07692308,bewegungsbruch,0.129646
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8736,8745,8740,0.189953,0.109341,0.686255,0.720916,0.139979,-0.018611,0.027354,-0.01155051,0.02545027,2.56516129,0.06060606,bewegungsbruch,0.118947
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,4222,4222,4222,0.276059,0.154835,0.68393,0.710168,0.149738,-0.019391,0.019168,0.00553633,0.02283737,2.94780546,0.1641791,bewegungsbruch,0.107839
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8581,8582,8582,0.198427,0.118005,0.629636,0.7144,0.142962,-0.014189,0.024075,-0.02457611,0.04191275,3.26436782,0.0,bewegungsbruch,0.107396
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,5425,5426,5426,0.175853,0.098983,0.784954,0.724341,0.138681,-0.022802,0.00959,0.03484688,0.04171067,3.75074405,0.04477612,bewegungsbruch,0.098588
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,6140,6140,6140,0.242293,0.136186,0.661708,0.711631,0.141063,-0.008367,0.020778,-0.01168675,0.03240964,3.3927327,0.04347826,bewegungsbruch,0.093718
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,6407,6408,6408,0.246547,0.135254,0.730503,0.715974,0.138189,-0.013657,0.014436,-0.00814402,0.02528933,2.46830266,0.05084746,bewegungsbruch,0.09214
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,4109,4109,4109,0.267366,0.148282,0.806663,0.710573,0.140266,-0.008458,0.019141,0.00294985,0.00983284,5.91666667,0.05263158,bewegungsbruch,0.091399
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,1693,1704,1698,0.1451,0.086155,0.679946,0.72428,0.137169,-0.021122,-0.004541,-0.0035014,0.0140056,2.60734463,0.12121212,bewegungsbruch,0.079412
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,2558,2558,2558,0.667679,0.383268,0.731215,0.627508,0.270554,-0.022401,-0.021404,0.00049677,0.00695479,3.33333333,0.01960784,bewegungsbruch,0.0729
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,6140,6140,6140,0.290913,0.161784,0.652718,0.70691,0.15172,-0.005477,0.009571,-0.01910237,0.02781899,3.48364486,0.0625,bewegungsbruch,0.072572
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,9354,9354,9354,0.326659,0.186416,0.79323,0.704102,0.159378,-0.003853,0.006913,-0.01104002,0.01593276,4.38161209,0.11764706,bewegungsbruch,0.066149
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,9423,9423,9423,0.616883,0.346281,0.5391,0.626296,0.252717,-0.004458,-0.024108,-0.02414163,0.02736052,3.68257261,0.24590164,bewegungsbruch,0.044633
last_bleibt,lastkontakt_bleibt,offene_variante->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,4962,4962,4962,0.301074,0.192144,0.286672,0.599564,0.251299,0.007836,-0.006923,0.0636458,0.08716707,3.00847458,0.32352941,bewegungsbruch,0.042621
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,1658,1659,1658,0.170623,0.098439,0.708514,0.718835,0.138112,-0.000828,-0.018107,0.06193391,0.090653,5.24027999,0.11428571,bewegungsbruch,0.042189
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,5666,5666,5666,0.764,0.423804,0.674635,0.606473,0.267137,-0.002146,-0.022896,0.04368471,0.07692308,3.41867293,0.08823529,bewegungsbruch,0.041771
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,8875,8876,8876,0.190174,0.108814,0.659331,0.719951,0.147073,-0.004517,-0.031486,-0.01825168,0.0321806,3.91101695,0.04477612,bewegungsbruch,0.041032
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,6487,6490,6488,0.131638,0.090683,0.624517,0.722064,0.132071,-0.001761,-0.027982,0.00155581,0.02242966,2.34915107,0.07246377,bewegungsbruch,0.038651
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,4665,4673,4669,0.218308,0.122586,0.684121,0.720001,0.148146,-0.003855,-0.036201,-0.00573614,0.01251521,4.77075099,0.1875,bewegungsbruch,0.037682
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,9208,9208,9208,0.862093,0.505339,0.734662,0.613996,0.250345,0.006198,-0.020006,-0.00900424,0.04978814,2.8696219,0.13432836,bewegungsbruch,0.036898
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,980,980,980,0.191452,0.122022,0.603061,0.707219,0.148832,0.00059,-0.029428,0.00108893,0.01911676,2.81832061,0.05714286,bewegungsbruch,0.034991
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,1471,1471,1471,0.757265,0.453162,0.504358,0.597177,0.25708,0.016336,-0.022034,-0.0009901,0.0029703,3.22727273,0.0,bewegungsbruch,0.030815
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,1126,1126,1126,0.637144,0.364807,0.744864,0.605331,0.258444,0.011058,-0.027402,-0.02141058,0.0495382,2.46527778,0.0,bewegungsbruch,0.03077
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,6127,6127,6127,0.684615,0.397513,0.631078,0.603238,0.255399,0.017601,-0.024149,0.04189687,0.053407,3.15017065,0.15151515,bewegungsbruch,0.029125
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,4838,4838,4838,0.7395,0.423627,0.650151,0.606969,0.266701,0.009984,-0.033746,-0.01420679,0.02880821,2.97902098,0.13432836,bewegungsbruch,0.028135
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,3436,3436,3436,0.816813,0.452934,0.587582,0.596604,0.280031,0.012451,-0.031794,-0.01941075,0.05563258,8.22934649,0.0,bewegungsbruch,0.027877
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,3438,3438,3438,0.114242,0.120101,0.163314,0.588298,0.25496,0.026677,-0.020355,-0.03035496,0.0505508,5.32571199,0.10447761,bewegungsbruch,0.026484
gemischte_gegenform,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,8758,8758,8758,0.229035,0.127369,0.672314,0.717799,0.154573,0.001172,-0.048295,0.01068999,0.02478134,3.17631579,0.03333333,bewegungsbruch,0.025267
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,3241,3241,3241,0.706551,0.401682,0.55374,0.611868,0.259498,0.014935,-0.035022,-0.00586461,0.02060992,2.76347305,0.05714286,bewegungsbruch,0.025022
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,9285,9285,9285,0.775405,0.468903,0.582951,0.650676,0.25031,0.0004,-0.049929,-0.00098232,0.00294695,5.91666667,0.03703704,bewegungsbruch,0.024836
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,SOL_1H_2K,kontrolliert_sol_2024_1h_test1_2000_SOLUSDT.csv,957,957,957,0.779428,0.440627,0.540057,0.613448,0.252072,0.013657,-0.038071,0.07078431,0.09735294,3.22914015,0.05714286,bewegungsbruch,0.024136
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,7644,7644,7644,0.712701,0.400404,0.716012,0.62259,0.251225,0.019574,-0.032497,-0.01463755,0.03345725,2.16954165,0.10144928,bewegungsbruch,0.023965
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,5377,5377,5377,0.688113,0.378565,0.600429,0.583045,0.280397,0.019549,-0.033577,-0.01452169,0.0531857,3.05950752,0.08823529,bewegungsbruch,0.023437
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,375,375,375,0.777602,0.446068,0.520072,0.593467,0.264771,0.023517,-0.031372,-0.03824931,0.1772009,5.09930688,0.02857143,bewegungsbruch,0.022556
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,2752,2752,2752,0.308982,0.200731,0.274773,0.595304,0.253599,0.030427,-0.027151,0.00528338,0.01585014,2.61029412,0.04761905,bewegungsbruch,0.021211
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,9198,9198,9198,0.86736,0.502157,0.687972,0.600833,0.278542,0.017453,-0.04013,-0.00746709,0.01336215,2.96909091,0.07462687,bewegungsbruch,0.021209
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,4120,4120,4120,0.72026,0.405091,0.559018,0.629223,0.269543,0.008073,-0.057665,0.0034398,0.00982801,6.12068966,0.07692308,bewegungsbruch,0.020964
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,6903,6903,6903,0.607165,0.333189,0.429294,0.634903,0.260135,0.008436,-0.055716,0.03215597,0.05342448,4.66498195,0.02941176,bewegungsbruch,0.020782
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,3750,3750,3750,0.748251,0.429787,0.618864,0.606447,0.258858,0.02137,-0.037378,-0.01012658,0.01434599,3.21957041,0.01587302,bewegungsbruch,0.020626
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,1586,1586,1586,0.432125,0.248079,0.371973,0.605222,0.250991,0.023801,-0.03607,-0.02317003,0.03089337,3.01883746,0.05882353,bewegungsbruch,0.020065
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,51,51,51,0.517527,0.287935,0.623861,0.63087,0.252423,0.010015,-0.050569,-0.00334113,0.02015815,3.54305284,0.02941176,bewegungsbruch,0.019993
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,4748,4748,4748,0.806332,0.461453,0.701499,0.599582,0.279663,0.015658,-0.045611,-0.03617309,0.06186613,4.93248532,0.24242424,bewegungsbruch,0.019366
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,556,556,556,0.637676,0.364939,0.689766,0.592789,0.270577,0.022111,-0.040298,-0.00294118,0.00539216,3.14556962,0.02325581,bewegungsbruch,0.018796
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,3170,3170,3170,0.824479,0.467456,0.68964,0.592183,0.282964,0.017184,-0.045401,-0.02119372,0.03425364,4.18558952,0.03030303,bewegungsbruch,0.018708
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,3635,3635,3635,0.740442,0.419156,0.706126,0.587095,0.286417,0.019998,-0.043327,-0.00132802,0.01549358,2.08823529,0.01639344,bewegungsbruch,0.018338
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,1545,1545,1545,0.809113,0.463634,0.506874,0.584469,0.278177,0.026769,-0.037393,-0.00855086,0.02835284,4.88768116,0.09375,bewegungsbruch,0.017919
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,719,720,720,0.667118,0.365596,0.660433,0.592029,0.269443,0.027747,-0.03747,-0.06539779,0.1050885,8.81631512,0.14285714,bewegungsbruch,0.017392
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,3465,3465,3465,0.502337,0.280323,0.423908,0.578611,0.281009,0.029181,-0.036595,0.01173264,0.03484238,3.98130841,0.1641791,bewegungsbruch,0.017112
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,4936,4936,4936,0.779648,0.4528,0.684923,0.612928,0.250106,0.027081,-0.039353,0.00198585,0.00906044,3.23592493,0.2,bewegungsbruch,0.016783
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,SOL_5M_2K,kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,720,725,722,0.449462,0.284049,0.327596,0.577128,0.280704,0.027173,-0.039444,-0.10258533,0.22430766,9.01555988,0.17142857,bewegungsbruch,0.016692
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,9916,9916,9916,0.872681,0.522417,0.490605,0.603608,0.266045,0.038322,-0.028321,0.0009901,0.0019802,6.45454545,0.0625,bewegungsbruch,0.016679
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,719,722,720,0.706082,0.398672,0.596527,0.581427,0.285863,0.019204,-0.047462,-0.10633914,0.21600634,12.41842736,0.05882353,bewegungsbruch,0.016667
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,810,810,810,0.591207,0.327129,0.724707,0.611871,0.251627,0.024674,-0.043363,-0.01505788,0.03302452,4.47155449,0.08571429,bewegungsbruch,0.015982
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,2124,2125,2124,0.497073,0.290121,0.425578,0.593112,0.264897,0.026548,-0.0434,0.00099552,0.0099552,4.41777778,0.03571429,bewegungsbruch,0.015026
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,5545,5545,5545,0.897923,0.518698,0.620064,0.589626,0.285687,0.025095,-0.04805,0.00292882,0.01719088,3.39977728,0.06451613,bewegungsbruch,0.013428
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,9844,9844,9844,0.638666,0.362742,0.335856,0.603365,0.272496,0.024291,-0.052741,0.01603905,0.03463505,2.98787447,0.01492537,bewegungsbruch,0.012855
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,KAS_5M_2K,kontrolliert_kas_2024_5m_test1_2000_KASUSDT.csv,720,722,721,0.707206,0.401034,0.564184,0.567611,0.301166,0.025099,-0.055867,-0.1385399,0.36018676,10.78062657,0.11428571,bewegungsbruch,0.012451
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,SOL_1H_2K,kontrolliert_sol_2024_1h_test1_2000_SOLUSDT.csv,1555,1555,1555,0.664049,0.361479,0.611677,0.586331,0.274131,0.030787,-0.045703,0.06299822,0.29192787,7.82493673,0.17142857,bewegungsbruch,0.011755
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,6173,6173,6173,0.687323,0.38574,0.707015,0.618659,0.251356,0.027756,-0.050079,-0.01239822,0.02757217,3.37330317,0.05882353,bewegungsbruch,0.011122
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,9637,9637,9637,0.854808,0.500762,0.699895,0.625773,0.276502,0.02799,-0.069164,0.00098863,0.00346021,3.68831169,0.02222222,bewegungsbruch,0.011005
