family,candidate_class,relation,distance_to_dio_00ly,distance_to_dio_104t,axis_distance,between_balance,between_closeness,support,event_support,between_score,tragend_events,kipp_events,tragend_worlds,kipp_worlds,rekopplung_gap,strain_gap,tension_gap
dio_1d3a,schwacher_kontakt,candidate,0.243054,0.240131,0.034961,0.993950,0.000000,0.250000,0.033333,0.390383,2,2,2,2,0.047303,0.050230,0.067808
dio_0qwq,schwacher_kontakt,candidate,0.316467,0.312002,0.034961,0.992897,0.000000,0.250000,0.033333,0.390014,2,2,2,2,0.078381,0.122453,0.168767
dio_1jx8,schwacher_kontakt,candidate,0.283390,0.276821,0.034961,0.988275,0.000000,0.250000,0.033333,0.388396,2,2,2,2,0.052963,0.092640,0.153127
dio_1abo,schwacher_kontakt,candidate,0.293181,0.285200,0.034961,0.986202,0.000000,0.250000,0.033333,0.387671,2,2,2,2,0.048278,0.097157,0.172093
dio_1k2u,schwacher_kontakt,candidate,0.249894,0.241238,0.034961,0.982376,0.000000,0.250000,0.033333,0.386332,2,2,2,2,0.043023,0.062532,0.141776
dio_0o42,schwacher_kontakt,candidate,0.237012,0.228723,0.034961,0.982202,0.000000,0.250000,0.033333,0.386271,2,2,2,2,0.036748,0.068301,0.130591
dio_1yvh,schwacher_kontakt,candidate,0.321091,0.320903,0.034961,0.999707,0.000000,0.187500,0.033333,0.383023,2,2,2,1,0.099181,0.129765,0.122399
dio_18kx,schwacher_kontakt,candidate,0.013144,0.041910,0.034961,0.477487,0.212647,0.562500,0.366667,0.380922,42,2,8,1,0.056261,0.039165,0.017392
dio_0om4,schwacher_kontakt,candidate,0.025902,0.051782,0.034961,0.666850,0.000000,0.500000,0.458333,0.377148,53,2,7,1,0.055070,0.033999,0.004143
dio_1pij,schwacher_kontakt,candidate,0.171559,0.160945,0.034961,0.968076,0.000000,0.187500,0.033333,0.371952,2,2,2,1,-0.014889,0.028197,0.023182
dio_02xf,schwacher_kontakt,candidate,0.072081,0.064722,0.034961,0.946205,0.000000,0.187500,0.066667,0.369297,2,6,1,2,0.014369,0.020119,0.008734
dio_1uof,schwacher_kontakt,candidate,0.068858,0.081441,0.034961,0.916280,0.000000,0.187500,0.125000,0.367573,14,1,2,1,0.051097,0.024845,0.009808
dio_0z3k,schwacher_kontakt,candidate,0.058073,0.050409,0.034961,0.929355,0.000000,0.187500,0.050000,0.360899,2,4,1,2,0.041615,0.048861,0.038134
dio_0h6t,neuer_lokaler_brueckenkandidat,candidate,0.012979,0.037041,0.034961,0.518956,0.284630,0.375000,0.116667,0.355005,8,6,3,3,0.056836,0.036382,0.027518
dio_0zad,schwacher_kontakt,candidate,0.075767,0.092587,0.034961,0.900095,0.000000,0.125000,0.033333,0.338783,2,2,1,1,0.055214,0.043279,-0.003065
dio_1j37,schwacher_kontakt,candidate,0.047337,0.068101,0.034961,0.820128,0.000000,0.250000,0.083333,0.337045,8,2,3,1,0.054321,0.039458,0.002651
dio_08l0,schwacher_kontakt,candidate,0.061981,0.084322,0.034961,0.847292,0.000000,0.187500,0.050000,0.332177,2,4,1,2,0.084451,0.032323,0.008584
dio_1c85,schwacher_kontakt,candidate,0.034102,0.048762,0.034961,0.823086,0.000000,0.187500,0.050000,0.323705,2,4,1,2,0.050659,0.053144,0.029131
dio_0d03,schwacher_kontakt,candidate,0.041460,0.063318,0.034961,0.791390,0.000000,0.187500,0.050000,0.312611,4,2,2,1,0.059445,0.033062,0.005744
